# STEP Bible — 1 Chronicles 25

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 1 Chronicles 25:1

**Original:** וַיַּבְדֵּ֣ל דָּוִיד֩ וְשָׂרֵ֨י הַצָּבָ֜א לַעֲבֹדָ֗ה לִבְנֵ֤י אָסָף֙ וְהֵימָ֣ן וִֽידוּת֔וּן הַֽנִּבְּאִ֛ים בְּכִנֹּר֥וֹת בִּנְבָלִ֖ים וּבִמְצִלְתָּ֑יִם וַֽיְהִי֙ מִסְפָּרָ֔ם אַנְשֵׁ֥י מְלָאכָ֖ה לַעֲבֹדָתָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יַּבְדֵּ֣ל | va/i.yav.Del | and/ he separated | H914 | Hc/Vhw3ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | בָּדַל (ba.dal): to separate |
| 2 | דָּוִיד֩ | da.Vid | David | H1732 | HNpm — Proper Noun (Masculine individual) | דָּוִד (da.vid): David |
| 3 | וְ/שָׂרֵ֨י | ve./sa.Rei | and/ [the] commanders of | H8269 | HC/Ncmpc — Conjunction + Noun (Plural Masculine, Construct) | שַׂר (sar): ruler |
| 4 | הַ/צָּבָ֜א | ha./tza.Va' | the/ army | H6635I | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | צָבָא (tsa.va): army: duty |
| 5 | לַ/עֲבֹדָ֗ה | la./'a.vo.Dah | for/ service | H5656H | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | עֲבֹדָה (a.vo.dah): service: ministry |
| 6 | לִ/בְנֵ֤י | li/v.Nei | <to>/ [the] sons of | H1121A | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 7 | אָסָף֙ | 'a.Saf | Asaph | H623H | HNpm — Proper Noun (Masculine individual) | אָסָף (a.saph): Asaph |
| 8 | וְ/הֵימָ֣ן | ve./hei.Man | and/ Heman | H1968I | HC/Npm — Conjunction + Proper Noun (Masculine individual) | הֵימָן (he.man): Heman |
| 9 | וִֽ/ידוּת֔וּן | vi./du.Tun | and/ Jeduthun | H3038G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | יְדוּתוּן (ye.du.tun): Jeduthun |
| 10 | הַֽ/נִּבְּאִ֛ים | ha./ne.bi.'im | who/ prophesied | H5012 | HTd/VNrmpa — Definite article (Hebrew) + Verb : Niphal (Simple, Passive) Participle (Plural Masculine, Absolute) | נָבָא (na.va): to prophesy |
| 11 | בְּ/כִנֹּר֥וֹת | be./khi.no.Rot | with/ harps | H3658 | HR/Ncfpa — Preposition + Noun (Plural Feminine, Absolute) | כִּנּוֹר (kin.nor): lyre |
| 12 | בִּ/נְבָלִ֖ים | bi/n.va.Lim | with/ lyres | H5035B | HR/Ncmpa — Preposition + Noun (Plural Masculine, Absolute) | נֵ֫בֶל (ne.vel): harp |
| 13 | וּ/בִ/מְצִלְתָּ֑יִם | u./vi/m.tzil.Ta.yim | and/ with/ cymbals | H4700 | HC/R/Ncfda — Conjunction + Preposition + Noun (Dual Feminine, Absolute) | מְצִלְתַּיִם (me.tse.let): cymbal |
| 14 | וַֽ/יְהִי֙ | va/y.Hi | and/ it was | H1961 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 15 | מִסְפָּרָ֔/ם | mis.pa.Ra/m | number/ their | H4557 | HNcmsc/Sp3mp — Noun (Singular Masculine, Construct) + Suffix (Third Plural Masculine) | מִסְפָּר (mis.par): number |
| 16 | אַנְשֵׁ֥י | 'an.Shei | men of | H582 | HNcmpc — Noun (Plural Masculine, Construct) | אֱנוֹשׁ (e.nosh): human |
| 17 | מְלָאכָ֖ה | me.la.Khah | work | H4399 | HNcfsa — Noun (Singular Feminine, Absolute) | מְלָאכָה (me.la.khah): work |
| 18 | לַ/עֲבֹדָתָֽ/ם\׃ | la./'a.vo.da.Ta/m | for/ service/ their | H5656H | HR/Ncfsc/Sp3mp — Preposition + Noun (Singular Feminine, Construct) + Suffix (Third Plural Masculine) | עֲבֹדָה (a.vo.dah): service: ministry |

## 1 Chronicles 25:2

**Original:** לִבְנֵ֣י אָסָ֗ף זַכּ֧וּר וְיוֹסֵ֛ף וּנְתַנְיָ֥ה וַאֲשַׂרְאֵ֖לָה בְּנֵ֣י אָסָ֑ף עַ֚ל יַד־ אָסָ֔ף הַנִּבָּ֖א עַל־ יְדֵ֥י הַמֶּֽלֶךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לִ/בְנֵ֣י | li/v.Nei | of/ [the] sons of | H1121A | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 2 | אָסָ֗ף | 'a.Saf | Asaph | H623H | HNpm — Proper Noun (Masculine individual) | אָסָף (a.saph): Asaph |
| 3 | זַכּ֧וּר | za.Kur | Zaccur | H2139J | HNpm — Proper Noun (Masculine individual) | זַכּוּר (zak.kur): Zaccur |
| 4 | וְ/יוֹסֵ֛ף | ve./yo.Sef | and/ Joseph | H3130I | HC/Npm — Conjunction + Proper Noun (Masculine individual) | יוֹסֵף (yo.seph): Joseph |
| 5 | וּ/נְתַנְיָ֥ה | u./ne.tan.Yah | and/ Nethaniah | H5418H | HC/Npm — Conjunction + Proper Noun (Masculine individual) | נְתַנְיָ֫הוּ (ne.tan.yah): Nethaniah |
| 6 | וַ/אֲשַׂרְאֵ֖לָה | va./'a.sar.'E.lah | and/ Asarelah | H841 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אֲשַׂרְאֵ֫לָה (a.sar.e.lah): Asharelah |
| 7 | בְּנֵ֣י | be.Nei | [the] sons of | H1121A | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 8 | אָסָ֑ף | 'a.Saf | Asaph | H623H | HNpm — Proper Noun (Masculine individual) | אָסָף (a.saph): Asaph |
| 9 | עַ֚ל | 'al | [were] on | H5921A | HR — Preposition | עַל (al): upon |
| 10 | יַד\־ | yad- | [the] hand of | H3027H | HNcbsc — Noun (Singular Either gender, Construct) | יָד (yad): hand: power |
| 11 | אָסָ֔ף | 'a.Saf | Asaph | H623H | HNpm — Proper Noun (Masculine individual) | אָסָף (a.saph): Asaph |
| 12 | הַ/נִּבָּ֖א | ha./ni.Ba' | who/ prophesied | H5012 | HTd/VNrmsa — Definite article (Hebrew) + Verb : Niphal (Simple, Passive) Participle (Singular Masculine, Absolute) | נָבָא (na.va): to prophesy |
| 13 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 14 | יְדֵ֥י | ye.Dei | [the] hands of | H3027H | HNcbdc — Noun (Dual Either gender, Construct) | יָד (yad): hand: power |
| 15 | הַ/מֶּֽלֶךְ\׃ | ha./Me.lekh | the/ king | H4428G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מֶ֫לֶךְ (me.lekh): king |

## 1 Chronicles 25:3

**Original:** לִידוּת֑וּן בְּנֵ֣י יְדוּת֡וּן גְּדַלְיָ֡הוּ וּצְרִ֡י וִֽ֠ישַׁעְיָהוּ חֲשַׁבְיָ֨הוּ וּמַתִּתְיָ֜הוּ שִׁשָּׁ֗ה עַל֩ יְדֵ֨י אֲבִיהֶ֤ם יְדוּתוּן֙ בַּכִּנּ֔וֹר הַנִּבָּ֕א עַל־ הֹד֥וֹת וְהַלֵּ֖ל לַיהוָֽה׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
