# STEP Bible — 1 Chronicles 4

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 1 Chronicles 4:1

**Original:** בְּנֵ֖י יְהוּדָ֑ה פֶּ֧רֶץ חֶצְר֛וֹן וְכַרְמִ֖י וְח֥וּר וְשׁוֹבָֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּנֵ֖י | be.Nei | [the] sons of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 2 | יְהוּדָ֑ה | ye.hu.Dah | Judah | H3063G | HNpm — Proper Noun (Masculine individual) | יְהוּדָה (ye.hu.dah): Judah |
| 3 | פֶּ֧רֶץ | Pe.retz | Perez | H6557 | HNpm — Proper Noun (Masculine individual) | פֶּ֫רֶץ (pe.rets): Perez |
| 4 | חֶצְר֛וֹן | chetz.Ron | Hezron | H2696H | HNpm — Proper Noun (Masculine individual) | חֶצְרוֹן (chets.ron): Hezron |
| 5 | וְ/כַרְמִ֖י | ve./khar.Mi | and/ Carmi | H3756I | HC/Npm — Conjunction + Proper Noun (Masculine individual) | כַּרְמִי (kar.mi): Carmi |
| 6 | וְ/ח֥וּר | ve./Chur | and/ Hur | H2354G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | חוּר (chur): Hur |
| 7 | וְ/שׁוֹבָֽל\׃ | ve./sho.Val | and/ Shobal | H7732H | HC/Npm — Conjunction + Proper Noun (Masculine individual) | שׁוֹבָל (sho.val): Shobal |

## 1 Chronicles 4:2

**Original:** וּרְאָיָ֤ה בֶן־ שׁוֹבָל֙ הוֹלִ֣יד אֶת־ יַ֔חַת וְיַ֣חַת הֹלִ֔יד אֶת־ אֲחוּמַ֖י וְאֶת־ לָ֑הַד אֵ֖לֶּה מִשְׁפְּח֥וֹת הַצָּֽרְעָתִֽי׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/רְאָיָ֤ה | u./re.'a.Yah | and/ Reaiah | H7211I | HC/Npm — Conjunction + Proper Noun (Masculine individual) | רְאָיָה (re.a.yah): Reaiah |
| 2 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 3 | שׁוֹבָל֙ | sho.Val | Shobal | H7732H | HNpm — Proper Noun (Masculine individual) | שׁוֹבָל (sho.val): Shobal |
| 4 | הוֹלִ֣יד | ho.Lid | he fathered | H3205 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָלַד (ya.lad): to beget |
| 5 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | יַ֔חַת | Ya.chat | Jahath | H3189G | HNpm — Proper Noun (Masculine individual) | יַ֫חַת (ya.chat): Jahath |
| 7 | וְ/יַ֣חַת | ve./Ya.chat | and/ Jahath | H3189G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | יַ֫חַת (ya.chat): Jahath |
| 8 | הֹלִ֔יד | ho.Lid | he fathered | H3205 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָלַד (ya.lad): to beget |
| 9 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 10 | אֲחוּמַ֖י | 'a.chu.Mai | Ahumai | H267 | HNpm — Proper Noun (Masculine individual) | אֲחוּמַי (a.chu.may): Ahumai |
| 11 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 12 | לָ֑הַד | La.had | Lahad | H3855 | HNpm — Proper Noun (Masculine individual) | Lahad |
| 13 | אֵ֖לֶּה | 'E.leh | these | H428 | HTm — Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 14 | מִשְׁפְּח֥וֹת | mish.pe.Chot | [were] [the] clans of | H4940 | HNcfpc — Noun (Plural Feminine, Construct) | מִשְׁפָּחָה (mish.pa.chah): family |
| 15 | הַ/צָּֽרְעָתִֽי\׃\ \ס | ha./Tza.re.'a.Ti | the/ Zorathite[s] | H6882 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | צׇרְעָתִי (tsor.i): Zorathite |

## 1 Chronicles 4:3

**Original:** וְאֵ֙לֶּה֙ אֲבִ֣י עֵיטָ֔ם יִזְרְעֶ֥אל וְיִשְׁמָ֖א וְיִדְבָּ֑שׁ וְשֵׁ֥ם אֲחוֹתָ֖ם הַצְלֶלְפּֽוֹנִי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אֵ֙לֶּה֙ | ve./'E.leh | and/ these | H428 | HC/Tm — Conjunction + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 2 | אֲבִ֣י | 'a.Vi | [were] [the] father of | H1G | HNcmsc — Noun (Singular Masculine, Construct) | אָב (av): father |
| 3 | עֵיטָ֔ם | 'ei.Tam | Etam | H5862H | HNpl — Proper Noun (Location) | עֵיטָם (e.tam): Etam |
