# STEP Bible — 1 Chronicles 8

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 1 Chronicles 8:1

**Original:** וּבִ֨נְיָמִ֔ן הוֹלִ֖יד אֶת־ בֶּ֣לַע בְּכֹר֑וֹ אַשְׁבֵּל֙ הַשֵּׁנִ֔י וְאַחְרַ֖ח הַשְּׁלִישִֽׁי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בִ֨נְיָמִ֔ן | u./Vin.ya.Min | and/ Benjamin | H1144G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | בִּנְיָמִין (bin.ya.min): Benjamin |
| 2 | הוֹלִ֖יד | ho.Lid | he fathered | H3205 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָלַד (ya.lad): to beget |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | בֶּ֣לַע | Be.la' | Bela | H1106A | HNpm — Proper Noun (Masculine individual) | בֶּ֫לַע (be.la): Bela |
| 5 | בְּכֹר֑/וֹ | be.kho.R/o | firstborn/ his | H1060 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | בְּכוֹר (be.khor): firstborn |
| 6 | אַשְׁבֵּל֙ | 'ash.Bel | Ashbel | H788 | HNpm — Proper Noun (Masculine individual) | אַשְׁבֵּל (ash.bel): Ashbel |
| 7 | הַ/שֵּׁנִ֔י | ha./she.Ni | the/ second | H8145 | HTd/Aomsa — Definite article (Hebrew) + Aomsa | שֵׁנִי (she.ni): second |
| 8 | וְ/אַחְרַ֖ח | ve./'ach.Rach | and/ Ahrah | H315 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אַחְרַח (ach.rach): Aharah |
| 9 | הַ/שְּׁלִישִֽׁי\׃ | ha./she.li.Shi | the/ third | H7992 | HTd/Aomsa — Definite article (Hebrew) + Aomsa | שְׁלִישִׁי (she.li.shi): third |

## 1 Chronicles 8:2

**Original:** נוֹחָה֙ הָֽרְבִיעִ֔י וְרָפָ֖א הַחֲמִישִֽׁי׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | נוֹחָה֙ | no.Chah | Nohah | H5119 | HNpm — Proper Noun (Masculine individual) | נוֹחָה (no.chah): Nohah |
| 2 | הָֽ/רְבִיעִ֔י | ha./re.vi.'I | the/ fourth | H7243 | HTd/Aomsa — Definite article (Hebrew) + Aomsa | רְבִיעִי (re.vi.i): fourth |
| 3 | וְ/רָפָ֖א | ve./ra.Fa' | and/ Rapha | H7498H | HC/Npm — Conjunction + Proper Noun (Masculine individual) | רָפָא (ra.pah): Rapha |
| 4 | הַ/חֲמִישִֽׁי\׃\ \ס | ha./cha.mi.Shi | the/ fifth | H2549 | HTd/Aomsa — Definite article (Hebrew) + Aomsa | חֲמִישִׁי (cha.mi.shi): fifth |

## 1 Chronicles 8:3

**Original:** וַיִּהְי֥וּ בָנִ֖ים לְבָ֑לַע אַדָּ֥ר וְגֵרָ֖א וַאֲבִיהֽוּד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּהְי֥וּ | va/i.yih.Yu | and/ they belonged | H1961 | Hc/Vqw3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | הָיָה (ha.yah): to be |
| 2 | בָנִ֖ים | va.Nim | sons | H1121A | HNcmpa — Noun (Plural Masculine, Absolute) | בֵּן (ben): son: child |
| 3 | לְ/בָ֑לַע | le./Va.la' | to/ Bela | H1106A | HR/Npm — Preposition + Proper Noun (Masculine individual) | בֶּ֫לַע (be.la): Bela |
| 4 | אַדָּ֥ר | 'a.Dar | Addar | H146H | HNpm — Proper Noun (Masculine individual) | אַדָּר (ad.dar): Addar |
| 5 | וְ/גֵרָ֖א | ve./ge.Ra' | and/ Gera | H1617I | HC/Npm — Conjunction + Proper Noun (Masculine individual) | גֵּרָא (ge.ra): Gera |
