# STEP Bible — 1 Kings 10

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 1 Kings 10:1

**Original:** וּמַֽלְכַּת־ שְׁבָ֗א שֹׁמַ֛עַת אֶת־ שֵׁ֥מַע שְׁלֹמֹ֖ה לְשֵׁ֣ם יְהוָ֑ה וַתָּבֹ֥א לְנַסֹּת֖וֹ בְּחִידֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/מַֽלְכַּת\־ | u./mal.kat- | and/ [the] queen of | H4436G | HC/Ntfsc — Conjunction + Noun (Title, Singular Feminine, Construct) | מַלְכָּה (mal.kah): Queen (of Sheba) |
| 2 | שְׁבָ֗א | she.Va' | Sheba | H7614J | HNpl — Proper Noun (Location) | שְׁבָא (she.va): Sheba |
| 3 | שֹׁמַ֛עַת | sho.Ma.'at | [was] hearing | H8085G | HVqrfsa — Verb : Qal (Simple, Active) Participle (Singular Feminine, Absolute) | שָׁמַע (sha.ma): to hear: hear |
| 4 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 5 | שֵׁ֥מַע | She.ma' | [the] report of | H8088B | HNcmsc — Noun (Singular Masculine, Construct) | שֵׁ֫מַע (she.ma): report |
| 6 | שְׁלֹמֹ֖ה | she.lo.Moh | Solomon | H8010 | HNpm — Proper Noun (Masculine individual) | שְׁלֹמֹה (she.lo.moh): Solomon |
| 7 | לְ/שֵׁ֣ם | le./Shem | to/ [the] name of | H8034 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | שֵׁם (shem): name |
| 8 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 9 | וַ/תָּבֹ֥א | va./ta.Vo' | and/ she came | H935G | Hc/Vqw3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Feminine | בּוֹא (bo): to come (in): come |
| 10 | לְ/נַסֹּת֖/וֹ | le./na.so.T/o | to/ put to [the] test/ him | H5254G | HR/Vpcc/Sp3ms — Preposition + Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct + Suffix (Third Singular Masculine) | נָסָה (na.sah): to test |
| 11 | בְּ/חִידֽוֹת\׃ | be./chi.Dot | by/ difficult matters | H2420 | HR/Ncfpa — Preposition + Noun (Plural Feminine, Absolute) | חִידָה (chi.dah): riddle |

## 1 Kings 10:2

**Original:** וַתָּבֹ֣א יְרוּשָׁלְַ֗מָה בְּחַיִל֮ כָּבֵ֣ד מְאֹד֒ גְּ֠מַלִּים נֹשְׂאִ֨ים בְּשָׂמִ֧ים וְזָהָ֛ב רַב־ מְאֹ֖ד וְאֶ֣בֶן יְקָרָ֑ה וַתָּבֹא֙ אֶל־ שְׁלֹמֹ֔ה וַתְּדַבֵּ֣ר אֵלָ֔יו אֵ֛ת כָּל־ אֲשֶׁ֥ר הָיָ֖ה עִם־ לְבָבָֽהּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
