# STEP Bible — 1 Kings 4

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 1 Kings 4:1

**Original:** וַֽיְהִי֙ הַמֶּ֣לֶךְ שְׁלֹמֹ֔ה מֶ֖לֶךְ עַל־ כָּל־ יִשְׂרָאֵֽל׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַֽ/יְהִי֙ | va/y.Hi | and/ he was | H1961 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 2 | הַ/מֶּ֣לֶךְ | ha./Me.lekh | the/ king | H4428G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מֶ֫לֶךְ (me.lekh): king |
| 3 | שְׁלֹמֹ֔ה | she.lo.Moh | Solomon | H8010 | HNpm — Proper Noun (Masculine individual) | שְׁלֹמֹה (she.lo.moh): Solomon |
| 4 | מֶ֖לֶךְ | Me.lekh | king | H4428G | HNcmsa — Noun (Singular Masculine, Absolute) | מֶ֫לֶךְ (me.lekh): king |
| 5 | עַל\־ | 'al- | over | H5921A | HR — Preposition | עַל (al): upon |
| 6 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 7 | יִשְׂרָאֵֽל\׃\ \ס | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |

## 1 Kings 4:2

**Original:** וְאֵ֥לֶּה הַשָּׂרִ֖ים אֲשֶׁר־ ל֑וֹ עֲזַרְיָ֥הוּ בֶן־ צָד֖וֹק הַכֹּהֵֽן׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אֵ֥לֶּה | ve./'E.leh | and/ these | H428 | HC/Tm — Conjunction + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 2 | הַ/שָּׂרִ֖ים | ha./sa.Rim | [were] the/ officials | H8269 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | שַׂר (sar): ruler |
| 3 | אֲשֶׁר\־ | 'a.Sher- | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 4 | ל֑/וֹ | l/o | [belonged] to <the>/ him | H9005 | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 5 | עֲזַרְיָ֥הוּ | 'a.zar.Ya.hu | Azariah | H5838G | HNpm — Proper Noun (Masculine individual) | עֲזַרְיָ֫הוּ (a.zar.yah): Azariah |
| 6 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 7 | צָד֖וֹק | tza.Dok | Zadok | H6659G | HNpm — Proper Noun (Masculine individual) | צָדוֹק (tsa.doq): Zadok |
| 8 | הַ/כֹּהֵֽן\׃\ \ס | ha./ko.Hen | [was] the/ priest | H3548 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | כֹּהֵן (ko.hen): priest |

## 1 Kings 4:3

**Original:** אֱלִיחֹ֧רֶף וַאֲחִיָּ֛ה בְּנֵ֥י שִׁישָׁ֖א סֹפְרִ֑ים יְהוֹשָׁפָ֥ט בֶּן־ אֲחִיל֖וּד הַמַּזְכִּֽיר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֱלִיחֹ֧רֶף | 'e.li.Cho.ref | Elihoreph | H456 | HNpm — Proper Noun (Masculine individual) | אֱלִיחֹ֫רֶף (e.li.cho.reph): Elihoreph |
| 2 | וַ/אֲחִיָּ֛ה | va./'a.chi.Yah | and/ Ahijah | H281G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אֲחִיָּ֫הוּ (a.chiy.yah): Ahijah |
| 3 | בְּנֵ֥י | be.Nei | [the] sons of | H1121A | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 4 | שִׁישָׁ֖א | shi.Sha' | Shisha | H7894 | HNpm — Proper Noun (Masculine individual) | שִׁישָׁא (shi.sah): Shisha |
| 5 | סֹפְרִ֑ים | so.fe.Rim | [were] scribes | H5608B | HNcmpa — Noun (Plural Masculine, Absolute) | סֹפֵר (so.pher): secretary |
| 6 | יְהוֹשָׁפָ֥ט | ye.ho.sha.Fat | Jehoshaphat | H3092G | HNpm — Proper Noun (Masculine individual) | יְהוֹשָׁפָט (ye.ho.sha.phat): Jehoshaphat |
| 7 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 8 | אֲחִיל֖וּד | 'a.chi.Lud | Ahilud | H286 | HNpm — Proper Noun (Masculine individual) | אֲחִילוּד (a.chi.lud): Ahilud |
| 9 | הַ/מַּזְכִּֽיר\׃ | ha./maz.Kir | [was] the/ recorder | H2142 | HTd/Vhrmsa — Definite article (Hebrew) + Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | זָכַר (za.khar): to remember |

## 1 Kings 4:4

**Original:** וּבְנָיָ֥הוּ בֶן־ יְהוֹיָדָ֖ע עַל־ הַצָּבָ֑א וְצָד֥וֹק וְאֶבְיָתָ֖ר כֹּהֲנִֽים׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בְנָיָ֥הוּ | u./ve.na.Ya.hu | and/ Benaiah | H1141G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | בְּנָיָ֫הוּ (be.na.yah): Benaiah |
| 2 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 3 | יְהוֹיָדָ֖ע | ye.ho.ya.Da' | Jehoiada | H3077G | HNpm — Proper Noun (Masculine individual) | יְהוֹיָדָע (ye.ho.ya.da): Jehoiada |
| 4 | עַל\־ | 'al- | [was] over | H5921A | HR — Preposition | עַל (al): upon |
| 5 | הַ/צָּבָ֑א | ha./tza.Va' | the/ army | H6635A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | צָבָא (tsa.va): army |
| 6 | וְ/צָד֥וֹק | ve./tza.Dok | and/ Zadok | H6659G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | צָדוֹק (tsa.doq): Zadok |
| 7 | וְ/אֶבְיָתָ֖ר | ve./'ev.ya.Tar | and/ Abiathar | H54 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אֶבְיָתָר (ev.ya.tar): Abiathar |
| 8 | כֹּהֲנִֽים\׃\ \ס | ko.ha.Nim | [were] priests | H3548 | HNcmpa — Noun (Plural Masculine, Absolute) | כֹּהֵן (ko.hen): priest |

## 1 Kings 4:5

**Original:** וַעֲזַרְיָ֥הוּ בֶן־ נָתָ֖ן עַל־ הַנִּצָּבִ֑ים וְזָב֧וּד בֶּן־ נָתָ֛ן כֹּהֵ֖ן רֵעֶ֥ה הַמֶּֽלֶךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/עֲזַרְיָ֥הוּ | va./'a.zar.Ya.hu | and/ Azariah | H5838H | HC/Npm — Conjunction + Proper Noun (Masculine individual) | עֲזַרְיָ֫הוּ (a.zar.yah): Azariah |
| 2 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 3 | נָתָ֖ן | na.Tan | Nathan | H5416H | HNpm — Proper Noun (Masculine individual) | נָתָן (na.tan): Nathan |
| 4 | עַל\־ | 'al- | [was] over | H5921A | HR — Preposition | עַל (al): upon |
| 5 | הַ/נִּצָּבִ֑ים | ha./ni.tza.Vim | the/ overseers | H5324 | HTd/VNrmpa — Definite article (Hebrew) + Verb : Niphal (Simple, Passive) Participle (Plural Masculine, Absolute) | נָצַב (na.tsav): to stand |
| 6 | וְ/זָב֧וּד | ve./za.Vud | and/ Zabud | H2071 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | זָבוּד (za.vud): Zabud |
| 7 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 8 | נָתָ֛ן | na.Tan | Nathan | H5416H | HNpm — Proper Noun (Masculine individual) | נָתָן (na.tan): Nathan |
| 9 | כֹּהֵ֖ן | ko.Hen | [was] a priest | H3548 | HNcmsa — Noun (Singular Masculine, Absolute) | כֹּהֵן (ko.hen): priest |
| 10 | רֵעֶ֥ה | re.'Eh | [the] friend of | H7463 | HNcmsc — Noun (Singular Masculine, Construct) | רֵעֶה (re.eh): friend |
| 11 | הַ/מֶּֽלֶךְ\׃ | ha./Me.lekh | the/ king | H4428G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מֶ֫לֶךְ (me.lekh): king |

## 1 Kings 4:6

**Original:** וַאֲחִישָׁ֖ר עַל־ הַבָּ֑יִת וַאֲדֹנִירָ֥ם בֶּן־ עַבְדָּ֖א עַל־ הַמַּֽס׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/אֲחִישָׁ֖ר | va./'a.chi.Shar | and/ Ahishar | H301 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אֲחִישָׁר (a.chi.shar): Ahishar |
| 2 | עַל\־ | 'al- | [was] over | H5921A | HR — Preposition | עַל (al): upon |
| 3 | הַ/בָּ֑יִת | ha./Ba.yit | the/ house | H1004B | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | בַּ֫יִת (ba.yit): house: home |
