# STEP Bible — 2 Chronicles 22

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 2 Chronicles 22:1

**Original:** וַיַּמְלִיכוּ֩ יוֹשְׁבֵ֨י יְרוּשָׁלִַ֜ם אֶת־ אֲחַזְיָ֨הוּ בְנ֤וֹ הַקָּטֹן֙ תַּחְתָּ֔יו כִּ֤י כָל־ הָרִאשֹׁנִים֙ הָרַ֣ג הַגְּד֔וּד הַבָּ֥א בָֽעַרְבִ֖ים לַֽמַּחֲנֶ֑ה וַיִּמְלֹ֛ךְ אֲחַזְיָ֥הוּ בֶן־ יְהוֹרָ֖ם מֶ֥לֶךְ יְהוּדָֽה׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יַּמְלִיכוּ֩ | va/i.yam.li.Khu | and/ they made king | H4427A | Hc/Vhw3mp — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | מָלַךְ (ma.lakh): to reign |
| 2 | יוֹשְׁבֵ֨י | yo.she.Vei | [the] inhabitants of | H3427 | HVqrmpc — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) | יָשַׁב (ya.shav): to dwell |
| 3 | יְרוּשָׁלִַ֜ם | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 4 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 5 | אֲחַזְיָ֨הוּ | 'a.chaz.Ya.hu | Ahaziah | H274H | HNpm — Proper Noun (Masculine individual) | אֲחַזְיָ֫הוּ (a.chaz.yah): Ahaziah |
| 6 | בְנ֤/וֹ | ve.N/o | son/ his | H1121A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | בֵּן (ben): son: child |
| 7 | הַ/קָּטֹן֙ | ha./ka.Ton | <the>/ young | H6996H | HTd/Aamsa — Definite article (Hebrew) + Aamsa | קָטֹן (qa.ton): small: young |
| 8 | תַּחְתָּ֔י/ו | tach.Ta/v | in place of/ him | H8478H | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | תַּחַת (ta.chat): underneath: instead |
| 9 | כִּ֤י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 10 | כָל\־ | khol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 11 | הָ/רִאשֹׁנִים֙ | ha./ri.sho.Nim | the/ former [sons] | H7223I | HTd/Aompa — Definite article (Hebrew) + Aompa | רִאשׁוֹן (ri.shon): first: chief |
| 12 | הָרַ֣ג | ha.Rag | it had killed | H2026 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | הָרַג (ha.rag): to kill |
| 13 | הַ/גְּד֔וּד | ha./ge.Dud | the/ marauding band | H1416 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | גְּדוּד (ge.dud): band |
| 14 | הַ/בָּ֥א | ha./Ba' | which/ came | H935G | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | בּוֹא (bo): to come (in): come |
