# STEP Bible — 2 Chronicles 23

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 2 Chronicles 23:1

**Original:** וּבַשָּׁנָ֨ה הַשְּׁבִעִ֜ית הִתְחַזַּ֣ק יְהוֹיָדָ֗ע וַיִּקַּ֣ח אֶת־ שָׂרֵ֣י הַמֵּא֡וֹת לַעֲזַרְיָ֣הוּ בֶן־ יְרֹחָ֡ם וּלְיִשְׁמָעֵ֣אל בֶּן־ יְ֠הוֹחָנָן וְלַֽעֲזַרְיָ֨הוּ בֶן־ עוֹבֵ֜ד וְאֶת־ מַעֲשֵׂיָ֧הוּ בֶן־ עֲדָיָ֛הוּ וְאֶת־ אֱלִישָׁפָ֥ט בֶּן־ זִכְרִ֖י עִמּ֥וֹ בַבְּרִֽית׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בַ/שָּׁנָ֨ה | u./va./sha.Nah | and/ in the/ year | H8141 | HC/Rd/Ncfsa — Conjunction + Preposition (Definite) + Noun (Singular Feminine, Absolute) | שָׁנָה (sha.neh): year |
| 2 | הַ/שְּׁבִעִ֜ית | ha./she.vi.'It | <the>/ seventh | H7637 | HTd/Aofsa — Definite article (Hebrew) + Aofsa | שְׁבִיעִי (she.vi.i): seventh |
| 3 | הִתְחַזַּ֣ק | hit.cha.Zak | he strengthened himself | H2388G | HVtp3ms — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Perfect (Past/present Indicative) Third Singular Masculine | חָזַק (cha.zaq): to strengthen: strengthen |
| 4 | יְהוֹיָדָ֗ע | ye.ho.ya.Da' | Jehoiada | H3077H | HNpm — Proper Noun (Masculine individual) | יְהוֹיָדָע (ye.ho.ya.da): Jehoiada |
| 5 | וַ/יִּקַּ֣ח | va/i.yi.Kach | and/ he took | H3947G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | לָקַח (la.qach): to take: take |
| 6 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 7 | שָׂרֵ֣י | sa.Rei | [the] commanders of | H8269 | HNcmpc — Noun (Plural Masculine, Construct) | שַׂר (sar): ruler |
| 8 | הַ/מֵּא֡וֹת | ha./me.'ot | the/ hundreds | H3967 | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | מֵאָה (me.ah): hundred |
| 9 | לַ/עֲזַרְיָ֣הוּ | la./'a.zar.Ya.hu | to/ Azariah | H5838S | HR/Npm — Preposition + Proper Noun (Masculine individual) | עֲזַרְיָ֫הוּ (a.zar.yah): Azariah |
