# STEP Bible — 2 Chronicles 34

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 2 Chronicles 34:1

**Original:** בֶּן־ שְׁמוֹנֶ֥ה שָׁנִ֖ים יֹאשִׁיָּ֣הוּ בְמָלְכ֑וֹ וּשְׁלֹשִׁ֤ים וְאַחַת֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בֶּן\־ | ben- | [was] a son of | H1121L | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: aged |
| 2 | שְׁמוֹנֶ֥ה | she.mo.Neh | eight | H8083 | HNcbsa — Noun (Singular Either gender, Absolute) | שְׁמֹנֶה (she.mo.neh): eight |
| 3 | שָׁנִ֖ים | sha.Nim | years | H8141 | HNcmpa — Noun (Plural Masculine, Absolute) | שָׁנָה (sha.neh): year |
| 4 | יֹאשִׁיָּ֣הוּ | yo.shi.Ya.hu | Josiah | H2977G | HNpm — Proper Noun (Masculine individual) | יֹאשִׁיָּ֫הוּ (yo.shiy.yah): Josiah |
| 5 | בְ/מָלְכ֑/וֹ | ve./ma.le.Kh/o | when/ became king/ he | H4427A | HR/Vqcc/Sp3ms — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | מָלַךְ (ma.lakh): to reign |
| 6 | וּ/שְׁלֹשִׁ֤ים | u./she.lo.Shim | and/ thirty | H7970 | HC/Ncmpa — Conjunction + Noun (Plural Masculine, Absolute) | שְׁלֹשִׁים (she.lo.shim): thirty |
| 7 | וְ/אַחַת֙ | ve./'a.Chat | and/ one | H259 | HC/Ncfsc — Conjunction + Noun (Singular Feminine, Construct) | אֶחָד (e.chad): one |
| 8 | שָׁנָ֔ה | sha.Nah | year[s] | H8141 | HNcfsa — Noun (Singular Feminine, Absolute) | שָׁנָה (sha.neh): year |
| 9 | מָלַ֖ךְ | ma.Lakh | he reigned | H4427A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | מָלַךְ (ma.lakh): to reign |
| 10 | בִּ/ירוּשָׁלִָֽם\׃ | bi./ru.sha.Lim | in/ Jerusalem | H3389 | HR/Npl — Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |

## 2 Chronicles 34:2

**Original:** וַיַּ֥עַשׂ הַיָּשָׁ֖ר בְּעֵינֵ֣י יְהוָ֑ה וַיֵּ֗לֶךְ בְּדַרְכֵי֙ דָּוִ֣יד אָבִ֔יו וְלֹא־ סָ֖ר יָמִ֥ין וּשְׂמֹֽאול׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יַּ֥עַשׂ | va/i.Ya.'as | and/ he did | H6213A | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | עָשָׂה (a.sah): to make: do |
| 2 | הַ/יָּשָׁ֖ר | hai./ya.Shar | the/ right | H3477G | HTd/Aamsa — Definite article (Hebrew) + Aamsa | יָשָׁר (ya.shar): upright |
| 3 | בְּ/עֵינֵ֣י | be./'ei.Nei | in/ [the] eyes of | H5869I | HR/Ncfdc — Preposition + Noun (Dual Feminine, Construct) | עַ֫יִן (a.yin): eye: appearance |
| 4 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | וַ/יֵּ֗לֶךְ | va/i.Ye.lekh | and/ he walked | H1980I | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | הָלַךְ (ha.lakh): to go: walk |
| 6 | בְּ/דַרְכֵי֙ | be./dar.Khei | in/ [the] ways of | H1870G | HR/Ncbpc — Preposition + Noun (Plural Either gender, Construct) | דֶּ֫רֶךְ (de.rekh): way: conduct |
| 7 | דָּוִ֣יד | da.Vid | David | H1732 | HNpm — Proper Noun (Masculine individual) | דָּוִד (da.vid): David |
| 8 | אָבִ֔י/ו | 'a.Vi/v | ancestor/ his | H1G | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | אָב (av): father |
| 9 | וְ/לֹא\־ | ve./lo'- | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 10 | סָ֖ר | sar | he turned aside | H5493I | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | סוּר (sur): to turn aside: turn aside |
| 11 | יָמִ֥ין | ya.Min | right | H3225G | HNcfsa — Noun (Singular Feminine, Absolute) | יָמִין (ya.min): right |
| 12 | וּ/שְׂמֹֽאול\׃ | u./se.Mol | and/ left | H8040G | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | שְׂמֹאל (se.mo.l): left |

## 2 Chronicles 34:3

**Original:** וּבִשְׁמוֹנֶ֨ה שָׁנִ֜ים לְמָלְכ֗וֹ וְהוּא֙ עוֹדֶ֣נּוּ נַ֔עַר הֵחֵ֕ל לִדְר֕וֹשׁ לֵאלֹהֵ֖י דָּוִ֣יד אָבִ֑יו וּבִשְׁתֵּ֧ים עֶשְׂרֵ֣ה שָׁנָ֗ה הֵחֵל֙ לְטַהֵ֔ר אֶת־ יְהוּדָה֙ וִיר֣וּשָׁלִַ֔ם מִן־ הַבָּמוֹת֙ וְהָ֣אֲשֵׁרִ֔ים וְהַפְּסִלִ֖ים וְהַמַּסֵּכֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בִ/שְׁמוֹנֶ֨ה | u./vi/sh.mo.Neh | and/ in/ eight | H8083 | HC/R/Ncbsa — Conjunction + Preposition + Noun (Singular Either gender, Absolute) | שְׁמֹנֶה (she.mo.neh): eight |
| 2 | שָׁנִ֜ים | sha.Nim | years | H8141 | HNcmpa — Noun (Plural Masculine, Absolute) | שָׁנָה (sha.neh): year |
| 3 | לְ/מָלְכ֗/וֹ | le./ma.le.Kh/o | of/ reigning/ his | H4427A | HR/Vqcc/Sp3ms — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | מָלַךְ (ma.lakh): to reign |
| 4 | וְ/הוּא֙ | ve./Hu' | and/ he | H1931 | HC/Pp3ms — Conjunction + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 5 | עוֹדֶ֣/נּוּ | o.De./nu | still/ he | H5750 | HAcmsc/Sp3ms — Adjective (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | עוֹד (od): still |
| 6 | נַ֔עַר | Na.'ar | [was] a youth | H5288 | HNcmsa — Noun (Singular Masculine, Absolute) | נַ֫עַר (na.ar): youth |
| 7 | הֵחֵ֕ל | he.Chel | he began | H2490C | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | חָלַל (cha.lal): to profane/begin: begin |
| 8 | לִ/דְר֕וֹשׁ | li/d.Ro.osh | to/ seek | H1875 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | דָּרַשׁ (da.rash): to seek |
| 9 | לֵ/אלֹהֵ֖י | le./lo.Hei | <to>/ [the] God of | H430G | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | אֱלֹהִים (e.lo.him): God |
| 10 | דָּוִ֣יד | da.Vid | David | H1732 | HNpm — Proper Noun (Masculine individual) | דָּוִד (da.vid): David |
| 11 | אָבִ֑י/ו | 'a.Vi/v | ancestor/ his | H1G | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | אָב (av): father |
| 12 | וּ/בִ/שְׁתֵּ֧ים | u./vi/sh.Teim | and/ in/ two [plus] | H8147 | HC/R/Ncfda — Conjunction + Preposition + Noun (Dual Feminine, Absolute) | שְׁנַ֫יִם (she.na.yim): two |
| 13 | עֶשְׂרֵ֣ה | 'es.Reh | ten | H6240 | HNcbsa — Noun (Singular Either gender, Absolute) | עָשָׂר (a.sar): ten |
| 14 | שָׁנָ֗ה | sha.Nah | year | H8141 | HNcfsa — Noun (Singular Feminine, Absolute) | שָׁנָה (sha.neh): year |
| 15 | הֵחֵל֙ | he.Chel | he began | H2490C | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | חָלַל (cha.lal): to profane/begin: begin |
| 16 | לְ/טַהֵ֔ר | le./ta.Her | to/ cleanse | H2891 | HR/Vpcc — Preposition + Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | טָהֵר (ta.her): be pure |
| 17 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 18 | יְהוּדָה֙ | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 19 | וִ/יר֣וּשָׁלִַ֔ם | vi./Ru.sha.Lim | and/ Jerusalem | H3389 | HC/Npl — Conjunction + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 20 | מִן\־ | min- | from | H4480A | HR — Preposition | from |
| 21 | הַ/בָּמוֹת֙ | ha./ba.mOt | the/ high places | H1116 | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | בָּמָה (ba.mah): high place |
| 22 | וְ/הָ֣/אֲשֵׁרִ֔ים | ve./Ha./'a.she.Rim | and/ the/ Asherah poles | H842 | HC/Td/Ntmpa — Conjunction + Definite article (Hebrew) + Noun (Title, Plural Masculine, Absolute) | אֲשֵׁרָה (a.she.rah): Asherah |
| 23 | וְ/הַ/פְּסִלִ֖ים | ve./ha./pe.si.Lim | and/ the/ idols | H6456 | HC/Td/Ncmpa — Conjunction + Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | פָּסִיל (pe.sil): idol |
| 24 | וְ/הַ/מַּסֵּכֽוֹת\׃ | ve./ha/m.ma.se.Khot | and/ the/ molten images | H4541A | HC/Td/Ncfpa — Conjunction + Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | מַסֵּכָה (mas.se.khah): liquid |

## 2 Chronicles 34:4

**Original:** וַיְנַתְּצ֣וּ לְפָנָ֗יו אֵ֚ת מִזְבְּח֣וֹת הַבְּעָלִ֔ים וְהַֽחַמָּנִ֛ים אֲשֶׁר־ לְמַ֥עְלָה מֵעֲלֵיהֶ֖ם גִּדֵּ֑עַ וְ֠הָאֲשֵׁרִים וְהַפְּסִלִ֤ים וְהַמַּסֵּכוֹת֙ שִׁבַּ֣ר וְהֵדַ֔ק וַיִּזְרֹק֙ עַל־ פְּנֵ֣י הַקְּבָרִ֔ים הַזֹּבְחִ֖ים לָהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יְנַתְּצ֣וּ | va/y.na.te.Tzu | and/ people pulled down | H5422 | Hc/Vpw3mp — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | נָתַץ (na.tats): to tear |
| 2 | לְ/פָנָ֗י/ו | le./fa.Na/v | <to>/ before/ him | H6440H | HR/Ncmpc/Sp3ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | פָּנֶה (pa.neh): face |
| 3 | אֵ֚ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | מִזְבְּח֣וֹת | miz.be.Chot | [the] altars of | H4196 | HNcfpc — Noun (Plural Feminine, Construct) | מִזְבֵּחַ (miz.be.ach): altar |
| 5 | הַ/בְּעָלִ֔ים | ha./be.'a.Lim | the/ Baals | H1168A | HTd/Ntmpa — Definite article (Hebrew) + Noun (Title, Plural Masculine, Absolute) | בַּעַל (ba.al): Baal |
| 6 | וְ/הַֽ/חַמָּנִ֛ים | ve./ha./cha.ma.Nim | and/ the/ incense altars | H2553 | HC/Td/Ncmpa — Conjunction + Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | חַמָּן (cham.man): pillar |
