# STEP Bible — 2 Chronicles 9

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 2 Chronicles 9:1

**Original:** וּמַֽלְכַּת־ שְׁבָ֗א שָֽׁמְעָה֮ אֶת־ שֵׁ֣מַע שְׁלֹמֹה֒ וַתָּב֣וֹא לְנַסּוֹת֩ אֶת־ שְׁלֹמֹ֨ה בְחִיד֜וֹת בִּירֽוּשָׁלִַ֗ם בְּחַ֣יִל כָּבֵ֣ד מְאֹ֡ד וּ֠גְמַלִּים נֹשְׂאִ֨ים בְּשָׂמִ֧ים וְזָהָ֛ב לָרֹ֖ב וְאֶ֣בֶן יְקָרָ֑ה וַתָּבוֹא֙ אֶל־ שְׁלֹמֹ֔ה וַתְּדַבֵּ֣ר עִמּ֔וֹ אֵ֛ת כָּל־ אֲשֶׁ֥ר הָיָ֖ה עִם־ לְבָבָֽהּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/מַֽלְכַּת\־ | u./mal.kat- | and/ [the] queen of | H4436G | HC/Ntfsc — Conjunction + Noun (Title, Singular Feminine, Construct) | מַלְכָּה (mal.kah): Queen (of Sheba) |
| 2 | שְׁבָ֗א | she.Va' | Sheba | H7614J | HNpl — Proper Noun (Location) | שְׁבָא (she.va): Sheba |
| 3 | שָֽׁמְעָה֮ | sha.me.'Ah | she heard | H8085G | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | שָׁמַע (sha.ma): to hear: hear |
| 4 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 5 | שֵׁ֣מַע | She.ma' | [the] report of | H8088B | HNcmsc — Noun (Singular Masculine, Construct) | שֵׁ֫מַע (she.ma): report |
| 6 | שְׁלֹמֹה֒ | she.lo.Moh | Solomon | H8010 | HNpm — Proper Noun (Masculine individual) | שְׁלֹמֹה (she.lo.moh): Solomon |
| 7 | וַ/תָּב֣וֹא | va./ta.Vo' | and/ she came | H935G | Hc/Vqw3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Feminine | בּוֹא (bo): to come (in): come |
| 8 | לְ/נַסּוֹת֩ | le./na.sOt | to/ put to [the] test | H5254G | HR/Vpcc — Preposition + Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | נָסָה (na.sah): to test |
| 9 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 10 | שְׁלֹמֹ֨ה | she.lo.Moh | Solomon | H8010 | HNpm — Proper Noun (Masculine individual) | שְׁלֹמֹה (she.lo.moh): Solomon |
| 11 | בְ/חִיד֜וֹת | ve./chi.Dot | by/ difficult matters | H2420 | HR/Ncfpa — Preposition + Noun (Plural Feminine, Absolute) | חִידָה (chi.dah): riddle |
| 12 | בִּ/ירֽוּשָׁלִַ֗ם | bi./ru.sha.Lim | in/ Jerusalem | H3389 | HR/Npl — Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
