# STEP Bible — 2 Kings 15

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 2 Kings 15:1

**Original:** בִּשְׁנַ֨ת עֶשְׂרִ֤ים וָשֶׁ֙בַע֙ שָׁנָ֔ה לְיָרָבְעָ֖ם מֶ֣לֶךְ יִשְׂרָאֵ֑ל מָלַ֛ךְ עֲזַרְיָ֥ה בֶן־ אֲמַצְיָ֖ה מֶ֥לֶךְ יְהוּדָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בִּ/שְׁנַ֨ת | bi/sh.Nat | in/ year | H8141 | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | שָׁנָה (sha.neh): year |
| 2 | עֶשְׂרִ֤ים | 'es.Rim | twenty | H6242 | HNcmpa — Noun (Plural Masculine, Absolute) | עֶשְׂרִים (es.rim): twenty |
| 3 | וָ/שֶׁ֙בַע֙ | va./She.va' | and/ seven | H7651 | HC/Ncbsa — Conjunction + Noun (Singular Either gender, Absolute) | שֶׁ֫בַע (she.va): seven |
| 4 | שָׁנָ֔ה | sha.Nah | year | H8141 | HNcfsa — Noun (Singular Feminine, Absolute) | שָׁנָה (sha.neh): year |
| 5 | לְ/יָרָבְעָ֖ם | le./ya.ra.ve.'Am | of/ Jeroboam | H3379H | HR/Npm — Preposition + Proper Noun (Masculine individual) | יָֽרָבְעָם (ya.rov.am): Jeroboam |
| 6 | מֶ֣לֶךְ | Me.lekh | [the] king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 7 | יִשְׂרָאֵ֑ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 8 | מָלַ֛ךְ | ma.Lakh | he became king | H4427A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | מָלַךְ (ma.lakh): to reign |
| 9 | עֲזַרְיָ֥ה | 'a.zar.Yah | Azariah | H5838X | HNpm — Proper Noun (Masculine individual) | עֲזַרְיָה (a.zar.yah): Azariah |
