# STEP Bible — 2 Kings 9

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## 2 Kings 9:1

**Original:** וֶאֱלִישָׁע֙ הַנָּבִ֔יא קָרָ֕א לְאַחַ֖ד מִבְּנֵ֣י הַנְּבִיאִ֑ים וַיֹּ֨אמֶר ל֜וֹ חֲגֹ֣ר מָתְנֶ֗יךָ וְ֠קַח פַּ֣ךְ הַשֶּׁ֤מֶן הַזֶּה֙ בְּיָדֶ֔ךָ וְלֵ֖ךְ רָמֹ֥ת גִּלְעָֽד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וֶ/אֱלִישָׁע֙ | ve./'e.li.Sha' | and/ Elisha | H477 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אֱלִישָׁע (e.li.sah): Elisha |
| 2 | הַ/נָּבִ֔יא | ha./na.Vi' | the/ prophet | H5030 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 3 | קָרָ֕א | ka.Ra' | he summoned | H7121G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | קָרָא (qa.ra): to call: call to |
| 4 | לְ/אַחַ֖ד | le./'a.Chad | <to>/ one | H259 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | אֶחָד (e.chad): one |
| 5 | מִ/בְּנֵ֣י | mi./be.Nei | from/ [the] sons of | H1121A | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 6 | הַ/נְּבִיאִ֑ים | ha./ne.vi.'Im | the/ prophets | H5030 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 7 | וַ/יֹּ֨אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 8 | ל֜/וֹ | l/o | to/ him | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 9 | חֲגֹ֣ר | cha.Gor | gird up | H2296 | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | חָגַר (cha.gar): to gird |
| 10 | מָתְנֶ֗י/ךָ | ma.te.Nei./kha | loins/ your | H4975 | HNcmdc/Sp2ms — Noun (Dual Masculine, Construct) + Suffix (Second Singular Masculine) | מׇתְנַ֫יִם (mo.ten): loin |
| 11 | וְ֠/קַח | Ve./kach | and/ take | H3947G | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | לָקַח (la.qach): to take: take |
| 12 | פַּ֣ךְ | pakh | [the] flask of | H6378 | HNcmsc — Noun (Singular Masculine, Construct) | פַּךְ (pakh): vial |
| 13 | הַ/שֶּׁ֤מֶן | ha./She.men | <the>/ oil | H8081 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | שֶׁ֫מֶן (she.men): oil |
| 14 | הַ/זֶּה֙ | ha./Zeh | <the>/ this | H2088 | HTd/Tm — Definite article (Hebrew) + Demonstrative Particle | זֶה (zeh): this |
| 15 | בְּ/יָדֶ֔/ךָ | be./ya.De./kha | in/ hand/ your | H3027G | HR/Ncbsc/Sp2ms — Preposition + Noun (Singular Either gender, Construct) + Suffix (Second Singular Masculine) | יָד (yad): hand |
| 16 | וְ/לֵ֖ךְ | ve./Lekh | and/ go | H1980G | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | הָלַךְ (ha.lakh): to go: went |
| 17 | רָמֹ֥ת | ra.Mot | Ramoth | H7418G | HNpl — Proper Noun (Location) | רָמוֹת (ra.mot): Ramoth |
| 18 | גִּלְעָֽד\׃ | gil.'Ad | Gilead | H1568M | HNpl — Proper Noun (Location) | גִּלְעָד (gil.ad): (Ramoth)-gilead |

## 2 Kings 9:2

**Original:** וּבָ֖אתָ שָׁ֑מָּה וּרְאֵֽה־ שָׁ֠ם יֵה֨וּא בֶן־ יְהוֹשָׁפָ֜ט בֶּן־ נִמְשִׁ֗י וּבָ֙אתָ֙ וַהֲקֵֽמֹתוֹ֙ מִתּ֣וֹך אֶחָ֔יו וְהֵבֵיאתָ֥ אֹת֖וֹ חֶ֥דֶר בְּחָֽדֶר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בָ֖אתָ | u./Va.ta | and/ you will go | H935G | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | בּוֹא (bo): to come (in): come |
| 2 | שָׁ֑מָּ/ה | Sha.ma/h | there/ towards | H8033G | HD/Sd — Adverb + Directional Suffix | שָׁם (sham): there |
| 3 | וּ/רְאֵֽה\־ | u./re.'e.ho.Sha- | and/ look for | H7200G | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | רָאָה (ra.ah): to see: see |
| 4 | שָׁ֠ם | Sham | there | H8033G | HD — Adverb | שָׁם (sham): there |
| 5 | יֵה֨וּא | ye.Hu' | Jehu | H3058H | HNpm — Proper Noun (Masculine individual) | יֵהוּא (ye.hu): Jehu |
| 6 | בֶן\־ | ven- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 7 | יְהוֹשָׁפָ֜ט | ye.ho.sha.Fat | Jehoshaphat | H3092J | HNpm — Proper Noun (Masculine individual) | יְהוֹשָׁפָט (ye.ho.sha.phat): Jehoshaphat |
| 8 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 9 | נִמְשִׁ֗י | nim.Shi | Nimshi | H5250 | HNpm — Proper Noun (Masculine individual) | נִמְשִׁי (nim.shi): Nimshi |
| 10 | וּ/בָ֙אתָ֙ | u./Va.ta | and/ you will go | H935G | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | בּוֹא (bo): to come (in): come |
| 11 | וַ/הֲקֵֽמֹת/וֹ֙ | va./ha.ke.mo.T/o | and/ you will make rise/ him | H6965B | Hc/Vhq2ms/Sp3ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine + Suffix (Third Singular Masculine) | קוּם (qum): to arise: rise |
| 12 | מִ/תּ֣וֹך | mi./Tokh | from/ among | H8432 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | תָּ֫וֶךְ (ta.vekh): midst |
| 13 | אֶחָ֔י/ו | 'e.Cha/v | brothers/ his | H251I | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | אָח (ach): brother: compatriot |
| 14 | וְ/הֵבֵיאתָ֥ | ve./he.vei.Ta | and/ you will bring | H935G | Hc/Vhq2ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | בּוֹא (bo): to come (in): come |
| 15 | אֹת֖/וֹ | 'o.T/o | <obj.>/ him | H853 | HTo/Sp3ms — Object indicator + Suffix (Third Singular Masculine) | אֵת (et): [Obj.] |
| 16 | חֶ֥דֶר | Che.der | a room | H2315 | HNcmsa — Noun (Singular Masculine, Absolute) | חֶ֫דֶר (che.der): chamber |
| 17 | בְּ/חָֽדֶר\׃ | be./Cha.der | in/ a room | H2315 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | חֶ֫דֶר (che.der): chamber |

## 2 Kings 9:3

