# STEP Bible — Amos 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Amos 2:1

**Original:** כֹּ֚ה אָמַ֣ר יְהוָ֔ה עַל־ שְׁלֹשָׁה֙ פִּשְׁעֵ֣י מוֹאָ֔ב וְעַל־ אַרְבָּעָ֖ה לֹ֣א אֲשִׁיבֶ֑נּוּ עַל־ שָׂרְפ֛וֹ עַצְמ֥וֹת מֶֽלֶךְ־ אֱד֖וֹם לַשִּֽׂיד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּ֚ה | koh | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | אָמַ֣ר | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 3 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 5 | שְׁלֹשָׁה֙ | she.lo.Shah | three | H7969 | HNcbsa — Noun (Singular Either gender, Absolute) | שָׁלֹשׁ (sha.losh): three |
| 6 | פִּשְׁעֵ֣י | pish.'Ei | <the> transgressions of | H6588 | HNcmpc — Noun (Plural Masculine, Construct) | פֶּ֫שַׁע (pe.sah): transgression |
| 7 | מוֹאָ֔ב | mo.'Av | Moab | H4124G | HNpl — Proper Noun (Location) | מוֹאָב (mo.av): Moab |
| 8 | וְ/עַל\־ | ve./'al- | and/ on | H5921A | HC/R — Conjunction + Preposition | עַל (al): upon |
| 9 | אַרְבָּעָ֖ה | 'ar.ba.'Ah | four | H702 | HNcbsa — Noun (Singular Either gender, Absolute) | אַרְבַּע (ar.ba): four |
| 10 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 11 | אֲשִׁיבֶ֑/נּוּ | 'a.shi.Ve./nu | I will revoke/ it | H7725O | HVhi1cs/Sp3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender + Suffix (Third Singular Masculine) | שׁוּב (shuv): to return: repent |
| 12 | עַל\־ | 'al- | because | H5921A | HR — Preposition | עַל (al): upon |
| 13 | שָׂרְפ֛/וֹ | sa.re.F/o | burned/ he | H8313 | HVqcc/Sp3ms — Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | שָׂרַף (sa.raph): to burn |
| 14 | עַצְמ֥וֹת | atz.Mot | [the] bones of | H6106G | HNcfpc — Noun (Plural Feminine, Construct) | עֶ֫צֶם (e.tsem): bone |
| 15 | מֶֽלֶךְ\־ | Me.lekh- | [the] king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 16 | אֱד֖וֹם | 'e.Dom | Edom | H123G | HNpm — Proper Noun (Masculine individual) | אֱדוֹם (e.dom): Edom |
| 17 | לַ/שִּֽׂיד\׃ | la./Sid | into <the>/ lime | H7875 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | שִׂיד (sid): lime |

## Amos 2:2

**Original:** וְשִׁלַּחְתִּי־ אֵ֣שׁ בְּמוֹאָ֔ב וְאָכְלָ֖ה אַרְמְנ֣וֹת הַקְּרִיּ֑וֹת וּמֵ֤ת בְּשָׁאוֹן֙ מוֹאָ֔ב בִּתְרוּעָ֖ה בְּק֥וֹל שׁוֹפָֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/שִׁלַּחְתִּי\־ | ve./shi.lach.ti- | and/ I will send forth | H7971G | Hc/Vpq1cs — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Perfect (Future/present Indicative) First Singular Either gender | שָׁלַח (sha.lach): to send: depart |
| 2 | אֵ֣שׁ | 'esh | a fire | H784 | HNcbsa — Noun (Singular Either gender, Absolute) | אֵשׁ (esh): fire |
| 3 | בְּ/מוֹאָ֔ב | be./mo.'Av | on/ Moab | H4124G | HR/Npl — Preposition + Proper Noun (Location) | מוֹאָב (mo.av): Moab |
| 4 | וְ/אָכְלָ֖ה | ve./'a.khe.Lah | and/ it will consume | H398 | Hc/Vqq3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Feminine | אָכַל (a.khal): to eat |
| 5 | אַרְמְנ֣וֹת | 'ar.me.Not | [the] fortresses of | H759H | HNcfpc — Noun (Plural Feminine, Construct) | אַרְמוֹן (ar.mon): citadel: fortress |
| 6 | הַ/קְּרִיּ֑וֹת | ha./ke.ri.Yot | <the>/ Kerioth | H7152H | HTd/Npl — Definite article (Hebrew) + Proper Noun (Location) | קְרִיּוֹת (qe.riy.yot): Kerioth |
| 7 | וּ/מֵ֤ת | u./Met | and/ it will die | H4191 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | מוּת (mut): to die |
| 8 | בְּ/שָׁאוֹן֙ | be./sha.'On | in/ uproar | H7588 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | שָׁאוֹן (sha.on): roar |
| 9 | מוֹאָ֔ב | mo.'Av | Moab | H4124G | HNpl — Proper Noun (Location) | מוֹאָב (mo.av): Moab |
| 10 | בִּ/תְרוּעָ֖ה | bi/t.ru.'Ah | with/ a shout of alarm | H8643 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | תְּרוּעָה (te.ru.ah): shout |
| 11 | בְּ/ק֥וֹל | be./Kol | with/ [the] sound of | H6963H | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | קוֹל (qol): voice: sound |
| 12 | שׁוֹפָֽר\׃ | sho.Far | a trumpet | H7782 | HNcmsa — Noun (Singular Masculine, Absolute) | שֹׁפָר (sho.phar): trumpet |

## Amos 2:3

**Original:** וְהִכְרַתִּ֥י שׁוֹפֵ֖ט מִקִּרְבָּ֑הּ וְכָל־ שָׂרֶ֛יהָ אֶהֱר֥וֹג עִמּ֖וֹ אָמַ֥ר יְהוָֽה׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הִכְרַתִּ֥י | ve./hikh.ra.Ti | and/ I will cut off | H3772I | Hc/Vhq1cs — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) First Singular Either gender | כָּרַת (ka.rat): to cut: eliminate |
| 2 | שׁוֹפֵ֖ט | sho.Fet | a judge | H8199 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | שָׁפַט (sha.phat): to judge |
| 3 | מִ/קִּרְבָּ֑/הּ | mi./kir.Ba/h | from/ midst/ its | H7130G | HR/Ncmsc/Sp3fs — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | קֶ֫רֶב (qe.rev): entrails: among |
| 4 | וְ/כָל\־ | ve./khol | and/ all | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 5 | שָׂרֶ֛י/הָ | sa.Rei./ha | officials/ its | H8269 | HNcmpc/Sp3fs — Noun (Plural Masculine, Construct) + Suffix (Third Singular Feminine) | שַׂר (sar): ruler |
| 6 | אֶהֱר֥וֹג | 'e.he.Rog | I will kill | H2026 | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | הָרַג (ha.rag): to kill |
| 7 | עִמּ֖/וֹ | i.M/o | with/ him | H5973A | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | עִם (im): with |
| 8 | אָמַ֥ר | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 9 | יְהוָֽה\׃\ \פ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |

## Amos 2:4

**Original:** כֹּ֚ה אָמַ֣ר יְהוָ֔ה עַל־ שְׁלֹשָׁה֙ פִּשְׁעֵ֣י יְהוּדָ֔ה וְעַל־ אַרְבָּעָ֖ה לֹ֣א אֲשִׁיבֶ֑נּוּ עַֽל־ מָאֳסָ֞ם אֶת־ תּוֹרַ֣ת יְהוָ֗ה וְחֻקָּיו֙ לֹ֣א שָׁמָ֔רוּ וַיַּתְעוּם֙ כִּזְבֵיהֶ֔ם אֲשֶׁר־ הָלְכ֥וּ אֲבוֹתָ֖ם אַחֲרֵיהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּ֚ה | koh | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | אָמַ֣ר | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 3 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 5 | שְׁלֹשָׁה֙ | she.lo.Shah | three | H7969 | HNcbsa — Noun (Singular Either gender, Absolute) | שָׁלֹשׁ (sha.losh): three |
| 6 | פִּשְׁעֵ֣י | pish.'Ei | <the> transgressions of | H6588 | HNcmpc — Noun (Plural Masculine, Construct) | פֶּ֫שַׁע (pe.sah): transgression |
| 7 | יְהוּדָ֔ה | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 8 | וְ/עַל\־ | ve./'al- | and/ on | H5921A | HC/R — Conjunction + Preposition | עַל (al): upon |
| 9 | אַרְבָּעָ֖ה | 'ar.ba.'Ah | four | H702 | HNcbsa — Noun (Singular Either gender, Absolute) | אַרְבַּע (ar.ba): four |
| 10 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 11 | אֲשִׁיבֶ֑/נּוּ | 'a.shi.Ve./nu | I will revoke/ it | H7725O | HVhi1cs/Sp3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender + Suffix (Third Singular Masculine) | שׁוּב (shuv): to return: repent |
| 12 | עַֽל\־ | 'al- | because | H5921A | HR — Preposition | עַל (al): upon |
| 13 | מָאֳסָ֞/ם | mo.'o.Sa/m | have rejected/ they | H3988A | HVqcc/Sp3mp — Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Plural Masculine) | מָאַס (ma.as): to reject |
| 14 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 15 | תּוֹרַ֣ת | to.Rat | [the] law of | H8451 | HNcfsc — Noun (Singular Feminine, Construct) | תּוֹרָה (to.rah): instruction |
| 16 | יְהוָ֗ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 17 | וְ/חֻקָּי/ו֙ | ve./chu.Ka/v | and/ statutes/ his | H2706G | HC/Ncmpc/Sp3ms — Conjunction + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | חֹק (choq): statute: decree |
| 18 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 19 | שָׁמָ֔רוּ | sha.Ma.ru | they have kept | H8104G | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | שָׁמַר (sha.mar): to keep: obey |
| 20 | וַ/יַּתְעוּ/ם֙ | va/i.yat.'U/m | and/ they have misled/ them | H8582 | Hc/Vhw3mp/Sp3mp — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine + Suffix (Third Plural Masculine) | תָּעָה (ta.ah): to go astray |
