# STEP Bible — Amos 8

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Amos 8:1

**Original:** כֹּ֥ה הִרְאַ֖נִי אֲדֹנָ֣י יְהוִ֑ה וְהִנֵּ֖ה כְּל֥וּב קָֽיִץ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּ֥ה | koh | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | הִרְאַ֖/נִי | hir.'A./ni | he showed/ me | H7200G | HVhp3ms/Sp1bs — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine + Suffix (First Singular Either gender) | רָאָה (ra.ah): to see: see |
| 3 | אֲדֹנָ֣י | 'a.do.Nai | [the] Lord | H136 | HNpt — Proper Noun (Title) | אֲדֹנָי (a.do.nai): Lord |
| 4 | יְהוִ֑ה | Yah.weh | Yahweh | H3069 | HNpt — Proper Noun (Title) | יְהֹוִה (ye.ho.vih): YHWH/God |
| 5 | וְ/הִנֵּ֖ה | ve./hi.Neh | and/ there! | H2009 | HC/Tj — Conjunction + Interjection | הִנֵּה (hin.neh): behold |
| 6 | כְּל֥וּב | ke.Luv | a basket of | H3619 | HNcmsc — Noun (Singular Masculine, Construct) | כְּלוּב (ke.luv): basket |
| 7 | קָֽיִץ\׃ | Ka.yitz | summer fruit | H7019 | HNcmsa — Noun (Singular Masculine, Absolute) | קַ֫יִץ (qa.yits): summer |

## Amos 8:2

**Original:** וַיֹּ֗אמֶר מָֽה־ אַתָּ֤ה רֹאֶה֙ עָמ֔וֹס וָאֹמַ֖ר כְּל֣וּב קָ֑יִץ וַיֹּ֨אמֶר יְהוָ֜ה אֵלַ֗י בָּ֤א הַקֵּץ֙ אֶל־ עַמִּ֣י יִשְׂרָאֵ֔ל לֹא־ אוֹסִ֥יף ע֖וֹד עֲב֥וֹר לֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֗אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | מָֽה\־ | mah- | what? | H4100 | HPi — Interrogative Pronoun | מָה (mah): what? |
| 3 | אַתָּ֤ה | 'a.Tah | [are] you | H859A | HPp2ms — Pronoun (Second Singular Masculine) | אַתָּ֫ה (at.tah): you(m.s.) |
| 4 | רֹאֶה֙ | ro.'Eh | seeing | H7200G | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָאָה (ra.ah): to see: see |
| 5 | עָמ֔וֹס | a.Mos | O Amos | H5986 | HNpm — Proper Noun (Masculine individual) | עָמוֹס (a.mos): Amos |
| 6 | וָ/אֹמַ֖ר | va./'o.Mar | and/ I said | H559 | Hc/Vqw1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) First Singular Either gender | אָמַר (a.mar): to say |
| 7 | כְּל֣וּב | ke.Luv | a basket of | H3619 | HNcmsc — Noun (Singular Masculine, Construct) | כְּלוּב (ke.luv): basket |
| 8 | קָ֑יִץ | Ka.yitz | summer fruit | H7019 | HNcmsa — Noun (Singular Masculine, Absolute) | קַ֫יִץ (qa.yits): summer |
| 9 | וַ/יֹּ֨אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 10 | יְהוָ֜ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 11 | אֵלַ֗/י | 'e.La/i | to/ me | H413 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | אֶל (el): to(wards) |
| 12 | בָּ֤א | ba' | it has come | H935G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 13 | הַ/קֵּץ֙ | ha./Ketz | the/ end | H7093 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | קֵץ (qets): end |
| 14 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 15 | עַמִּ֣/י | 'a.M/i | people/ my | H5971A | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | עַם (am): people |
| 16 | יִשְׂרָאֵ֔ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 17 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 18 | אוֹסִ֥יף | 'o.Sif | I will repeat | H3254G | HVhi1cs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | יָסַף (ya.saph): to add: again |
| 19 | ע֖וֹד | od | again | H5750 | HAcmsa — Adjective (Singular Masculine, Absolute) | עוֹד (od): still |
| 20 | עֲב֥וֹר | a.Vor | to pass by | H5674A | HVqcc — Verb : Qal (Simple, Active) Infinitive Construct | עָבַר (a.var): to pass |
| 21 | לֽ/וֹ\׃ | l/o | <to>/ it | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |

## Amos 8:3

**Original:** וְהֵילִ֜ילוּ שִׁיר֤וֹת הֵיכָל֙ בַּיּ֣וֹם הַה֔וּא נְאֻ֖ם אֲדֹנָ֣י יְהוִ֑ה רַ֣ב הַפֶּ֔גֶר בְּכָל־ מָק֖וֹם הִשְׁלִ֥יךְ הָֽס׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הֵילִ֜ילוּ | ve./hei.Li.lu | and/ they will wail | H3213 | Hc/Vhq3cp — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | יָלַל (ya.lal): to wail |
| 2 | שִׁיר֤וֹת | shi.Rot | songs of | H7892A | HNcfpc — Noun (Plural Feminine, Construct) | שִׁיר (shir): song |
| 3 | הֵיכָל֙ | hei.Khal | [the] temple | H1964G | HNcmsa — Noun (Singular Masculine, Absolute) | הֵיכָל (he.khal): temple |
| 4 | בַּ/יּ֣וֹם | ba/i.Yom | on the/ day | H3117G | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | יוֹם (yom): day |
| 5 | הַ/ה֔וּא | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 6 | נְאֻ֖ם | ne.'Um | [the] utterance of | H5002 | HNcmsc — Noun (Singular Masculine, Construct) | נְאֻם (ne.um): utterance |
| 7 | אֲדֹנָ֣י | 'a.do.Nai | [the] Lord | H136 | HNpt — Proper Noun (Title) | אֲדֹנָי (a.do.nai): Lord |
| 8 | יְהוִ֑ה | Yah.weh | Yahweh | H3069 | HNpt — Proper Noun (Title) | יְהֹוִה (ye.ho.vih): YHWH/God |
| 9 | רַ֣ב | rav | many | H7227A | HAamsa — Adjective (Singular Masculine, Absolute) | רַב (rav): many |
| 10 | הַ/פֶּ֔גֶר | ha./Pe.ger | the/ corpse[s] | H6297 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | פֶּ֫גֶר (pe.ger): corpse |
| 11 | בְּ/כָל\־ | be./khol | in/ every | H3605 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 12 | מָק֖וֹם | ma.Kom | place | H4725 | HNcmsa — Noun (Singular Masculine, Absolute) | מָקוֹם (ma.qom): place |
| 13 | הִשְׁלִ֥יךְ | hish.Likh | someone will throw | H7993 | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | שָׁלַךְ (sha.lakh): to throw |
| 14 | הָֽס\׃\ \פ | Has | hush! | H2013 | HVpv2ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Masculine | הַס (ha.sah): to silence |

## Amos 8:4

**Original:** שִׁמְעוּ־ זֹ֕את הַשֹּׁאֲפִ֖ים אֶבְי֑וֹן וְלַשְׁבִּ֖ית עֲנִיֵּי אָֽרֶץ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁמְעוּ\־ | shim.'u- | hear | H8085G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שָׁמַע (sha.ma): to hear: hear |
| 2 | זֹ֕את | zot | this | H2063 | HTm — Demonstrative Particle | זֹאת (zot): this |
| 3 | הַ/שֹּׁאֲפִ֖ים | ha./sho.'a.Fim | O those/ [who] trample on | H7602B | HTd/Vqrmpa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | שָׁאַף (sha.aph): to crush |
| 4 | אֶבְי֑וֹן | 'ev.Yon | [the] needy | H34 | HAamsa — Adjective (Singular Masculine, Absolute) | אֶבְיוֹן (ev.yon): needy |
| 5 | וְ/לַ/שְׁבִּ֖ית | ve./la/sh.Bit | and/ to/ put an end to | H7673A | HC/R/Vhcc — Conjunction + Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | שָׁבַת (sha.vat): to cease |
| 6 | עֲנִיֵּי | an.vei- | [the] afflicted [people] of | H6041 | HAampc — Adjective (Plural Masculine, Construct) | עָנִי (a.ni): afflicted |
| 7 | אָֽרֶץ\׃ | 'A.retz | [the] land | H776G | HNcfsa — Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |

## Amos 8:5

**Original:** לֵאמֹ֗ר מָתַ֞י יַעֲבֹ֤ר הַחֹ֙דֶשׁ֙ וְנַשְׁבִּ֣ירָה שֶּׁ֔בֶר וְהַשַּׁבָּ֖ת וְנִפְתְּחָה־ בָּ֑ר לְהַקְטִ֤ין אֵיפָה֙ וּלְהַגְדִּ֣יל שֶׁ֔קֶל וּלְעַוֵּ֖ת מֹאזְנֵ֥י מִרְמָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֵ/אמֹ֗ר | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |
| 2 | מָתַ֞י | ma.Tai | when? | H4970 | HTi — Interrogative Particle | מָתַי (ma.tay): how |
| 3 | יַעֲבֹ֤ר | ya.'a.Vor | will it pass | H5674A | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָבַר (a.var): to pass |
| 4 | הַ/חֹ֙דֶשׁ֙ | ha./Cho.desh | the/ new moon | H2320H | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | חֹ֫דֶשׁ (cho.desh): month: new moon |
| 5 | וְ/נַשְׁבִּ֣ירָה | ve./nash.Bi.rah | so/ we may sell grain | H7666 | HC/Vhc1cp — Conjunction + Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Cohortative) First Plural Either gender | שָׁבַר (sha.var): to buy grain |
| 6 | שֶּׁ֔בֶר | She.ver | grain | H7668 | HNcmsa — Noun (Singular Masculine, Absolute) | שֶׁ֫בֶר (she.ver): grain |
| 7 | וְ/הַ/שַּׁבָּ֖ת | ve./ha/sh.sha.Bat | and/ the/ sabbath | H7676 | HC/Td/Ncfsa — Conjunction + Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | שַׁבָּת (shab.bat): Sabbath |
| 8 | וְ/נִפְתְּחָה\־ | ve./nif.te.chah- | so/ we may open | H6605A | HC/Vqc1cp — Conjunction + Verb : Qal (Simple, Active) Imperfect (Future/present Cohortative) First Plural Either gender | פָּתַח (pa.tach): to open |
| 9 | בָּ֑ר | Bar | grain | H1250A | HNcmsa — Noun (Singular Masculine, Absolute) | בַּר (bar): grain |
