# STEP Bible — Daniel 10

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Daniel 10:1

**Original:** בִּשְׁנַ֣ת שָׁל֗וֹשׁ לְכ֙וֹרֶשׁ֙ מֶ֣לֶךְ פָּרַ֔ס דָּבָר֙ נִגְלָ֣ה לְדָֽנִיֵּ֔אל אֲשֶׁר־ נִקְרָ֥א שְׁמ֖וֹ בֵּלְטְשַׁאצַּ֑ר וֶאֱמֶ֤ת הַדָּבָר֙ וְצָבָ֣א גָד֔וֹל וּבִין֙ אֶת־ הַדָּבָ֔ר וּבִ֥ינָה ל֖וֹ בַּמַּרְאֶֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בִּ/שְׁנַ֣ת | bi/sh.Nat | in/ year | H8141 | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | שָׁנָה (sha.neh): year |
| 2 | שָׁל֗וֹשׁ | sha.Lo.osh | three | H7969 | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | שָׁלֹשׁ (sha.losh): three |
| 3 | לְ/כ֙וֹרֶשׁ֙ | le./Kho.resh | of/ Cyrus | H3566 | HR/Npm — Preposition + Proper Noun (Masculine individual) | כּ֫וֹרֶשׁ (ko.resh): Cyrus |
| 4 | מֶ֣לֶךְ | Me.lekh | [the] king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 5 | פָּרַ֔ס | pa.Ras | Persia | H6539 | HNpl — Proper Noun (Location) | פָּרַס (pa.ras): Persia |
| 6 | דָּבָר֙ | da.Var | a word | H1697G | HNcmsa — Noun (Singular Masculine, Absolute) | דָּבָר (da.var): word |
| 7 | נִגְלָ֣ה | nig.Lah | it was revealed | H1540H | HVNp3ms — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Masculine | גָּלָה (ga.lah): to reveal: reveal |
| 8 | לְ/דָֽנִיֵּ֔אל | le./da.ni.Yel | to/ Daniel | H1840G | HR/Npm — Preposition + Proper Noun (Masculine individual) | דָּנִיֵּאל, דָּנִאֵל (da.niy.yel): Daniel |
| 9 | אֲשֶׁר\־ | 'a.Sher- | whom | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
