# STEP Bible — Daniel 11

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Daniel 11:1

**Original:** וַאֲנִי֙ בִּשְׁנַ֣ת אַחַ֔ת לְדָרְיָ֖וֶשׁ הַמָּדִ֑י עָמְדִ֛י לְמַחֲזִ֥יק וּלְמָע֖וֹז לֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/אֲנִי֙ | va./'a.Ni | and/ I | H589 | HC/Pp1bs — Conjunction + Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 2 | בִּ/שְׁנַ֣ת | bi/sh.Nat | in/ year | H8141 | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | שָׁנָה (sha.neh): year |
| 3 | אַחַ֔ת | 'a.Chat | one | H259 | HAcfsa — Numerical Adjective (Singular Feminine, Absolute) | אֶחָד (e.chad): one |
| 4 | לְ/דָרְיָ֖וֶשׁ | le./da.re.Ya.vesh | of/ Darius | H1867I | HR/Npm — Preposition + Proper Noun (Masculine individual) | דָּֽרְיָ֫וֶשׁ (dar.ya.vesh): Darius |
| 5 | הַ/מָּדִ֑י | ha./ma.Di | the/ Mede | H4075 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | מָדָאָה (ma.da.ah): Mede |
| 6 | עָמְדִ֛/י | 'a.me.D/i | standing/ my | H5975G | HVqcc/Sp1bs — Verb : Qal (Simple, Active) Infinitive Construct + Suffix (First Singular Either gender) | עָמַד (a.mad): to stand: stand |
| 7 | לְ/מַחֲזִ֥יק | le./ma.cha.Zik | [was] to/ a strengthener | H2388G | HR/Vhrmsa — Preposition + Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | חָזַק (cha.zaq): to strengthen: strengthen |
| 8 | וּ/לְ/מָע֖וֹז | u./le./ma.'oz | and/ to/ a protection | H4581 | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | מָעוֹז (ma.oz): security |
| 9 | לֽ/וֹ\׃ | l/o | for/ him | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |

## Daniel 11:2

**Original:** וְעַתָּ֕ה אֱמֶ֖ת אַגִּ֣יד לָ֑ךְ הִנֵּה־ עוֹד֩ שְׁלֹשָׁ֨ה מְלָכִ֜ים עֹמְדִ֣ים לְפָרַ֗ס וְהָֽרְבִיעִי֙ יַעֲשִׁ֤יר עֹֽשֶׁר־ גָּדוֹל֙ מִכֹּ֔ל וּכְחֶזְקָת֣וֹ בְעָשְׁר֔וֹ יָעִ֣יר הַכֹּ֔ל אֵ֖ת מַלְכ֥וּת יָוָֽן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/עַתָּ֕ה | ve./'a.Tah | and/ now | H6258 | HC/D — Conjunction + Adverb | עַתָּ֫ה (at.tah): now |
| 2 | אֱמֶ֖ת | 'e.Met | truth | H571H | HNcfsa — Noun (Singular Feminine, Absolute) | אֱמֶת (e.met): truth: true |
| 3 | אַגִּ֣יד | 'a.Gid | I will tell | H5046 | HVhi1cs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | נָגַד (na.gad): to tell |
| 4 | לָ֑/ךְ | La/kh | to/ you | H9005 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 5 | הִנֵּה\־ | hi.neh- | there! | H2009 | HTj — Interjection | הִנֵּה (hin.neh): behold |
| 6 | עוֹד֩ | 'Od | yet | H5750 | HAcmsa — Adjective (Singular Masculine, Absolute) | עוֹד (od): still |
| 7 | שְׁלֹשָׁ֨ה | she.lo.Shah | three | H7969 | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | שָׁלֹשׁ (sha.losh): three |
| 8 | מְלָכִ֜ים | me.la.Khim | kings | H4428G | HNcmpa — Noun (Plural Masculine, Absolute) | מֶ֫לֶךְ (me.lekh): king |
| 9 | עֹמְדִ֣ים | 'o.me.Dim | [are] about to arise | H5975I | HVqrmpa — Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | עָמַד (a.mad): to stand: rise |
| 10 | לְ/פָרַ֗ס | le./fa.Ras | for/ Persia | H6539 | HR/Npl — Preposition + Proper Noun (Location) | פָּרַס (pa.ras): Persia |
| 11 | וְ/הָֽ/רְבִיעִי֙ | ve./ha./re.vi.'I | and/ the/ fourth [king] | H7243 | HC/Td/Aomsa — Conjunction + Definite article (Hebrew) + Aomsa | רְבִיעִי (re.vi.i): fourth |
| 12 | יַעֲשִׁ֤יר | ya.'a.Shir | he will gain wealth | H6238 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָשַׁר (a.shar): to enrich |
| 13 | עֹֽשֶׁר\־ | 'o.sher- | wealth | H6239 | HNcmsa — Noun (Singular Masculine, Absolute) | עֹ֫שֶׁר (o.sher): riches |
| 14 | גָּדוֹל֙ | ga.dOl | great | H1419A | HAamsa — Adjective (Singular Masculine, Absolute) | גָּדוֹל (ga.dol): great: large |
| 15 | מִ/כֹּ֔ל | mi./Kol | more than/ everyone | H3605 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 16 | וּ/כְ/חֶזְקָת֣/וֹ | u./khe./chez.ka.T/o | and/ according to/ strength/ his | H2393 | HC/R/Ncfsc/Sp3ms — Conjunction + Preposition + Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | חֶזְקָה (chez.qah): strength |
| 17 | בְ/עָשְׁר֔/וֹ | ve./'a.she.R/o | by/ wealth/ his | H6239 | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | עֹ֫שֶׁר (o.sher): riches |
| 18 | יָעִ֣יר | ya.'Ir | he will stir up | H5782 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עוּר (ur): to rouse |
| 19 | הַ/כֹּ֔ל | ha./Kol | <the>/ everyone | H3605 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 20 | אֵ֖ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 21 | מַלְכ֥וּת | mal.Khut | [the] kingdom of | H4438 | HNcfsc — Noun (Singular Feminine, Construct) | מַלְכוּת (mal.khut): royalty |
| 22 | יָוָֽן\׃ | ya.Van | Greece | H3120H | HNpl — Proper Noun (Location) | יָוָן (ya.van): Greece |

## Daniel 11:3

**Original:** וְעָמַ֖ד מֶ֣לֶךְ גִּבּ֑וֹר וּמָשַׁל֙ מִמְשָׁ֣ל רַ֔ב וְעָשָׂ֖ה כִּרְצוֹנֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/עָמַ֖ד | ve./'a.Mad | and/ he will arise | H5975I | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | עָמַד (a.mad): to stand: rise |
| 2 | מֶ֣לֶךְ | Me.lekh | a king | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 3 | גִּבּ֑וֹר | gi.Bor | mighty | H1368 | HNcmsa — Noun (Singular Masculine, Absolute) | גִּבּוֹר (gib.bor): mighty man |
| 4 | וּ/מָשַׁל֙ | u./ma.Shal | and/ he will have dominion | H4910 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | מָשַׁל (ma.shal): to rule |
