# STEP Bible — Daniel 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Daniel 2:1

**Original:** וּבִשְׁנַ֣ת שְׁתַּ֗יִם לְמַלְכוּת֙ נְבֻֽכַדְנֶצַּ֔ר חָלַ֥ם נְבֻֽכַדְנֶצַּ֖ר חֲלֹמ֑וֹת וַתִּתְפָּ֣עֶם רוּח֔וֹ וּשְׁנָת֖וֹ נִהְיְתָ֥ה עָלָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בִ/שְׁנַ֣ת | u./vi/sh.Nat | and/ in/ year | H8141 | HC/R/Ncfsc — Conjunction + Preposition + Noun (Singular Feminine, Construct) | שָׁנָה (sha.neh): year |
| 2 | שְׁתַּ֗יִם | she.Ta.yim | two | H8147 | HAcfda — Numerical Adjective (Dual Feminine, Absolute) | שְׁנַ֫יִם (she.na.yim): two |
| 3 | לְ/מַלְכוּת֙ | le./mal.Khut | of/ [the] reign of | H4438 | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | מַלְכוּת (mal.khut): royalty |
| 4 | נְבֻֽכַדְנֶצַּ֔ר | ne.vu.khad.ne.Tzar | Nebuchadnezzar | H5019 | HNpm — Proper Noun (Masculine individual) | נְבוּכַדְרֶאצַּר, נְבוּכַדְנֶצַּר (ne.vu.khad.nets.tsar): Nebuchadnezzar |
| 5 | חָלַ֥ם | cha.Lam | he dreamed | H2492B | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | חָלַם (cha.lam): to dream |
| 6 | נְבֻֽכַדְנֶצַּ֖ר | ne.vu.khad.ne.Tzar | Nebuchadnezzar | H5019 | HNpm — Proper Noun (Masculine individual) | נְבוּכַדְרֶאצַּר, נְבוּכַדְנֶצַּר (ne.vu.khad.nets.tsar): Nebuchadnezzar |
| 7 | חֲלֹמ֑וֹת | cha.lo.Mot | dreams | H2472 | HNcfpa — Noun (Plural Feminine, Absolute) | חֲלוֹם (cha.lom): dream |
| 8 | וַ/תִּתְפָּ֣עֶם | va./tit.Pa.'em | and/ it was troubled | H6470 | Hc/Vtw3fs — Consecutive Conjunction + Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Consecutive Imperfect (Past/present Indicative) Third Singular Feminine | פָּעַם (pa.am): to trouble |
| 9 | רוּח֔/וֹ | ru.Ch/o | spirit/ his | H7307G | HNcfsc/Sp3ms — Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | רוּחַ (ru.ach): spirit |
| 10 | וּ/שְׁנָת֖/וֹ | u./she.na.T/o | and/ sleep/ his | H8142 | HC/Ncfsc/Sp3ms — Conjunction + Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | שֵׁנָה (she.nah): sleep |
| 11 | נִהְיְתָ֥ה | nih.ye.Tah | it happened | H1961 | HVNp3fs — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Feminine | הָיָה (ha.yah): to be |
