# STEP Bible — Daniel 6

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Daniel 6:1

**Original:** שְׁפַר֙ קֳדָ֣ם דָּרְיָ֔וֶשׁ וַהֲקִים֙ עַל־ מַלְכוּתָ֔א לַאֲחַשְׁדַּרְפְּנַיָּ֖א מְאָ֣ה וְעֶשְׂרִ֑ין דִּ֥י לֶהֱוֹ֖ן בְּכָל־ מַלְכוּתָֽא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שְׁפַר֙ | she.Far | it seemed good | H8232 | AVqp3ms — Verb : Peal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | שְׁפַר (she.phar): to acceptable |
| 2 | קֳדָ֣ם | ko.Dam | before | H6925 | ANcbsa — Noun (Singular Either gender, Absolute) | קֳדָם (qo.dam): before |
| 3 | דָּרְיָ֔וֶשׁ | da.re.Ya.vesh | Darius | H1868H | ANpm — Proper Noun (Masculine individual) | דָּֽרְיָ֫וֶשׁ (dar.ya.vesh): Darius |
| 4 | וַ/הֲקִים֙ | va./ha.Kim | and/ he appointed | H6966I | AC/Vhp3ms — Conjunction + Verb : Haphel (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | קוּם (qum): to stand: establish |
| 5 | עַל\־ | 'al- | over | H5922 | AR — Preposition | עַל (al): since |
| 6 | מַלְכוּתָ֔/א | mal.khu.Ta/' | kingdom/ the | H4437 | ANcfsd/Ta — Noun (Singular Feminine, Definite) + Definite article (Aramaic) | מַלְכוּ (mal.khu): kingdom |
| 7 | לַ/אֲחַשְׁדַּרְפְּנַיָּ֖/א | la./'a.chash.dar.pe.nai.Ya/' | <obj.>/ satraps/ the | H324 | AR/Ncmpd/Ta — Preposition + Noun (Plural Masculine, Definite) + Definite article (Aramaic) | אֲחַשְׁדַּרְפְּנִין (a.chash.dar.pan): satrap |
| 8 | מְאָ֣ה | me.'Ah | one hundred | H3969 | AAcbsa — Numerical Adjective (Singular Either gender, Absolute) | מְאָה (me.ah): hundred |
| 9 | וְ/עֶשְׂרִ֑ין | ve./'es.Rin | and/ twenty | H6243 | AC/Acbsa — Conjunction + Acbsa | עֶשְׂרִין (es.rin): twenty |
| 10 | דִּ֥י | di | who | H1768 | AC — Conjunction | דִּי (di): that |
| 11 | לֶהֱוֹ֖ן | le.he.Von | they will be | H1934 | AVqi3mp — Verb : Peal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | הֲוָא (ha.va): to be |
| 12 | בְּ/כָל\־ | be./khol | over/ all | H3606 | AR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | כֹּל (kol): all |
| 13 | מַלְכוּתָֽ/א\׃ | mal.khu.Ta/' | kingdom/ the | H4437 | ANcfsd/Ta — Noun (Singular Feminine, Definite) + Definite article (Aramaic) | מַלְכוּ (mal.khu): kingdom |

## Daniel 6:2

**Original:** וְעֵ֤לָּא מִנְּהוֹן֙ סָרְכִ֣ין תְּלָתָ֔א דִּ֥י דָנִיֵּ֖אל חַֽד־ מִנְּה֑וֹן דִּֽי־ לֶהֱוֹ֞ן אֲחַשְׁדַּרְפְּנַיָּ֣א אִלֵּ֗ין יָהֲבִ֤ין לְהוֹן֙ טַעְמָ֔א וּמַלְכָּ֖א לָֽא־ לֶהֱוֵ֥א נָזִֽק׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/עֵ֤לָּא | ve./'E.la' | and/ above | H5924 | AC/D — Conjunction + Adverb | עֵ֫לָּא (el.la): above |
| 2 | מִנְּ/הוֹן֙ | mi.ne./hOn | more than/ them | H4481 | AR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | מִן־ (min): from |
| 3 | סָרְכִ֣ין | sa.re.Khin | overseers | H5632 | ANcmpa — Noun (Plural Masculine, Absolute) | סָרֵךְ (sa.rekh): chief |
| 4 | תְּלָתָ֔א | te.la.Ta' | three | H8532 | AAcbsa — Numerical Adjective (Singular Either gender, Absolute) | תְּלָת (te.lat): three |
| 5 | דִּ֥י | di | whom | H1768 | AC — Conjunction | דִּי (di): that |
| 6 | דָנִיֵּ֖אל | da.ni.Yel | Daniel | H1841H | ANpm — Proper Noun (Masculine individual) | דָּנִיֵּאל, דָּנִאֵל (da.niy.yel): Daniel |
| 7 | חַֽד\־ | chad- | [was] one | H2298 | AAcbsa — Numerical Adjective (Singular Either gender, Absolute) | חַד (chad): one |
| 8 | מִנְּ/ה֑וֹן | mi.ne./Hon | of/ them | H4481 | AR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | מִן־ (min): from |
| 9 | דִּֽי\־ | di- | whom | H1768 | AC — Conjunction | דִּי (di): that |
| 10 | לֶהֱוֹ֞ן | le.he.Von | they will be | H1934 | AVqi3mp — Verb : Peal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | הֲוָא (ha.va): to be |
