# STEP Bible — Daniel 7

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Daniel 7:1

**Original:** בִּשְׁנַ֣ת חֲדָ֗ה לְבֵלְאשַׁצַּר֙ מֶ֣לֶךְ בָּבֶ֔ל דָּנִיֵּאל֙ חֵ֣לֶם חֲזָ֔ה וְחֶזְוֵ֥י רֵאשֵׁ֖הּ עַֽל־ מִשְׁכְּבֵ֑הּ בֵּאדַ֙יִן֙ חֶלְמָ֣א כְתַ֔ב רֵ֥אשׁ מִלִּ֖ין אֲמַֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בִּ/שְׁנַ֣ת | bi/sh.Nat | in/ year | H8140 | AR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | שְׁנָה (she.nah): year |
| 2 | חֲדָ֗ה | cha.Dah | one | H2298 | AAcbsa — Numerical Adjective (Singular Either gender, Absolute) | חַד (chad): one |
| 3 | לְ/בֵלְאשַׁצַּר֙ | le./ve.le.sha.Tzar | of/ Belshazzar | H1113 | AR/Npm — Preposition + Proper Noun (Masculine individual) | בֵּֽלְאשַׁצַּר, בֵּלְשַׁאצַּר (be.le.shats.tsar): Belshazzar |
| 4 | מֶ֣לֶךְ | Me.lekh | [the] king of | H4430 | ANcbsc — Noun (Singular Either gender, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 5 | בָּבֶ֔ל | ba.Vel | Babylon | H895 | ANpl — Proper Noun (Location) | בָּבֶ֫ל, בָּבֶל (ba.vel): Babylon |
| 6 | דָּנִיֵּאל֙ | da.ni.yeL | Daniel | H1841H | ANpm — Proper Noun (Masculine individual) | דָּנִיֵּאל, דָּנִאֵל (da.niy.yel): Daniel |
| 7 | חֵ֣לֶם | Che.lem | a dream | H2493 | ANcbsa — Noun (Singular Either gender, Absolute) | חֵ֫לֶם (che.lem): dream |
| 8 | חֲזָ֔ה | cha.Zah | he saw | H2370 | AVqp3ms — Verb : Peal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | חֲזָה (cha.zah): to see |
| 9 | וְ/חֶזְוֵ֥י | ve./chez.Vei | and/ [the] visions of | H2376 | AC/Ncmpc — Conjunction + Noun (Plural Masculine, Construct) | חֱזוּ (che.zev): vision |
