# STEP Bible — Deuteronomy 13

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Deuteronomy 13:1

**Original:** כִּֽי־ יָק֤וּם בְּקִרְבְּךָ֙ נָבִ֔יא א֖וֹ חֹלֵ֣ם חֲל֑וֹם וְנָתַ֥ן אֵלֶ֛יךָ א֖וֹת א֥וֹ מוֹפֵֽת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | יָק֤וּם | ya.Kum | he will arise | H6965B | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | קוּם (qum): to arise: rise |
| 3 | בְּ/קִרְבְּ/ךָ֙ | be./kir.be./Cha | in/ midst/ your | H7130G | HR/Ncmsc/Sp2ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | קֶ֫רֶב (qe.rev): entrails: among |
| 4 | נָבִ֔יא | na.Vi' | a prophet | H5030 | HNcmsa — Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 5 | א֖וֹ | 'o | or | H176A | HC — Conjunction | אוֹ (o): or |
| 6 | חֹלֵ֣ם | cho.Lem | a dreamer of | H2492B | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | חָלַם (cha.lam): to dream |
| 7 | חֲל֑וֹם | cha.Lom | a dream | H2472 | HNcmsa — Noun (Singular Masculine, Absolute) | חֲלוֹם (cha.lom): dream |
| 8 | וְ/נָתַ֥ן | ve./na.Tan | and/ he will give | H5414G | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | נָתַן (na.tan): to give: give |
| 9 | אֵלֶ֛י/ךָ | 'e.Lei./kha | to/ you | H413 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | אֶל (el): to(wards) |
| 10 | א֖וֹת | 'ot | a sign | H226G | HNcfsa — Noun (Singular Feminine, Absolute) | אוֹת (ot): sign: miraculous |
| 11 | א֥וֹ | 'o | or | H176A | HC — Conjunction | אוֹ (o): or |
| 12 | מוֹפֵֽת\׃ | mo.Fet | a wonder | H4159 | HNcmsa — Noun (Singular Masculine, Absolute) | מוֹפֵת (mo.phet): wonder |

## Deuteronomy 13:2

**Original:** וּבָ֤א הָאוֹת֙ וְהַמּוֹפֵ֔ת אֲשֶׁר־ דִּבֶּ֥ר אֵלֶ֖יךָ לֵאמֹ֑ר נֵֽלְכָ֞ה אַחֲרֵ֨י אֱלֹהִ֧ים אֲחֵרִ֛ים אֲשֶׁ֥ר לֹֽא־ יְדַעְתָּ֖ם וְנָֽעָבְדֵֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בָ֤א | u./Va' | and/ it will come | H935G | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 2 | הָ/אוֹת֙ | ha./'Ot | the/ sign | H226G | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | אוֹת (ot): sign: miraculous |
| 3 | וְ/הַ/מּוֹפֵ֔ת | ve./ha./mo.Fet | and/ the/ wonder | H4159 | HC/Td/Ncmsa — Conjunction + Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מוֹפֵת (mo.phet): wonder |
| 4 | אֲשֶׁר\־ | 'a.Sher- | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | דִּבֶּ֥ר | di.Ber | he spoke | H1696G | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 6 | אֵלֶ֖י/ךָ | 'e.Lei./kha | to/ you | H413 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | אֶל (el): to(wards) |
| 7 | לֵ/אמֹ֑ר | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |
| 8 | נֵֽלְכָ֞ה | ne.le.Khah | let us walk | H1980N | HVqc1cp — Verb : Qal (Simple, Active) Imperfect (Future/present Cohortative) First Plural Either gender | הָלַךְ (ha.lakh): to go: follow |
| 9 | אַחֲרֵ֨י | 'a.cha.Rei | after | H310A | HAcmpc — Numerical Adjective (Plural Masculine, Construct) | אַחַר (a.char): after |
| 10 | אֱלֹהִ֧ים | 'E.lo.Him | gods | H430J | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 11 | אֲחֵרִ֛ים | 'a.che.Rim | other | H312 | HAampa — Adjective (Plural Masculine, Absolute) | אַחֵר (a.cher): another |
| 12 | אֲשֶׁ֥ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 13 | לֹֽא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 14 | יְדַעְתָּ֖/ם | ye.da'.Ta/m | you have known/ them | H3045 | HVqp2ms/Sp3mp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine + Suffix (Third Plural Masculine) | יָדַע (ya.da): to know |
| 15 | וְ/נָֽעָבְדֵֽ/ם\׃ | ve./Na.'a.ve.De/m | and/ let us be enticed to serve/ them | H5647H | HC/VHu1cp/Sp3mp — Conjunction + Verb : Hophal (Causative/declarative, Passive) Conjunction+Imperfect (Future/present Indicative) First Plural Either gender + Suffix (Third Plural Masculine) | עָבַד (a.vad): to serve: minister |

## Deuteronomy 13:3

**Original:** לֹ֣א תִשְׁמַ֗ע אֶל־ דִּבְרֵי֙ הַנָּבִ֣יא הַה֔וּא א֛וֹ אֶל־ חוֹלֵ֥ם הַחֲל֖וֹם הַה֑וּא כִּ֣י מְנַסֶּ֞ה יְהוָ֤ה אֱלֹֽהֵיכֶם֙ אֶתְכֶ֔ם לָדַ֗עַת הֲיִשְׁכֶ֤ם אֹֽהֲבִים֙ אֶת־ יְהוָ֣ה אֱלֹהֵיכֶ֔ם בְּכָל־ לְבַבְכֶ֖ם וּבְכָל־ נַפְשְׁכֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 2 | תִשְׁמַ֗ע | tish.Ma' | you will listen | H8085G | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | שָׁמַע (sha.ma): to hear: hear |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | דִּבְרֵי֙ | div.Rei | [the] words of | H1697G | HNcmpc — Noun (Plural Masculine, Construct) | דָּבָר (da.var): word |
| 5 | הַ/נָּבִ֣יא | ha./na.Vi' | the/ prophet | H5030 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 6 | הַ/ה֔וּא | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 7 | א֛וֹ | 'o | or | H176A | HC — Conjunction | אוֹ (o): or |
| 8 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 9 | חוֹלֵ֥ם | cho.Lem | [the] dreamer of | H2492B | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | חָלַם (cha.lam): to dream |
| 10 | הַ/חֲל֖וֹם | ha./cha.Lom | the/ dream | H2472 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | חֲלוֹם (cha.lom): dream |
| 11 | הַ/ה֑וּא | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 12 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 13 | מְנַסֶּ֞ה | me.na.Seh | [is] putting to [the] test | H5254G | HVprmsa — Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Masculine, Absolute) | נָסָה (na.sah): to test |
| 14 | יְהוָ֤ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 15 | אֱלֹֽהֵי/כֶם֙ | 'e.lo.hei./Khem | God/ your | H430G | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֱלֹהִים (e.lo.him): God |
| 16 | אֶתְ/כֶ֔ם | 'et./Khem | <obj.>/ you | H853 | HTo/Sp2mp — Object indicator + Suffix (Second Plural Masculine) | אֵת (et): [Obj.] |
| 17 | לָ/דַ֗עַת | la./Da.'at | to/ know | H3045 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | יָדַע (ya.da): to know |
| 18 | הֲ/יִשְׁ/כֶ֤ם | ha./yish./Khem | ¿/ [are] there/ you | H3426 | HTi/Acbsc/Sp2mp — Interrogative Particle + Acbsc + Suffix (Second Plural Masculine) | יֵשׁ (yesh): there |
| 19 | אֹֽהֲבִים֙ | 'o.ha.Vim | loving | H157G | HVqrmpa — Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | אָהֵב (a.hav): to love: lover |
| 20 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 21 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 22 | אֱלֹהֵי/כֶ֔ם | 'e.lo.hei./Khem | God/ your | H430G | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֱלֹהִים (e.lo.him): God |
| 23 | בְּ/כָל\־ | be./khol | with/ all | H3605 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 24 | לְבַבְ/כֶ֖ם | le.vav./Khem | heart/ your | H3824 | HNcmsc/Sp2mp — Noun (Singular Masculine, Construct) + Suffix (Second Plural Masculine) | לֵבָב (le.vav): heart |
| 25 | וּ/בְ/כָל\־ | u./ve./Khol- | and/ with/ all | H3605 | HC/R/Ncmsc — Conjunction + Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 26 | נַפְשְׁ/כֶֽם\׃ | naf.she./Khem | being/ your | H5315G | HNcfsc/Sp2mp — Noun (Singular Feminine, Construct) + Suffix (Second Plural Masculine) | נֶ֫פֶשׁ (ne.phesh): soul |

## Deuteronomy 13:4

**Original:** אַחֲרֵ֨י יְהוָ֧ה אֱלֹהֵיכֶ֛ם תֵּלֵ֖כוּ וְאֹת֣וֹ תִירָ֑אוּ וְאֶת־ מִצְוֹתָ֤יו תִּשְׁמֹ֙רוּ֙ וּבְקֹל֣וֹ תִשְׁמָ֔עוּ וְאֹת֥וֹ תַעֲבֹ֖דוּ וּב֥וֹ תִדְבָּקֽוּן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַחֲרֵ֨י | 'a.cha.Rei | after | H310A | HAcmpc — Numerical Adjective (Plural Masculine, Construct) | אַחַר (a.char): after |
| 2 | יְהוָ֧ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֱלֹהֵי/כֶ֛ם | 'e.lo.hei./Khem | God/ your | H430G | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֱלֹהִים (e.lo.him): God |
| 4 | תֵּלֵ֖כוּ | te.Le.khu | you will walk | H1980I | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | הָלַךְ (ha.lakh): to go: walk |
| 5 | וְ/אֹת֣/וֹ | ve./'o.T/o | and/ <obj.>/ him | H853 | HC/To/Sp3ms — Conjunction + Object indicator + Suffix (Third Singular Masculine) | אֵת (et): [Obj.] |
| 6 | תִירָ֑אוּ | ti.Ra.'u | you will fear | H3372H | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | יָרֵא (ya.re): to fear: revere |
| 7 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 8 | מִצְוֹתָ֤י/ו | mitz.vo.Ta/v | commandments/ his | H4687 | HNcfpc/Sp3ms — Noun (Plural Feminine, Construct) + Suffix (Third Singular Masculine) | מִצְוָה (mits.vah): commandment |
| 9 | תִּשְׁמֹ֙רוּ֙ | tish.Mo.ru | you will keep | H8104G | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | שָׁמַר (sha.mar): to keep: obey |
| 10 | וּ/בְ/קֹל֣/וֹ | u./ve./ko.L/o | and/ to/ voice/ his | H6963A | HC/R/Ncmsc/Sp3ms — Conjunction + Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | קוֹל (qol): voice |
| 11 | תִשְׁמָ֔עוּ | tish.Ma.'u | you will listen | H8085H | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | שָׁמַע (sha.ma): to hear: obey |
| 12 | וְ/אֹת֥/וֹ | ve./'o.T/o | and/ <obj.>/ him | H853 | HC/To/Sp3ms — Conjunction + Object indicator + Suffix (Third Singular Masculine) | אֵת (et): [Obj.] |
| 13 | תַעֲבֹ֖דוּ | ta.'a.Vo.du | you will serve | H5647H | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | עָבַד (a.vad): to serve: minister |
| 14 | וּ/ב֥/וֹ | u./V/o | and/ to/ him | H9002 | HC/R/Sp3ms — Conjunction + Preposition + Suffix (Third Singular Masculine) | /וְ (v): and |
| 15 | תִדְבָּקֽוּ/ן\׃ | tid.ba.Ku/n | you will cleave/ ! | H1692 | HVqi2mp/Sn — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine + Paragogic Nun | דָּבַק (da.vaq): to cleave |

## Deuteronomy 13:5

**Original:** וְהַנָּבִ֣יא הַה֡וּא א֣וֹ חֹלֵם֩ הַחֲל֨וֹם הַה֜וּא יוּמָ֗ת כִּ֣י דִבֶּר־ סָ֠רָה עַל־ יְהוָ֨ה אֱלֹֽהֵיכֶ֜ם הַמּוֹצִ֥יא אֶתְכֶ֣ם׀ מֵאֶ֣רֶץ מִצְרַ֗יִם וְהַפֹּֽדְךָ֙ מִבֵּ֣ית עֲבָדִ֔ים לְהַדִּֽיחֲךָ֙ מִן־ הַדֶּ֔רֶךְ אֲשֶׁ֧ר צִוְּךָ֛ יְהוָ֥ה אֱלֹהֶ֖יךָ לָלֶ֣כֶת בָּ֑הּ וּבִֽעַרְתָּ֥ הָרָ֖ע מִקִּרְבֶּֽךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הַ/נָּבִ֣יא | ve./ha./na.Vi' | and/ the/ prophet | H5030 | HC/Td/Ncmsa — Conjunction + Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 2 | הַ/ה֡וּא | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 3 | א֣וֹ | 'o | or | H176A | HC — Conjunction | אוֹ (o): or |
| 4 | חֹלֵם֩ | cho.Lem | [the] dreamer of | H2492B | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | חָלַם (cha.lam): to dream |
| 5 | הַ/חֲל֨וֹם | ha./cha.Lom | the/ dream | H2472 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | חֲלוֹם (cha.lom): dream |
| 6 | הַ/ה֜וּא | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 7 | יוּמָ֗ת | yu.Mat | he will be put to death | H4191 | HVHi3ms — Verb : Hophal (Causative/declarative, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | מוּת (mut): to die |
| 8 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 9 | דִבֶּר\־ | di.ber- | he has spoken | H1696G | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 10 | סָ֠רָה | Sa.rah | rebellion | H5627 | HNcfsa — Noun (Singular Feminine, Absolute) | סָרָה (sa.rah): revolt |
| 11 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 12 | יְהוָ֨ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
