# STEP Bible — Deuteronomy 15

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Deuteronomy 15:1

**Original:** מִקֵּ֥ץ שֶֽׁבַע־ שָׁנִ֖ים תַּעֲשֶׂ֥ה שְׁמִטָּֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מִ/קֵּ֥ץ | mi./Ketz | from/ [the] end of | H7093 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | קֵץ (qets): end |
| 2 | שֶֽׁבַע\־ | she.va'- | seven | H7651 | HNcbsa — Noun (Singular Either gender, Absolute) | שֶׁ֫בַע (she.va): seven |
| 3 | שָׁנִ֖ים | sha.Nim | years | H8141 | HNcmpa — Noun (Plural Masculine, Absolute) | שָׁנָה (sha.neh): year |
| 4 | תַּעֲשֶׂ֥ה | ta.'a.Seh | you will observe | H6213I | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | עָשָׂה (a.sah): to make: offer |
| 5 | שְׁמִטָּֽה\׃ | she.mi.Tah | a remission | H8059 | HNcfsa — Noun (Singular Feminine, Absolute) | שְׁמִטָּה (she.mit.tah): remission |

## Deuteronomy 15:2

**Original:** וְזֶה֮ דְּבַ֣ר הַשְּׁמִטָּה֒ שָׁמ֗וֹט כָּל־ בַּ֙עַל֙ מַשֵּׁ֣ה יָד֔וֹ אֲשֶׁ֥ר יַשֶּׁ֖ה בְּרֵעֵ֑הוּ לֹֽא־ יִגֹּ֤שׂ אֶת־ רֵעֵ֙הוּ֙ וְאֶת־ אָחִ֔יו כִּֽי־ קָרָ֥א שְׁמִטָּ֖ה לַֽיהוָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/זֶה֮ | ve./Zeh | and/ this | H2088 | HC/Tm — Conjunction + Demonstrative Particle | זֶה (zeh): this |
| 2 | דְּבַ֣ר | de.Var | [is] [the] manner of | H1697O | HNcmsc — Noun (Singular Masculine, Construct) | דָּבָר (da.var): Chronicles |
| 3 | הַ/שְּׁמִטָּה֒ | ha./she.mi.Tah | the/ remission | H8059 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | שְׁמִטָּה (she.mit.tah): remission |
| 4 | שָׁמ֗וֹט | sha.Mot | he will remit | H8058 | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | שָׁמַט (sha.mat): to release |
| 5 | כָּל\־ | kol- | every | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 6 | בַּ֙עַל֙ | ba.'al | owner | H1167K | HNcmsa — Noun (Singular Masculine, Absolute) | בַּעַל (ba.al): master: [master of] |
| 7 | מַשֵּׁ֣ה | ma.Sheh | [the] loan of | H4874 | HNcmsc — Noun (Singular Masculine, Construct) | מַשֶּׁה (mash.sheh): loan |
| 8 | יָד֔/וֹ | ya.D/o | hand/ his | H3027G | HNcbsc/Sp3ms — Noun (Singular Either gender, Construct) + Suffix (Third Singular Masculine) | יָד (yad): hand |
| 9 | אֲשֶׁ֥ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 10 | יַשֶּׁ֖ה | ya.Sheh | he will lend | H5383 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נָשָׁה (na.shah): to lend |
| 11 | בְּ/רֵעֵ֑/הוּ | be./re.'E./hu | to/ neighbor/ his | H7453 | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רֵעַ (re.a): neighbor |
| 12 | לֹֽא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 13 | יִגֹּ֤שׂ | yi.Gos | he will press | H5065 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נָגַשׂ (na.ga.s): to oppress |
| 14 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 15 | רֵעֵ֙/הוּ֙ | re.'E./hu | neighbor/ his | H7453 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רֵעַ (re.a): neighbor |
| 16 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 17 | אָחִ֔י/ו | 'a.Chi/v | countryman/ his | H251I | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | אָח (ach): brother: compatriot |
| 18 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 19 | קָרָ֥א | ka.Ra' | someone has proclaimed | H7121I | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | קָרָא (qa.ra): to call: call out |
| 20 | שְׁמִטָּ֖ה | she.mi.Tah | a remission | H8059 | HNcfsa — Noun (Singular Feminine, Absolute) | שְׁמִטָּה (she.mit.tah): remission |
| 21 | לַֽ/יהוָֽה\׃ | la./Yah.weh | of/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |

## Deuteronomy 15:3

**Original:** אֶת־ הַנָּכְרִ֖י תִּגֹּ֑שׂ וַאֲשֶׁ֨ר יִהְיֶ֥ה לְךָ֛ אֶת־ אָחִ֖יךָ תַּשְׁמֵ֥ט יָדֶֽךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 2 | הַ/נָּכְרִ֖י | ha./na.khe.Ri | the/ foreigner | H5237 | HTd/Aamsa — Definite article (Hebrew) + Aamsa | נׇכְרִי (nokh.ri): foreign |
| 3 | תִּגֹּ֑שׂ | ti.Gos | you will press | H5065 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | נָגַשׂ (na.ga.s): to oppress |
| 4 | וַ/אֲשֶׁ֨ר | va./'a.Sher | and/ [that] which | H834A | HC/Tr — Conjunction + Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | יִהְיֶ֥ה | yih.Yeh | it will belong | H1961 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָיָה (ha.yah): to be |
| 6 | לְ/ךָ֛ | le./Kha | to <the>/ you | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 7 | אֶת\־ | 'et- | with | H854 | HR — Preposition | אֵת (et): with |
