# STEP Bible — Deuteronomy 19

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Deuteronomy 19:1

**Original:** כִּֽי־ יַכְרִ֞ית יְהוָ֤ה אֱלֹהֶ֙יךָ֙ אֶת־ הַגּוֹיִ֔ם אֲשֶׁר֙ יְהוָ֣ה אֱלֹהֶ֔יךָ נֹתֵ֥ן לְךָ֖ אֶת־ אַרְצָ֑ם וִֽירִשְׁתָּ֕ם וְיָשַׁבְתָּ֥ בְעָרֵיהֶ֖ם וּבְבָתֵּיהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | יַכְרִ֞ית | yakh.Rit | he will cut off | H3772I | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | כָּרַת (ka.rat): to cut: eliminate |
| 3 | יְהוָ֤ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | אֱלֹהֶ֙י/ךָ֙ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 5 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | הַ/גּוֹיִ֔ם | ha./go.Yim | the/ nations | H1471A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 7 | אֲשֶׁר֙ | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 8 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 9 | אֱלֹהֶ֔י/ךָ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 10 | נֹתֵ֥ן | no.Ten | [is] about to give | H5414G | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | נָתַן (na.tan): to give: give |
| 11 | לְ/ךָ֖ | le./Kha | to <the>/ you | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 12 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 13 | אַרְצָ֑/ם | 'ar.Tza/m | land/ their | H776G | HNcfsc/Sp3mp — Noun (Singular Feminine, Construct) + Suffix (Third Plural Masculine) | אֶ֫רֶץ (e.rets): land: country/planet |
| 14 | וִֽ/ירִשְׁתָּ֕/ם | vi./rish.Ta/m | and/ you will dispossess/ them | H3423H | Hc/Vqq2ms/Sp3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine + Suffix (Third Plural Masculine) | יָרַשׁ (ya.rash): to possess: take |
| 15 | וְ/יָשַׁבְתָּ֥ | ve./ya.shav.Ta | and/ you will dwell | H3427 | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | יָשַׁב (ya.shav): to dwell |
| 16 | בְ/עָרֵי/הֶ֖ם | ve./'a.rei./Hem | in/ cities/ their | H5892B | HR/Ncmpc/Sp3mp — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | עִיר (ir): city |
| 17 | וּ/בְ/בָתֵּי/הֶֽם\׃ | u./ve./va.tei./Hem | and/ in/ houses/ their | H1004B | HC/R/Ncmpc/Sp3mp — Conjunction + Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | בַּ֫יִת (ba.yit): house: home |

## Deuteronomy 19:2

**Original:** שָׁל֥וֹשׁ עָרִ֖ים תַּבְדִּ֣יל לָ֑ךְ בְּת֣וֹךְ אַרְצְךָ֔ אֲשֶׁר֙ יְהוָ֣ה אֱלֹהֶ֔יךָ נֹתֵ֥ן לְךָ֖ לְרִשְׁתָּֽהּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שָׁל֥וֹשׁ | sha.Lo.osh | three | H7969 | HNcbsa — Noun (Singular Either gender, Absolute) | שָׁלֹשׁ (sha.losh): three |
| 2 | עָרִ֖ים | 'a.Rim | cities | H5892B | HNcmpa — Noun (Plural Masculine, Absolute) | עִיר (ir): city |
| 3 | תַּבְדִּ֣יל | tav.Dil | you will set apart | H914 | HVhi2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | בָּדַל (ba.dal): to separate |
| 4 | לָ֑/ךְ | La/kh | for <the>/ yourself | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 5 | בְּ/ת֣וֹךְ | be./Tokh | in/ [the] midst of | H8432 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | תָּ֫וֶךְ (ta.vekh): midst |
| 6 | אַרְצְ/ךָ֔ | 'ar.tze./Kha | land/ your | H776G | HNcfsc/Sp2ms — Noun (Singular Feminine, Construct) + Suffix (Second Singular Masculine) | אֶ֫רֶץ (e.rets): land: country/planet |
| 7 | אֲשֶׁר֙ | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 8 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 9 | אֱלֹהֶ֔י/ךָ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 10 | נֹתֵ֥ן | no.Ten | [is] about to give | H5414G | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | נָתַן (na.tan): to give: give |
| 11 | לְ/ךָ֖ | le./Kha | to <the>/ you | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 12 | לְ/רִשְׁתָּֽ/הּ\׃ | le./rish.Ta/h | to/ take possession of/ it | H3423H | HR/Vqcc/Sp3fs — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Feminine) | יָרַשׁ (ya.rash): to possess: take |

## Deuteronomy 19:3

**Original:** תָּכִ֣ין לְךָ֮ הַדֶּרֶךְ֒ וְשִׁלַּשְׁתָּ֙ אֶת־ גְּב֣וּל אַרְצְךָ֔ אֲשֶׁ֥ר יַנְחִֽילְךָ֖ יְהוָ֣ה אֱלֹהֶ֑יךָ וְהָיָ֕ה לָנ֥וּס שָׁ֖מָּה כָּל־ רֹצֵֽחַ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תָּכִ֣ין | ta.Khin | you will establish | H3559K | HVhi2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | כּוּן (kun): to establish: right |
| 2 | לְ/ךָ֮ | le./Kha | for <the>/ yourself | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 3 | הַ/דֶּרֶךְ֒ | ha./de.reKh | the/ journey | H1870K | HTd/Ncbsa — Definite article (Hebrew) + Noun (Singular Either gender, Absolute) | דֶּ֫רֶךְ (de.rekh): way: road |
| 4 | וְ/שִׁלַּשְׁתָּ֙ | ve./shi.lash.Ta | and/ you will divide into three | H8027 | Hc/Vpq2ms — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | שָׁלַשׁ (sha.lash): to do three |
| 5 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | גְּב֣וּל | ge.Vul | [the] territory of | H1366H | HNcmsc — Noun (Singular Masculine, Construct) | גְּבוּל (ge.vul): border: area |
| 7 | אַרְצְ/ךָ֔ | 'ar.tze./Kha | land/ your | H776G | HNcfsc/Sp2ms — Noun (Singular Feminine, Construct) + Suffix (Second Singular Masculine) | אֶ֫רֶץ (e.rets): land: country/planet |
| 8 | אֲשֶׁ֥ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 9 | יַנְחִֽילְ/ךָ֖ | yan.chi.le./Kha | he will give as an inheritance/ you | H5157 | HVhi3ms/Sp2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (Second Singular Masculine) | נָחַל (na.chal): to inherit |
| 10 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 11 | אֱלֹהֶ֑י/ךָ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 12 | וְ/הָיָ֕ה | ve./ha.Yah | and/ it will be | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 13 | לָ/נ֥וּס | la./Nus | to/ flee | H5127 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | נוּס (nus): to flee |
| 14 | שָׁ֖מָּ/ה | Sha.ma/h | there/ towards | H8033G | HD/Sd — Adverb + Directional Suffix | שָׁם (sham): there |
| 15 | כָּל\־ | kol- | every | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 16 | רֹצֵֽחַ\׃ | ro.Tze.ach | killer | H7523 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָצַח (ra.tsach): to murder |

## Deuteronomy 19:4

**Original:** וְזֶה֙ דְּבַ֣ר הָרֹצֵ֔חַ אֲשֶׁר־ יָנ֥וּס שָׁ֖מָּה וָחָ֑י אֲשֶׁ֨ר יַכֶּ֤ה אֶת־ רֵעֵ֙הוּ֙ בִּבְלִי־ דַ֔עַת וְה֛וּא לֹא־ שֹׂנֵ֥א ל֖וֹ מִתְּמֹ֥ל שִׁלְשֹֽׁם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/זֶה֙ | ve./Zeh | and/ this | H2088 | HC/Tm — Conjunction + Demonstrative Particle | זֶה (zeh): this |
| 2 | דְּבַ֣ר | de.Var | [will be] [the] case of | H1697L | HNcmsc — Noun (Singular Masculine, Construct) | דָּבָר (da.var): word: case |
| 3 | הָ/רֹצֵ֔חַ | ha./ro.Tze.ach | the/ killer | H7523 | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָצַח (ra.tsach): to murder |
| 4 | אֲשֶׁר\־ | 'a.Sher- | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | יָנ֥וּס | ya.Nus | he will flee | H5127 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נוּס (nus): to flee |
| 6 | שָׁ֖מָּ/ה | Sha.ma/h | there/ towards | H8033G | HD/Sd — Adverb + Directional Suffix | שָׁם (sham): there |
| 7 | וָ/חָ֑י | va./Chai | and/ he will live | H2421 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | חָיָה (cha.yah): to live |
| 8 | אֲשֶׁ֨ר | 'a.Sher | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 9 | יַכֶּ֤ה | ya.Keh | he will strike | H5221 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נָכָה (na.khah): to smite |
| 10 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 11 | רֵעֵ֙/הוּ֙ | re.'E./hu | companion/ his | H7453 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רֵעַ (re.a): neighbor |
| 12 | בִּ/בְלִי\־ | bi/v.li- | with/ not | H1097 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | בְּלִי (be.li): without |
| 13 | דַ֔עַת | Da.'at | knowledge | H1847 | HNcfsa — Noun (Singular Feminine, Absolute) | דַּ֫עַת (da.at): knowledge |
| 14 | וְ/ה֛וּא | ve./Hu' | and/ he | H1931 | HC/Pp3ms — Conjunction + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 15 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 16 | שֹׂנֵ֥א | so.Ne' | [was] hating | H8130 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | שָׂנֵא (sa.ne): to hate |
| 17 | ל֖/וֹ | l/o | <to> <the>/ him | H9005 | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 18 | מִ/תְּמֹ֥ל | mi./te.Mol | from/ yesterday | H8543 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | תְּמוֹל (te.mol): yesterday |
| 19 | שִׁלְשֹֽׁם\׃ | shil.Shom | [the] third day | H8032 | HNcmsa — Noun (Singular Masculine, Absolute) | שִׁלְשֹׁם (shil.shom): three days ago |

## Deuteronomy 19:5

**Original:** וַאֲשֶׁר֩ יָבֹ֨א אֶת־ רֵעֵ֥הוּ בַיַּעַר֮ לַחְטֹ֣ב עֵצִים֒ וְנִדְּחָ֨ה יָד֤וֹ בַגַּרְזֶן֙ לִכְרֹ֣ת הָעֵ֔ץ וְנָשַׁ֤ל הַבַּרְזֶל֙ מִן־ הָעֵ֔ץ וּמָצָ֥א אֶת־ רֵעֵ֖הוּ וָמֵ֑ת ה֗וּא יָנ֛וּס אֶל־ אַחַ֥ת הֶעָרִים־ הָאֵ֖לֶּה וָחָֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/אֲשֶׁר֩ | va./'a.Sher | and/ who | H834A | HC/Tr — Conjunction + Relative Particle | אֲשֶׁר (a.sher): which |
| 2 | יָבֹ֨א | ya.Vo' | he will go | H935G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 3 | אֶת\־ | 'et- | with | H854 | HR — Preposition | אֵת (et): with |
| 4 | רֵעֵ֥/הוּ | re.'E./hu | companion/ his | H7453 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רֵעַ (re.a): neighbor |
| 5 | בַ/יַּעַר֮ | va/i.ya.'Ar | in the/ forest | H3293A | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | יַ֫עַר (ya.ar): wood |
| 6 | לַ/חְטֹ֣ב | la/ch.To | to/ cut | H2404 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | חָטַב (cha.tav): to chop |
| 7 | עֵצִים֒ | 'e.Tzim | wood<s> | H6086G | HNcmpa — Noun (Plural Masculine, Absolute) | עֵץ (ets): tree: wood |
| 8 | וְ/נִדְּחָ֨ה | ve./ni.de.Chah | and/ it will be impelled | H5080 | Hc/VNq3fs — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Perfect (Future/present Indicative) Third Singular Feminine | נָדַח (na.dach): to banish |
| 9 | יָד֤/וֹ | ya.D/o | hand/ his | H3027G | HNcbsc/Sp3ms — Noun (Singular Either gender, Construct) + Suffix (Third Singular Masculine) | יָד (yad): hand |
| 10 | בַ/גַּרְזֶן֙ | va./gar.Zen | by the/ axe | H1631 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | גַּרְזֶן (gar.zen): axe |
| 11 | לִ/כְרֹ֣ת | li/kh.Rot | to/ cut down | H3772G | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | כָּרַת (ka.rat): to cut: cut |
| 12 | הָ/עֵ֔ץ | ha./'Etz | the/ tree | H6086H | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עֵץ (ets): tree |
| 13 | וְ/נָשַׁ֤ל | ve./na.Shal | and/ it will slip off | H5394 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | נָשַׁל (na.shal): to slip |
| 14 | הַ/בַּרְזֶל֙ | ha./bar.Zel | the/ iron | H1270 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | בַּרְזֶל (bar.zel): iron |
| 15 | מִן\־ | min- | from | H4480A | HR — Preposition | from |
