# STEP Bible — Deuteronomy 20

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Deuteronomy 20:1

**Original:** כִּֽי־ תֵצֵ֨א לַמִּלְחָמָ֜ה עַל־ אֹיְבֶ֗יךָ וְֽרָאִ֜יתָ ס֤וּס וָרֶ֙כֶב֙ עַ֚ם רַ֣ב מִמְּךָ֔ לֹ֥א תִירָ֖א מֵהֶ֑ם כִּֽי־ יְהוָ֤ה אֱלֹהֶ֙יךָ֙ עִמָּ֔ךְ הַמַּֽעַלְךָ֖ מֵאֶ֥רֶץ מִצְרָֽיִם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | תֵצֵ֨א | te.Tze' | you will go out | H3318G | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | יָצָא (ya.tsa): to come out: come |
| 3 | לַ/מִּלְחָמָ֜ה | la./mil.cha.Mah | to <the>/ war | H4421 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | מִלְחָמָה (mil.cha.mah): battle |
| 4 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 5 | אֹיְבֶ֗י/ךָ | 'o.ye.Vei./kha | enemies/ your | H341 | HVqrmpc/Sp2ms — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֹיֵב (o.yev): enemy |
| 6 | וְֽ/רָאִ֜יתָ | ve./ra.'I.ta | and/ you will see | H7200G | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | רָאָה (ra.ah): to see: see |
| 7 | ס֤וּס | sus | horse | H5483M | HNcmsa — Noun (Singular Masculine, Absolute) | סוּס (sus): horse |
| 8 | וָ/רֶ֙כֶב֙ | va./Re.khev | and/ chariot | H7393G | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | רֶ֫כֶב (re.khev): chariot |
| 9 | עַ֚ם | 'am | a people | H5971K | HNcmsa — Noun (Singular Masculine, Absolute) | עַם (am): people: soldiers |
| 10 | רַ֣ב | rav | great | H7227A | HAamsa — Adjective (Singular Masculine, Absolute) | רַב (rav): many |
| 11 | מִמְּ/ךָ֔ | mi.me./Kha | more than/ you | H4480A | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | מִן־ (min): from |
| 12 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 13 | תִירָ֖א | ti.Ra' | you must be afraid | H3372G | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | יָרֵא (ya.re): to fear |
| 14 | מֵ/הֶ֑ם | me./Hem | from <the>/ them | H9006 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | /מ (m): from |
| 15 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 16 | יְהוָ֤ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 17 | אֱלֹהֶ֙י/ךָ֙ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 18 | עִמָּ֔/ךְ | 'i.Ma/kh | [is] with/ you | H5973A | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | עִם (im): with |
| 19 | הַ/מַּֽעַלְ/ךָ֖ | ha./ma.'al./Kha | who/ brought up/ you | H5927G | HTd/Vhrmsc/Sp2ms — Definite article (Hebrew) + Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | עָלָה (a.lah): to ascend: rise |
| 20 | מֵ/אֶ֥רֶץ | me./'E.retz | from/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 21 | מִצְרָֽיִם\׃ | mitz.Ra.yim | Egypt | H4714G | HNpl — Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |

## Deuteronomy 20:2

**Original:** וְהָיָ֕ה כְּקָֽרָבְכֶ֖ם אֶל־ הַמִּלְחָמָ֑ה וְנִגַּ֥שׁ הַכֹּהֵ֖ן וְדִבֶּ֥ר אֶל־ הָעָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הָיָ֕ה | ve./ha.Yah | and/ it will be | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 2 | כְּ/קָֽרָבְ/כֶ֖ם | ke./ka.ra.ve./Khem | when/ draw near/ you | H7126G | HR/Vqcc/Sp2mp — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Second Plural Masculine) | קָרַב (qa.rav): to present: come |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | הַ/מִּלְחָמָ֑ה | ha./mil.cha.Mah | the/ battle | H4421 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | מִלְחָמָה (mil.cha.mah): battle |
| 5 | וְ/נִגַּ֥שׁ | ve./ni.Gash | and/ he will come near | H5066G | Hc/VNq3ms — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | נָגַשׁ (na.gash): to approach: approach |
| 6 | הַ/כֹּהֵ֖ן | ha./ko.Hen | the/ priest | H3548 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | כֹּהֵן (ko.hen): priest |
| 7 | וְ/דִבֶּ֥ר | ve./di.Ber | and/ he will speak | H1696G | Hc/Vpq3ms — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 8 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 9 | הָ/עָֽם\׃ | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |

## Deuteronomy 20:3

**Original:** וְאָמַ֤ר אֲלֵהֶם֙ שְׁמַ֣ע יִשְׂרָאֵ֔ל אַתֶּ֨ם קְרֵבִ֥ים הַיּ֛וֹם לַמִּלְחָמָ֖ה עַל־ אֹיְבֵיכֶ֑ם אַל־ יֵרַ֣ךְ לְבַבְכֶ֗ם אַל־ תִּֽירְא֧וּ וְאַֽל־ תַּחְפְּז֛וּ וְאַל־ תַּֽעַרְצ֖וּ מִפְּנֵיהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אָמַ֤ר | ve./'a.Mar | and/ he will say | H559 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | אֲלֵ/הֶם֙ | 'a.le./Hem | to/ them | H413 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | אֶל (el): to(wards) |
| 3 | שְׁמַ֣ע | she.Ma' | hear | H8085G | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | שָׁמַע (sha.ma): to hear: hear |
| 4 | יִשְׂרָאֵ֔ל | Yis.ra.'El | O Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 5 | אַתֶּ֨ם | 'a.Tem | you | H859D | HPp2mp — Pronoun (Second Plural Masculine) | אַתֶּם (at.tem): you(m.p.) |
| 6 | קְרֵבִ֥ים | ke.re.Vim | [are] approaching | H7131 | HAampa — Adjective (Plural Masculine, Absolute) | קָרֵב (qa.rev): approaching |
| 7 | הַ/יּ֛וֹם | hai./Yom | this/ day | H3117G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | יוֹם (yom): day |
| 8 | לַ/מִּלְחָמָ֖ה | la./mil.cha.Mah | to the/ battle | H4421 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | מִלְחָמָה (mil.cha.mah): battle |
| 9 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 10 | אֹיְבֵי/כֶ֑ם | 'o.ye.vei./Khem | enemies/ your | H341 | HVqrmpc/Sp2mp — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֹיֵב (o.yev): enemy |
| 11 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 12 | יֵרַ֣ךְ | ye.Rakh | be timid | H7401 | HVqj3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Third Singular Masculine | רָכַךְ (ra.khakh): be tender |
| 13 | לְבַבְ/כֶ֗ם | le.vav./Khem | heart/ your | H3824 | HNcmsc/Sp2mp — Noun (Singular Masculine, Construct) + Suffix (Second Plural Masculine) | לֵבָב (le.vav): heart |
| 14 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 15 | תִּֽירְא֧וּ | ti.re.'U | you be afraid | H3372G | HVqj2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Plural Masculine | יָרֵא (ya.re): to fear |
| 16 | וְ/אַֽל\־ | ve./'al- | and/ may not | H408 | HC/Tn — Conjunction + Negative Particle | אַל (al): not |
| 17 | תַּחְפְּז֛וּ | tach.pe.Zu | you make haste | H2648 | HVqj2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Plural Masculine | חָפַז (cha.phaz): to hurry |
| 18 | וְ/אַל\־ | ve./'al- | and/ may not | H408 | HC/Tn — Conjunction + Negative Particle | אַל (al): not |
| 19 | תַּֽעַרְצ֖וּ | ta.'ar.Tzu | you be terrified | H6206 | HVqj2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Plural Masculine | עָרַץ (a.rats): to tremble |
| 20 | מִ/פְּנֵי/הֶֽם\׃ | mi./pe.nei./Hem | of/ <before>/ them | H6440L | HR/Ncmpc/Sp3mp — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | פָּנֶה (pa.neh): face of |

## Deuteronomy 20:4

**Original:** כִּ֚י יְהוָ֣ה אֱלֹֽהֵיכֶ֔ם הַהֹלֵ֖ךְ עִמָּכֶ֑ם לְהִלָּחֵ֥ם לָכֶ֛ם עִם־ אֹיְבֵיכֶ֖ם לְהוֹשִׁ֥יעַ אֶתְכֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּ֚י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֱלֹֽהֵי/כֶ֔ם | 'e.lo.hei./Khem | God/ your | H430G | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֱלֹהִים (e.lo.him): God |
| 4 | הַ/הֹלֵ֖ךְ | ha./ho.Lekh | [is] the/ [one who] goes | H1980G | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | הָלַךְ (ha.lakh): to go: went |
| 5 | עִמָּ/כֶ֑ם | 'i.ma./Khem | with/ you | H5973A | HRd/Sp2mp — Preposition (Definite) + Suffix (Second Plural Masculine) | עִם (im): with |
| 6 | לְ/הִלָּחֵ֥ם | le./hi.la.Chem | to/ fight | H3898A | HR/VNcc — Preposition + Verb : Niphal (Simple, Passive) Infinitive Construct | לָחַם (la.cham): to fight |
| 7 | לָ/כֶ֛ם | la./Khem | for <the>/ you | H9005 | HRd/Sp2mp — Preposition (Definite) + Suffix (Second Plural Masculine) | /ל (l): to/for |
| 8 | עִם\־ | 'im- | with | H5973A | HR — Preposition | עִם (im): with |
| 9 | אֹיְבֵי/כֶ֖ם | 'o.ye.vei./Khem | enemies/ your | H341 | HVqrmpc/Sp2mp — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֹיֵב (o.yev): enemy |
| 10 | לְ/הוֹשִׁ֥יעַ | le./ho.Shi.a' | to/ give victory | H3467 | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | יָשַׁע (ya.sah): to save |
| 11 | אֶתְ/כֶֽם\׃ | 'et./Khem | <obj.>/ you | H853 | HTo/Sp2mp — Object indicator + Suffix (Second Plural Masculine) | אֵת (et): [Obj.] |

## Deuteronomy 20:5

**Original:** וְדִבְּר֣וּ הַשֹּֽׁטְרִים֮ אֶל־ הָעָ֣ם לֵאמֹר֒ מִֽי־ הָאִ֞ישׁ אֲשֶׁ֨ר בָּנָ֤ה בַֽיִת־ חָדָשׁ֙ וְלֹ֣א חֲנָכ֔וֹ יֵלֵ֖ךְ וְיָשֹׁ֣ב לְבֵית֑וֹ פֶּן־ יָמוּת֙ בַּמִּלְחָמָ֔ה וְאִ֥ישׁ אַחֵ֖ר יַחְנְכֶֽנּוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/דִבְּר֣וּ | ve./di.be.Ru | and/ they will say | H1696G | Hc/Vpq3cp — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | דָבַר (da.var): to speak: speak |
| 2 | הַ/שֹּֽׁטְרִים֮ | ha./sho.te.Rim | the/ officials | H7860 | HTd/Vqrmpa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | שֹׁטֵר (sho.ter): official |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | הָ/עָ֣ם | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 5 | לֵ/אמֹר֒ | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |
| 6 | מִֽי\־ | mi- | who? | H4310 | HPi — Interrogative Pronoun | מִי (mi): who? |
| 7 | הָ/אִ֞ישׁ | ha./'Ish | [is] the/ man | H376G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 8 | אֲשֶׁ֨ר | 'a.Sher | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 9 | בָּנָ֤ה | ba.Nah | he has built | H1129 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | בָּנָה (ba.nah): to build |
| 10 | בַֽיִת\־ | va.yit- | a house | H1004B | HNcmsa — Noun (Singular Masculine, Absolute) | בַּ֫יִת (ba.yit): house: home |
| 11 | חָדָשׁ֙ | cha.Dash | new | H2319H | HAamsa — Adjective (Singular Masculine, Absolute) | חָדָשׁ (cha.dash): new |
| 12 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 13 | חֲנָכ֔/וֹ | cha.na.Kh/o | he has dedicated/ it | H2596 | HVqp3ms/Sp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine + Suffix (Third Singular Masculine) | חָנַךְ (cha.nakh): to dedicate |
| 14 | יֵלֵ֖ךְ | ye.Lekh | let him go | H1980G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָלַךְ (ha.lakh): to go: went |
| 15 | וְ/יָשֹׁ֣ב | ve./ya.Sho | and/ let him return | H7725G | HC/Vqj3ms — Conjunction + Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Third Singular Masculine | שׁוּב (shuv): to return: return |
| 16 | לְ/בֵית֑/וֹ | le./vei.T/o | to/ house/ his | H1004B | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | בַּ֫יִת (ba.yit): house: home |
| 17 | פֶּן\־ | pen- | lest | H6435 | HTc — Conditional Particle | lest |
| 18 | יָמוּת֙ | ya.Mut | he should die | H4191 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | מוּת (mut): to die |
| 19 | בַּ/מִּלְחָמָ֔ה | ba./mil.cha.Mah | in the/ battle | H4421 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | מִלְחָמָה (mil.cha.mah): battle |
| 20 | וְ/אִ֥ישׁ | ve./'Ish | and/ a man | H376G | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
