# STEP Bible — Deuteronomy 25

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Deuteronomy 25:1

**Original:** כִּֽי־ יִהְיֶ֥ה רִיב֙ בֵּ֣ין אֲנָשִׁ֔ים וְנִגְּשׁ֥וּ אֶל־ הַמִּשְׁפָּ֖ט וּשְׁפָט֑וּם וְהִצְדִּ֙יקוּ֙ אֶת־ הַצַּדִּ֔יק וְהִרְשִׁ֖יעוּ אֶת־ הָרָשָֽׁע׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | יִהְיֶ֥ה | yih.Yeh | it will happen | H1961 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָיָה (ha.yah): to be |
| 3 | רִיב֙ | riv | a dispute | H7379 | HNcmsa — Noun (Singular Masculine, Absolute) | רִיב (riv): strife |
| 4 | בֵּ֣ין | bein | between | H996G | HAcmsc — Adjective (Singular Masculine, Construct) | בַּ֫יִן (ba.yin): between |
| 5 | אֲנָשִׁ֔ים | 'a.na.Shim | people | H582 | HNcmpa — Noun (Plural Masculine, Absolute) | אֱנוֹשׁ (e.nosh): human |
| 6 | וְ/נִגְּשׁ֥וּ | ve./ni.ge.Shu | and/ they will draw near | H5066G | Hc/VNq3cp — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | נָגַשׁ (na.gash): to approach: approach |
| 7 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 8 | הַ/מִּשְׁפָּ֖ט | ha./mish.Pat | the/ place of judgment | H4941G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מִשְׁפָּט (mish.pat): justice: judgement |
| 9 | וּ/שְׁפָט֑וּ/ם | u./she.fa.Tu/m | and/ they will judge/ them | H8199 | Hc/Vqq3cp/Sp3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender + Suffix (Third Plural Masculine) | שָׁפַט (sha.phat): to judge |
| 10 | וְ/הִצְדִּ֙יקוּ֙ | ve./hitz.Di.ku | and/ they will declare righteous | H6663 | Hc/Vhq3cp — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | צָדֵק (tsa.daq): to justify |
| 11 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 12 | הַ/צַּדִּ֔יק | ha./tza.Dik | the/ righteous [one] | H6662 | HTd/Aamsa — Definite article (Hebrew) + Aamsa | צַדִּיק (tsad.diq): righteous |
| 13 | וְ/הִרְשִׁ֖יעוּ | ve./hir.Shi.'u | and/ they will condemn as guilty | H7561 | Hc/Vhq3cp — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | רָשַׁע (ra.sah): be wicked |
| 14 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 15 | הָ/רָשָֽׁע\׃ | ha./ra.Sha' | the/ guilty [one] | H7563 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | רָשָׁע (ra.sah): wicked |

## Deuteronomy 25:2

**Original:** וְהָיָ֛ה אִם־ בִּ֥ן הַכּ֖וֹת הָרָשָׁ֑ע וְהִפִּיל֤וֹ הַשֹּׁפֵט֙ וְהִכָּ֣הוּ לְפָנָ֔יו כְּדֵ֥י רִשְׁעָת֖וֹ בְּמִסְפָּֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הָיָ֛ה | ve./ha.Yah | and/ it will be | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 2 | אִם\־ | 'im- | if | H518A | HTc — Conditional Particle | אִם (im): if |
| 3 | בִּ֥ן | bin | [is] a son of | H1121G | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 4 | הַכּ֖וֹת | ha.Kot | striking | H5221 | HVhcc — Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | נָכָה (na.khah): to smite |
| 5 | הָ/רָשָׁ֑ע | ha./ra.Sha' | the/ guilty [one] | H7563 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | רָשָׁע (ra.sah): wicked |
| 6 | וְ/הִפִּיל֤/וֹ | ve./hi.pi.L/o | and/ he will make lie down/ him | H5307G | Hc/Vhq3ms/Sp3ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine + Suffix (Third Singular Masculine) | נָפַל (na.phal): to fall: fall |
| 7 | הַ/שֹּׁפֵט֙ | ha./sho.Fet | the/ judge | H8199 | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | שָׁפַט (sha.phat): to judge |
| 8 | וְ/הִכָּ֣ה/וּ | ve./hi.Ka.h/u | and/ someone will strike/ him | H5221 | Hc/Vhq3ms/Sp3ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine + Suffix (Third Singular Masculine) | נָכָה (na.khah): to smite |
| 9 | לְ/פָנָ֔י/ו | le./fa.Na/v | <to>/ before/ him | H6440H | HR/Ncmpc/Sp3ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | פָּנֶה (pa.neh): face |
| 10 | כְּ/דֵ֥י | ke./Dei | according to/ [the] sufficiency of | H1767 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | דַּי (day): sufficiency |
| 11 | רִשְׁעָת֖/וֹ | rish.'a.T/o | wickedness/ his | H7564 | HNcfsc/Sp3ms — Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | רִשְׁעָה (rish.ah): wickedness |
| 12 | בְּ/מִסְפָּֽר\׃ | be./mis.Par | by/ number | H4557 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | מִסְפָּר (mis.par): number |

## Deuteronomy 25:3

**Original:** אַרְבָּעִ֥ים יַכֶּ֖נּוּ לֹ֣א יֹסִ֑יף פֶּן־ יֹסִ֨יף לְהַכֹּת֤וֹ עַל־ אֵ֙לֶּה֙ מַכָּ֣ה רַבָּ֔ה וְנִקְלָ֥ה אָחִ֖יךָ לְעֵינֶֽיךָ׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַרְבָּעִ֥ים | 'ar.ba.'Im | forty [times] | H705 | HNcmpa — Noun (Plural Masculine, Absolute) | אַרְבָּעִים (ar.ba.im): forty |
| 2 | יַכֶּ֖/נּוּ | ya.Ke./nu | he will strike/ him | H5221 | HVhi3ms/Sp3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (Third Singular Masculine) | נָכָה (na.khah): to smite |
| 3 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 4 | יֹסִ֑יף | yo.Sif | he will increase | H3254G | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | יָסַף (ya.saph): to add: again |
| 5 | פֶּן\־ | pen- | lest | H6435 | HTc — Conditional Particle | lest |
| 6 | יֹסִ֨יף | yo.Sif | he should increase | H3254G | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | יָסַף (ya.saph): to add: again |
| 7 | לְ/הַכֹּת֤/וֹ | le./ha.ko.T/o | to/ strike/ him | H5221 | HR/Vhcc/Sp3ms — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct + Suffix (Third Singular Masculine) | נָכָה (na.khah): to smite |
| 8 | עַל\־ | 'al- | to | H5921A | HR — Preposition | עַל (al): upon |
| 9 | אֵ֙לֶּה֙ | 'e.leh | these | H428 | HTm — Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 10 | מַכָּ֣ה | ma.Kah | striking | H4347 | HNcfsa — Noun (Singular Feminine, Absolute) | מַכָּה (mak.kah): wound |
| 11 | רַבָּ֔ה | ra.Bah | much | H7227A | HAafsa — Adjective (Singular Feminine, Absolute) | רַב (rav): many |
| 12 | וְ/נִקְלָ֥ה | ve./nik.Lah | and/ he will be dishonored | H7034 | Hc/VNq3ms — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | קָלָה (qa.lah): to dishonor |
| 13 | אָחִ֖י/ךָ | 'a.Chi./kha | countryman/ your | H251I | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | אָח (ach): brother: compatriot |
| 14 | לְ/עֵינֶֽי/ךָ\׃\ \ס | le./'ei.Nei./kha | to/ eyes/ your | H5869H | HR/Ncfdc/Sp2ms — Preposition + Noun (Dual Feminine, Construct) + Suffix (Second Singular Masculine) | עַ֫יִן (a.yin): eye: seeing |

## Deuteronomy 25:4

**Original:** לֹא־ תַחְסֹ֥ם שׁ֖וֹר בְּדִישֽׁוֹ׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 2 | תַחְסֹ֥ם | tach.Som | you will muzzle | H2629 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | חָסַם (cha.sam): to muzzle |
| 3 | שׁ֖וֹר | Shor | an ox | H7794 | HNcmsa — Noun (Singular Masculine, Absolute) | שׁוֹר (shor): cattle |
| 4 | בְּ/דִישֽׁ/וֹ\׃\ \ס | be./di.Sh/o | when/ threshes/ it | H1758 | HR/Vqcc/Sp3ms — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | דּוּשׁ (dush): to tread |

## Deuteronomy 25:5

**Original:** כִּֽי־ יֵשְׁב֨וּ אַחִ֜ים יַחְדָּ֗ו וּמֵ֨ת אַחַ֤ד מֵהֶם֙ וּבֵ֣ן אֵֽין־ ל֔וֹ לֹֽא־ תִהְיֶ֧ה אֵֽשֶׁת־ הַמֵּ֛ת הַח֖וּצָה לְאִ֣ישׁ זָ֑ר יְבָמָהּ֙ יָבֹ֣א עָלֶ֔יהָ וּלְקָחָ֥הּ ל֛וֹ לְאִשָּׁ֖ה וְיִבְּמָֽהּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | יֵשְׁב֨וּ | ye.she.Vu | they will dwell | H3427 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | יָשַׁב (ya.shav): to dwell |
| 3 | אַחִ֜ים | 'a.Chim | brothers | H251G | HNcmpa — Noun (Plural Masculine, Absolute) | אָח (ach): brother: male-sibling |
| 4 | יַחְדָּ֗ו | yach.Dav | together | H3162B | HD — Adverb | יָחְדָּו (yach.dav): together |
| 5 | וּ/מֵ֨ת | u./Met | and/ he will die | H4191 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | מוּת (mut): to die |
| 6 | אַחַ֤ד | 'a.Chad | one | H259 | HNcfsa — Noun (Singular Feminine, Absolute) | אֶחָד (e.chad): one |
| 7 | מֵ/הֶם֙ | me./Hem | from <the>/ them | H9006 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | /מ (m): from |
| 8 | וּ/בֵ֣ן | u./Ven | and/ a son | H1121A | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | בֵּן (ben): son: child |
| 9 | אֵֽין\־ | 'ein- | not | H369 | HNcmsc — Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 10 | ל֔/וֹ | l/o | [belongs] to <the>/ him | H9005 | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 11 | לֹֽא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 12 | תִהְיֶ֧ה | tih.Yeh | she will belong | H1961 | HVqi3fs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | הָיָה (ha.yah): to be |
| 13 | אֵֽשֶׁת\־ | 'e.shet- | [the] wife of | H802H | HNcfsc — Noun (Singular Feminine, Construct) | אִשָּׁה (ish.shah): woman: wife |
| 14 | הַ/מֵּ֛ת | ha./Met | the/ dead [man] | H4191 | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | מוּת (mut): to die |
| 15 | הַ/ח֖וּצָ/ה | ha./Chu.tza/h | the/ outside/ towards | H2351 | HTd/Ncmsa/Sd — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) + Directional Suffix | חוּץ (chuts): outside |
| 16 | לְ/אִ֣ישׁ | le./'Ish | to/ a man | H376G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 17 | זָ֑ר | Zar | strange | H2114A | HAamsa — Adjective (Singular Masculine, Absolute) | זוּר (zur): be a stranger |
| 18 | יְבָמָ/הּ֙ | ye.va.Ma/h | husband's brother/ her | H2993 | HNcmsc/Sp3fs — Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | יָבָם (ya.vam): brother-in-law |
| 19 | יָבֹ֣א | ya.Vo' | he will go | H935G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 20 | עָלֶ֔י/הָ | 'a.Lei./ha | on/ her | H5921A | HRd/Sp3fs — Preposition (Definite) + Suffix (Third Singular Feminine) | עַל (al): upon |
| 21 | וּ/לְקָחָ֥/הּ | u./le.ka.Cha/h | and/ he will take/ her | H3947I | Hc/Vqq3ms/Sp3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine + Suffix (Third Singular Feminine) | לָקַח (la.qach): to take: marry |
| 22 | ל֛/וֹ | l/o | for <the>/ himself | H9005 | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 23 | לְ/אִשָּׁ֖ה | le./'i.Shah | to/ a wife | H802H | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | אִשָּׁה (ish.shah): woman: wife |
| 24 | וְ/יִבְּמָֽ/הּ\׃ | ve./yi.be.Ma/h | and/ he will act as a husband's brother for/ her | H2992 | Hc/Vpq3ms/Sp3fs — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine + Suffix (Third Singular Feminine) | יָבַם (ya.vam): be brother-in-law |

## Deuteronomy 25:6

**Original:** וְהָיָ֗ה הַבְּכוֹר֙ אֲשֶׁ֣ר תֵּלֵ֔ד יָק֕וּם עַל־ שֵׁ֥ם אָחִ֖יו הַמֵּ֑ת וְלֹֽא־ יִמָּחֶ֥ה שְׁמ֖וֹ מִיִּשְׂרָאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הָיָ֗ה | ve./ha.Yah | and/ it will be | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 2 | הַ/בְּכוֹר֙ | ha./be.khOr | the/ firstborn | H1060 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | בְּכוֹר (be.khor): firstborn |
| 3 | אֲשֶׁ֣ר | 'a.Sher | whom | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 4 | תֵּלֵ֔ד | te.Led | she will bear | H3205 | HVqi3fs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | יָלַד (ya.lad): to beget |
| 5 | יָק֕וּם | ya.Kum | he will stand | H6965I | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | קוּם (qum): to arise: establish |
| 6 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 7 | שֵׁ֥ם | shem | [the] name of | H8034 | HNcmsc — Noun (Singular Masculine, Construct) | שֵׁם (shem): name |
| 8 | אָחִ֖י/ו | 'a.Chi/v | brother/ his | H251G | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | אָח (ach): brother: male-sibling |
