# STEP Bible — Deuteronomy 29

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Deuteronomy 29:1

**Original:** אֵלֶּה֩ דִבְרֵ֨י הַבְּרִ֜ית אֲֽשֶׁר־ צִוָּ֧ה יְהוָ֣ה אֶת־ מֹשֶׁ֗ה לִכְרֹ֛ת אֶת־ בְּנֵ֥י יִשְׂרָאֵ֖ל בְּאֶ֣רֶץ מוֹאָ֑ב מִלְּבַ֣ד הַבְּרִ֔ית אֲשֶׁר־ כָּרַ֥ת אִתָּ֖ם בְּחֹרֵֽב׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֵלֶּה֩ | 'e.Leh | these | H428 | HTm — Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 2 | דִבְרֵ֨י | div.Rei | [are] [the] words of | H1697G | HNcmpc — Noun (Plural Masculine, Construct) | דָּבָר (da.var): word |
| 3 | הַ/בְּרִ֜ית | ha./be.Rit | the/ covenant | H1285 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | בְּרִית (be.rit): covenant |
| 4 | אֲֽשֶׁר\־ | 'asher- | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | צִוָּ֧ה | tzi.Vah | he commanded | H6680 | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | צָוָה (tsa.vah): to command |
| 6 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 8 | מֹשֶׁ֗ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 9 | לִ/כְרֹ֛ת | li/kh.Rot | to/ make | H3772H | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | כָּרַת (ka.rat): to cut: make(covenant) |
| 10 | אֶת\־ | 'et- | with | H854 | HR — Preposition | אֵת (et): with |
| 11 | בְּנֵ֥י | be.Nei | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 12 | יִשְׂרָאֵ֖ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 13 | בְּ/אֶ֣רֶץ | be./'E.retz | in/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 14 | מוֹאָ֑ב | mo.'Av | Moab | H4124G | HNpl — Proper Noun (Location) | מוֹאָב (mo.av): Moab |
| 15 | מִ/לְּ/בַ֣ד | mi./le./Vad | <from>/ <to>/ besides | H905J | HR/R/Ncmsc — Preposition + Preposition + Noun (Singular Masculine, Construct) | בַּד (bad): alone: besides |
| 16 | הַ/בְּרִ֔ית | ha./be.Rit | the/ covenant | H1285 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | בְּרִית (be.rit): covenant |
| 17 | אֲשֶׁר\־ | 'a.Sher- | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 18 | כָּרַ֥ת | ka.Rat | he had made | H3772H | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | כָּרַת (ka.rat): to cut: make(covenant) |
| 19 | אִתָּ֖/ם | 'i.Ta/m | with/ them | H854 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | אֵת (et): with |
| 20 | בְּ/חֹרֵֽב\׃\ \פ | be./cho.Rev | at/ Horeb | H2722 | HR/Npl — Preposition + Proper Noun (Location) | חֹרֵב (cho.rev): Horeb |

## Deuteronomy 29:2

**Original:** וַיִּקְרָ֥א מֹשֶׁ֛ה אֶל־ כָּל־ יִשְׂרָאֵ֖ל וַיֹּ֣אמֶר אֲלֵהֶ֑ם אַתֶּ֣ם רְאִיתֶ֗ם אֵ֣ת כָּל־ אֲשֶׁר֩ עָשָׂ֨ה יְהוָ֤ה לְעֵֽינֵיכֶם֙ בְּאֶ֣רֶץ מִצְרַ֔יִם לְפַרְעֹ֥ה וּלְכָל־ עֲבָדָ֖יו וּלְכָל־ אַרְצֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּקְרָ֥א | va/i.yik.Ra' | and/ he summoned | H7121G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | קָרָא (qa.ra): to call: call to |
| 2 | מֹשֶׁ֛ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 3 | אֶל\־ | 'el- | <to> | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 5 | יִשְׂרָאֵ֖ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 6 | וַ/יֹּ֣אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 7 | אֲלֵ/הֶ֑ם | 'a.le./Hem | to/ them | H413 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | אֶל (el): to(wards) |
| 8 | אַתֶּ֣ם | 'a.Tem | you | H859D | HPp2mp — Pronoun (Second Plural Masculine) | אַתֶּם (at.tem): you(m.p.) |
| 9 | רְאִיתֶ֗ם | re.'i.Tem | you have seen | H7200G | HVqp2mp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Plural Masculine | רָאָה (ra.ah): to see: see |
| 10 | אֵ֣ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 11 | כָּל\־ | kol- | all | H3605 | HNcmsa — Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 12 | אֲשֶׁר֩ | 'a.Sher | that | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 13 | עָשָׂ֨ה | 'a.Sah | he did | H6213A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | עָשָׂה (a.sah): to make: do |
| 14 | יְהוָ֤ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 15 | לְ/עֵֽינֵי/כֶם֙ | le./'ei.nei./Khem | to/ eyes/ your | H5869J | HR/Ncfdc/Sp2mp — Preposition + Noun (Dual Feminine, Construct) + Suffix (Second Plural Masculine) | עַ֫יִן (a.yin): eye: before(the eyes) |
| 16 | בְּ/אֶ֣רֶץ | be./'E.retz | in/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 17 | מִצְרַ֔יִם | mitz.Ra.yim | Egypt | H4714G | HNpl — Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |
| 18 | לְ/פַרְעֹ֥ה | le./far.'Oh | to/ Pharaoh | H6547J | HR/Ntmsa — Preposition + Noun (Title, Singular Masculine, Absolute) | פַּרְעֹה (par.oh): Pharaoh |
| 19 | וּ/לְ/כָל\־ | u./le./khol- | and/ to/ all | H3605 | HC/R/Ncmsc — Conjunction + Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 20 | עֲבָדָ֖י/ו | 'a.va.Da/v | servants/ his | H5650 | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | עֶ֫בֶד (e.ved): servant/slave |
| 21 | וּ/לְ/כָל\־ | u./le./khol- | and/ to/ all | H3605 | HC/R/Ncmsc — Conjunction + Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 22 | אַרְצֽ/וֹ\׃ | 'ar.Tz/o | land/ his | H776G | HNcfsc/Sp3ms — Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | אֶ֫רֶץ (e.rets): land: country/planet |

## Deuteronomy 29:3

**Original:** הַמַּסּוֹת֙ הַגְּדֹלֹ֔ת אֲשֶׁ֥ר רָא֖וּ עֵינֶ֑יךָ הָאֹתֹ֧ת וְהַמֹּפְתִ֛ים הַגְּדֹלִ֖ים הָהֵֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ/מַּסּוֹת֙ | ha./ma.sOt | the/ trials | H4531B | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | מַסָּה (mas.sah): trial |
| 2 | הַ/גְּדֹלֹ֔ת | ha./ge.do.Lot | <the>/ great | H1419A | HTd/Aafpa — Definite article (Hebrew) + Aafpa | גָּדוֹל (ga.dol): great: large |
| 3 | אֲשֶׁ֥ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 4 | רָא֖וּ | ra.'U | they saw | H7200G | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | רָאָה (ra.ah): to see: see |
| 5 | עֵינֶ֑י/ךָ | 'ei.Nei./kha | eyes/ your | H5869A | HNcfdc/Sp2ms — Noun (Dual Feminine, Construct) + Suffix (Second Singular Masculine) | עַ֫יִן (a.yin): eye |
| 6 | הָ/אֹתֹ֧ת | ha./'o.Tot | the/ signs | H226G | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | אוֹת (ot): sign: miraculous |
| 7 | וְ/הַ/מֹּפְתִ֛ים | ve./ha./mo.fe.Tim | and/ the/ wonders | H4159 | HC/Td/Ncmpa — Conjunction + Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | מוֹפֵת (mo.phet): wonder |
| 8 | הַ/גְּדֹלִ֖ים | ha./ge.do.Lim | <the>/ great | H1419A | HTd/Aampa — Definite article (Hebrew) + Aampa | גָּדוֹל (ga.dol): great: large |
| 9 | הָ/הֵֽם\׃ | ha./Hem | <the>/ those | H1992 | HTd/Pp3mp — Definite article (Hebrew) + Pronoun (Third Plural Masculine) | הֵ֫מָּה (hem.mah): they(masc.) |

## Deuteronomy 29:4

**Original:** וְלֹֽא־ נָתַן֩ יְהוָ֨ה לָכֶ֥ם לֵב֙ לָדַ֔עַת וְעֵינַ֥יִם לִרְא֖וֹת וְאָזְנַ֣יִם לִשְׁמֹ֑עַ עַ֖ד הַיּ֥וֹם הַזֶּֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/לֹֽא\־ | ve./lo'- | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 2 | נָתַן֩ | na.Tan | he has given | H5414G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | נָתַן (na.tan): to give: give |
| 3 | יְהוָ֨ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | לָ/כֶ֥ם | la./Khem | to <the>/ you | H9005 | HRd/Sp2mp — Preposition (Definite) + Suffix (Second Plural Masculine) | /ל (l): to/for |
