# STEP Bible — Ecclesiastes 10

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Ecclesiastes 10:1

**Original:** זְב֣וּבֵי מָ֔וֶת יַבְאִ֥ישׁ יַבִּ֖יעַ שֶׁ֣מֶן רוֹקֵ֑חַ יָקָ֛ר מֵחָכְמָ֥ה מִכָּב֖וֹד סִכְל֥וּת מְעָֽט׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | זְב֣וּבֵי | ze.Vu.vei | flies of | H2070 | HNcmpc — Noun (Plural Masculine, Construct) | זְבוּב (ze.vuv): fly |
| 2 | מָ֔וֶת | Ma.vet | death | H4194 | HNcmsa — Noun (Singular Masculine, Absolute) | מָ֫וֶת (ma.vet): death |
| 3 | יַבְאִ֥ישׁ | yav.'Ish | it causes to stink | H887 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בָּאַשׁ (ba.ash): to stink |
| 4 | יַבִּ֖יעַ | ya.Bi.a' | it ferments | H5042 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נָבַע (na.va): to bubble |
| 5 | שֶׁ֣מֶן | She.men | [the] oil of | H8081 | HNcmsc — Noun (Singular Masculine, Construct) | שֶׁ֫מֶן (she.men): oil |
| 6 | רוֹקֵ֑חַ | ro.Ke.ach | a perfumer | H7543 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | רָקַח (ra.qach): to mix |
| 7 | יָקָ֛ר | ya.Kar | [is] weighty | H3368 | HAamsa — Adjective (Singular Masculine, Absolute) | יָקָר (ya.qar): precious |
| 8 | מֵ/חָכְמָ֥ה | me./cha.khe.Mah | more than/ wisdom | H2451 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | חׇכְמָה (chokh.mah): wisdom |
| 9 | מִ/כָּב֖וֹד | mi./ka.Vod | more than/ honor | H3519 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | כָּבוֹד (ka.vod): glory |
| 10 | סִכְל֥וּת | sikh.Lut | folly | H5531B | HNcfsc — Noun (Singular Feminine, Construct) | סִכְלוּת (sikh.lut): folly |
| 11 | מְעָֽט\׃ | me.'At | a little | H4592 | HNcmsa — Noun (Singular Masculine, Absolute) | מְעַט (me.at): little |

## Ecclesiastes 10:2

**Original:** לֵ֤ב חָכָם֙ לִֽימִינ֔וֹ וְלֵ֥ב כְּסִ֖יל לִשְׂמֹאלֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֵ֤ב | lev | [the] heart of | H3820A | HNcmsc — Noun (Singular Masculine, Construct) | לֵב (lev): heart |
| 2 | חָכָם֙ | cha.Kham | a wise [person] | H2450 | HAamsa — Adjective (Singular Masculine, Absolute) | חָכָם (cha.kham): wise |
| 3 | לִֽ/ימִינ֔/וֹ | li./mi.N/o | [is] to/ right [hand]/ his | H3225G | HR/Ncfsc/Sp3ms — Preposition + Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | יָמִין (ya.min): right |
| 4 | וְ/לֵ֥ב | ve./Lev | and/ [the] heart of | H3820A | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | לֵב (lev): heart |
| 5 | כְּסִ֖יל | ke.Sil | a fool | H3684 | HAamsa — Adjective (Singular Masculine, Absolute) | כְּסִיל (ke.sil): fool |
| 6 | לִ/שְׂמֹאלֽ/וֹ\׃ | li/s.mo.L/o | [is] to/ left [hand]/ his | H8040G | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | שְׂמֹאל (se.mo.l): left |

## Ecclesiastes 10:3

**Original:** וְגַם־ בַּדֶּ֛רֶךְ כְּשֶׁסָּכָ֥ל הֹלֵ֖ךְ לִבּ֣וֹ חָסֵ֑ר וְאָמַ֥ר לַכֹּ֖ל סָכָ֥ל הֽוּא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/גַם\־ | ve./gam- | and/ also | H1571 | HC/D — Conjunction + Adverb | גַּם (gam): also |
| 2 | בַּ/דֶּ֛רֶךְ | ba./De.rekh | on the/ way | H1870K | HRd/Ncbsa — Preposition (Definite) + Noun (Singular Either gender, Absolute) | דֶּ֫רֶךְ (de.rekh): way: road |
| 3 | כְּ/שֶׁ/סָּכָ֥ל | ke./she./sa.khal | like/ when/ a fool | H5530 | HR/Tr/Aamsa — Preposition + Relative Particle + Aamsa | סָכָל (sa.khal): fool |
| 4 | הֹלֵ֖ךְ | ho.Lekh | [is] going | H1980I | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | הָלַךְ (ha.lakh): to go: walk |
| 5 | לִבּ֣/וֹ | li.B/o | heart/ his | H3820A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | לֵב (lev): heart |
| 6 | חָסֵ֑ר | cha.Ser | is lacking | H2637 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | חָסֵר (cha.ser): to lack |
| 7 | וְ/אָמַ֥ר | ve./'a.Mar | and/ he says | H559 | HC/Vqp3ms — Conjunction + Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 8 | לַ/כֹּ֖ל | la./Kol | to <the>/ everyone | H3605 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 9 | סָכָ֥ל | sa.Khal | [is] a fool | H5530 | HAamsa — Adjective (Singular Masculine, Absolute) | סָכָל (sa.khal): fool |
| 10 | הֽוּא\׃ | Hu' | he | H1931 | HPp3ms — Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |

## Ecclesiastes 10:4

**Original:** אִם־ ר֤וּחַ הַמּוֹשֵׁל֙ תַּעֲלֶ֣ה עָלֶ֔יךָ מְקוֹמְךָ֖ אַל־ תַּנַּ֑ח כִּ֣י מַרְפֵּ֔א יַנִּ֖יחַ חֲטָאִ֥ים גְּדוֹלִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אִם\־ | 'im- | if | H518A | HTc — Conditional Particle | אִם (im): if |
| 2 | ר֤וּחַ | Ru.ach | [the] spirit of | H7307J | HNcfsc — Noun (Singular Feminine, Construct) | רוּחַ (ru.ach): spirit: temper |
| 3 | הַ/מּוֹשֵׁל֙ | ha./mo.Shel | the/ ruler | H4910 | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | מָשַׁל (ma.shal): to rule |
| 4 | תַּעֲלֶ֣ה | ta.'a.Leh | it will go up | H5927G | HVqi3fs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | עָלָה (a.lah): to ascend: rise |
| 5 | עָלֶ֔י/ךָ | 'a.Lei./kha | towards/ you | H5921A | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | עַל (al): upon |
| 6 | מְקוֹמְ/ךָ֖ | me.kom./Cha | place/ your | H4725 | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | מָקוֹם (ma.qom): place |
| 7 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 8 | תַּנַּ֑ח | ta.Nach | you leave | H5117 | HVhj2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Jussive) Second Singular Masculine | נוּחַ (nu.ach): to rest |
| 9 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 10 | מַרְפֵּ֔א | mar.Pe' | calmness | H4832 | HNcmsa — Noun (Singular Masculine, Absolute) | מַרְפֵּא (mar.pe): healing |
| 11 | יַנִּ֖יחַ | ya.Ni.ach | it will cause to rest | H5117 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נוּחַ (nu.ach): to rest |
| 12 | חֲטָאִ֥ים | cha.ta.'Im | sins | H2399 | HNcmpa — Noun (Plural Masculine, Absolute) | חֵטְא (chet): sin |
| 13 | גְּדוֹלִֽים\׃ | ge.do.Lim | great | H1419A | HAampa — Adjective (Plural Masculine, Absolute) | גָּדוֹל (ga.dol): great: large |

## Ecclesiastes 10:5

**Original:** יֵ֣שׁ רָעָ֔ה רָאִ֖יתִי תַּ֣חַת הַשָּׁ֑מֶשׁ כִּשְׁגָגָ֕ה שֶׁיֹּצָ֖א מִלִּפְנֵ֥י הַשַּׁלִּֽיט׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יֵ֣שׁ | yesh | there | H3426 | HAcbsa — Numerical Adjective (Singular Either gender, Absolute) | יֵשׁ (yesh): there |
| 2 | רָעָ֔ה | ra.'Ah | [is] an evil | H7451I | HNcfsa — Noun (Singular Feminine, Absolute) | רָעָה (ra.ah): distress: evil |
