# STEP Bible — Exodus 1

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Exodus 1:1

**Original:** וְאֵ֗לֶּה שְׁמוֹת֙ בְּנֵ֣י יִשְׂרָאֵ֔ל הַבָּאִ֖ים מִצְרָ֑יְמָה אֵ֣ת יַעֲקֹ֔ב אִ֥ישׁ וּבֵית֖וֹ בָּֽאוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אֵ֗לֶּה | ve./'E.leh | and/ these | H428 | HC/Tm — Conjunction + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 2 | שְׁמוֹת֙ | she.mOt | [are] [the] names of | H8034 | HNcfpc — Noun (Plural Feminine, Construct) | שֵׁם (shem): name |
| 3 | בְּנֵ֣י | be.Nei | [the] sons of | H1121A | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 4 | יִשְׂרָאֵ֔ל | Yis.ra.'El | Israel | H3478 | HNpm — Proper Noun (Masculine individual) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 5 | הַ/בָּאִ֖ים | ha./ba.'Im | who/ went | H935G | HTd/Vqrmpa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Plural Masculine, Absolute) | בּוֹא (bo): to come (in): come |
| 6 | מִצְרָ֑יְמָ/ה | mitz.Ra.ye.ma/h | Egypt/ towards | H4714G | HNpl/Sd — Proper Noun (Location) + Directional Suffix | מִצְרַ֫יִם (mits.ra.yim): Egypt |
| 7 | אֵ֣ת | 'et | with | H854 | HR — Preposition | אֵת (et): with |
| 8 | יַעֲקֹ֔ב | ya.'a.Ko | Jacob | H3290 | HNpm — Proper Noun (Masculine individual) | יַעֲקֹב (ya.a.qov): Jacob |
| 9 | אִ֥ישׁ | 'ish | everyone | H376I | HNcmsa — Noun (Singular Masculine, Absolute) | אִישׁ (ish): man: anyone |
| 10 | וּ/בֵית֖/וֹ | u./vei.T/o | and/ household/ his | H1004M | HC/Ncmsc/Sp3ms — Conjunction + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | בַּ֫יִת (ba.yit): house: household |
| 11 | בָּֽאוּ\׃ | Ba.'u | they went | H935G | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | בּוֹא (bo): to come (in): come |

## Exodus 1:2

**Original:** רְאוּבֵ֣ן שִׁמְע֔וֹן לֵוִ֖י וִיהוּדָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | רְאוּבֵ֣ן | re.'u.Ven | Reuben | H7205 | HNpm — Proper Noun (Masculine individual) | רְאוּבֵן (re.u.ven): Reuben |
| 2 | שִׁמְע֔וֹן | shim.'on | Simeon | H8095G | HNpm — Proper Noun (Masculine individual) | שִׁמְעוֹן (shim.on): Simeon |
| 3 | לֵוִ֖י | le.Vi | Levi | H3878 | HNpm — Proper Noun (Masculine individual) | לֵוִי (le.vi): Levi |
| 4 | וִ/יהוּדָֽה\׃ | vi./hu.Dah | and/ Judah | H3063G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | יְהוּדָה (ye.hu.dah): Judah |

## Exodus 1:3

**Original:** יִשָּׂשכָ֥ר זְבוּלֻ֖ן וּבְנְיָמִֽן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יִשָּׂשכָ֥ר | yi.so.sh.Khar | Issachar | H3485G | HNpm — Proper Noun (Masculine individual) | יִשָּׂשכָר (yis.sa.s.khar): Issachar |
| 2 | זְבוּלֻ֖ן | ze.vu.Lun | Zebulun | H2074 | HNpm — Proper Noun (Masculine individual) | זְבוּלֻן (ze.vu.lun): Zebulun |
| 3 | וּ/בְנְיָמִֽן\׃ | u./ve.ne.ya.Min | and/ Benjamin | H1144G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | בִּנְיָמִין (bin.ya.min): Benjamin |

## Exodus 1:4

**Original:** דָּ֥ן וְנַפְתָּלִ֖י גָּ֥ד וְאָשֵֽׁר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | דָּ֥ן | dan | Dan | H1835G | HNpl — Proper Noun (Location) | דָּן (dan): Dan |
| 2 | וְ/נַפְתָּלִ֖י | ve./naf.ta.Li | and/ Naphtali | H5321G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | נַפְתָּלִי (naph.ta.li): Naphtali |
| 3 | גָּ֥ד | gad | Gad | H1410G | HNpm — Proper Noun (Masculine individual) | גָּד (gad): Gad |
| 4 | וְ/אָשֵֽׁר\׃ | ve./'a.Sher | and/ Asher | H836 | HC/Npm — Conjunction + Proper Noun (Masculine individual) | אָשֵׁר (a.sher): Asher |

## Exodus 1:5

**Original:** וַֽיְהִ֗י כָּל־ נֶ֛פֶשׁ יֹצְאֵ֥י יֶֽרֶךְ־ יַעֲקֹ֖ב שִׁבְעִ֣ים נָ֑פֶשׁ וְיוֹסֵ֖ף הָיָ֥ה בְמִצְרָֽיִם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַֽ/יְהִ֗י | va/y.Hi | and/ it was | H1961 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 2 | כָּל\־ | kol- | every | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 3 | נֶ֛פֶשׁ | Ne.fesh | person | H5315J | HNcfsc — Noun (Singular Feminine, Construct) | נֶ֫פֶשׁ (ne.phesh): soul: person |
| 4 | יֹצְאֵ֥י | yo.tze.'Ei | [who] came out of | H3318M | HVqrmpc — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) | יָצָא (ya.tsa): to come out: produce |
| 5 | יֶֽרֶךְ\־ | ye.rekh- | [the] thigh of | H3409 | HNcfsc — Noun (Singular Feminine, Construct) | יָרֵךְ (ya.rekh): thigh |
| 6 | יַעֲקֹ֖ב | ya.'a.Ko | Jacob | H3290 | HNpm — Proper Noun (Masculine individual) | יַעֲקֹב (ya.a.qov): Jacob |
| 7 | שִׁבְעִ֣ים | shiv.'Im | seventy | H7657 | HAcmpa — Numerical Adjective (Plural Masculine, Absolute) | שִׁבְעִים (shiv.im): seventy |
| 8 | נָ֑פֶשׁ | Na.fesh | person[s] | H5315J | HNcfsa — Noun (Singular Feminine, Absolute) | נֶ֫פֶשׁ (ne.phesh): soul: person |
| 9 | וְ/יוֹסֵ֖ף | ve./yo.Sef | and/ Joseph | H3130G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | יוֹסֵף (yo.seph): Joseph |
| 10 | הָיָ֥ה | ha.Yah | he was | H1961 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 11 | בְ/מִצְרָֽיִם\׃ | ve./mitz.Ra.yim | in/ Egypt | H4714G | HR/Npl — Preposition + Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |

## Exodus 1:6

**Original:** וַיָּ֤מָת יוֹסֵף֙ וְכָל־ אֶחָ֔יו וְכֹ֖ל הַדּ֥וֹר הַהֽוּא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יָּ֤מָת | va/i.Ya.mot | and/ he died | H4191 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | מוּת (mut): to die |
| 2 | יוֹסֵף֙ | yo.Sef | Joseph | H3130G | HNpm — Proper Noun (Masculine individual) | יוֹסֵף (yo.seph): Joseph |
| 3 | וְ/כָל\־ | ve./khol | and/ all | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 4 | אֶחָ֔י/ו | 'e.Cha/v | brothers/ his | H251G | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | אָח (ach): brother: male-sibling |
| 5 | וְ/כֹ֖ל | ve./Khol | and/ all | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 6 | הַ/דּ֥וֹר | ha./Dor | the/ generation | H1755 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | דּוֹר (dor): generation |
| 7 | הַ/הֽוּא\׃ | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |

## Exodus 1:7

