# STEP Bible — Exodus 18

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Exodus 18:1

**Original:** וַיִּשְׁמַ֞ע יִתְר֨וֹ כֹהֵ֤ן מִדְיָן֙ חֹתֵ֣ן מֹשֶׁ֔ה אֵת֩ כָּל־ אֲשֶׁ֨ר עָשָׂ֤ה אֱלֹהִים֙ לְמֹשֶׁ֔ה וּלְיִשְׂרָאֵ֖ל עַמּ֑וֹ כִּֽי־ הוֹצִ֧יא יְהוָ֛ה אֶת־ יִשְׂרָאֵ֖ל מִמִּצְרָֽיִם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּשְׁמַ֞ע | va/i.yish.Ma' | and/ he heard | H8085G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | שָׁמַע (sha.ma): to hear: hear |
| 2 | יִתְר֨וֹ | yit.Ro | Jethro | H3503 | HNpm — Proper Noun (Masculine individual) | יִתְרוֹ (yit.ro): Jethro |
| 3 | כֹהֵ֤ן | kho.Hen | [the] priest of | H3548 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּהֵן (ko.hen): priest |
| 4 | מִדְיָן֙ | mid.Yan | Midian | H4080H | HNpl — Proper Noun (Location) | מִדְיָן (mid.yan): Midian |
| 5 | חֹתֵ֣ן | cho.Ten | [the] father-in-law of | H2859A | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | חֹתֵן (cho.ten): relative |
| 6 | מֹשֶׁ֔ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 7 | אֵת֩ | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 8 | כָּל\־ | kol- | all | H3605 | HNcmsa — Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 9 | אֲשֶׁ֨ר | 'a.Sher | that | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 10 | עָשָׂ֤ה | 'a.Sah | he had done | H6213A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | עָשָׂה (a.sah): to make: do |
| 11 | אֱלֹהִים֙ | 'E.lo.Him | God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 12 | לְ/מֹשֶׁ֔ה | le./mo.Sheh | for/ Moses | H4872 | HR/Npm — Preposition + Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 13 | וּ/לְ/יִשְׂרָאֵ֖ל | u./le./Yis.ra.'El | and/ for/ Israel | H3478 | HC/R/Npl — Conjunction + Preposition + Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 14 | עַמּ֑/וֹ | a.M/o | people/ his | H5971A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | עַם (am): people |
| 15 | כִּֽי\־ | ki- | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 16 | הוֹצִ֧יא | ho.Tzi' | he had brought out | H3318H | HVhp3ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָצָא (ya.tsa): to come out: send |
| 17 | יְהוָ֛ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 18 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 19 | יִשְׂרָאֵ֖ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 20 | מִ/מִּצְרָֽיִם\׃ | mi./mitz.Ra.yim | from/ Egypt | H4714G | HR/Npl — Preposition + Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |

## Exodus 18:2

**Original:** וַיִּקַּ֗ח יִתְרוֹ֙ חֹתֵ֣ן מֹשֶׁ֔ה אֶת־ צִפֹּרָ֖ה אֵ֣שֶׁת מֹשֶׁ֑ה אַחַ֖ר שִׁלּוּחֶֽיהָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּקַּ֗ח | va/i.yi.Kach | and/ he had taken | H3947G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | לָקַח (la.qach): to take: take |
| 2 | יִתְרוֹ֙ | yit.Ro | Jethro | H3503 | HNpm — Proper Noun (Masculine individual) | יִתְרוֹ (yit.ro): Jethro |
| 3 | חֹתֵ֣ן | cho.Ten | [the] father-in-law of | H2859A | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | חֹתֵן (cho.ten): relative |
| 4 | מֹשֶׁ֔ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 5 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 6 | צִפֹּרָ֖ה | tzi.po.Rah | Zipporah | H6855 | HNpf — Proper Noun (Feminine individual) | צִפֹּרָה (tsip.po.rah): Zipporah |
| 7 | אֵ֣שֶׁת | 'E.shet | [the] wife of | H802H | HNcfsc — Noun (Singular Feminine, Construct) | אִשָּׁה (ish.shah): woman: wife |
| 8 | מֹשֶׁ֑ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 9 | אַחַ֖ר | 'a.Char | after | H310A | HAcmsc — Adjective (Singular Masculine, Construct) | אַחַר (a.char): after |
| 10 | שִׁלּוּחֶֽי/הָ\׃ | shi.lu.Chei./ha | dismissal<s>/ her | H7964 | HNcmpc/Sp3fs — Noun (Plural Masculine, Construct) + Suffix (Third Singular Feminine) | שִׁלּוּחִים (shil.lu.ach): parting gift |

## Exodus 18:3

**Original:** וְאֵ֖ת שְׁנֵ֣י בָנֶ֑יהָ אֲשֶׁ֨ר שֵׁ֤ם הָֽאֶחָד֙ גֵּֽרְשֹׁ֔ם כִּ֣י אָמַ֔ר גֵּ֣ר הָיִ֔יתִי בְּאֶ֖רֶץ נָכְרִיָּֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אֵ֖ת | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 2 | שְׁנֵ֣י | she.Nei | [the] two | H8147 | HAcbdc — Numerical Adjective (Dual Either gender, Construct) | שְׁנַ֫יִם (she.na.yim): two |
| 3 | בָנֶ֑י/הָ | va.Nei./ha | sons/ her | H1121A | HNcmpc/Sp3fs — Noun (Plural Masculine, Construct) + Suffix (Third Singular Feminine) | בֵּן (ben): son: child |
| 4 | אֲשֶׁ֨ר | 'a.Sher | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | שֵׁ֤ם | shem | [the] name of | H8034 | HNcmsc — Noun (Singular Masculine, Construct) | שֵׁם (shem): name |
| 6 | הָֽ/אֶחָד֙ | ha./'e.Chad | the/ one | H259 | HTd/Acfsa — Definite article (Hebrew) + Acfsa | אֶחָד (e.chad): one |
| 7 | גֵּֽרְשֹׁ֔ם | ge.re.Shom | [was] Gershom | H1647G | HNpm — Proper Noun (Masculine individual) | גֵּרְשֹׁם (ge.re.shom): Gershom |
| 8 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 9 | אָמַ֔ר | 'a.Mar | he had said | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 10 | גֵּ֣ר | ger | a sojourner | H1616 | HNcmsa — Noun (Singular Masculine, Absolute) | גֵּר (ger): sojourner |
| 11 | הָיִ֔יתִי | ha.Yi.ti | I have become | H1961 | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | הָיָה (ha.yah): to be |
| 12 | בְּ/אֶ֖רֶץ | be./'E.retz | in/ a land | H776G | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
