# STEP Bible — Exodus 20

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Exodus 20:1

**Original:** וַיְדַבֵּ֣ר אֱלֹהִ֔ים אֵ֛ת כָּל־ הַדְּבָרִ֥ים הָאֵ֖לֶּה לֵאמֹֽר׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יְדַבֵּ֣ר | va/y.da.Ber | and/ he spoke | H1696G | Hc/Vpw3ms — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 2 | אֱלֹהִ֔ים | 'E.lo.Him | God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 3 | אֵ֛ת | 'et | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 5 | הַ/דְּבָרִ֥ים | ha./de.va.Rim | the/ words | H1697G | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | דָּבָר (da.var): word |
| 6 | הָ/אֵ֖לֶּה | ha./'E.leh | <the>/ these | H428 | HTd/Tm — Definite article (Hebrew) + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 7 | לֵ/אמֹֽר\׃\ \ס | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |

## Exodus 20:2

**Original:** אָֽנֹכִ֖י֙ יְהוָ֣ה אֱלֹהֶ֑֔יךָ אֲשֶׁ֧ר הוֹצֵאתִ֛יךָ מֵאֶ֥רֶץ מִצְרַ֖יִם מִבֵּ֣֥ית עֲבָדִיֽ֑ם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אָֽנֹכִ֖י֙ | 'a.no.Khi | I | H595 | HPp1bs — Pronoun (First Singular Either gender) | אָֽנֹכִ֫י (a.no.khi): I |
| 2 | יְהוָ֣ה | Yah.weh | [am] Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֱלֹהֶ֑֔י/ךָ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 4 | אֲשֶׁ֧ר | 'a.Sher | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | הוֹצֵאתִ֛י/ךָ | ho.tze.Ti./kha | I brought out/ you | H3318H | HVhp1cs/Sp2ms — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) First Singular Either gender + Suffix (Second Singular Masculine) | יָצָא (ya.tsa): to come out: send |
| 6 | מֵ/אֶ֥רֶץ | me./'E.retz | from/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 7 | מִצְרַ֖יִם | mitz.Ra.yim | Egypt | H4714G | HNpl — Proper Noun (Location) | מִצְרַ֫יִם (mits.ra.yim): Egypt |
| 8 | מִ/בֵּ֣֥ית | mi./Beit | from/ a house of | H1004B | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: home |
| 9 | עֲבָדִיֽ֑ם\׃ | 'a.va.Dim | slaves | H5650 | HNcmpa — Noun (Plural Masculine, Absolute) | עֶ֫בֶד (e.ved): servant/slave |

## Exodus 20:3

**Original:** לֹֽ֣א יִהְיֶֽה־ לְךָ֛֩ אֱלֹהִ֥֨ים אֲחֵרִ֖֜ים עַל־ פָּנָֽ֗יַ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֹֽ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 2 | יִהְיֶֽה\־ | yih.yeh- | it will be[long] | H1961 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָיָה (ha.yah): to be |
| 3 | לְ/ךָ֛֩ | le./Kha | to <the>/ you | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 4 | אֱלֹהִ֥֨ים | 'E.lo.Him | gods | H430J | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 5 | אֲחֵרִ֖֜ים | 'a.che.Rim | other | H312 | HAampa — Adjective (Plural Masculine, Absolute) | אַחֵר (a.cher): another |
| 6 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 7 | פָּנָֽ֗/יַ\׃ | pa.Na./i | face/ my | H6440G | HNcmpc/Sp1bs — Noun (Plural Masculine, Construct) + Suffix (First Singular Either gender) | פָּנֶה (pa.neh): face: before |

## Exodus 20:4

**Original:** לֹֽ֣א תַֽעֲשֶׂ֨ה־ לְךָ֥֣ פֶ֣֙סֶל֙׀ וְכָל־ תְּמוּנָ֡֔ה אֲשֶׁ֤ר֣ בַּשָּׁמַ֙יִם֙׀ מִמַּ֡֔עַל וַֽאֲשֶׁ֥ר֩ בָּאָ֖֨רֶץ מִתַָּ֑֜חַת וַאֲשֶׁ֥֣ר בַּמַּ֖֣יִם׀ מִתַּ֥֣חַת לָאָֽ֗רֶץ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֹֽ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 2 | תַֽעֲשֶׂ֨ה\־ | ta.'a.Seh- | you must make | H6213H | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | עָשָׂה (a.sah): to make |
| 3 | לְ/ךָ֥֣ | le./Kha | for <the>/ yourself | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 4 | פֶ֣֙סֶל֙\׀ | fe.sel | an image | H6459 | HNcmsa — Noun (Singular Masculine, Absolute) | פֶּ֫סֶל (pe.sel): idol |
| 5 | וְ/כָל\־ | ve./khol | and/ any | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 6 | תְּמוּנָ֡֔ה | te.mu.Nah | form | H8544 | HNcfsa — Noun (Singular Feminine, Absolute) | תְּמוּנָה (te.mu.nah): likeness |
| 7 | אֲשֶׁ֤ר֣ | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 8 | בַּ/שָּׁמַ֙יִם֙\׀ | ba./sha.Ma.yim | [is] in the/ heavens | H8064 | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | שָׁמַיִם (sha.ma.yim): heaven |
| 9 | מִ/מַּ֡֔עַל | mi./Ma.'al | <from>/ above | H4605 | HR/Acbsa — Preposition + Acbsa | מַ֫עַל (ma.al): above |
| 10 | וַֽ/אֲשֶׁ֥ר֩ | va./'a.Sher | and/ which | H834A | HC/Tr — Conjunction + Relative Particle | אֲשֶׁר (a.sher): which |
| 11 | בָּ/אָ֖֨רֶץ | ba./'A.retz | [is] on the/ earth | H776G | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
| 12 | מִ/תַָּ֑֜חַת | mi./Ta.chat | <from>/ beneath | H8478G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | תַּחַת (ta.chat): underneath: under |
| 13 | וַ/אֲשֶׁ֥֣ר | va./'a.Sher | and/ which | H834A | HC/Tr — Conjunction + Relative Particle | אֲשֶׁר (a.sher): which |
| 14 | בַּ/מַּ֖֣יִם\׀ | ba./Ma.yim | [is] in the/ waters | H4325G | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | מַי (ma.yim): water |
| 15 | מִ/תַּ֥֣חַת | mi./Ta.chat | from/ under | H8478G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | תַּחַת (ta.chat): underneath: under |
| 16 | לָ/אָֽ֗רֶץ\׃ | la./'A.retz | to the/ earth | H776G | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |

## Exodus 20:5

**Original:** לֹֽא־ תִשְׁתַּחְוֶ֥֣ה לָהֶ֖ם֮ וְלֹ֣א תָעָבְדֵ֑ם֒ כִּ֣י אָֽנֹכִ֞י יְהוָ֤ה אֱלֹהֶ֙יךָ֙ אֵ֣ל קַנָּ֔א פֹּ֠קֵד עֲוֹ֨ן אָבֹ֧ת עַל־ בָּנִ֛ים עַל־ שִׁלֵּשִׁ֥ים וְעַל־ רִבֵּעִ֖ים לְשֹׂנְאָֽ֑י׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לֹֽא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 2 | תִשְׁתַּחְוֶ֥֣ה | tish.tach.Veh | you must bow down | H7812 | HVti2ms — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | שָׁחָה (sha.chah): to bow |
| 3 | לָ/הֶ֖ם֮ | la./Hem | to <the>/ them | H9005 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | /ל (l): to/for |
| 4 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 5 | תָעָבְדֵ֑/ם֒ | ta.'a.ve.De/m | you must be enticed to serve/ them | H5647H | HVHi2ms/Sp3mp — Verb : Hophal (Causative/declarative, Passive) Imperfect (Future/present Indicative/jussive) Second Singular Masculine + Suffix (Third Plural Masculine) | עָבַד (a.vad): to serve: minister |
| 6 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 7 | אָֽנֹכִ֞י | 'a.no.Khi | I | H595 | HPp1bs — Pronoun (First Singular Either gender) | אָֽנֹכִ֫י (a.no.khi): I |
| 8 | יְהוָ֤ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 9 | אֱלֹהֶ֙י/ךָ֙ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 10 | אֵ֣ל | 'el | [am] a God | H410G | HNcmsa — Noun (Singular Masculine, Absolute) | אֵל (el): God |
| 11 | קַנָּ֔א | ka.Na' | jealous | H7067H | HAamsa — Adjective (Singular Masculine, Absolute) | קַנָּא (qan.na): jealous |
| 12 | פֹּ֠קֵד | Po.ked | visiting | H6485I | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | פָּקַד (pa.qad): to reckon: visit |
| 13 | עֲוֹ֨ן | 'a.Von | iniquity of | H5771G | HNcmsc — Noun (Singular Masculine, Construct) | עָוֺן (a.van): iniquity: crime |
| 14 | אָבֹ֧ת | 'a.Vot | fathers | H1G | HNcfpa — Noun (Plural Feminine, Absolute) | אָב (av): father |
| 15 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 16 | בָּנִ֛ים | ba.Nim | children | H1121A | HNcmpa — Noun (Plural Masculine, Absolute) | בֵּן (ben): son: child |
| 17 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 18 | שִׁלֵּשִׁ֥ים | shi.le.Shim | a third generation | H8029 | HNcmpa — Noun (Plural Masculine, Absolute) | שִׁלֵּשׁ (shil.lesh): third |
| 19 | וְ/עַל\־ | ve./'al- | and/ on | H5921A | HC/R — Conjunction + Preposition | עַל (al): upon |
| 20 | רִבֵּעִ֖ים | ri.be.'Im | a fourth generation | H7256 | HNcmpa — Noun (Plural Masculine, Absolute) | רִבֵּעַ (rib.be.a): fourth |
