# STEP Bible — Exodus 34

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Exodus 34:1

**Original:** וַיֹּ֤אמֶר יְהוָה֙ אֶל־ מֹשֶׁ֔ה פְּסָל־ לְךָ֛ שְׁנֵֽי־ לֻחֹ֥ת אֲבָנִ֖ים כָּרִאשֹׁנִ֑ים וְכָתַבְתִּי֙ עַל־ הַלֻּחֹ֔ת אֶת־ הַדְּבָרִ֔ים אֲשֶׁ֥ר הָי֛וּ עַל־ הַלֻּחֹ֥ת הָרִאשֹׁנִ֖ים אֲשֶׁ֥ר שִׁבַּֽרְתָּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֤אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | יְהוָה֙ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | מֹשֶׁ֔ה | mo.Sheh | Moses | H4872 | HNpm — Proper Noun (Masculine individual) | מֹשֶׁה (mo.sheh): Moses |
| 5 | פְּסָל\־ | pe.sol- | cut out | H6458 | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | פָּסַל (pa.sal): to hew |
| 6 | לְ/ךָ֛ | le./Kha | for <the>/ yourself | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 7 | שְׁנֵֽי\־ | she.nei- | two | H8147 | HAcbdc — Numerical Adjective (Dual Either gender, Construct) | שְׁנַ֫יִם (she.na.yim): two |
| 8 | לֻחֹ֥ת | lu.Chot | tablets of | H3871 | HNcfpc — Noun (Plural Feminine, Construct) | לוּחַ (lu.ach): tablet |
| 9 | אֲבָנִ֖ים | 'a.va.Nim | stone<s> | H68G | HNcfpa — Noun (Plural Feminine, Absolute) | אֶ֫בֶן (e.ven): stone |
| 10 | כָּ/רִאשֹׁנִ֑ים | ka./ri.sho.Nim | like the/ former [tablets] | H7223G | HRd/Aompa — Preposition (Definite) + Aompa | רִאשׁוֹן (ri.shon): first |
| 11 | וְ/כָתַבְתִּי֙ | ve./kha.tav.Ti | and/ I will write | H3789 | Hc/Vqq1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) First Singular Either gender | כָּתַב (ka.tav): to write |
| 12 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 13 | הַ/לֻּחֹ֔ת | ha./lu.Chot | the/ tablets | H3871 | HTd/Ncfpa — Definite article (Hebrew) + Noun (Plural Feminine, Absolute) | לוּחַ (lu.ach): tablet |
| 14 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 15 | הַ/דְּבָרִ֔ים | ha./de.va.Rim | the/ words | H1697G | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | דָּבָר (da.var): word |
