# STEP Bible — Ezekiel 10

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Ezekiel 10:1

**Original:** וָאֶרְאֶ֗ה וְהִנֵּ֤ה אֶל־ הָרָקִ֙יעַ֙ אֲשֶׁר֙ עַל־ רֹ֣אשׁ הַכְּרֻבִ֔ים כְּאֶ֣בֶן סַפִּ֔יר כְּמַרְאֵ֖ה דְּמ֣וּת כִּסֵּ֑א נִרְאָ֖ה עֲלֵיהֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וָ/אֶרְאֶ֗ה | va./'er.'Eh | and/ I saw | H7200G | Hc/Vqw1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) First Singular Either gender | רָאָה (ra.ah): to see: see |
| 2 | וְ/הִנֵּ֤ה | ve./hi.Neh | and/ there! | H2009 | HC/Tj — Conjunction + Interjection | הִנֵּה (hin.neh): behold |
| 3 | אֶל\־ | 'el- | [was] to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | הָ/רָקִ֙יעַ֙ | ha./ra.Ki.a' | the/ expanse | H7549 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | רָקִיעַ (ra.qi.a): expanse |
| 5 | אֲשֶׁר֙ | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 6 | עַל\־ | 'al- | [was] above | H5921A | HR — Preposition | עַל (al): upon |
| 7 | רֹ֣אשׁ | rosh | [the] head of | H7218A | HNcmsc — Noun (Singular Masculine, Construct) | רֹאשׁ (rosh): head |
| 8 | הַ/כְּרֻבִ֔ים | ha./ke.ru.Vim | the/ cherubim | H3742 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | כְּרוּב (ke.ruv): cherub |
| 9 | כְּ/אֶ֣בֶן | ke./'E.ven | like/ a stone of | H68G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫בֶן (e.ven): stone |
| 10 | סַפִּ֔יר | sa.Pir | sapphire | H5601 | HNcmsa — Noun (Singular Masculine, Absolute) | סַפִּיר (sap.pir): sapphire |
| 11 | כְּ/מַרְאֵ֖ה | ke./mar.'Eh | like/ [the] appearance of | H4758 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | מַרְאֶה (mar.eh): appearance |
| 12 | דְּמ֣וּת | de.Mut | [the] likeness of | H1823 | HNcfsc — Noun (Singular Feminine, Construct) | דְּמוּת (de.mut): likeness |
| 13 | כִּסֵּ֑א | ki.Se' | a throne | H3678G | HNcmsa — Noun (Singular Masculine, Absolute) | כִּסֵּא (kis.se): throne |
| 14 | נִרְאָ֖ה | nir.'Ah | it appeared | H7200G | HVNp3ms — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Masculine | רָאָה (ra.ah): to see: see |
| 15 | עֲלֵי/הֶֽם\׃ | 'a.lei./Hem | above/ them | H5921A | HR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | עַל (al): upon |

## Ezekiel 10:2

**Original:** וַיֹּ֜אמֶר אֶל־ הָאִ֣ישׁ׀ לְבֻ֣שׁ הַבַּדִּ֗ים וַיֹּ֡אמֶר בֹּא֩ אֶל־ בֵּינ֨וֹת לַגַּלְגַּ֜ל אֶל־ תַּ֣חַת לַכְּר֗וּב וּמַלֵּ֨א חָפְנֶ֤יךָ גַֽחֲלֵי־ אֵשׁ֙ מִבֵּינ֣וֹת לַכְּרֻבִ֔ים וּזְרֹ֖ק עַל־ הָעִ֑יר וַיָּבֹ֖א לְעֵינָֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֜אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 3 | הָ/אִ֣ישׁ\׀ | ha./'Ish | the/ man | H376G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
