# STEP Bible — Ezra 5

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Ezra 5:1

**Original:** וְהִתְנַבִּ֞י חַגַּ֣י נְבִיָּ֗א וּזְכַרְיָ֤ה בַר־ עִדּוֹא֙ נְבִיַּיָּ֔א עַל־ יְה֣וּדָיֵ֔א דִּ֥י בִיה֖וּד וּבִירוּשְׁלֶ֑ם בְּשֻׁ֛ם אֱלָ֥הּ יִשְׂרָאֵ֖ל עֲלֵיהֽוֹן׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הִתְנַבִּ֞י | ve./hit.na.Bi | and/ he prophesied | H5013 | AC/VMp3ms — Conjunction + Verb : Hitpaal (Intensive/resultive/transtive, Reflexive/iterative) Perfect (Past/present Indicative) Third Singular Masculine | נְבָא (ne.va): to prophesy |
| 2 | חַגַּ֣י | cha.Gai | Haggai | H2292B | ANpm — Proper Noun (Masculine individual) | חַגַּי (chag.gay): Haggai |
| 3 | נְבִיָּ֗/א | ne.vi.'ah/' | prophet/ the | H5029 | ANcbsd/Ta — Noun (Singular Either gender, Definite) + Definite article (Aramaic) | נְבִיא (ne.vi): prophet |
| 4 | וּ/זְכַרְיָ֤ה | u./ze.khar.Yah | and/ Zechariah | H2148B | AC/Npm — Conjunction + Proper Noun (Masculine individual) | זְכַרְיָהוּ (ze.khar.yah): Zechariah |
| 5 | בַר\־ | var- | [the] son of | H1247J | ANcbsc — Noun (Singular Either gender, Construct) | בַּר (bar): son |
| 6 | עִדּוֹא֙ | 'i.dO' | Iddo | H5714J | ANpm — Proper Noun (Masculine individual) | עִדּוֹ (id.do): Iddo |
| 7 | נְבִיַּיָּ֔/א | ne.vi.'ai.ya/' | prophets/ the | H5029 | ANcmpd/Ta — Noun (Plural Masculine, Definite) + Definite article (Aramaic) | נְבִיא (ne.vi): prophet |
| 8 | עַל\־ | 'al- | to | H5922 | AR — Preposition | עַל (al): since |
| 9 | יְה֣וּדָיֵ֔/א | ye.Hu.da.Ye/' | Jews/ the | H3062 | ANgmpd/Ta — Noun (Gentilic, Plural Masculine, Definite) + Definite article (Aramaic) | יְהוּדַי (ye.hu.da.i): Jew |
| 10 | דִּ֥י | di | who | H1768 | AC — Conjunction | דִּי (di): that |
| 11 | בִ/יה֖וּד | vi./Hud | [were] in/ Judah | H3061 | AR/Npl — Preposition + Proper Noun (Location) | יְהוּד (ye.hud): Judah |
| 12 | וּ/בִ/ירוּשְׁלֶ֑ם | u./vi./ru.she.Lem | and/ in/ Jerusalem | H3390 | AC/R/Npl — Conjunction + Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.lem): Jerusalem |
| 13 | בְּ/שֻׁ֛ם | be./Shum | in/ [the] name of | H8036 | AR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | שֻׁם (shum): name |
| 14 | אֱלָ֥הּ | 'e.Lah | [the] God of | H426 | ANcbsc — Noun (Singular Either gender, Construct) | אֱלָהּ (e.lah): god |
| 15 | יִשְׂרָאֵ֖ל | Yis.ra.'El | Israel | H3479 | ANpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 16 | עֲלֵי/הֽוֹן\׃\ \ס | a.lei./Hon | [who was] over/ them | H5922 | AR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | עַל (al): since |

## Ezra 5:2

**Original:** בֵּאדַ֡יִן קָ֠מוּ זְרֻבָּבֶ֤ל בַּר־ שְׁאַלְתִּיאֵל֙ וְיֵשׁ֣וּעַ בַּר־ יֽוֹצָדָ֔ק וְשָׁרִ֣יו לְמִבְנֵ֔א בֵּ֥ית אֱלָהָ֖א דִּ֣י בִירֽוּשְׁלֶ֑ם וְעִמְּה֛וֹן נְבִיַּיָּ֥א דִֽי־ אֱלָהָ֖א מְסָעֲדִ֥ין לְהֽוֹן׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בֵּ/אדַ֡יִן | be./Da.yin | <in>/ then | H116 | AR/D — Preposition + Adverb | אֱדַ֫יִן (e.da.yin): then |
| 2 | קָ֠מוּ | Ka.mu | they arose | H6966G | AVqp3mp — Verb : Peal (Simple, Active) Perfect (Past/present Indicative) Third Plural Masculine | קוּם (qum): to stand: rise |
| 3 | זְרֻבָּבֶ֤ל | ze.ru.ba.Vel | Zerubbabel | H2217 | ANpm — Proper Noun (Masculine individual) | זְרֻבָּבֶ֫ל (ze.rub.ba.vel): Zerubbabel |
| 4 | בַּר\־ | bar- | [the] son of | H1247J | ANcbsc — Noun (Singular Either gender, Construct) | בַּר (bar): son |
| 5 | שְׁאַלְתִּיאֵל֙ | she.'al.ti.'El | Shealtiel | H7598 | ANpm — Proper Noun (Masculine individual) | שְׁאַלְתִּיאֵל (she.al.ti.el): Shealtiel |
