# STEP Bible — Genesis 25

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Genesis 25:1

**Original:** וַיֹּ֧סֶף אַבְרָהָ֛ם וַיִּקַּ֥ח אִשָּׁ֖ה וּשְׁמָ֥הּ קְטוּרָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֧סֶף | va/i.Yo.sef | and/ he repeated | H3254H | Hc/Vhw3ms — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | יָסַף (ya.saph): to add |
| 2 | אַבְרָהָ֛ם | 'av.ra.Ham | Abraham | H85 | HNpm — Proper Noun (Masculine individual) | אַבְרָהָם (av.ra.ham): Abraham |
| 3 | וַ/יִּקַּ֥ח | va/i.yi.Kach | and/ he took | H3947I | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | לָקַח (la.qach): to take: marry |
| 4 | אִשָּׁ֖ה | 'i.Shah | a wife | H802H | HNcfsa — Noun (Singular Feminine, Absolute) | אִשָּׁה (ish.shah): woman: wife |
| 5 | וּ/שְׁמָ֥/הּ | u./she.Ma/h | and/ name/ her | H8034 | HC/Ncmsc/Sp3fs — Conjunction + Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | שֵׁם (shem): name |
| 6 | קְטוּרָֽה\׃ | ke.tu.Rah | [was] Keturah | H6989 | HNpf — Proper Noun (Feminine individual) | קְטוּרָה (qe.tu.rah): Keturah |

## Genesis 25:2

**Original:** וַתֵּ֣לֶד ל֗וֹ אֶת־ זִמְרָן֙ וְאֶת־ יָקְשָׁ֔ן וְאֶת־ מְדָ֖ן וְאֶת־ מִדְיָ֑ן וְאֶת־ יִשְׁבָּ֖ק וְאֶת־ שֽׁוּחַ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/תֵּ֣לֶד | va./Te.led | and/ she bore | H3205 | Hc/Vqw3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Feminine | יָלַד (ya.lad): to beget |
| 2 | ל֗/וֹ | l/o | to <the>/ him | H9005 | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | זִמְרָן֙ | zim.Ran | Zimran | H2175 | HNpm — Proper Noun (Masculine individual) | זִמְרָן (zim.ran): Zimran |
| 5 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 6 | יָקְשָׁ֔ן | ya.ke.Shan | Jokshan | H3370 | HNpm — Proper Noun (Masculine individual) | יׇקְשָׁן (yoq.shan): Jokshan |
