# STEP Bible — Genesis 36

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Genesis 36:1

**Original:** וְאֵ֛לֶּה תֹּלְד֥וֹת עֵשָׂ֖ו ה֥וּא אֱדֽוֹם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אֵ֛לֶּה | ve./'E.leh | and/ these | H428 | HC/Tm — Conjunction + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 2 | תֹּלְד֥וֹת | to.le.Dot | [are] [the] accounts of | H8435 | HNcfpc — Noun (Plural Feminine, Construct) | תּוֹלֵדוֹת (to.le.dah): generation |
| 3 | עֵשָׂ֖ו | 'e.Sav | Esau | H6215G | HNpm — Proper Noun (Masculine individual) | עֵשָׂו (e.sav): Esau |
| 4 | ה֥וּא | hu' | that | H1931 | HPp3ms — Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 5 | אֱדֽוֹם\׃ | 'e.Dom | [is] Edom | H123H | HNpm — Proper Noun (Masculine individual) | אֱדוֹם (e.dom): Edom |

## Genesis 36:2

**Original:** עֵשָׂ֛ו לָקַ֥ח אֶת־ נָשָׁ֖יו מִבְּנ֣וֹת כְּנָ֑עַן אֶת־ עָדָ֗ה בַּת־ אֵילוֹן֙ הַֽחִתִּ֔י וְאֶת־ אָהֳלִֽיבָמָה֙ בַּת־ עֲנָ֔ה בַּת־ צִבְע֖וֹן הַֽחִוִּֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עֵשָׂ֛ו | 'e.Sav | Esau | H6215G | HNpm — Proper Noun (Masculine individual) | עֵשָׂו (e.sav): Esau |
| 2 | לָקַ֥ח | la.Kach | he took | H3947G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | לָקַח (la.qach): to take: take |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | נָשָׁ֖י/ו | na.Sha/v | wives/ his | H802H | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | אִשָּׁה (ish.shah): woman: wife |
| 5 | מִ/בְּנ֣וֹת | mi./be.Not | from/ [the] daughters of | H1323G | HR/Ncfpc — Preposition + Noun (Plural Feminine, Construct) | בַּת (bat): daughter |
| 6 | כְּנָ֑עַן | ke.Na.'an | Canaan | H3667A | HNpl — Proper Noun (Location) | כְּנַ֫עַן (ke.na.an): Canaan |
| 7 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 8 | עָדָ֗ה | 'a.Dah | Adah | H5711H | HNpf — Proper Noun (Feminine individual) | עָדָה (a.dah): Adah |
| 9 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 10 | אֵילוֹן֙ | 'ei.lOn | Elon | H356G | HNpm — Proper Noun (Masculine individual) | אֵלוֹן (e.lon): Elon |
| 11 | הַֽ/חִתִּ֔י | ha./chi.Ti | the/ Hittite | H2850 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | חִתִּי (chit.ti): Hittite |
| 12 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 13 | אָהֳלִֽיבָמָה֙ | 'o.ho.li.va.Mah | Oholibamah | H173 | HNpf — Proper Noun (Feminine individual) | אׇהֳלִיבָמָה (o.ho.li.va.mah): Oholibamah |
| 14 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 15 | עֲנָ֔ה | 'a.Nah | Anah | H6034 | HNpm — Proper Noun (Masculine individual) | עֲנָה (a.nah): Anah |
| 16 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 17 | צִבְע֖וֹן | tziv.'on | Zibeon | H6649G | HNpm — Proper Noun (Masculine individual) | צִבְעוֹן (tsiv.on): Zibeon |
| 18 | הַֽ/חִוִּֽי\׃ | Ha./chi.Vi | the/ Hivite | H2340 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | חִוִּי (chiv.vi): Hivite |

## Genesis 36:3

**Original:** וְאֶת־ בָּשְׂמַ֥ת בַּת־ יִשְׁמָעֵ֖אל אֲח֥וֹת נְבָיֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 2 | בָּשְׂמַ֥ת | ba.se.Mat | Basemath | H1315I | HNpf — Proper Noun (Feminine individual) | בָּֽשְׂמַת (bos.mat): Basemath |
| 3 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 4 | יִשְׁמָעֵ֖אל | yish.ma.'El | Ishmael | H3458G | HNpm — Proper Noun (Masculine individual) | יִשְׁמָעֵאל (yish.ma.el): Ishmael |
| 5 | אֲח֥וֹת | 'a.Chot | [the] sister of | H269 | HNcfsc — Noun (Singular Feminine, Construct) | אָחוֹת (a.chot): sister |
| 6 | נְבָיֽוֹת\׃ | ne.va.Yot | Nebaioth | H5032 | HNpm — Proper Noun (Masculine individual) | נְבָיוֹת (ne.va.vot): Nebaioth |

## Genesis 36:4

**Original:** וַתֵּ֧לֶד עָדָ֛ה לְעֵשָׂ֖ו אֶת־ אֱלִיפָ֑ז וּבָ֣שְׂמַ֔ת יָלְדָ֖ה אֶת־ רְעוּאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/תֵּ֧לֶד | va./Te.led | and/ she bore | H3205 | Hc/Vqw3fs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Feminine | יָלַד (ya.lad): to beget |
| 2 | עָדָ֛ה | 'a.Dah | Adah | H5711H | HNpf — Proper Noun (Feminine individual) | עָדָה (a.dah): Adah |
| 3 | לְ/עֵשָׂ֖ו | le./'e.Sav | to/ Esau | H6215G | HR/Npm — Preposition + Proper Noun (Masculine individual) | עֵשָׂו (e.sav): Esau |
| 4 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 5 | אֱלִיפָ֑ז | 'e.li.Faz | Eliphaz | H464G | HNpm — Proper Noun (Masculine individual) | אֱלִיפַז (e.li.phaz): Eliphaz |
| 6 | וּ/בָ֣שְׂמַ֔ת | u./Va.se.Mat | and/ Basemath | H1315I | HC/Npf — Conjunction + Proper Noun (Feminine individual) | בָּֽשְׂמַת (bos.mat): Basemath |
| 7 | יָלְדָ֖ה | Yal.dah | she bore | H3205 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | יָלַד (ya.lad): to beget |
| 8 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 9 | רְעוּאֵֽל\׃ | re.'u.'El | Reuel | H7467G | HNpm — Proper Noun (Masculine individual) | רְעוּאֵל (re.u.el): Reuel |

## Genesis 36:5

**Original:** וְאָהֳלִֽיבָמָה֙ יָֽלְדָ֔ה אֶת־ יְע֥וּשׁ וְאֶת־ יַעְלָ֖ם וְאֶת־ קֹ֑רַח אֵ֚לֶּה בְּנֵ֣י עֵשָׂ֔ו אֲשֶׁ֥ר יֻלְּדוּ־ ל֖וֹ בְּאֶ֥רֶץ כְּנָֽעַן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אָהֳלִֽיבָמָה֙ | ve./'o.ho.li.va.Mah | and/ Oholibamah | H173 | HC/Npf — Conjunction + Proper Noun (Feminine individual) | אׇהֳלִיבָמָה (o.ho.li.va.mah): Oholibamah |
| 2 | יָֽלְדָ֔ה | Yal.dah | she bore | H3205 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | יָלַד (ya.lad): to beget |
| 3 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 4 | יְע֥וּשׁ | ye'.ush | Jeush | H3266G | HNpm — Proper Noun (Masculine individual) | יְעוּשׁ (ye.ush): Jeush |
| 5 | וְ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
