# STEP Bible — Genesis 39

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Genesis 39:1

**Original:** וְיוֹסֵ֖ף הוּרַ֣ד מִצְרָ֑יְמָה וַיִּקְנֵ֡הוּ פּוֹטִיפַר֩ סְרִ֨יס פַּרְעֹ֜ה שַׂ֤ר הַטַּבָּחִים֙ אִ֣ישׁ מִצְרִ֔י מִיַּד֙ הַיִּשְׁמְעֵאלִ֔ים אֲשֶׁ֥ר הוֹרִדֻ֖הוּ שָֽׁמָּה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/יוֹסֵ֖ף | ve./yo.Sef | and/ Joseph | H3130G | HC/Npm — Conjunction + Proper Noun (Masculine individual) | יוֹסֵף (yo.seph): Joseph |
| 2 | הוּרַ֣ד | hu.Rad | he had been brought down | H3381 | HVHp3ms — Verb : Hophal (Causative/declarative, Passive) Perfect (Past/present Indicative) Third Singular Masculine | יָרַד (ya.rad): to go down |
| 3 | מִצְרָ֑יְמָ/ה | mitz.Ra.ye.ma/h | Egypt/ towards | H4714G | HNpl/Sd — Proper Noun (Location) + Directional Suffix | מִצְרַ֫יִם (mits.ra.yim): Egypt |
| 4 | וַ/יִּקְנֵ֡/הוּ | va/i.yik.Ne./hu | and/ he bought/ him | H7069 | Hc/Vqw3ms/Sp3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine + Suffix (Third Singular Masculine) | קָנָה (qa.nah): to buy |
| 5 | פּוֹטִיפַר֩ | po.ti.Far | Potiphar | H6318 | HNpm — Proper Noun (Masculine individual) | פּוֹטִיפַר (po.ti.phar): Potiphar |
| 6 | סְרִ֨יס | se.Ris | [the] official of | H5631 | HNcmsc — Noun (Singular Masculine, Construct) | סָרִיס (sa.ris): eunuch |
| 7 | פַּרְעֹ֜ה | par.'Oh | Pharaoh | H6547H | HNtmsa — Noun (Title, Singular Masculine, Absolute) | פַּרְעֹה (par.oh): Pharaoh |
| 8 | שַׂ֤ר | sar | [the] commander of | H8269 | HNcmsc — Noun (Singular Masculine, Construct) | שַׂר (sar): ruler |
| 9 | הַ/טַּבָּחִים֙ | ha./ta.ba.Chim | the/ bodyguards | H2876 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | טַבָּח (tab.bach): guard |
| 10 | אִ֣ישׁ | 'ish | a man | H376G | HNcmsa — Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 11 | מִצְרִ֔י | mitz.Ri | an Egyptian | H4713 | HNgmsa — Noun (Gentilic, Singular Masculine, Absolute) | מִצְרִי (mits.ri): Egyptian |
| 12 | מִ/יַּד֙ | mi./Yad | from/ [the] hand of | H3027K | HR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | יָד (yad): hand: to |
| 13 | הַ/יִּשְׁמְעֵאלִ֔ים | hai./yish.me.'e.Lim | the/ Ishmaelites | H3459 | HTd/Ngmpa — Definite article (Hebrew) + Noun (Gentilic, Plural Masculine, Absolute) | יִשְׁמְעֵאלִי (yish.ma.e.li): Ishmaelite |
| 14 | אֲשֶׁ֥ר | 'a.Sher | who | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
