# STEP Bible — Habakkuk 3

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Habakkuk 3:1

**Original:** תְּפִלָּ֖ה לַחֲבַקּ֣וּק הַנָּבִ֑יא עַ֖ל שִׁגְיֹנֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תְּפִלָּ֖ה | te.fi.Lah | a prayer | H8605 | HNcfsa — Noun (Singular Feminine, Absolute) | תְּפִלָּה (te.phil.lah): prayer |
| 2 | לַ/חֲבַקּ֣וּק | la./cha.va.Kuk | of/ Habakkuk | H2265 | HR/Npm — Preposition + Proper Noun (Masculine individual) | חֲבַקּוּק (cha.vaq.quq): Habakkuk |
| 3 | הַ/נָּבִ֑יא | ha./na.Vi' | the/ prophet | H5030 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 4 | עַ֖ל | 'al | on | H5921A | HR — Preposition | עַל (al): upon |
| 5 | שִׁגְיֹנֽוֹת\׃ | shig.yo.Not | shiggionoth | H7692H | HNtfpa — Noun (Title, Plural Feminine, Absolute) | שִׁגָּיוֹן (shig.ga.von): Shigionoth |

## Habakkuk 3:2

**Original:** יְהוָ֗ה שָׁמַ֣עְתִּי שִׁמְעֲךָ֮ יָרֵאתִי֒ יְהוָ֗ה פָּֽעָלְךָ֙ בְּקֶ֤רֶב שָׁנִים֙ חַיֵּ֔יהוּ בְּקֶ֥רֶב שָׁנִ֖ים תּוֹדִ֑יעַ בְּרֹ֖גֶז רַחֵ֥ם תִּזְכּֽוֹר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יְהוָ֗ה | Yah.weh | O Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 2 | שָׁמַ֣עְתִּי | sha.Ma'.ti | I have heard | H8085G | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | שָׁמַע (sha.ma): to hear: hear |
| 3 | שִׁמְעֲ/ךָ֮ | shim.'a./Kha | report/ your | H8088B | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | שֵׁ֫מַע (she.ma): report |
| 4 | יָרֵאתִי֒ | ya.re.Ti | I fear | H3372H | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | יָרֵא (ya.re): to fear: revere |
| 5 | יְהוָ֗ה | Yah.weh | O Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 6 | פָּֽעָלְ/ךָ֙ | pa.'a.le./Kha | work/ your | H6467 | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | פֹּ֫עַל (po.al): work |
| 7 | בְּ/קֶ֤רֶב | be./Ke.rev | in/ [the] midst of | H7130G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | קֶ֫רֶב (qe.rev): entrails: among |
| 8 | שָׁנִים֙ | sha.Nim | years | H8141 | HNcmpa — Noun (Plural Masculine, Absolute) | שָׁנָה (sha.neh): year |
| 9 | חַיֵּ֔י/הוּ | chai.Yei./hu | restore/ it | H2421 | HVpv2ms/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Masculine + Suffix (Third Singular Masculine) | חָיָה (cha.yah): to live |
| 10 | בְּ/קֶ֥רֶב | be./Ke.rev | in/ [the] midst of | H7130G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | קֶ֫רֶב (qe.rev): entrails: among |
| 11 | שָׁנִ֖ים | sha.Nim | years | H8141 | HNcmpa — Noun (Plural Masculine, Absolute) | שָׁנָה (sha.neh): year |
| 12 | תּוֹדִ֑יעַ | to.Di.a' | you will make [it] known | H3045 | HVhi2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | יָדַע (ya.da): to know |
| 13 | בְּ/רֹ֖גֶז | be./Ro.gez | in/ wrath | H7267 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | רֹ֫גֶז (ro.gez): turmoil |
| 14 | רַחֵ֥ם | ra.Chem | to have compassion | H7355 | HVpcc — Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | רָחַם (ra.cham): to have compassion |
