# STEP Bible — Haggai 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Haggai 2:1

**Original:** בַּשְּׁבִיעִ֕י בְּעֶשְׂרִ֥ים וְאֶחָ֖ד לַחֹ֑דֶשׁ הָיָה֙ דְּבַר־ יְהוָ֔ה בְּיַד־ חַגַּ֥י הַנָּבִ֖יא לֵאמֹֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בַּ/שְּׁבִיעִ֕י | ba./she.vi.'I | in the/ seventh [month] | H7637 | HRd/Aomsa — Preposition (Definite) + Aomsa | שְׁבִיעִי (she.vi.i): seventh |
| 2 | בְּ/עֶשְׂרִ֥ים | be./'es.Rim | on/ [day] twenty | H6242 | HR/Acmpa — Preposition + Acmpa | עֶשְׂרִים (es.rim): twenty |
| 3 | וְ/אֶחָ֖ד | ve./'e.Chad | and/ one | H259 | HC/Acfsa — Conjunction + Acfsa | אֶחָד (e.chad): one |
| 4 | לַ/חֹ֑דֶשׁ | la./Cho.desh | of the/ month | H2320G | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | חֹ֫דֶשׁ (cho.desh): month |
| 5 | הָיָה֙ | ha.Yah | it came | H1961 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 6 | דְּבַר\־ | de.var- | [the] word of | H1697G | HNcmsc — Noun (Singular Masculine, Construct) | דָּבָר (da.var): word |
| 7 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 8 | בְּ/יַד\־ | be./yad- | by/ [the] hand of | H3027K | HR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | יָד (yad): hand: to |
| 9 | חַגַּ֥י | cha.Gai | Haggai | H2292A | HNpm — Proper Noun (Masculine individual) | חַגַּי (chag.gay): Haggai |
| 10 | הַ/נָּבִ֖יא | ha./na.Vi' | the/ prophet | H5030 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
