# STEP Bible — Hosea 3

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Hosea 3:1

**Original:** וַיֹּ֨אמֶר יְהוָ֜ה אֵלַ֗י ע֚וֹד לֵ֣ךְ אֱֽהַב־ אִשָּׁ֔ה אֲהֻ֥בַת רֵ֖עַ וּמְנָאָ֑פֶת כְּאַהֲבַ֤ת יְהוָה֙ אֶת־ בְּנֵ֣י יִשְׂרָאֵ֔ל וְהֵ֗ם פֹּנִים֙ אֶל־ אֱלֹהִ֣ים אֲחֵרִ֔ים וְאֹהֲבֵ֖י אֲשִׁישֵׁ֥י עֲנָבִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֨אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | יְהוָ֜ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 3 | אֵלַ֗/י | 'e.La/i | to/ me | H413 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | אֶל (el): to(wards) |
| 4 | ע֚וֹד | od | again | H5750 | HAcmsa — Adjective (Singular Masculine, Absolute) | עוֹד (od): still |
| 5 | לֵ֣ךְ | lekh | go | H1980G | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | הָלַךְ (ha.lakh): to go: went |
| 6 | אֱֽהַב\־ | 'ehav- | love | H157G | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | אָהֵב (a.hav): to love: lover |
| 7 | אִשָּׁ֔ה | 'i.Shah | a woman | H802G | HNcfsa — Noun (Singular Feminine, Absolute) | אִשָּׁה (ish.shah): woman |
| 8 | אֲהֻ֥בַת | 'a.Hu.vat | [who] is loved of | H157G | HVqsfsc — Verb : Qal (Simple, Passive) Participle passive (Singular Feminine, Construct) | אָהֵב (a.hav): to love: lover |
| 9 | רֵ֖עַ | Re.a' | a companion | H7453 | HNcmsa — Noun (Singular Masculine, Absolute) | רֵעַ (re.a): neighbor |
| 10 | וּ/מְנָאָ֑פֶת | u./me.na.'A.fet | and/ [who] commits adultery | H5003 | HC/Vprfsa — Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Feminine, Absolute) | נָאַף (na.aph): to commit adultery |
| 11 | כְּ/אַהֲבַ֤ת | ke./'a.ha.Vat | as/ loves | H160 | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אַהֲבָה (a.ha.vah): love |
| 12 | יְהוָה֙ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 13 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 14 | בְּנֵ֣י | be.Nei | [the] people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 15 | יִשְׂרָאֵ֔ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
