# STEP Bible — Isaiah 16

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 16:1

**Original:** שִׁלְחוּ־ כַ֥ר מֹשֵֽׁל־ אֶ֖רֶץ מִסֶּ֣לַע מִדְבָּ֑רָה אֶל־ הַ֖ר בַּת־ צִיּֽוֹן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁלְחוּ\־ | shil.chu- | send | H7971G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שָׁלַח (sha.lach): to send: depart |
| 2 | כַ֥ר | khar | a lamb | H3733C | HNcmsa — Noun (Singular Masculine, Absolute) | כַּר (kar): ram |
| 3 | מֹשֵֽׁל\־ | mo.shel- | [the] ruler of | H4910 | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | מָשַׁל (ma.shal): to rule |
| 4 | אֶ֖רֶץ | 'E.retz | [the] land | H776G | HNcfsa — Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
| 5 | מִ/סֶּ֣לַע | mi./Se.la' | from/ Sela | H5554 | HR/Npl — Preposition + Proper Noun (Location) | סֶ֫לַע (se.la): Sela |
| 6 | מִדְבָּ֑רָ/ה | mid.Ba.ra/h | [the] wilderness/ towards | H4057B | HNcmsa/Sd — Noun (Singular Masculine, Absolute) + Directional Suffix | מִדְבָּר (mid.bar): wilderness |
| 7 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 8 | הַ֖ר | har | [the] mountain of | H2022G | HNcmsc — Noun (Singular Masculine, Construct) | הַר (har): mountain: mount |
| 9 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 10 | צִיּֽוֹן\׃ | tzi.Yon | Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |

## Isaiah 16:2

**Original:** וְהָיָ֥ה כְעוֹף־ נוֹדֵ֖ד קֵ֣ן מְשֻׁלָּ֑ח תִּֽהְיֶ֙ינָה֙ בְּנ֣וֹת מוֹאָ֔ב מַעְבָּרֹ֖ת לְאַרְנֽוֹן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/הָיָ֥ה | ve./ha.Yah | and/ it will be | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 2 | כְ/עוֹף\־ | khe./'of- | like/ a bird | H5775 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | עוֹף (oph): bird |
| 3 | נוֹדֵ֖ד | no.Ded | fluttering | H5074 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | נָדַד (na.dad): to wander |
| 4 | קֵ֣ן | ken | a nest | H7064 | HNcmsa — Noun (Singular Masculine, Absolute) | קֵן (qen): nest |
| 5 | מְשֻׁלָּ֑ח | me.shu.Lach | sent away | H7971G | HVPsmsa — Verb : Pual (Intensive/resultive/transtive, Passive) Participle passive (Singular Masculine, Absolute) | שָׁלַח (sha.lach): to send: depart |
| 6 | תִּֽהְיֶ֙ינָה֙ | tih.Yei.nah | they will be | H1961 | HVqi3fp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Feminine | הָיָה (ha.yah): to be |
| 7 | בְּנ֣וֹת | be.Not | [the] daughters of | H1323G | HNcfpc — Noun (Plural Feminine, Construct) | בַּת (bat): daughter |
| 8 | מוֹאָ֔ב | mo.'Av | Moab | H4124G | HNpl — Proper Noun (Location) | מוֹאָב (mo.av): Moab |
