# STEP Bible — Isaiah 23

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 23:1

**Original:** מַשָּׂ֖א צֹ֑ר הֵילִ֣ילוּ׀ אֳנִיּ֣וֹת תַּרְשִׁ֗ישׁ כִּֽי־ שֻׁדַּ֤ד מִבַּ֙יִת֙ מִבּ֔וֹא מֵאֶ֥רֶץ כִּתִּ֖ים נִגְלָה־ לָֽמוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מַשָּׂ֖א | ma.Sa' | [the] oracle of | H4853B | HNcmsc — Noun (Singular Masculine, Construct) | מַשָּׂא (mas.sa): oracle |
| 2 | צֹ֑ר | Tzor | Tyre | H6865 | HNpl — Proper Noun (Location) | צֹר (tsor): Tyre |
| 3 | הֵילִ֣ילוּ\׀ | hei.Li.lu | wail | H3213 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | יָלַל (ya.lal): to wail |
| 4 | אֳנִיּ֣וֹת | 'o.ni.Yot | O ships of | H591 | HNcfpc — Noun (Plural Feminine, Construct) | אֳנִיָּה (o.niy.yah): fleet |
| 5 | תַּרְשִׁ֗ישׁ | tar.Shish | Tarshish | H8659H | HNpl — Proper Noun (Location) | תַּרְשִׁישׁ (tar.shish): Tarshish |
| 6 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 7 | שֻׁדַּ֤ד | shu.Dad | it has been devastated | H7703 | HVPp3ms — Verb : Pual (Intensive/resultive/transtive, Passive) Perfect (Past/present Indicative) Third Singular Masculine | שָׁדַד (sha.dad): to ruin |
| 8 | מִ/בַּ֙יִת֙ | mi./Ba.yit | from/ house | H1004B | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | בַּ֫יִת (ba.yit): house: home |
| 9 | מִ/בּ֔וֹא | mi./Bo' | from/ coming | H935I | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | בּוֹא (bo): to come (in): towards |
| 10 | מֵ/אֶ֥רֶץ | me./'E.retz | from/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 11 | כִּתִּ֖ים | ki.Tim | Cyprus | H3794H | HNpl — Proper Noun (Location) | כִּתִּי (kit.ti): Cyprus |
| 12 | נִגְלָה\־ | nig.lah- | it has been revealed | H1540H | HVNp3ms — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Masculine | גָּלָה (ga.lah): to reveal: reveal |
| 13 | לָֽ/מוֹ\׃ | la./mo | to/ them | H9005 | HR/Sp3mp — Preposition + Suffix (Third Plural Masculine) | /ל (l): to/for |

## Isaiah 23:2

**Original:** דֹּ֖מּוּ יֹ֣שְׁבֵי אִ֑י סֹחֵ֥ר צִיד֛וֹן עֹבֵ֥ר יָ֖ם מִלְאֽוּךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | דֹּ֖מּוּ | Do.mu | be silent | H1826B | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | דָּמַם (da.mam): to wail |
| 2 | יֹ֣שְׁבֵי | Yo.she.vei | O inhabitants of | H3427 | HVqrmpc — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) | יָשַׁב (ya.shav): to dwell |
| 3 | אִ֑י | 'I | [the] coastland | H339 | HNcmsa — Noun (Singular Masculine, Absolute) | אִי (i): coastland |
| 4 | סֹחֵ֥ר | so.Cher | [the] trader of | H5503 | HVqrmsc — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) | סָחַר (sa.char): to trade |
| 5 | צִיד֛וֹן | tzi.Don | Sidon | H6721H | HNpl — Proper Noun (Location) | צִידוֹן (tsi.don): Sidon |
| 6 | עֹבֵ֥ר | 'o.Ver | [who] passed over | H5674A | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | עָבַר (a.var): to pass |
| 7 | יָ֖ם | yam | [the] sea | H3220G | HNcmsa — Noun (Singular Masculine, Absolute) | יָם (yam): sea |
| 8 | מִלְאֽוּ/ךְ\׃ | mil.'U/kh | they have filled/ you | H4390 | HVpp3cp/Sp2fs — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Plural Either gender + Suffix (Second Singular Feminine) | מָלֵא (ma.le): to fill |

## Isaiah 23:3

**Original:** וּבְמַ֤יִם רַבִּים֙ זֶ֣רַע שִׁחֹ֔ר קְצִ֥יר יְא֖וֹר תְּבֽוּאָתָ֑הּ וַתְּהִ֖י סְחַ֥ר גּוֹיִֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בְ/מַ֤יִם | u./ve./Ma.yim | and/ on/ waters | H4325G | HC/R/Ncmpa — Conjunction + Preposition + Noun (Plural Masculine, Absolute) | מַי (ma.yim): water |
| 2 | רַבִּים֙ | ra.Bim | many | H7227A | HAampa — Adjective (Plural Masculine, Absolute) | רַב (rav): many |
