# STEP Bible — Isaiah 3

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 3:1

**Original:** כִּי֩ הִנֵּ֨ה הָאָד֜וֹן יְהוָ֣ה צְבָא֗וֹת מֵסִ֤יר מִירוּשָׁלִַ֙ם֙ וּמִ֣יהוּדָ֔ה מַשְׁעֵ֖ן וּמַשְׁעֵנָ֑ה כֹּ֚ל מִשְׁעַן־ לֶ֔חֶם וְכֹ֖ל מִשְׁעַן־ מָֽיִם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּי֩ | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | הִנֵּ֨ה | hi.Neh | here! | H2009 | HTj — Interjection | הִנֵּה (hin.neh): behold |
| 3 | הָ/אָד֜וֹן | ha./'a.Don | the/ lord | H113 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | אָדוֹן (a.don): lord |
| 4 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | צְבָא֗וֹת | tze.va.'ot | of hosts | H6635B | HNcfpa — Noun (Plural Feminine, Absolute) | צָבָא (tsa.va): Hosts |
| 6 | מֵסִ֤יר | me.Sir | [is] about to remove | H5493G | HVhrmsa — Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | סוּר (sur): to turn aside: remove |
| 7 | מִ/ירוּשָׁלִַ֙ם֙ | mi./ru.sha.Lim | from/ Jerusalem | H3389 | HR/Npl — Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 8 | וּ/מִ֣/יהוּדָ֔ה | u./Mi./hu.Dah | and/ from/ Judah | H3063G | HC/R/Npl — Conjunction + Preposition + Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 9 | מַשְׁעֵ֖ן | mash.'En | support | H4937B | HNcmsa — Noun (Singular Masculine, Absolute) | מִשְׁעֵן (mish.en): support |
| 10 | וּ/מַשְׁעֵנָ֑ה | u./mash.'e.Nah | and/ support | H4938A | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | מִשְׁעֵנָה (mish.e.nah): support |
| 11 | כֹּ֚ל | kol | every | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 12 | מִשְׁעַן\־ | mish.'an- | support of | H4937A | HNcmsc — Noun (Singular Masculine, Construct) | מִשְׁעָן (mish.an): support |
| 13 | לֶ֔חֶם | Le.chem | food | H3899H | HNcmsa — Noun (Singular Masculine, Absolute) | לֶ֫חֶם (le.chem): food: bread |
| 14 | וְ/כֹ֖ל | ve./Khol | and/ every | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 15 | מִשְׁעַן\־ | mish.'an- | support of | H4937A | HNcmsc — Noun (Singular Masculine, Construct) | מִשְׁעָן (mish.an): support |
| 16 | מָֽיִם\׃ | Ma.yim | water | H4325G | HNcmpa — Noun (Plural Masculine, Absolute) | מַי (ma.yim): water |

## Isaiah 3:2

**Original:** גִּבּ֖וֹר וְאִ֣ישׁ מִלְחָמָ֑ה שׁוֹפֵ֥ט וְנָבִ֖יא וְקֹסֵ֥ם וְזָקֵֽן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | גִּבּ֖וֹר | gi.Bor | warrior | H1368 | HNcmsa — Noun (Singular Masculine, Absolute) | גִּבּוֹר (gib.bor): mighty man |
| 2 | וְ/אִ֣ישׁ | ve./'Ish | and/ man of | H376G | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | אִישׁ (ish): man |
| 3 | מִלְחָמָ֑ה | mil.cha.Mah | war | H4421 | HNcfsa — Noun (Singular Feminine, Absolute) | מִלְחָמָה (mil.cha.mah): battle |
| 4 | שׁוֹפֵ֥ט | sho.Fet | judge | H8199 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | שָׁפַט (sha.phat): to judge |
| 5 | וְ/נָבִ֖יא | ve./na.Vi' | and/ prophet | H5030 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 6 | וְ/קֹסֵ֥ם | ve./ko.Sem | and/ diviner | H7080 | HC/Vqrmsa — Conjunction + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | קָסַם (qa.sam): to divine |
| 7 | וְ/זָקֵֽן\׃ | ve./za.Ken | and/ elder | H2205G | HC/Aamsa — Conjunction + Aamsa | זָקֵן (za.qen): old: elder |

## Isaiah 3:3

**Original:** שַׂר־ חֲמִשִּׁ֖ים וּנְשׂ֣וּא פָנִ֑ים וְיוֹעֵ֛ץ וַחֲכַ֥ם חֲרָשִׁ֖ים וּנְב֥וֹן לָֽחַשׁ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
