# STEP Bible — Isaiah 40

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 40:1

**Original:** נַחֲמ֥וּ נַחֲמ֖וּ עַמִּ֑י יֹאמַ֖ר אֱלֹהֵיכֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | נַחֲמ֥וּ | na.cha.Mu | comfort | H5162G | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | נָחַם (na.cham): to be sorry: comfort |
| 2 | נַחֲמ֖וּ | na.cha.Mu | comfort | H5162G | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | נָחַם (na.cham): to be sorry: comfort |
| 3 | עַמִּ֑/י | 'a.M/i | people/ my | H5971A | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | עַם (am): people |
| 4 | יֹאמַ֖ר | yo.Mar | he says | H559 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | אָמַר (a.mar): to say |
| 5 | אֱלֹהֵי/כֶֽם\׃ | 'e.lo.hei./Khem | God/ your | H430G | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֱלֹהִים (e.lo.him): God |

## Isaiah 40:2

**Original:** דַּבְּר֞וּ עַל־ לֵ֤ב יְרֽוּשָׁלִַ֙ם֙ וְקִרְא֣וּ אֵלֶ֔יהָ כִּ֤י מָֽלְאָה֙ צְבָאָ֔הּ כִּ֥י נִרְצָ֖ה עֲוֹנָ֑הּ כִּ֤י לָקְחָה֙ מִיַּ֣ד יְהוָ֔ה כִּפְלַ֖יִם בְּכָל־ חַטֹּאתֶֽיהָ׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | דַּבְּר֞וּ | da.be.Ru | speak | H1696G | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | דָבַר (da.var): to speak: speak |
| 2 | עַל\־ | 'al- | to | H5921A | HR — Preposition | עַל (al): upon |
| 3 | לֵ֤ב | lev | [the] heart of | H3820A | HNcmsc — Noun (Singular Masculine, Construct) | לֵב (lev): heart |
| 4 | יְרֽוּשָׁלִַ֙ם֙ | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 5 | וְ/קִרְא֣וּ | ve./kir.'U | and/ proclaim | H7121G | HC/Vqv2mp — Conjunction + Verb : Qal (Simple, Active) Imperative Second Plural Masculine | קָרָא (qa.ra): to call: call to |
| 6 | אֵלֶ֔י/הָ | 'e.Lei./ha | to/ it | H413 | HR/Sp3fs — Preposition + Suffix (Third Singular Feminine) | אֶל (el): to(wards) |
| 7 | כִּ֤י | ki | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 8 | מָֽלְאָה֙ | mal.'Ah | it has been completed | H4390 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | מָלֵא (ma.le): to fill |
| 9 | צְבָאָ֔/הּ | tze.va.'A/h | service/ its | H6635H | HNcmsc/Sp3fs — Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | צָבָא (tsa.va): army: war |
| 10 | כִּ֥י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 11 | נִרְצָ֖ה | nir.Tzah | it has been accepted | H7521 | HVNp3ms — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Masculine | רָצָה (ra.tsah): to accept |
| 12 | עֲוֹנָ֑/הּ | 'a.vo.Na/h | iniquity/ its | H5771G | HNcmsc/Sp3fs — Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | עָוֺן (a.van): iniquity: crime |
| 13 | כִּ֤י | ki | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 14 | לָקְחָה֙ | la.ke.Chah | it has received | H3947H | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | לָקַח (la.qach): to take: recieve |
| 15 | מִ/יַּ֣ד | mi./Yad | from/ [the] hand of | H3027G | HR/Ncbsc — Preposition + Noun (Singular Either gender, Construct) | יָד (yad): hand |
| 16 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 17 | כִּפְלַ֖יִם | kif.La.yim | double | H3718 | HNcmda — Noun (Dual Masculine, Absolute) | כֶּ֫פֶל (ke.phel): double |
| 18 | בְּ/כָל\־ | be./khol | for/ all | H3605 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 19 | חַטֹּאתֶֽי/הָ\׃\ \ס | cha.to.Tei./ha | sins/ its | H2403B | HNcfpc/Sp3fs — Noun (Plural Feminine, Construct) + Suffix (Third Singular Feminine) | חַטָּאת (chat.tat): sin |

## Isaiah 40:3

**Original:** ק֣וֹל קוֹרֵ֔א בַּמִּדְבָּ֕ר פַּנּ֖וּ דֶּ֣רֶךְ יְהוָ֑ה יַשְּׁרוּ֙ בָּעֲרָבָ֔ה מְסִלָּ֖ה לֵאלֹהֵֽינוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | ק֣וֹל | Kol | a voice | H6963A | HNcmsa — Noun (Singular Masculine, Absolute) | קוֹל (qol): voice |
| 2 | קוֹרֵ֔א | ko.Re' | [is] calling | H7121I | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | קָרָא (qa.ra): to call: call out |
| 3 | בַּ/מִּדְבָּ֕ר | ba./mid.Bar | in the/ wilderness | H4057B | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | מִדְבָּר (mid.bar): wilderness |
| 4 | פַּנּ֖וּ | pa.Nu | make clear | H6437G | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | פָּנָה (pa.nah): to turn |
| 5 | דֶּ֣רֶךְ | De.rekh | [the] way of | H1870K | HNcbsc — Noun (Singular Either gender, Construct) | דֶּ֫רֶךְ (de.rekh): way: road |
| 6 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | יַשְּׁרוּ֙ | ya.she.Ru | make straight | H3474 | HVpv2mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Plural Masculine | יָשַׁר (ya.shar): to smooth |
| 8 | בָּ/עֲרָבָ֔ה | ba./'a.ra.Vah | in the/ desert plain | H6160L | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | עֲרָבָה (a.ra.vah): plain |
| 9 | מְסִלָּ֖ה | me.si.Lah | a highway | H4546 | HNcfsa — Noun (Singular Feminine, Absolute) | מְסִלָּה (me.sil.lah): highway |
| 10 | לֵ/אלֹהֵֽי/נוּ\׃ | le./lo.Hei./nu | for/ God/ our | H430G | HR/Ncmpc/Sp1bp — Preposition + Noun (Plural Masculine, Construct) + Suffix (First Plural Either gender) | אֱלֹהִים (e.lo.him): God |

## Isaiah 40:4

**Original:** כָּל־ גֶּיא֙ יִנָּשֵׂ֔א וְכָל־ הַ֥ר וְגִבְעָ֖ה יִשְׁפָּ֑לוּ וְהָיָ֤ה הֶֽעָקֹב֙ לְמִישׁ֔וֹר וְהָרְכָסִ֖ים לְבִקְעָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כָּל\־ | kol- | every | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 2 | גֶּיא֙ | gei' | valley | H1516R | HNcbsa — Noun (Singular Either gender, Absolute) | גַּיְא (gay): valley |
| 3 | יִנָּשֵׂ֔א | yi.na.Se' | it will be lifted up | H5375G | HVNi3ms — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | נָשָׂא (na.sa): to lift: raise |
| 4 | וְ/כָל\־ | ve./khol | and/ every | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 5 | הַ֥ר | har | mountain | H2022G | HNcmsa — Noun (Singular Masculine, Absolute) | הַר (har): mountain: mount |
| 6 | וְ/גִבְעָ֖ה | ve./giv.'Ah | and/ hill | H1389I | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | גִּבְעָה (giv.ah): hill |
| 7 | יִשְׁפָּ֑לוּ | yish.Pa.lu | they will become low | H8213 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | שָׁפֵל (sha.phel): to abase |
| 8 | וְ/הָיָ֤ה | ve./ha.Yah | and/ it will become | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 9 | הֶֽ/עָקֹב֙ | he./'a.Ko | the/ steep [place] | H6121B | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עָקֹב (a.qov): steep |
| 10 | לְ/מִישׁ֔וֹר | le./mi.Shor | <into>/ level ground | H4334 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | מִישׁוֹר (mi.shor): plain |
| 11 | וְ/הָ/רְכָסִ֖ים | ve./ha./re.kha.Sim | and/ the/ rough places | H7406 | HC/Td/Ncmpa — Conjunction + Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | רֶ֫כֶס (re.khes): roughness |
| 12 | לְ/בִקְעָֽה\׃ | le./vik.'Ah | <into>/ a plain | H1237K | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | בִּקְעָה (biq.ah): valley |

## Isaiah 40:5

**Original:** וְנִגְלָ֖ה כְּב֣וֹד יְהוָ֑ה וְרָא֤וּ כָל־ בָּשָׂר֙ יַחְדָּ֔ו כִּ֛י פִּ֥י יְהוָ֖ה דִּבֵּֽר׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/נִגְלָ֖ה | ve./nig.Lah | and/ it will be revealed | H1540H | Hc/VNq3ms — Consecutive Conjunction + Verb : Niphal (Simple, Passive) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | גָּלָה (ga.lah): to reveal: reveal |
| 2 | כְּב֣וֹד | ke.Vod | [the] glory of | H3519 | HNcmsc — Noun (Singular Masculine, Construct) | כָּבוֹד (ka.vod): glory |
| 3 | יְהוָ֑ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | וְ/רָא֤וּ | ve./ra.'U | and/ they will see [it] | H7200G | Hc/Vqq3cp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | רָאָה (ra.ah): to see: see |
| 5 | כָל\־ | khol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 6 | בָּשָׂר֙ | ba.Sar | flesh | H1320 | HNcmsa — Noun (Singular Masculine, Absolute) | בָּשָׂר (ba.sar): flesh |
| 7 | יַחְדָּ֔ו | yach.Dav | together | H3162B | HD — Adverb | יָחְדָּו (yach.dav): together |
| 8 | כִּ֛י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 9 | פִּ֥י | pi | [the] mouth of | H6310G | HNcmsc — Noun (Singular Masculine, Construct) | פֶּה (peh): lip |
| 10 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 11 | דִּבֵּֽר\׃\ \ס | di.Ber | it has spoken | H1696G | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |

## Isaiah 40:6

**Original:** ק֚וֹל אֹמֵ֣ר קְרָ֔א וְאָמַ֖ר מָ֣ה אֶקְרָ֑א כָּל־ הַבָּשָׂ֣ר חָצִ֔יר וְכָל־ חַסְדּ֖וֹ כְּצִ֥יץ הַשָּׂדֶֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | ק֚וֹל | Kol | a voice | H6963A | HNcmsa — Noun (Singular Masculine, Absolute) | קוֹל (qol): voice |
| 2 | אֹמֵ֣ר | 'o.Mer | [is] saying | H559 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | אָמַר (a.mar): to say |
| 3 | קְרָ֔א | ke.Ra' | proclaim | H7121I | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | קָרָא (qa.ra): to call: call out |
| 4 | וְ/אָמַ֖ר | ve./'a.Mar | and/ he said | H559 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 5 | מָ֣ה | mah | what? | H4100 | HPi — Interrogative Pronoun | מָה (mah): what? |
| 6 | אֶקְרָ֑א | 'ek.Ra' | will I proclaim | H7121I | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | קָרָא (qa.ra): to call: call out |
| 7 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 8 | הַ/בָּשָׂ֣ר | ha./ba.Sar | <the>/ flesh | H1320 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | בָּשָׂר (ba.sar): flesh |
| 9 | חָצִ֔יר | cha.Tzir | [is] grass | H2682A | HNcmsa — Noun (Singular Masculine, Absolute) | חָצִיר (cha.tsir): grass |
| 10 | וְ/כָל\־ | ve./khol | and/ all | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 11 | חַסְדּ֖/וֹ | chas.D/o | loyalty/ its | H2617A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | חֶ֫סֶד (che.sed): kindness |
| 12 | כְּ/צִ֥יץ | ke./Tzitz | [is] like/ [the] flower of | H6731A | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | צִיץ (tsits): flower |
| 13 | הַ/שָּׂדֶֽה\׃ | ha./sa.Deh | the/ field | H7704G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | שָׂדֶה (sa.deh): land: country |

## Isaiah 40:7

**Original:** יָבֵ֤שׁ חָצִיר֙ נָ֣בֵֽל צִ֔יץ כִּ֛י ר֥וּחַ יְהוָ֖ה נָ֣שְׁבָה בּ֑וֹ אָכֵ֥ן חָצִ֖יר הָעָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יָבֵ֤שׁ | ya.Vesh | it dries up | H3001 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָבֵשׁ (ya.vesh): to wither |
| 2 | חָצִיר֙ | cha.Tzir | grass | H2682A | HNcmsa — Noun (Singular Masculine, Absolute) | חָצִיר (cha.tsir): grass |
| 3 | נָ֣בֵֽל | Na.vel | it withers | H5034B | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | נָבֵל (na.vel): to wither |
| 4 | צִ֔יץ | Tzitz | a flower | H6731A | HNcmsa — Noun (Singular Masculine, Absolute) | צִיץ (tsits): flower |
| 5 | כִּ֛י | ki | if | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 6 | ר֥וּחַ | Ru.ach | [the] breath of | H7307H | HNcfsc — Noun (Singular Feminine, Construct) | רוּחַ (ru.ach): spirit: breath |
| 7 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 8 | נָ֣שְׁבָה | Na.she.vah | it blows | H5380 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | נָשַׁב (na.shav): to blow |
| 9 | בּ֑/וֹ | b/o | on/ it | H9003 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ב (b): in/on/with |
| 10 | אָכֵ֥ן | 'a.Khen | truly | H403 | HTj — Interjection | אָכֵן (a.khen): surely |
| 11 | חָצִ֖יר | cha.Tzir | [is] grass | H2682A | HNcmsa — Noun (Singular Masculine, Absolute) | חָצִיר (cha.tsir): grass |
| 12 | הָ/עָֽם\׃ | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |

## Isaiah 40:8

**Original:** יָבֵ֥שׁ חָצִ֖יר נָ֣בֵֽל צִ֑יץ וּדְבַר־ אֱלֹהֵ֖ינוּ יָק֥וּם לְעוֹלָֽם׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יָבֵ֥שׁ | ya.Vesh | it dries up | H3001 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָבֵשׁ (ya.vesh): to wither |
| 2 | חָצִ֖יר | cha.Tzir | grass | H2682A | HNcmsa — Noun (Singular Masculine, Absolute) | חָצִיר (cha.tsir): grass |
| 3 | נָ֣בֵֽל | Na.vel | it withers | H5034B | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | נָבֵל (na.vel): to wither |
| 4 | צִ֑יץ | Tzitz | a flower | H6731A | HNcmsa — Noun (Singular Masculine, Absolute) | צִיץ (tsits): flower |
| 5 | וּ/דְבַר\־ | u./de.var- | and/ [the] word of | H1697G | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | דָּבָר (da.var): word |
| 6 | אֱלֹהֵ֖י/נוּ | 'e.lo.Hei./nu | God/ our | H430G | HNcmpc/Sp1bp — Noun (Plural Masculine, Construct) + Suffix (First Plural Either gender) | אֱלֹהִים (e.lo.him): God |
| 7 | יָק֥וּם | ya.Kum | it will stand | H6965I | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | קוּם (qum): to arise: establish |
| 8 | לְ/עוֹלָֽם\׃\ \ס | le./'o.Lam | for/ ever | H5769G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | עוֹלָם (o.lam): forever: enduring |

## Isaiah 40:9

**Original:** עַ֣ל הַר־ גָּבֹ֤הַ עֲלִי־ לָךְ֙ מְבַשֶּׂ֣רֶת צִיּ֔וֹן הָרִ֤ימִי בַכֹּ֙חַ֙ קוֹלֵ֔ךְ מְבַשֶּׂ֖רֶת יְרוּשָׁלִָ֑ם הָרִ֙ימִי֙ אַל־ תִּירָ֔אִי אִמְרִי֙ לְעָרֵ֣י יְהוּדָ֔ה הִנֵּ֖ה אֱלֹהֵיכֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עַ֣ל | 'al | on | H5921A | HR — Preposition | עַל (al): upon |
| 2 | הַר\־ | har- | a mountain | H2022G | HNcmsa — Noun (Singular Masculine, Absolute) | הַר (har): mountain: mount |
| 3 | גָּבֹ֤הַ | ga.Vo.ha | high | H1364 | HAamsa — Adjective (Singular Masculine, Absolute) | גָּבֹהַּ (ga.vo.ah): high |
| 4 | עֲלִי\־ | 'a.li- | go up | H5927G | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | עָלָה (a.lah): to ascend: rise |
| 5 | לָ/ךְ֙ | lo/Kh | <for>/ yourself | H9005 | HR/Sp2fs — Preposition + Suffix (Second Singular Feminine) | /ל (l): to/for |
| 6 | מְבַשֶּׂ֣רֶת | me.va.Se.ret | O bearer of news of | H1319 | HVprfsc — Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Feminine, Construct) | בָּשַׂר (ba.sar): to bear tidings |
| 7 | צִיּ֔וֹן | tzi.Yon | Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |
| 8 | הָרִ֤ימִי | ha.Ri.mi | lift up | H7311A | HVhv2fs — Verb : Hiphil (Causative/declarative, Active) Imperative Second Singular Feminine | רוּם (rum): to exalt |
| 9 | בַ/כֹּ֙חַ֙ | va./Ko.ach | with <the>/ strength | H3581B | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | כֹּחַ (ko.ach): strength |
| 10 | קוֹלֵ֔/ךְ | ko.Le/kh | voice/ your | H6963A | HNcmsc/Sp2fs — Noun (Singular Masculine, Construct) + Suffix (Second Singular Feminine) | קוֹל (qol): voice |
| 11 | מְבַשֶּׂ֖רֶת | me.va.Se.ret | O bearer of news of | H1319 | HVprfsc — Verb : Piel (Intensive/resultive/transtive, Active) Participle (Singular Feminine, Construct) | בָּשַׂר (ba.sar): to bear tidings |
| 12 | יְרוּשָׁלִָ֑ם | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 13 | הָרִ֙ימִי֙ | ha.Ri.mi | lift [it] up | H7311A | HVhv2fs — Verb : Hiphil (Causative/declarative, Active) Imperative Second Singular Feminine | רוּם (rum): to exalt |
| 14 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 15 | תִּירָ֔אִי | ti.Ra.'i | you be afraid | H3372G | HVqj2fs — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Singular Feminine | יָרֵא (ya.re): to fear |
| 16 | אִמְרִי֙ | 'im.Ri | say | H559 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | אָמַר (a.mar): to say |
| 17 | לְ/עָרֵ֣י | le./'a.Rei | to/ [the] cities of | H5892B | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | עִיר (ir): city |
| 18 | יְהוּדָ֔ה | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 19 | הִנֵּ֖ה | hi.Neh | here! | H2009 | HTj — Interjection | הִנֵּה (hin.neh): behold |
| 20 | אֱלֹהֵי/כֶֽם\׃ | 'e.lo.hei./Khem | God/ your | H430G | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | אֱלֹהִים (e.lo.him): God |

## Isaiah 40:10

**Original:** הִנֵּ֨ה אֲדֹנָ֤י יְהוִה֙ בְּחָזָ֣ק יָב֔וֹא וּזְרֹע֖וֹ מֹ֣שְׁלָה ל֑וֹ הִנֵּ֤ה שְׂכָרוֹ֙ אִתּ֔וֹ וּפְעֻלָּת֖וֹ לְפָנָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הִנֵּ֨ה | hi.Neh | here! | H2009 | HTj — Interjection | הִנֵּה (hin.neh): behold |
| 2 | אֲדֹנָ֤י | 'a.do.Nai | [the] Lord | H136 | HNpt — Proper Noun (Title) | אֲדֹנָי (a.do.nai): Lord |
| 3 | יְהוִה֙ | Yah.weh | Yahweh | H3069 | HNpt — Proper Noun (Title) | יְהֹוִה (ye.ho.vih): YHWH/God |
| 4 | בְּ/חָזָ֣ק | be./cha.Zak | <in>/ a strong [one] | H2389 | HR/Aamsa — Preposition + Aamsa | חָזָק (cha.zaq): strong |
| 5 | יָב֔וֹא | ya.Vo' | he will come | H935G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 6 | וּ/זְרֹע֖/וֹ | u./ze.ro.'/O | and/ arm/ his | H2220 | HC/Ncfsc/Sp3ms — Conjunction + Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | זְרוֹעַ (ze.ro.a): arm |
| 7 | מֹ֣שְׁלָה | Mo.she.lah | [is] ruling | H4910 | HVqrfsa — Verb : Qal (Simple, Active) Participle (Singular Feminine, Absolute) | מָשַׁל (ma.shal): to rule |
| 8 | ל֑/וֹ | l/o | for/ him | H9005 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ל (l): to/for |
| 9 | הִנֵּ֤ה | hi.Neh | here! | H2009 | HTj — Interjection | הִנֵּה (hin.neh): behold |
| 10 | שְׂכָר/וֹ֙ | se.kha.R/o | reward/ his | H7939 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | שָׂכָר (sa.khar): wages |
