# STEP Bible — Isaiah 45

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 45:1

**Original:** כֹּה־ אָמַ֣ר יְהוָה֮ לִמְשִׁיחוֹ֮ לְכ֣וֹרֶשׁ אֲשֶׁר־ הֶחֱזַ֣קְתִּי בִֽימִינ֗וֹ לְרַד־ לְפָנָיו֙ גּוֹיִ֔ם וּמָתְנֵ֥י מְלָכִ֖ים אֲפַתֵּ֑חַ לִפְתֹּ֤חַ לְפָנָיו֙ דְּלָתַ֔יִם וּשְׁעָרִ֖ים לֹ֥א יִסָּגֵֽרוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּה\־ | koh- | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | אָמַ֣ר | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 3 | יְהוָה֮ | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | לִ/מְשִׁיח/וֹ֮ | li/m.shi.Ch/o | to/ anointed/ his | H4899 | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | מָשִׁיחַ (ma.shi.ach): anointed |
| 5 | לְ/כ֣וֹרֶשׁ | le./Kho.resh | to/ Cyrus | H3566 | HR/Npm — Preposition + Proper Noun (Masculine individual) | כּ֫וֹרֶשׁ (ko.resh): Cyrus |
| 6 | אֲשֶׁר\־ | 'a.Sher- | whom | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 7 | הֶחֱזַ֣קְתִּי | he.che.Zak.ti | I have taken hold | H2388H | HVhp1cs — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) First Singular Either gender | חָזַק (cha.zaq): to strengthen: hold |
| 8 | בִֽ/ימִינ֗/וֹ | vi./mi.N/o | on/ right [hand]/ his | H3225G | HR/Ncfsc/Sp3ms — Preposition + Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | יָמִין (ya.min): right |
| 9 | לְ/רַד\־ | le./rad- | to/ subdue | H7286 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | רָדַד (ra.dad): to subdue |
| 10 | לְ/פָנָי/ו֙ | le./fa.Na/v | <to>/ before/ him | H6440G | HR/Ncmpc/Sp3ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | פָּנֶה (pa.neh): face: before |
| 11 | גּוֹיִ֔ם | go.Yim | nations | H1471A | HNcmpa — Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 12 | וּ/מָתְנֵ֥י | u./ma.te.Nei | and/ [the] loins of | H4975 | HC/Ncmdc — Conjunction + Noun (Dual Masculine, Construct) | מׇתְנַ֫יִם (mo.ten): loin |
| 13 | מְלָכִ֖ים | me.la.Khim | kings | H4428G | HNcmpa — Noun (Plural Masculine, Absolute) | מֶ֫לֶךְ (me.lekh): king |
| 14 | אֲפַתֵּ֑חַ | 'a.fa.Te.ach | I will loosen | H6605A | HVpi1cs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | פָּתַח (pa.tach): to open |
| 15 | לִ/פְתֹּ֤חַ | li/f.To.ach | to/ open | H6605A | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | פָּתַח (pa.tach): to open |
| 16 | לְ/פָנָי/ו֙ | le./fa.Na/v | <to>/ before/ him | H6440G | HR/Ncmpc/Sp3ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | פָּנֶה (pa.neh): face: before |
| 17 | דְּלָתַ֔יִם | de.la.Ta.yim | doors | H1817C | HNcfda — Noun (Dual Feminine, Absolute) | דֶּ֫לֶת (de.let): door |
| 18 | וּ/שְׁעָרִ֖ים | u./she.'a.Rim | and/ gates | H8179G | HC/Ncmpa — Conjunction + Noun (Plural Masculine, Absolute) | שַׁ֫עַר (sha.ar): gate |
| 19 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 20 | יִסָּגֵֽרוּ\׃ | yi.sa.Ge.ru | they will be shut | H5462 | HVNi3mp — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | סָגַר (sa.gar): to shut |

## Isaiah 45:2

**Original:** אֲנִי֙ לְפָנֶ֣יךָ אֵלֵ֔ךְ וַהֲדוּרִ֖ים אֲיַשֵּׁ֑ר דַּלְת֤וֹת נְחוּשָׁה֙ אֲשַׁבֵּ֔ר וּבְרִיחֵ֥י בַרְזֶ֖ל אֲגַדֵּֽעַ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֲנִי֙ | 'a.Ni | I | H589 | HPp1bs — Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 2 | לְ/פָנֶ֣י/ךָ | le./fa.Nei./kha | <to>/ before/ you | H6440G | HR/Ncmpc/Sp2ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | פָּנֶה (pa.neh): face: before |
| 3 | אֵלֵ֔ךְ | 'e.Lekh | I will go | H1980G | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | הָלַךְ (ha.lakh): to go: went |
| 4 | וַ/הֲדוּרִ֖ים | va./ha.du.Rim | and/ [the] mountainous land<s> | H1921 | HC/Ncmpa — Conjunction + Noun (Plural Masculine, Absolute) | הָדַר (ha.dar): to honor |
| 5 | אֲיַשֵּׁ֑ר | 'o.shir | I will make smooth | H3474 | HVpi1cs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | יָשַׁר (ya.shar): to smooth |
| 6 | דַּלְת֤וֹת | dal.Tot | doors of | H1817C | HNcfpc — Noun (Plural Feminine, Construct) | דֶּ֫לֶת (de.let): door |
| 7 | נְחוּשָׁה֙ | ne.chu.Shah | bronze | H5154 | HNcfsa — Noun (Singular Feminine, Absolute) | נְחוּשָׁה (ne.chu.shah): bronze |
| 8 | אֲשַׁבֵּ֔ר | 'a.sha.Ber | I will break | H7665 | HVpi1cs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | שָׁבַר (sha.var): to break |
| 9 | וּ/בְרִיחֵ֥י | u./ve.ri.Chei | and/ bars of | H1280 | HC/Ncmpc — Conjunction + Noun (Plural Masculine, Construct) | בְּרִיחַ (be.ri.ach): bar |
| 10 | בַרְזֶ֖ל | var.Zel | iron | H1270 | HNcmsa — Noun (Singular Masculine, Absolute) | בַּרְזֶל (bar.zel): iron |
| 11 | אֲגַדֵּֽעַ\׃ | 'a.ga.De.a' | I will cut through | H1438 | HVpi1cs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | גָּדַע (ga.da): to cut down/off |

## Isaiah 45:3

**Original:** וְנָתַתִּ֤י לְךָ֙ אוֹצְר֣וֹת חֹ֔שֶׁךְ וּמַטְמֻנֵ֖י מִסְתָּרִ֑ים לְמַ֣עַן תֵּדַ֗ע כִּֽי־ אֲנִ֧י יְהוָ֛ה הַקּוֹרֵ֥א בְשִׁמְךָ֖ אֱלֹהֵ֥י יִשְׂרָאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/נָתַתִּ֤י | ve./na.ta.Ti | and/ I will give | H5414G | Hc/Vqq1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) First Singular Either gender | נָתַן (na.tan): to give: give |
| 2 | לְ/ךָ֙ | le./Kha | to/ you | H9005 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 3 | אוֹצְר֣וֹת | 'otz.Rot | treasures of | H214 | HNcfpc — Noun (Plural Feminine, Construct) | אוֹצָר (o.tsar): treasure |
| 4 | חֹ֔שֶׁךְ | Cho.shekh | darkness | H2822 | HNcmsa — Noun (Singular Masculine, Absolute) | חֹ֫שֶׁךְ (cho.shekh): darkness |
| 5 | וּ/מַטְמֻנֵ֖י | u./mat.mu.Nei | and/ hidden treasures of | H4301 | HC/Ncmpc — Conjunction + Noun (Plural Masculine, Construct) | מַטְמוֹן (mat.mon): treasure |
| 6 | מִסְתָּרִ֑ים | mis.ta.Rim | secret places | H4565 | HNcmpa — Noun (Plural Masculine, Absolute) | מִסְתָּר (mis.tar): hiding |
| 7 | לְמַ֣עַן | le.Ma.'an | so that | H4616 | HTc — Conditional Particle | מַ֫עַן (ma.an): because |
| 8 | תֵּדַ֗ע | te.Da' | you may know | H3045 | HVqj2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Singular Masculine | יָדַע (ya.da): to know |
| 9 | כִּֽי\־ | ki- | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 10 | אֲנִ֧י | 'a.Ni | I | H589 | HPp1bs — Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 11 | יְהוָ֛ה | Yah.weh | [am] Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 12 | הַ/קּוֹרֵ֥א | ha./ko.Re' | who/ calls | H7121G | HTd/Vqrmsa — Definite article (Hebrew) + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | קָרָא (qa.ra): to call: call to |
| 13 | בְ/שִׁמְ/ךָ֖ | ve./shim./Kha | by/ name/ your | H8034 | HR/Ncmsc/Sp2ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | שֵׁם (shem): name |
| 14 | אֱלֹהֵ֥י | 'e.lo.Hei | [the] God of | H430G | HNcmpc — Noun (Plural Masculine, Construct) | אֱלֹהִים (e.lo.him): God |
| 15 | יִשְׂרָאֵֽל\׃ | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |

## Isaiah 45:4

**Original:** לְמַ֙עַן֙ עַבְדִּ֣י יַעֲקֹ֔ב וְיִשְׂרָאֵ֖ל בְּחִירִ֑י וָאֶקְרָ֤א לְךָ֙ בִּשְׁמֶ֔ךָ אֲכַנְּךָ֖ וְלֹ֥א יְדַעְתָּֽנִי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לְמַ֙עַן֙ | le.Ma.'an | for [the] sake of | H4616 | HTc — Conditional Particle | מַ֫עַן (ma.an): because |
| 2 | עַבְדִּ֣/י | 'av.D/i | servant/ my | H5650 | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | עֶ֫בֶד (e.ved): servant/slave |
| 3 | יַעֲקֹ֔ב | ya.'a.Ko | Jacob | H3290 | HNpm — Proper Noun (Masculine individual) | יַעֲקֹב (ya.a.qov): Jacob |
| 4 | וְ/יִשְׂרָאֵ֖ל | ve./Yis.ra.'El | and/ Israel | H3478 | HC/Npl — Conjunction + Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 5 | בְּחִירִ֑/י | be.chi.R/i | chosen one/ my | H972 | HAamsc/Sp1bs — Adjective (Singular Masculine, Construct) + Suffix (First Singular Either gender) | בָּחִיר (ba.chir): chosen |
| 6 | וָ/אֶקְרָ֤א | va./'ek.Ra' | and/ I summoned | H7121G | Hc/Vqw1cs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) First Singular Either gender | קָרָא (qa.ra): to call: call to |
| 7 | לְ/ךָ֙ | le./Kha | <to>/ you | H9005 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 8 | בִּ/שְׁמֶ֔/ךָ | bi/sh.Me./kha | by/ name/ your | H8034 | HR/Ncmsc/Sp2ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | שֵׁם (shem): name |
