# STEP Bible — Isaiah 46

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 46:1

**Original:** כָּרַ֥ע בֵּל֙ קֹרֵ֣ס נְב֔וֹ הָיוּ֙ עֲצַבֵּיהֶ֔ם לַחַיָּ֖ה וְלַבְּהֵמָ֑ה נְשֻׂאֹתֵיכֶ֣ם עֲמוּס֔וֹת מַשָּׂ֖א לַעֲיֵפָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כָּרַ֥ע | ka.Ra' | he has bowed down | H3766 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | כָּרַע (ka.ra): to bow |
| 2 | בֵּל֙ | bel | Bel | H1078 | HNpt — Proper Noun (Title) | בֵּל (bel): Bel |
| 3 | קֹרֵ֣ס | ko.Res | [is] stooping low | H7164 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | קָרַס (qa.ras): to stoop |
| 4 | נְב֔וֹ | ne.Vo | Nebo | H5015B | HNpt — Proper Noun (Title) | נְבוֹ (ne.vo): Nebo |
| 5 | הָיוּ֙ | ha.Yu | they belong | H1961 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | הָיָה (ha.yah): to be |
| 6 | עֲצַבֵּי/הֶ֔ם | 'a.tza.bei./Hem | idols/ their | H6091 | HNcmpc/Sp3mp — Noun (Plural Masculine, Construct) + Suffix (Third Plural Masculine) | עָצָב (a.tsav): idol |
| 7 | לַ/חַיָּ֖ה | la./chai.Yah | to the/ animal[s] | H2416C | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | חַיָּה (chay.yah): living thing |
| 8 | וְ/לַ/בְּהֵמָ֑ה | ve./la./be.he.Mah | and/ to the/ cattle | H929 | HC/Rd/Ncfsa — Conjunction + Preposition (Definite) + Noun (Singular Feminine, Absolute) | בְּהֵמָה (be.he.mah): animal |
| 9 | נְשֻׂאֹתֵי/כֶ֣ם | ne.su.'o.tei./Khem | burdens/ your | H5385 | HNcfpc/Sp2mp — Noun (Plural Feminine, Construct) + Suffix (Second Plural Masculine) | נְשׂוּאָה (ne.su.ah): burden |
| 10 | עֲמוּס֔וֹת | a.mu.Sot | [are] carried | H6006 | HVqsfpa — Verb : Qal (Simple, Passive) Participle passive (Plural Feminine, Absolute) | עָמַס (a.mas): to lift |
| 11 | מַשָּׂ֖א | ma.Sa' | a load | H4853A | HNcmsa — Noun (Singular Masculine, Absolute) | מַשָּׂא (mas.sa): burden |
| 12 | לַ/עֲיֵפָֽה\׃ | la./'a.ye.Fah | for/ a weary [animal] | H5889 | HR/Aafsa — Preposition + Aafsa | עָיֵף (a.yeph): faint |

## Isaiah 46:2

**Original:** קָרְס֤וּ כָֽרְעוּ֙ יַחְדָּ֔ו לֹ֥א יָכְל֖וּ מַלֵּ֣ט מַשָּׂ֑א וְנַפְשָׁ֖ם בַּשְּׁבִ֥י הָלָֽכָה׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | קָרְס֤וּ | ka.re.Su | they have stooped low | H7164 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | קָרַס (qa.ras): to stoop |
| 2 | כָֽרְעוּ֙ | kha.re.'U | they have bowed down | H3766 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | כָּרַע (ka.ra): to bow |
| 3 | יַחְדָּ֔ו | yach.Dav | together | H3162B | HD — Adverb | יָחְדָּו (yach.dav): together |
| 4 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 5 | יָכְל֖וּ | ya.khe.Lu | they have been able | H3201 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | יָכֹל (ya.khol): be able |
| 6 | מַלֵּ֣ט | ma.Let | to rescue | H4422 | HVpcc — Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | מָלַט (ma.lat): to escape |
