# STEP Bible — Isaiah 47

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 47:1

**Original:** רְדִ֣י׀ וּשְׁבִ֣י עַל־ עָפָ֗ר בְּתוּלַת֙ בַּת־ בָּבֶ֔ל שְׁבִי־ לָאָ֥רֶץ אֵין־ כִּסֵּ֖א בַּת־ כַּשְׂדִּ֑ים כִּ֣י לֹ֤א תוֹסִ֙יפִי֙ יִקְרְאוּ־ לָ֔ךְ רַכָּ֖ה וַעֲנֻגָּֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | רְדִ֣י\׀ | re.Di | go down | H3381 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | יָרַד (ya.rad): to go down |
| 2 | וּ/שְׁבִ֣י | u./she.Vi | and/ sit | H3427 | HC/Vqv2fs — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Feminine | יָשַׁב (ya.shav): to dwell |
| 3 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 4 | עָפָ֗ר | 'a.Far | [the] dust | H6083 | HNcmsa — Noun (Singular Masculine, Absolute) | עָפָר (a.phar): dust |
| 5 | בְּתוּלַת֙ | be.tu.Lat | O virgin of | H1330 | HNcfsc — Noun (Singular Feminine, Construct) | בְּתוּלָה (be.tu.lah): virgin |
| 6 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 7 | בָּבֶ֔ל | ba.Vel | Babylon | H894 | HNpl — Proper Noun (Location) | בָּבֶ֫ל, בָּבֶל (ba.vel): Babylon |
| 8 | שְׁבִי\־ | she.vi- | sit | H3427 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | יָשַׁב (ya.shav): to dwell |
| 9 | לָ/אָ֥רֶץ | la./'A.retz | to the/ ground | H776H | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: soil |
| 10 | אֵין\־ | 'ein- | there not | H369 | HNcmsc — Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 11 | כִּסֵּ֖א | ki.Se' | [is] a throne | H3678G | HNcmsa — Noun (Singular Masculine, Absolute) | כִּסֵּא (kis.se): throne |
| 12 | בַּת\־ | bat- | O daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 13 | כַּשְׂדִּ֑ים | kas.Dim | [the] Chaldeans | H3778 | HNpl — Proper Noun (Location) | כַּשְׂדִּים (kas.di): Chaldea |
| 14 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 15 | לֹ֤א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 16 | תוֹסִ֙יפִי֙ | to.Si.fi | you will repeat | H3254G | HVhi2fs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Feminine | יָסַף (ya.saph): to add: again |
| 17 | יִקְרְאוּ\־ | yik.re.'u- | people will call | H7121H | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | קָרָא (qa.ra): to call: call by |
| 18 | לָ֔/ךְ | La/kh | <to>/ you | H9005 | HR/Sp2fs — Preposition + Suffix (Second Singular Feminine) | /ל (l): to/for |
| 19 | רַכָּ֖ה | ra.Kah | tender | H7390 | HAafsa — Adjective (Singular Feminine, Absolute) | רַךְ (rakh): tender |
| 20 | וַ/עֲנֻגָּֽה\׃ | va./'a.nu.Gah | and/ delicate | H6028 | HC/Aafsa — Conjunction + Aafsa | עָנֹג (a.nog): dainty |

## Isaiah 47:2

**Original:** קְחִ֥י רֵחַ֖יִם וְטַ֣חֲנִי קָ֑מַח גַּלִּ֨י צַמָּתֵ֧ךְ חֶשְׂפִּי־ שֹׁ֛בֶל גַּלִּי־ שׁ֖וֹק עִבְרִ֥י נְהָרֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | קְחִ֥י | ke.Chi | take | H3947G | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | לָקַח (la.qach): to take: take |
| 2 | רֵחַ֖יִם | re.Cha.yim | a hand-mill | H7347 | HNcmda — Noun (Dual Masculine, Absolute) | רֵחֶה (re.cheh): millstone |
| 3 | וְ/טַ֣חֲנִי | ve./Ta.cha.ni | and/ grind | H2912 | HC/Vqv2fs — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Feminine | טָחַן (ta.chan): to grind |
| 4 | קָ֑מַח | Ka.mach | flour | H7058 | HNcmsa — Noun (Singular Masculine, Absolute) | קֶ֫מַח (qe.mach): flour |
| 5 | גַּלִּ֨י | ga.Li | uncover | H1540I | HVpv2fs — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Feminine | גָּלָה (ga.lah): to reveal: uncover |
| 6 | צַמָּתֵ֧/ךְ | tza.ma.Te/kh | veil/ your | H6777 | HNcfsc/Sp2fs — Noun (Singular Feminine, Construct) + Suffix (Second Singular Feminine) | צַמָּה (tsam.mah): veil |
| 7 | חֶשְׂפִּי\־ | ches.pi- | strip off | H2834 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | חָשַׂף (cha.saph): to strip |
| 8 | שֹׁ֛בֶל | Shoel | a skirt | H7640 | HNcmsa — Noun (Singular Masculine, Absolute) | שֹׁ֫בֶל (sho.vel): skirt |
| 9 | גַּלִּי\־ | ga.li- | uncover | H1540I | HVpv2fs — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Feminine | גָּלָה (ga.lah): to reveal: uncover |
| 10 | שׁ֖וֹק | Shok | a leg | H7785 | HNcfsa — Noun (Singular Feminine, Absolute) | שׁוֹק (shoq): leg |
| 11 | עִבְרִ֥י | 'iv.Ri | pass through | H5674A | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | עָבַר (a.var): to pass |
| 12 | נְהָרֽוֹת\׃ | ne.ha.Rot | rivers | H5104H | HNcfpa — Noun (Plural Feminine, Absolute) | נָהָר (na.har): river |

## Isaiah 47:3

**Original:** תִּגָּל֙ עֶרְוָתֵ֔ךְ גַּ֥ם תֵּרָאֶ֖ה חֶרְפָּתֵ֑ךְ נָקָ֣ם אֶקָּ֔ח וְלֹ֥א אֶפְגַּ֖ע אָדָֽם׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תִּגָּל֙ | ti.Gal | let it be uncovered | H1540I | HVNj3fs — Verb : Niphal (Simple, Passive) Imperfect (Future/present Jussive) Third Singular Feminine | גָּלָה (ga.lah): to reveal: uncover |
| 2 | עֶרְוָתֵ֔/ךְ | 'er.va.Te/kh | nakedness/ your | H6172 | HNcfsc/Sp2fs — Noun (Singular Feminine, Construct) + Suffix (Second Singular Feminine) | עֶרְוָה (er.vah): nakedness |
| 3 | גַּ֥ם | gam | also | H1571 | HD — Adverb | גַּם (gam): also |
| 4 | תֵּרָאֶ֖ה | te.ra.'Eh | let it be visible | H7200G | HVNi3fs — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | רָאָה (ra.ah): to see: see |
| 5 | חֶרְפָּתֵ֑/ךְ | cher.pa.Te/kh | reproach/ your | H2781 | HNcfsc/Sp2fs — Noun (Singular Feminine, Construct) + Suffix (Second Singular Feminine) | חֶרְפָּה (cher.pah): reproach |
| 6 | נָקָ֣ם | na.Kam | vengeance | H5359 | HNcmsa — Noun (Singular Masculine, Absolute) | נָקָם (na.qam): vengeance |
| 7 | אֶקָּ֔ח | 'e.Kach | I will take | H3947G | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | לָקַח (la.qach): to take: take |
| 8 | וְ/לֹ֥א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 9 | אֶפְגַּ֖ע | 'ef.Ga' | I will meet | H6293 | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | פָּגַע (pa.ga): to fall on |
| 10 | אָדָֽם\׃\ \ס | 'a.Dam | anyone | H120G | HNcmsa — Noun (Singular Masculine, Absolute) | אָדָם (a.dam): man |

## Isaiah 47:4

**Original:** גֹּאֲלֵ֕נוּ יְהוָ֥ה צְבָא֖וֹת שְׁמ֑וֹ קְד֖וֹשׁ יִשְׂרָאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | גֹּאֲלֵ֕/נוּ | go.'a.Le./nu | redeemer/ our | H1350A | HVqrmsc/Sp1bp — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) + Suffix (First Plural Either gender) | גָּאַל (ga.al): to redeem: redeem |
| 2 | יְהוָ֥ה | Yah.weh | [is] Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
