# STEP Bible — Isaiah 52

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 52:1

**Original:** עוּרִ֥י עוּרִ֛י לִבְשִׁ֥י עֻזֵּ֖ךְ צִיּ֑וֹן לִבְשִׁ֣י׀ בִּגְדֵ֣י תִפְאַרְתֵּ֗ךְ יְרוּשָׁלִַ֙ם֙ עִ֣יר הַקֹּ֔דֶשׁ כִּ֣י לֹ֥א יוֹסִ֛יף יָבֹא־ בָ֥ךְ ע֖וֹד עָרֵ֥ל וְטָמֵֽא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עוּרִ֥י | 'u.Ri | awake | H5782 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | עוּר (ur): to rouse |
| 2 | עוּרִ֛י | 'u.Ri | awake | H5782 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | עוּר (ur): to rouse |
| 3 | לִבְשִׁ֥י | liv.Shi | put on | H3847 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | לָבֵשׁ (la.vash): to clothe |
| 4 | עֻזֵּ֖/ךְ | 'u.Ze/kh | strength/ your | H5797 | HNcmsc/Sp2fs — Noun (Singular Masculine, Construct) + Suffix (Second Singular Feminine) | עֹז (oz): strength |
| 5 | צִיּ֑וֹן | tzi.Yon | O Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |
| 6 | לִבְשִׁ֣י\׀ | liv.Shi | put on | H3847 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | לָבֵשׁ (la.vash): to clothe |
| 7 | בִּגְדֵ֣י | big.Dei | [the] garments of | H899B | HNcmpc — Noun (Plural Masculine, Construct) | בֶּ֫גֶד (be.ged): garment |
| 8 | תִפְאַרְתֵּ֗/ךְ | tif.'ar.Te/kh | beauty/ your | H8597 | HNcfsc/Sp2fs — Noun (Singular Feminine, Construct) + Suffix (Second Singular Feminine) | תִּפְאָרָה (tiph.a.rah): beauty |
| 9 | יְרוּשָׁלִַ֙ם֙ | ye.ru.sha.Lim | O Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 10 | עִ֣יר | 'ir | [the] city of | H5892B | HNcfsc — Noun (Singular Feminine, Construct) | עִיר (ir): city |
| 11 | הַ/קֹּ֔דֶשׁ | ha./Ko.desh | <the>/ holiness | H6944G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | קֹ֫דֶשׁ (qo.desh): holiness |
| 12 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 13 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 14 | יוֹסִ֛יף | yo.Sif | he will repeat | H3254G | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | יָסַף (ya.saph): to add: again |
| 15 | יָבֹא\־ | ya.vo'- | he will come | H935G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בּוֹא (bo): to come (in): come |
| 16 | בָ֥/ךְ | va/kh | in/ you | H9003 | HR/Sp2fs — Preposition + Suffix (Second Singular Feminine) | /ב (b): in/on/with |
| 17 | ע֖וֹד | od | again | H5750 | HAcmsa — Adjective (Singular Masculine, Absolute) | עוֹד (od): still |
| 18 | עָרֵ֥ל | 'a.Rel | an uncircumcised [man] | H6189 | HAamsa — Adjective (Singular Masculine, Absolute) | עָרֵל (a.rel): uncircumcised |
| 19 | וְ/טָמֵֽא\׃ | ve./ta.Me' | and/ an unclean [person] | H2931 | HC/Aamsa — Conjunction + Aamsa | טָמֵא (ta.me): unclean |

## Isaiah 52:2

**Original:** הִתְנַעֲרִ֧י מֵעָפָ֛ר ק֥וּמִי שְּׁבִ֖י יְרֽוּשָׁלִָ֑ם הִֽתְפַּתְּחִי֙ מוֹסְרֵ֣י צַוָּארֵ֔ךְ שְׁבִיָּ֖ה בַּת־ צִיּֽוֹן׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הִתְנַעֲרִ֧י | hit.na.'a.Ri | shake yourself free | H5287 | HVtv2fs — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Imperative Second Singular Feminine | נָעַר (na.ar): to shake |
| 2 | מֵ/עָפָ֛ר | me./'a.Far | from/ [the] dust | H6083 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | עָפָר (a.phar): dust |
| 3 | ק֥וּמִי | Ku.mi | arise | H6965B | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | קוּם (qum): to arise: rise |
| 4 | שְּׁבִ֖י | she.Vi | sit | H3427 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | יָשַׁב (ya.shav): to dwell |
| 5 | יְרֽוּשָׁלִָ֑ם | ye.ru.sha.Lim | O Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 6 | הִֽתְפַּתְּחִי֙ | hit.pa.te.chu | loosen for yourself | H6605A | HVtv2fs — Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Imperative Second Singular Feminine | פָּתַח (pa.tach): to open |
| 7 | מוֹסְרֵ֣י | mos.Rei | [the] fetters of | H4147 | HNcmpc — Noun (Plural Masculine, Construct) | מוֹסֵר (mo.ser): bond |
| 8 | צַוָּארֵ֔/ךְ | tza.va.Re/kh | neck/ your | H6677A | HNcmsc/Sp2fs — Noun (Singular Masculine, Construct) + Suffix (Second Singular Feminine) | צַוָּאר (tsav.var): neck |
| 9 | שְׁבִיָּ֖ה | she.vi.Yah | O captive [one] | H7628B | HNcfsa — Noun (Singular Feminine, Absolute) | שָׁבִי (sh.vi): captive |
| 10 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 11 | צִיּֽוֹן\׃\ \ס | tzi.Yon | Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |

