# STEP Bible — Isaiah 54

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 54:1

**Original:** רָנִּ֥י עֲקָרָ֖ה לֹ֣א יָלָ֑דָה פִּצְחִ֨י רִנָּ֤ה וְצַהֲלִי֙ לֹא־ חָ֔לָה כִּֽי־ רַבִּ֧ים בְּֽנֵי־ שׁוֹמֵמָ֛ה מִבְּנֵ֥י בְעוּלָ֖ה אָמַ֥ר יְהוָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | רָנִּ֥י | ra.Ni | shout for joy | H7442B | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | רָנַן (ra.nan): to sing |
| 2 | עֲקָרָ֖ה | 'a.ka.Rah | O barren [woman] | H6135 | HAafsa — Adjective (Singular Feminine, Absolute) | עָקָר (a.qar): barren |
| 3 | לֹ֣א | lo' | [who] not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 4 | יָלָ֑דָה | ya.La.dah | she has given birth | H3205 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | יָלַד (ya.lad): to beget |
| 5 | פִּצְחִ֨י | pitz.Chi | break forth | H6476 | HVqv2fs — Verb : Qal (Simple, Active) Imperative Second Singular Feminine | פָּצַח (pa.tsach): to break out |
| 6 | רִנָּ֤ה | ri.Nah | a shout of joy | H7440 | HNcfsa — Noun (Singular Feminine, Absolute) | רִנָּה (rin.nah): cry |
| 7 | וְ/צַהֲלִי֙ | ve./tza.ha.Li | and/ cry aloud | H6670A | HC/Vqv2fs — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Feminine | צָהַל (tsa.hal): to cry out |
| 8 | לֹא\־ | lo'- | O [one who] not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 9 | חָ֔לָה | Cha.lah | she has been in labor | H2342I | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | חוּל (chul): to twist: writh in pain |
| 10 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 11 | רַבִּ֧ים | ra.Bim | [are] many | H7227A | HAampa — Adjective (Plural Masculine, Absolute) | רַב (rav): many |
| 12 | בְּֽנֵי\־ | be.nei- | [the] children of | H1121A | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 13 | שׁוֹמֵמָ֛ה | sho.me.Mah | a desolate [woman] | H8074G | HVqrfsa — Verb : Qal (Simple, Active) Participle (Singular Feminine, Absolute) | שָׁמֵם (sha.mem): be desolate: destroyed |
