# STEP Bible — Isaiah 58

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Isaiah 58:1

**Original:** קְרָ֤א בְגָרוֹן֙ אַל־ תַּחְשֹׂ֔ךְ כַּשּׁוֹפָ֖ר הָרֵ֣ם קוֹלֶ֑ךָ וְהַגֵּ֤ד לְעַמִּי֙ פִּשְׁעָ֔ם וּלְבֵ֥ית יַעֲקֹ֖ב חַטֹּאתָֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | קְרָ֤א | ke.Ra' | call out | H7121I | HVqv2ms — Verb : Qal (Simple, Active) Imperative Second Singular Masculine | קָרָא (qa.ra): to call: call out |
| 2 | בְ/גָרוֹן֙ | ve./ga.rOn | with/ a throat | H1627 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | גָּרוֹן (ga.ron): throat |
| 3 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 4 | תַּחְשֹׂ֔ךְ | tach.Sokh | you refrain | H2820 | HVqj2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Singular Masculine | חָשַׂךְ (cha.sakh): to withhold |
| 5 | כַּ/שּׁוֹפָ֖ר | ka./sho.Far | like <the>/ trumpet | H7782 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | שֹׁפָר (sho.phar): trumpet |
| 6 | הָרֵ֣ם | ha.Rem | raise | H7311A | HVhv2ms — Verb : Hiphil (Causative/declarative, Active) Imperative Second Singular Masculine | רוּם (rum): to exalt |
| 7 | קוֹלֶ֑/ךָ | ko.Le./cha | voice/ your | H6963A | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | קוֹל (qol): voice |
| 8 | וְ/הַגֵּ֤ד | ve./ha.Ged | and/ declare | H5046 | HC/Vhv2ms — Conjunction + Verb : Hiphil (Causative/declarative, Active) Imperative Second Singular Masculine | נָגַד (na.gad): to tell |
| 9 | לְ/עַמִּ/י֙ | le./'a.M/i | to/ people/ my | H5971A | HR/Ncmsc/Sp1bs — Preposition + Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | עַם (am): people |
| 10 | פִּשְׁעָ֔/ם | pish.'A/m | transgression/ their | H6588 | HNcmsc/Sp3mp — Noun (Singular Masculine, Construct) + Suffix (Third Plural Masculine) | פֶּ֫שַׁע (pe.sah): transgression |
| 11 | וּ/לְ/בֵ֥ית | u./le./Veit | and/ to/ [the] house of | H1004M | HC/R/Ncmsc — Conjunction + Preposition + Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: household |
| 12 | יַעֲקֹ֖ב | ya.'a.Ko | Jacob | H3290 | HNpm — Proper Noun (Masculine individual) | יַעֲקֹב (ya.a.qov): Jacob |
| 13 | חַטֹּאתָֽ/ם\׃ | cha.to.Ta/m | sins/ their | H2403B | HNcfpc/Sp3mp — Noun (Plural Feminine, Construct) + Suffix (Third Plural Masculine) | חַטָּאת (chat.tat): sin |

## Isaiah 58:2

**Original:** וְאוֹתִ֗י י֥וֹם יוֹם֙ יִדְרֹשׁ֔וּן וְדַ֥עַת דְּרָכַ֖י יֶחְפָּצ֑וּן כְּג֞וֹי אֲשֶׁר־ צְדָקָ֣ה עָשָׂ֗ה וּמִשְׁפַּ֤ט אֱלֹהָיו֙ לֹ֣א עָזָ֔ב יִשְׁאָל֙וּנִי֙ מִשְׁפְּטֵי־ צֶ֔דֶק קִרְבַ֥ת אֱלֹהִ֖ים יֶחְפָּצֽוּן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אוֹתִ֗/י | ve./'o.T/i | and/ <obj.>/ me | H853 | HC/To/Sp1bs — Conjunction + Object indicator + Suffix (First Singular Either gender) | אֵת (et): [Obj.] |
| 2 | י֥וֹם | Yom | day | H3117J | HNcmsa — Noun (Singular Masculine, Absolute) | יוֹם (yom): day: daily |
| 3 | יוֹם֙ | yOm | day | H3117J | HNcmsa — Noun (Singular Masculine, Absolute) | יוֹם (yom): day: daily |
| 4 | יִדְרֹשׁ֔וּ/ן | yid.ro.Shu/n | they seek/ ! | H1875 | HVqi3mp/Sn — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine + Paragogic Nun | דָּרַשׁ (da.rash): to seek |
| 5 | וְ/דַ֥עַת | ve./Da.'at | and/ [the] knowledge of | H1847 | HC/Ncfsc — Conjunction + Noun (Singular Feminine, Construct) | דַּ֫עַת (da.at): knowledge |
| 6 | דְּרָכַ֖/י | de.ra.Kha/i | ways/ my | H1870G | HNcbpc/Sp1bs — Noun (Plural Either gender, Construct) + Suffix (First Singular Either gender) | דֶּ֫רֶךְ (de.rekh): way: conduct |
| 7 | יֶחְפָּצ֑וּ/ן | yech.pa.Tzu/n | they desire/ ! | H2654A | HVqi3mp/Sn — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine + Paragogic Nun | חָפֵץ (cha.phets): to delight in |
| 8 | כְּ/ג֞וֹי | ke./Goy | like/ a nation | H1471A | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | גּוֹי (goy): nation |
| 9 | אֲשֶׁר\־ | 'a.Sher- | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 10 | צְדָקָ֣ה | tze.da.Kah | righteousness | H6666 | HNcfsa — Noun (Singular Feminine, Absolute) | צְדָקָה (tse.da.qah): righteousness |
| 11 | עָשָׂ֗ה | 'a.Sah | it has done | H6213A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | עָשָׂה (a.sah): to make: do |
| 12 | וּ/מִשְׁפַּ֤ט | u./mish.Pat | and/ [the] judgment of | H4941G | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | מִשְׁפָּט (mish.pat): justice: judgement |
| 13 | אֱלֹהָי/ו֙ | 'e.lo.Ha/v | God/ its | H430G | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 14 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 15 | עָזָ֔ב | 'a.Zav | it has forsaken | H5800A | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | עָזַב (a.zav): to leave: forsake |
| 16 | יִשְׁאָל֙וּ/נִי֙ | yish.'a.Lu./ni | they ask/ me | H7592 | HVqi3mp/Sp1bs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine + Suffix (First Singular Either gender) | שָׁאַל (sha.al): to ask |
| 17 | מִשְׁפְּטֵי\־ | mish.pe.tei- | judgments of | H4941H | HNcmpc — Noun (Plural Masculine, Construct) | מִשְׁפָּט (mish.pat): justice |
| 18 | צֶ֔דֶק | Tze.dek | righteousness | H6664G | HNcmsa — Noun (Singular Masculine, Absolute) | צֶ֫דֶק (tse.deq): righteousness |
| 19 | קִרְבַ֥ת | kir.Vat | [the] approach of | H7132 | HNcfsc — Noun (Singular Feminine, Construct) | קִרְבָה (qe.ra.vah): nearness |
| 20 | אֱלֹהִ֖ים | 'E.lo.Him | God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 21 | יֶחְפָּצֽוּ/ן\׃ | yech.pa.Tzu/n | they desire/ ! | H2654A | HVqi3mp/Sn — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine + Paragogic Nun | חָפֵץ (cha.phets): to delight in |

## Isaiah 58:3

**Original:** לָ֤מָּה צַּ֙מְנוּ֙ וְלֹ֣א רָאִ֔יתָ עִנִּ֥ינוּ נַפְשֵׁ֖נוּ וְלֹ֣א תֵדָ֑ע הֵ֣ן בְּי֤וֹם צֹֽמְכֶם֙ תִּמְצְאוּ־ חֵ֔פֶץ וְכָל־ עַצְּבֵיכֶ֖ם תִּנְגֹּֽשׂוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לָ֤/מָּה | La./mah | <to>/ why? | H4100 | HR/Pi — Preposition + Interrogative Pronoun | מָה (mah): what? |
| 2 | צַּ֙מְנוּ֙ | tzam.nu | have we fasted | H6684 | HVqp1cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Plural Either gender | צוּם (tsum): to fast |
| 3 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 4 | רָאִ֔יתָ | ra.'I.ta | you have seen | H7200G | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | רָאָה (ra.ah): to see: see |
| 5 | עִנִּ֥ינוּ | 'i.Ni.nu | have we humbled? | H6031B | HVpp1cp — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) First Plural Either gender | עָנָה (a.nah): to afflict |
| 6 | נַפְשֵׁ֖/נוּ | naf.She./nu | self/ our | H5315I | HNcfsc/Sp1bp — Noun (Singular Feminine, Construct) + Suffix (First Plural Either gender) | נֶ֫פֶשׁ (ne.phesh): soul: myself |
| 7 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 8 | תֵדָ֑ע | te.Da' | you know | H3045 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | יָדַע (ya.da): to know |
| 9 | הֵ֣ן | hen | there! | H2005 | HTj — Interjection | הֵן (hen): look! |
| 10 | בְּ/י֤וֹם | be./Yom | on/ [the] day of | H3117G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | יוֹם (yom): day |
| 11 | צֹֽמְ/כֶם֙ | tzo.me./Khem | fasting/ your | H6685 | HNcmsc/Sp2mp — Noun (Singular Masculine, Construct) + Suffix (Second Plural Masculine) | צוֹם (tsom): fast |
| 12 | תִּמְצְאוּ\־ | tim.tze.'u- | you find | H4672 | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | מָצָא (ma.tsa): to find |
| 13 | חֵ֔פֶץ | Che.fetz | pleasure | H2656 | HNcmsa — Noun (Singular Masculine, Absolute) | חֵ֫פֶץ (che.phets): pleasure |
| 14 | וְ/כָל\־ | ve./khol | and/ all | H3605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 15 | עַצְּבֵי/כֶ֖ם | 'a.tze.vei./Khem | laborers/ your | H6092 | HNcmpc/Sp2mp — Noun (Plural Masculine, Construct) + Suffix (Second Plural Masculine) | עָצֵב (a.tsev): worker |
| 16 | תִּנְגֹּֽשׂוּ\׃ | tin.Go.su | you drive hard | H5065 | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | נָגַשׂ (na.ga.s): to oppress |

## Isaiah 58:4

**Original:** הֵ֣ן לְרִ֤יב וּמַצָּה֙ תָּצ֔וּמוּ וּלְהַכּ֖וֹת בְּאֶגְרֹ֣ף רֶ֑שַׁע לֹא־ תָצ֣וּמוּ כַיּ֔וֹם לְהַשְׁמִ֥יעַ בַּמָּר֖וֹם קוֹלְכֶֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֵ֣ן | hen | there! | H2005 | HTj — Interjection | הֵן (hen): look! |
| 2 | לְ/רִ֤יב | le./Riv | for/ strife | H7379 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | רִיב (riv): strife |
| 3 | וּ/מַצָּה֙ | u./ma.Tzah | and/ contention | H4683 | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | מַצָּה (mats.tsah): strife |
| 4 | תָּצ֔וּמוּ | ta.Tzu.mu | you fast | H6684 | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | צוּם (tsum): to fast |
| 5 | וּ/לְ/הַכּ֖וֹת | u./le./ha.Kot | and/ to/ strike | H5221 | HC/R/Vhcc — Conjunction + Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | נָכָה (na.khah): to smite |
| 6 | בְּ/אֶגְרֹ֣ף | be./'eg.Rof | with/ a fist of | H106 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | אֶגְרֹף (eg.roph): fist |
| 7 | רֶ֑שַׁע | Re.sha' | wickedness | H7562 | HNcmsa — Noun (Singular Masculine, Absolute) | רֶ֫שַׁע (re.sah): wickedness |
| 8 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 9 | תָצ֣וּמוּ | ta.Tzu.mu | you fast | H6684 | HVqi2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Plural Masculine | צוּם (tsum): to fast |
| 10 | כַ/יּ֔וֹם | khai./Yom | like <the>/ this day | H3117G | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | יוֹם (yom): day |
| 11 | לְ/הַשְׁמִ֥יעַ | le./hash.Mi.a' | to/ make heard | H8085G | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | שָׁמַע (sha.ma): to hear: hear |
| 12 | בַּ/מָּר֖וֹם | ba./ma.Rom | in the/ height[s] | H4791 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | מָרוֹם (ma.rom): height |
| 13 | קוֹלְ/כֶֽם\׃ | kol./Khem | voice/ your | H6963A | HNcmsc/Sp2mp — Noun (Singular Masculine, Construct) + Suffix (Second Plural Masculine) | קוֹל (qol): voice |

## Isaiah 58:5

**Original:** הֲכָזֶ֗ה יִֽהְיֶה֙ צ֣וֹם אֶבְחָרֵ֔הוּ י֛וֹם עַנּ֥וֹת אָדָ֖ם נַפְשׁ֑וֹ הֲלָכֹ֨ף כְּאַגְמֹ֜ן רֹאשׁ֗וֹ וְשַׂ֤ק וָאֵ֙פֶר֙ יַצִּ֔יעַ הֲלָזֶה֙ תִּקְרָא־ צ֔וֹם וְי֥וֹם רָצ֖וֹן לַיהוָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/כָ/זֶ֗ה | ha./kha./Zeh | ¿/ like/ this | H2088 | HTi/R/Tm — Interrogative Particle + Preposition + Demonstrative Particle | זֶה (zeh): this |
| 2 | יִֽהְיֶה֙ | yih.Yeh | is it | H1961 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָיָה (ha.yah): to be |
| 3 | צ֣וֹם | Tzom | [the] fast | H6685 | HNcmsa — Noun (Singular Masculine, Absolute) | צוֹם (tsom): fast |
| 4 | אֶבְחָרֵ֔/הוּ | 'ev.cha.Re./hu | [which] I choose/ it | H977 | HVqi1cs/Sp3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender + Suffix (Third Singular Masculine) | בָּחַר (ba.char): to choose |
| 5 | י֛וֹם | Yom | a day | H3117G | HNcmsc — Noun (Singular Masculine, Construct) | יוֹם (yom): day |
| 6 | עַנּ֥וֹת | a.Not | to humble | H6031B | HVpcc — Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | עָנָה (a.nah): to afflict |
| 7 | אָדָ֖ם | 'a.Dam | anyone | H120G | HNcmsa — Noun (Singular Masculine, Absolute) | אָדָם (a.dam): man |
| 8 | נַפְשׁ֑/וֹ | naf.Sh/o | self/ his | H5315I | HNcfsc/Sp3ms — Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | נֶ֫פֶשׁ (ne.phesh): soul: myself |
| 9 | הֲ/לָ/כֹ֨ף | ha./la./Khof | ¿/ to/ bend down | H3721 | HTi/R/Vqcc — Interrogative Particle + Preposition + Verb : Qal (Simple, Active) Infinitive Construct | כָּפַף (ka.phaph): to bend |
| 10 | כְּ/אַגְמֹ֜ן | ke./'ag.Mon | like/ a bulrush | H100 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | אַגְמֹן (ag.mon): bulrush |
| 11 | רֹאשׁ֗/וֹ | ro.Sh/o | head/ his | H7218A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | רֹאשׁ (rosh): head |
| 12 | וְ/שַׂ֤ק | ve./Sak | and/ sackcloth | H8242 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | שַׂק (saq): sackcloth |
| 13 | וָ/אֵ֙פֶר֙ | va./'E.fer | and/ ash[es] | H665 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | אֵ֫פֶר (e.pher): ashes |
| 14 | יַצִּ֔יעַ | ya.Tzi.a' | he spreads as a bed | H3331 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | יָצַע (ya.tsa): to lay |
| 15 | הֲ/לָ/זֶה֙ | ha./la./Zeh | ¿/ <the> <to>/ this | H2088 | HTi/R/Tm — Interrogative Particle + Preposition + Demonstrative Particle | זֶה (zeh): this |
| 16 | תִּקְרָא\־ | tik.ra'- | do you call | H7121H | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | קָרָא (qa.ra): to call: call by |
| 17 | צ֔וֹם | Tzom | a fast | H6685 | HNcmsa — Noun (Singular Masculine, Absolute) | צוֹם (tsom): fast |
| 18 | וְ/י֥וֹם | ve./Yom | and/ a day of | H3117G | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | יוֹם (yom): day |
| 19 | רָצ֖וֹן | ra.Tzon | acceptance | H7522 | HNcmsa — Noun (Singular Masculine, Absolute) | רָצוֹן (ra.tson): acceptance |
| 20 | לַ/יהוָֽה\׃ | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |

## Isaiah 58:6

**Original:** הֲל֣וֹא זֶה֮ צ֣וֹם אֶבְחָרֵהוּ֒ פַּתֵּ֙חַ֙ חַרְצֻבּ֣וֹת רֶ֔שַׁע הַתֵּ֖ר אֲגֻדּ֣וֹת מוֹטָ֑ה וְשַׁלַּ֤ח רְצוּצִים֙ חָפְשִׁ֔ים וְכָל־ מוֹטָ֖ה תְּנַתֵּֽקוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/ל֣וֹא | ha./Lo' | ¿/ not | H3808 | HTi/Tn — Interrogative Particle + Negative Particle | לֹא (lo): not |
| 2 | זֶה֮ | zeh | [is] this | H2088 | HTm — Demonstrative Particle | זֶה (zeh): this |
