# STEP Bible — Jeremiah 10

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Jeremiah 10:1

**Original:** שִׁמְע֣וּ אֶת־ הַדָּבָ֗ר אֲשֶׁ֨ר דִּבֶּ֧ר יְהוָ֛ה עֲלֵיכֶ֖ם בֵּ֥ית יִשְׂרָאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | שִׁמְע֣וּ | shim.'U | hear | H8085G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שָׁמַע (sha.ma): to hear: hear |
| 2 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 3 | הַ/דָּבָ֗ר | ha./da.Var | the/ word | H1697G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | דָּבָר (da.var): word |
| 4 | אֲשֶׁ֨ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 5 | דִּבֶּ֧ר | di.Ber | he has spoken | H1696G | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 6 | יְהוָ֛ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | עֲלֵי/כֶ֖ם | 'a.lei./Khem | to/ you | H5921A | HRd/Sp2mp — Preposition (Definite) + Suffix (Second Plural Masculine) | עַל (al): upon |
| 8 | בֵּ֥ית | beit | O house of | H1004M | HNcmsc — Noun (Singular Masculine, Construct) | בַּ֫יִת (ba.yit): house: household |
| 9 | יִשְׂרָאֵֽל\׃ | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |

## Jeremiah 10:2

**Original:** כֹּ֣ה׀ אָמַ֣ר יְהוָ֗ה אֶל־ דֶּ֤רֶךְ הַגּוֹיִם֙ אַל־ תִּלְמָ֔דוּ וּמֵאֹת֥וֹת הַשָּׁמַ֖יִם אַל־ תֵּחָ֑תּוּ כִּֽי־ יֵחַ֥תּוּ הַגּוֹיִ֖ם מֵהֵֽמָּה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּ֣ה\׀ | koh | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | אָמַ֣ר | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 3 | יְהוָ֗ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | אֶל\־ | 'el- | <to> | H413 | HR — Preposition | אֶל (el): to(wards) |
| 5 | דֶּ֤רֶךְ | De.rekh | [the] way of | H1870G | HNcbsc — Noun (Singular Either gender, Construct) | דֶּ֫רֶךְ (de.rekh): way: conduct |
| 6 | הַ/גּוֹיִם֙ | ha./go.Yim | the/ nations | H1471A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 7 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 8 | תִּלְמָ֔דוּ | til.Ma.du | you learn | H3925H | HVqj2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Plural Masculine | לָמַד (la.mad): to learn: learn |
| 9 | וּ/מֵ/אֹת֥וֹת | u./me./'o.Tot | and/ from/ [the] signs of | H226G | HC/R/Ncfpc — Conjunction + Preposition + Noun (Plural Feminine, Construct) | אוֹת (ot): sign: miraculous |
| 10 | הַ/שָּׁמַ֖יִם | ha./sha.Ma.yim | the/ heavens | H8064 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | שָׁמַיִם (sha.ma.yim): heaven |
| 11 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 12 | תֵּחָ֑תּוּ | te.Cha.tu | you be dismayed | H2865 | HVNj2mp — Verb : Niphal (Simple, Passive) Imperfect (Future/present Jussive) Second Plural Masculine | חָתַת (cha.tat): to to be dismayed |
| 13 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 14 | יֵחַ֥תּוּ | ye.Cha.tu | they are dismayed | H2865 | HVNi3mp — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | חָתַת (cha.tat): to to be dismayed |
| 15 | הַ/גּוֹיִ֖ם | ha./go.Yim | the/ nations | H1471A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 16 | מֵ/הֵֽמָּה\׃ | me./He.mah | from/ them | H9006 | HR/Pp3mp — Preposition + Pronoun (Third Plural Masculine) | /מ (m): from |

## Jeremiah 10:3

**Original:** כִּֽי־ חֻקּ֥וֹת הָֽעַמִּ֖ים הֶ֣בֶל ה֑וּא כִּֽי־ עֵץ֙ מִיַּ֣עַר כְּרָת֔וֹ מַעֲשֵׂ֥ה יְדֵ֥י־ חָרָ֖שׁ בַּֽמַּעֲצָֽד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | חֻקּ֥וֹת | chu.Kot | [the] customs of | H2708 | HNcfpc — Noun (Plural Feminine, Construct) | חֻקָּה (chuq.qah): statute |
| 3 | הָֽ/עַמִּ֖ים | ha./'a.Mim | the/ peoples | H5971A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | עַם (am): people |
| 4 | הֶ֣בֶל | He.vel | [is] futility | H1892 | HNcmsa — Noun (Singular Masculine, Absolute) | הֶ֫בֶל (he.vel): vanity |
| 5 | ה֑וּא | Hu' | it | H1931 | HPp3ms — Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 6 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 7 | עֵץ֙ | 'etz | a tree | H6086H | HNcmsa — Noun (Singular Masculine, Absolute) | עֵץ (ets): tree |
| 8 | מִ/יַּ֣עַר | mi./Ya.'ar | from/ a forest | H3293A | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | יַ֫עַר (ya.ar): wood |
| 9 | כְּרָת֔/וֹ | ke.ra.T/o | someone has cut down/ it | H3772G | HVqp3ms/Sp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine + Suffix (Third Singular Masculine) | כָּרַת (ka.rat): to cut: cut |
| 10 | מַעֲשֵׂ֥ה | ma.'a.Seh | [the] work of | H4639G | HNcmsc — Noun (Singular Masculine, Construct) | מַעֲשֶׂה (ma.a.seh): deed: work |
| 11 | יְדֵ֥י\־ | ye.Dei- | [the] hands of | H3027G | HNcbdc — Noun (Dual Either gender, Construct) | יָד (yad): hand |
| 12 | חָרָ֖שׁ | cha.Rash | a craftsman | H2796 | HNcmsa — Noun (Singular Masculine, Absolute) | חָרָשׁ, חֲרָשִׁים (cha.rash): artificer |
| 13 | בַּֽ/מַּעֲצָֽד\׃ | Ba./ma.'a.Tzad | with <the>/ tool | H4621 | HRd/Ncmsa — Preposition (Definite) + Noun (Singular Masculine, Absolute) | מַעֲצָד (ma.a.tsad): axe |

## Jeremiah 10:4

**Original:** בְּכֶ֥סֶף וּבְזָהָ֖ב יְיַפֵּ֑הוּ בְּמַסְמְר֧וֹת וּבְמַקָּב֛וֹת יְחַזְּק֖וּם וְל֥וֹא יָפִֽיק׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | בְּ/כֶ֥סֶף | be./Khe.sef | with/ silver | H3701G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | כֶּ֫סֶף (ke.seph): silver: money |
| 2 | וּ/בְ/זָהָ֖ב | u./ve./za.Hav | and/ with/ gold | H2091 | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | זָהָב (za.hav): gold |
| 3 | יְיַפֵּ֑/הוּ | ye.ya.Pe./hu | he beautifies/ it | H3302 | HVpi3ms/Sp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (Third Singular Masculine) | יָפָה (ya.phah): be beautiful |
| 4 | בְּ/מַסְמְר֧וֹת | be./mas.me.Rot | with/ nails | H4548 | HR/Ncfpa — Preposition + Noun (Plural Feminine, Absolute) | מַסְמֵר (mas.mer): nail |
| 5 | וּ/בְ/מַקָּב֛וֹת | u./ve./ma.ka.Vot | and/ with/ hammers | H4717 | HC/R/Ncfpa — Conjunction + Preposition + Noun (Plural Feminine, Absolute) | מַקָּבָה (maq.qa.vah): hammer |
| 6 | יְחַזְּק֖וּ/ם | ye.cha.ze.Ku/m | they make strong/ them | H2388H | HVpi3mp/Sp3mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine + Suffix (Third Plural Masculine) | חָזַק (cha.zaq): to strengthen: hold |
| 7 | וְ/ל֥וֹא | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 8 | יָפִֽיק\׃ | ya.Fik | it will wobble | H6328 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | פּוּק (puq): to reel |

## Jeremiah 10:5

**Original:** כְּתֹ֨מֶר מִקְשָׁ֥ה הֵ֙מָּה֙ וְלֹ֣א יְדַבֵּ֔רוּ נָשׂ֥וֹא יִנָּשׂ֖וּא כִּ֣י לֹ֣א יִצְעָ֑דוּ אַל־ תִּֽירְא֤וּ מֵהֶם֙ כִּי־ לֹ֣א יָרֵ֔עוּ וְגַם־ הֵיטֵ֖יב אֵ֥ין אוֹתָֽם׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כְּ/תֹ֨מֶר | ke./To.mer | [are] like/ a scarecrow of | H8560 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | תֹּ֫מֶר (to.mer): palm |
| 2 | מִקְשָׁ֥ה | mik.Shah | a cucumber field | H4750 | HNcfsa — Noun (Singular Feminine, Absolute) | מִקְשָׁה (miq.shah): cucumber field |
| 3 | הֵ֙מָּה֙ | he.mah | they | H1992 | HPp3mp — Pronoun (Third Plural Masculine) | הֵ֫מָּה (hem.mah): they(masc.) |
| 4 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 5 | יְדַבֵּ֔רוּ | ye.da.Be.ru | they speak | H1696G | HVpi3mp — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | דָבַר (da.var): to speak: speak |
| 6 | נָשׂ֥וֹא | na.So' | certainly <to carry> | H5375H | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | נָשָׂא (na.sa): to lift: bear |
| 7 | יִנָּשׂ֖וּא | yi.na.Su' | they are carried | H5375H | HVNi3mp — Verb : Niphal (Simple, Passive) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | נָשָׂא (na.sa): to lift: bear |
| 8 | כִּ֣י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 9 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 10 | יִצְעָ֑דוּ | yitz.'A.du | they walk | H6805 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | צָעַד (tsa.ad): to march |
| 11 | אַל\־ | 'al- | may not | H408 | HTn — Negative Particle | אַל (al): not |
| 12 | תִּֽירְא֤וּ | ti.re.'U | you be afraid | H3372G | HVqj2mp — Verb : Qal (Simple, Active) Imperfect (Future/present Jussive) Second Plural Masculine | יָרֵא (ya.re): to fear |
| 13 | מֵ/הֶם֙ | me./Hem | from <the>/ them | H9006 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | /מ (m): from |
| 14 | כִּי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 15 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 16 | יָרֵ֔עוּ | ya.Re.'u | they do harm | H7489A | HVhi3mp — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | רָעַע (ra.a): be evil |
| 17 | וְ/גַם\־ | ve./gam- | and/ also | H1571 | HC/D — Conjunction + Adverb | גַּם (gam): also |
| 18 | הֵיטֵ֖יב | hei.Teiv | [is] doing good | H3190 | HVhaa — Verb : Hiphil (Causative/declarative, Active) Infinitive Absolute | יָטַב (ya.tav): be good |
| 19 | אֵ֥ין | 'ein | there not | H369 | HNcmsc — Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 20 | אוֹתָֽ/ם\׃\ \ס | 'o.Ta/m | with/ them | H854 | HRd/Sp3mp — Preposition (Definite) + Suffix (Third Plural Masculine) | אֵת (et): with |

## Jeremiah 10:6

**Original:** מֵאֵ֥ין כָּמ֖וֹךָ יְהוָ֑ה גָּד֥וֹל אַתָּ֛ה וְגָד֥וֹל שִׁמְךָ֖ בִּגְבוּרָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מֵ/אֵ֥ין | me./'Ein | from/ there not | H369 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 2 | כָּמ֖וֹ/ךָ | ka.Mo./kha | [is] like/ you | H3644G | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | כְּמוֹ (ke.mo): like |
| 3 | יְהוָ֑ה | Yah.weh | O Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | גָּד֥וֹל | ga.Dol | [are] great | H1419A | HAamsa — Adjective (Singular Masculine, Absolute) | גָּדוֹל (ga.dol): great: large |
| 5 | אַתָּ֛ה | 'a.Tah | you | H859A | HPp2ms — Pronoun (Second Singular Masculine) | אַתָּ֫ה (at.tah): you(m.s.) |
| 6 | וְ/גָד֥וֹל | ve./ga.Dol | and/ [is] great | H1419A | HC/Aamsa — Conjunction + Aamsa | גָּדוֹל (ga.dol): great: large |
| 7 | שִׁמְ/ךָ֖ | shim./Kha | name/ your | H8034 | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | שֵׁם (shem): name |
| 8 | בִּ/גְבוּרָֽה\׃ | bi/g.vu.Rah | in/ strength | H1369 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | גְּבוּרָה (ge.vu.rah): might |

## Jeremiah 10:7

**Original:** מִ֣י לֹ֤א יִֽרָאֲךָ֙ מֶ֣לֶךְ הַגּוֹיִ֔ם כִּ֥י לְךָ֖ יָאָ֑תָה כִּ֣י בְכָל־ חַכְמֵ֧י הַגּוֹיִ֛ם וּבְכָל־ מַלְכוּתָ֖ם מֵאֵ֥ין כָּמֽוֹךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מִ֣י | mi | who? | H4310 | HPi — Interrogative Pronoun | מִי (mi): who? |
| 2 | לֹ֤א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 3 | יִֽרָאֲ/ךָ֙ | yi.ra.'a./Kha | will he fear/ you | H3372H | HVqi3ms/Sp2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (Second Singular Masculine) | יָרֵא (ya.re): to fear: revere |
| 4 | מֶ֣לֶךְ | Me.lekh | O king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 5 | הַ/גּוֹיִ֔ם | ha./go.Yim | the/ nations | H1471A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 6 | כִּ֥י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 7 | לְ/ךָ֖ | le./Kha | for <the>/ you | H9005 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 8 | יָאָ֑תָה | ya.'A.tah | it is befitting | H2969 | HVqp3fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Feminine | יָאָה (ya.ah): to befit |
| 9 | כִּ֣י | ki | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 10 | בְ/כָל\־ | ve./khol- | among/ all | H3605 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 11 | חַכְמֵ֧י | chakh.Mei | [the] wise [people] of | H2450 | HAampc — Adjective (Plural Masculine, Construct) | חָכָם (cha.kham): wise |
| 12 | הַ/גּוֹיִ֛ם | ha./go.Yim | the/ nations | H1471A | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | גּוֹי (goy): nation |
| 13 | וּ/בְ/כָל\־ | u./ve./Khol- | and/ among/ all | H3605 | HC/R/Ncmsc — Conjunction + Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 14 | מַלְכוּתָ֖/ם | mal.khu.Ta/m | kingdom/ their | H4438 | HNcfsc/Sp3mp — Noun (Singular Feminine, Construct) + Suffix (Third Plural Masculine) | מַלְכוּת (mal.khut): royalty |
| 15 | מֵ/אֵ֥ין | me./'Ein | from/ there not | H369 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | אַ֫יִן (a.yin): nothing |
| 16 | כָּמֽוֹ/ךָ\׃ | ka.Mo./kha | [is] like/ you | H3644G | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | כְּמוֹ (ke.mo): like |

## Jeremiah 10:8

**Original:** וּבְאַחַ֖ת יִבְעֲר֣וּ וְיִכְסָ֑לוּ מוּסַ֥ר הֲבָלִ֖ים עֵ֥ץ הֽוּא׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/בְ/אַחַ֖ת | u./ve./'a.Chat | and/ in/ one | H259 | HC/R/Acfsa — Conjunction + Preposition + Acfsa | אֶחָד (e.chad): one |
| 2 | יִבְעֲר֣וּ | yiv.'a.Ru | they are stupid | H1197B | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | בָּעַר (ba.ar): be brutish |
| 3 | וְ/יִכְסָ֑לוּ | ve./yikh.Sa.lu | and/ they may be foolish | H3688 | HC/Vqu3mp — Conjunction + Verb : Qal (Simple, Active) Conjunction+Imperfect (Future/present Indicative) Third Plural Masculine | כָּסַל (ka.sal): be stupid |
| 4 | מוּסַ֥ר | mu.Sar | [the] correction of | H4148H | HNcmsc — Noun (Singular Masculine, Construct) | מוּסָר (mu.sar): discipline: instruction |
| 5 | הֲבָלִ֖ים | ha.va.Lim | futilities | H1892 | HNcmpa — Noun (Plural Masculine, Absolute) | הֶ֫בֶל (he.vel): vanity |
| 6 | עֵ֥ץ | 'etz | [is] wood | H6086G | HNcmsa — Noun (Singular Masculine, Absolute) | עֵץ (ets): tree: wood |
| 7 | הֽוּא\׃ | Hu' | it | H1931 | HPp3ms — Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |

## Jeremiah 10:9

**Original:** כֶּ֣סֶף מְרֻקָּ֞ע מִתַּרְשִׁ֣ישׁ יוּבָ֗א וְזָהָב֙ מֵֽאוּפָ֔ז מַעֲשֵׂ֥ה חָרָ֖שׁ וִידֵ֣י צוֹרֵ֑ף תְּכֵ֤לֶת וְאַרְגָּמָן֙ לְבוּשָׁ֔ם מַעֲשֵׂ֥ה חֲכָמִ֖ים כֻּלָּֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֶּ֣סֶף | Ke.sef | silver | H3701G | HNcmsa — Noun (Singular Masculine, Absolute) | כֶּ֫סֶף (ke.seph): silver: money |
| 2 | מְרֻקָּ֞ע | me.ru.Ka' | beaten | H7554 | HVPsmsa — Verb : Pual (Intensive/resultive/transtive, Passive) Participle passive (Singular Masculine, Absolute) | רָקַע (ra.qa): to beat |
| 3 | מִ/תַּרְשִׁ֣ישׁ | mi./tar.Shish | from/ Tarshish | H8659H | HR/Npl — Preposition + Proper Noun (Location) | תַּרְשִׁישׁ (tar.shish): Tarshish |
| 4 | יוּבָ֗א | yu.Va' | it is brought | H935P | HVHi3ms — Verb : Hophal (Causative/declarative, Passive) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | בּוֹא (bo): to come (in): bring |
| 5 | וְ/זָהָב֙ | ve./za.Hav | and/ gold | H2091 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | זָהָב (za.hav): gold |
| 6 | מֵֽ/אוּפָ֔ז | me./'u.Faz | from/ Uphaz | H210 | HR/Npl — Preposition + Proper Noun (Location) | אוּפָז (u.phaz): Uphaz |
| 7 | מַעֲשֵׂ֥ה | ma.'a.Seh | [the] work of | H4639G | HNcmsc — Noun (Singular Masculine, Construct) | מַעֲשֶׂה (ma.a.seh): deed: work |
| 8 | חָרָ֖שׁ | cha.Rash | a craftsman | H2796 | HNcmsa — Noun (Singular Masculine, Absolute) | חָרָשׁ, חֲרָשִׁים (cha.rash): artificer |
| 9 | וִ/ידֵ֣י | vi./Dei | and/ [the] hands of | H3027G | HC/Ncbdc — Conjunction + Noun (Dual Either gender, Construct) | יָד (yad): hand |
| 10 | צוֹרֵ֑ף | tzo.Ref | a metalsmith | H6884 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | צָרַף (tsa.raph): to refine |
| 11 | תְּכֵ֤לֶת | te.Khe.let | [is] violet stuff | H8504 | HNcfsc — Noun (Singular Feminine, Construct) | תְּכֵ֫לֶת (te.khe.let): blue |
| 12 | וְ/אַרְגָּמָן֙ | ve./'ar.ga.Man | and/ purple | H713 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | אַרְגָּמָן (ar.ga.man): purple |
| 13 | לְבוּשָׁ֔/ם | le.vu.Sha/m | clothing/ their | H3830 | HNcmsc/Sp3mp — Noun (Singular Masculine, Construct) + Suffix (Third Plural Masculine) | לְבוּשׁ (le.vush): clothing |
| 14 | מַעֲשֵׂ֥ה | ma.'a.Seh | [are the] work of | H4639G | HNcmsc — Noun (Singular Masculine, Construct) | מַעֲשֶׂה (ma.a.seh): deed: work |
| 15 | חֲכָמִ֖ים | cha.kha.Mim | skillful [people] | H2450 | HAampa — Adjective (Plural Masculine, Absolute) | חָכָם (cha.kham): wise |
| 16 | כֻּלָּֽ/ם\׃ | ku.La/m | all of/ them | H3605 | HNcmsc/Sp3mp — Noun (Singular Masculine, Construct) + Suffix (Third Plural Masculine) | כֹּל (kol): all |

## Jeremiah 10:10

**Original:** וַֽיהוָ֤ה אֱלֹהִים֙ אֱמֶ֔ת הֽוּא־ אֱלֹהִ֥ים חַיִּ֖ים וּמֶ֣לֶךְ עוֹלָ֑ם מִקִּצְפּוֹ֙ תִּרְעַ֣שׁ הָאָ֔רֶץ וְלֹֽא־ יָכִ֥לוּ גוֹיִ֖ם זַעְמֽוֹ׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַֽ/יהוָ֤ה | va./Yah.weh | and/ Yahweh | H3068G | HC/Npt — Conjunction + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 2 | אֱלֹהִים֙ | 'E.lo.Him | [is] God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 3 | אֱמֶ֔ת | 'e.Met | truth | H571G | HNcfsa — Noun (Singular Feminine, Absolute) | אֱמֶת (e.met): truth: faithful |
| 4 | הֽוּא\־ | hu'- | he | H1931 | HPp3ms — Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 5 | אֱלֹהִ֥ים | 'E.lo.Him | [is] God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 6 | חַיִּ֖ים | chai.Yim | living | H2416A | HAampa — Adjective (Plural Masculine, Absolute) | חַי (chay): alive |
| 7 | וּ/מֶ֣לֶךְ | u./Me.lekh | and/ king of | H4428G | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 8 | עוֹלָ֑ם | o.Lam | perpetuity | H5769G | HNcmsa — Noun (Singular Masculine, Absolute) | עוֹלָם (o.lam): forever: enduring |
