# STEP Bible — Jeremiah 19

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Jeremiah 19:1

**Original:** כֹּ֚ה אָמַ֣ר יְהוָ֔ה הָל֛וֹךְ וְקָנִ֥יתָ בַקְבֻּ֖ק יוֹצֵ֣ר חָ֑רֶשׂ וּמִזִּקְנֵ֣י הָעָ֔ם וּמִזִּקְנֵ֖י הַכֹּהֲנִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּ֚ה | koh | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | אָמַ֣ר | 'a.Mar | he said | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 3 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | הָל֛וֹךְ | ha.Lokh | go | H1980G | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | הָלַךְ (ha.lakh): to go: went |
| 5 | וְ/קָנִ֥יתָ | ve./ka.Ni.ta | and/ you will buy | H7069 | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | קָנָה (qa.nah): to buy |
| 6 | בַקְבֻּ֖ק | vak.Buk | a bottle of | H1228 | HNcmsc — Noun (Singular Masculine, Construct) | בַּקְבֻּק (baq.buq): flask |
| 7 | יוֹצֵ֣ר | yo.Tzer | a potter of | H3335H | HNcmsc — Noun (Singular Masculine, Construct) | יָצַר (ya.tsar): to form: potter |
| 8 | חָ֑רֶשׂ | Cha.res | earthenware | H2789 | HNcmsa — Noun (Singular Masculine, Absolute) | חֶ֫רֶשׂ (che.re.s): earthenware |
| 9 | וּ/מִ/זִּקְנֵ֣י | u./mi./zik.Nei | and/ some of/ [the] elders of | H2205G | HC/R/Aampc — Conjunction + Preposition + Aampc | זָקֵן (za.qen): old: elder |
| 10 | הָ/עָ֔ם | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 11 | וּ/מִ/זִּקְנֵ֖י | u./mi./zik.Nei | and/ some of/ [the] elders of | H2205G | HC/R/Aampc — Conjunction + Preposition + Aampc | זָקֵן (za.qen): old: elder |
| 12 | הַ/כֹּהֲנִֽים\׃ | ha./ko.ha.Nim | the/ priests | H3548 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | כֹּהֵן (ko.hen): priest |

## Jeremiah 19:2

**Original:** וְיָצָ֙אתָ֙ אֶל־ גֵּ֣יא בֶן־ הִנֹּ֔ם אֲשֶׁ֕ר פֶּ֖תַח שַׁ֣עַר הַֽחַרְסִ֑ית וְקָרָ֣אתָ שָּׁ֔ם אֶת־ הַדְּבָרִ֖ים אֲשֶׁר־ אֲדַבֵּ֥ר אֵלֶֽיךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/יָצָ֙אתָ֙ | ve./ya.Tza.ta | and/ you will go out | H3318G | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | יָצָא (ya.tsa): to come out: come |
| 2 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 3 | גֵּ֣יא | gei' | [the] valley of | H1516R | HNcbsc — Noun (Singular Either gender, Construct) | גַּיְא (gay): valley |
| 4 | בֶן\־ | ven- | Ben | H1121A | HNpl — Proper Noun (Location) | בֵּן (ben): son: child |
| 5 | הִנֹּ֔ם | hi.Nom | Hinnom | H2011H | HNpl — Proper Noun (Location) | הִנֹּם (hin.nom): (Topheth of son of) Hinnom |
| 6 | אֲשֶׁ֕ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 7 | פֶּ֖תַח | Pe.tach | [is at] [the] entrance of | H6607 | HNcmsc — Noun (Singular Masculine, Construct) | פֶּ֫תַח (pe.tach): entrance |
| 8 | שַׁ֣עַר | Sha.'ar | [the] gate of | H8179G | HNcmsc — Noun (Singular Masculine, Construct) | שַׁ֫עַר (sha.ar): gate |
| 9 | הַֽ/חַרְסִ֑ית | ha./cha.ra.sut | the/ potsherd | H2777 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | חֲרָסוּת (char.sut): Potsherd (Gate) |
| 10 | וְ/קָרָ֣אתָ | ve./ka.Ra.ta | and/ you will proclaim | H7121I | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | קָרָא (qa.ra): to call: call out |
| 11 | שָּׁ֔ם | Sham | there | H8033G | HD — Adverb | שָׁם (sham): there |
| 12 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 13 | הַ/דְּבָרִ֖ים | ha./de.va.Rim | the/ words | H1697G | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | דָּבָר (da.var): word |
| 14 | אֲשֶׁר\־ | 'a.Sher- | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 15 | אֲדַבֵּ֥ר | 'a.da.Ber | I will speak | H1696G | HVpi1cs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | דָבַר (da.var): to speak: speak |
| 16 | אֵלֶֽי/ךָ\׃ | 'e.Lei./kha | to/ you | H413 | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | אֶל (el): to(wards) |

## Jeremiah 19:3

**Original:** וְאָֽמַרְתָּ֙ שִׁמְע֣וּ דְבַר־ יְהוָ֔ה מַלְכֵ֣י יְהוּדָ֔ה וְיֹשְׁבֵ֖י יְרֽוּשָׁלִָ֑ם כֹּֽה־ אָמַר֩ יְהוָ֨ה צְבָא֜וֹת אֱלֹהֵ֣י יִשְׂרָאֵ֗ל הִנְנִ֨י מֵבִ֤יא רָעָה֙ עַל־ הַמָּק֣וֹם הַזֶּ֔ה אֲשֶׁ֥ר כָּל־ שֹׁמְעָ֖הּ תִּצַּ֥לְנָה אָזְנָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/אָֽמַרְתָּ֙ | ve./'a.mar.Ta | and/ you will say | H559 | Hc/Vqq2ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Second Singular Masculine | אָמַר (a.mar): to say |
| 2 | שִׁמְע֣וּ | shim.'U | hear | H8085G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | שָׁמַע (sha.ma): to hear: hear |
| 3 | דְבַר\־ | de.var- | [the] word of | H1697G | HNcmsc — Noun (Singular Masculine, Construct) | דָּבָר (da.var): word |
| 4 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | מַלְכֵ֣י | mal.Khei | O kings of | H4428G | HNcmpc — Noun (Plural Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 6 | יְהוּדָ֔ה | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 7 | וְ/יֹשְׁבֵ֖י | ve./yo.she.Vei | and/ [the] inhabitants of | H3427 | HC/Vqrmpc — Conjunction + Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) | יָשַׁב (ya.shav): to dwell |
| 8 | יְרֽוּשָׁלִָ֑ם | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 9 | כֹּֽה\־ | koh- | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 10 | אָמַר֩ | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 11 | יְהוָ֨ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 12 | צְבָא֜וֹת | tze.va.'ot | of hosts | H6635B | HNcfpa — Noun (Plural Feminine, Absolute) | צָבָא (tsa.va): Hosts |
| 13 | אֱלֹהֵ֣י | 'e.lo.Hei | [the] God of | H430G | HNcmpc — Noun (Plural Masculine, Construct) | אֱלֹהִים (e.lo.him): God |
| 14 | יִשְׂרָאֵ֗ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 15 | הִנְ/נִ֨י | hi./Ni | here/ I | H2005 | HTj/Sp1bs — Interjection + Suffix (First Singular Either gender) | הֵן (hen): look! |
| 16 | מֵבִ֤יא | me.Vi' | [am] about to bring | H935P | HVhrmsa — Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | בּוֹא (bo): to come (in): bring |
| 17 | רָעָה֙ | ra.'Ah | calamity | H7451C | HNcfsa — Noun (Singular Feminine, Absolute) | רָעָה (ra.ah): distress: harm |
| 18 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 19 | הַ/מָּק֣וֹם | ha./ma.Kom | the/ place | H4725 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | מָקוֹם (ma.qom): place |
| 20 | הַ/זֶּ֔ה | ha./Zeh | <the>/ this | H2088 | HTd/Tm — Definite article (Hebrew) + Demonstrative Particle | זֶה (zeh): this |
| 21 | אֲשֶׁ֥ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 22 | כָּל\־ | kol- | every | H3605 | HNcmsa — Noun (Singular Masculine, Absolute) | כֹּל (kol): all |
| 23 | שֹׁמְעָ֖/הּ | sho.me.'A/h | [one who] hears of/ it | H8085G | HVqrmsc/Sp3fs — Verb : Qal (Simple, Active) Participle (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | שָׁמַע (sha.ma): to hear: hear |
| 24 | תִּצַּ֥לְנָה | ti.Tzal.nah | they will tingle | H6750 | HVqi3fp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Feminine | צָלַל (tsa.lal): to tingle |
| 25 | אָזְנָֽי/ו\׃ | 'a.ze.Na/v | ears/ his | H241G | HNcfdc/Sp3ms — Noun (Dual Feminine, Construct) + Suffix (Third Singular Masculine) | אֹ֫זֶן (o.zen): ear |

## Jeremiah 19:4

**Original:** יַ֣עַן׀ אֲשֶׁ֣ר עֲזָבֻ֗נִי וַֽיְנַכְּר֞וּ אֶת־ הַמָּק֤וֹם הַזֶּה֙ וַיְקַטְּרוּ־ בוֹ֙ לֵאלֹהִ֣ים אֲחֵרִ֔ים אֲשֶׁ֧ר לֹֽא־ יְדָע֛וּם הֵ֥מָּה וַאֲבֽוֹתֵיהֶ֖ם וּמַלְכֵ֣י יְהוּדָ֑ה וּמָֽלְא֛וּ אֶת־ הַמָּק֥וֹם הַזֶּ֖ה דַּ֥ם נְקִיִּֽם׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | יַ֣עַן\׀ | Ya.'an | because | H3282 | HC — Conjunction | יַעַן (ya.an): because |
| 2 | אֲשֶׁ֣ר | 'a.Sher | that | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 3 | עֲזָבֻ֗/נִי | 'a.za.Vu./ni | they have forsaken/ me | H5800A | HVqp3cp/Sp1bs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender + Suffix (First Singular Either gender) | עָזַב (a.zav): to leave: forsake |
