# STEP Bible — Jeremiah 40

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Jeremiah 40:1

**Original:** הַדָּבָ֞ר אֲשֶׁר־ הָיָ֤ה אֶֽל־ יִרְמְיָ֙הוּ֙ מֵאֵ֣ת יְהוָ֔ה אַחַ֣ר׀ שַׁלַּ֣ח אֹת֗וֹ נְבוּזַרְאֲדָ֛ן רַב־ טַבָּחִ֖ים מִן־ הָֽרָמָ֑ה בְּקַחְתּ֣וֹ אֹת֗וֹ וְהֽוּא־ אָס֤וּר בָּֽאזִקִּים֙ בְּת֨וֹךְ כָּל־ גָּל֤וּת יְרוּשָׁלִַ֙ם֙ וִֽיהוּדָ֔ה הַמֻּגְלִ֖ים בָּבֶֽלָה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ/דָּבָ֞ר | ha./da.Var | the/ word | H1697G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | דָּבָר (da.var): word |
| 2 | אֲשֶׁר\־ | 'a.Sher- | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 3 | הָיָ֤ה | ha.Yah | it came | H1961 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 4 | אֶֽל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 5 | יִרְמְיָ֙הוּ֙ | yir.me.Ya.hu | Jeremiah | H3414L | HNpm — Proper Noun (Masculine individual) | יִרְמְיָ֫הוּ (yir.me.yah): Jeremiah |
| 6 | מֵ/אֵ֣ת | me./'Et | from/ with | H854 | HR/R — Preposition + Preposition | אֵת (et): with |
| 7 | יְהוָ֔ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 8 | אַחַ֣ר\׀ | 'a.Char | after | H310A | HAcmsc — Adjective (Singular Masculine, Construct) | אַחַר (a.char): after |
| 9 | שַׁלַּ֣ח | sha.Lach | set free | H7971H | HVpcc — Verb : Piel (Intensive/resultive/transtive, Active) Infinitive Construct | שָׁלַח (sha.lach): to send: let go |
| 10 | אֹת֗/וֹ | 'o.T/o | <obj.>/ him | H853 | HTo/Sp3ms — Object indicator + Suffix (Third Singular Masculine) | אֵת (et): [Obj.] |
| 11 | נְבוּזַרְאֲדָ֛ן | ne.vu.zar.'a.Dan | Nebuzaradan | H5018 | HNpm — Proper Noun (Masculine individual) | נְבוּזַרְאֲדָן (ne.vu.zar.a.dan): Nebuzaradan |
| 12 | רַב\־ | rav- | [the] chief of | H7227B | HNcmsc — Noun (Singular Masculine, Construct) | רַב (rav): chief |
| 13 | טַבָּחִ֖ים | ta.ba.Chim | [the] bodyguards | H2876 | HNcmpa — Noun (Plural Masculine, Absolute) | טַבָּח (tab.bach): guard |
| 14 | מִן\־ | min- | from | H4480A | HR — Preposition | from |
| 15 | הָֽ/רָמָ֑ה | ha./ra.Mah | <the>/ Ramah | H7414G | HTd/Npl — Definite article (Hebrew) + Proper Noun (Location) | רָמָה (ra.mah): Ramah |
| 16 | בְּ/קַחְתּ֣/וֹ | be./kach.T/o | when/ took/ he | H3947G | HR/Vqcc/Sp3ms — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | לָקַח (la.qach): to take: take |
| 17 | אֹת֗/וֹ | 'o.T/o | <obj.>/ him | H853 | HTo/Sp3ms — Object indicator + Suffix (Third Singular Masculine) | אֵת (et): [Obj.] |
| 18 | וְ/הֽוּא\־ | ve./hu'- | and/ he | H1931 | HC/Pp3ms — Conjunction + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 19 | אָס֤וּר | 'a.Sur | [was] bound | H631 | HVqsmsa — Verb : Qal (Simple, Passive) Participle passive (Singular Masculine, Absolute) | אָסַר (a.sar): to bind |
| 20 | בָּֽ/אזִקִּים֙ | ba./zi.Kim | with <the>/ chains | H246 | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | אֲזֵק (a.ziq.qim): chains |
| 21 | בְּ/ת֨וֹךְ | be./Tokh | in/ among | H8432 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | תָּ֫וֶךְ (ta.vekh): midst |
| 22 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 23 | גָּל֤וּת | ga.Lut | [the] exile[s] of | H1546 | HNcfsc — Noun (Singular Feminine, Construct) | גָּלוּת (ga.lut): captivity |
| 24 | יְרוּשָׁלִַ֙ם֙ | ye.ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 25 | וִֽ/יהוּדָ֔ה | vi./hu.Dah | and/ Judah | H3063G | HC/Npl — Conjunction + Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 26 | הַ/מֻּגְלִ֖ים | ha./mug.Lim | who/ were being taken into exile | H1540K | HTd/VHsmpa — Definite article (Hebrew) + Verb : Hophal (Causative/declarative, Passive) Participle passive (Plural Masculine, Absolute) | גָּלָה (ga.lah): to reveal: remove |
| 27 | בָּבֶֽלָ/ה\׃ | ba.Ve.la/h | Babylon/ towards | H894 | HNpl/Sd — Proper Noun (Location) + Directional Suffix | בָּבֶ֫ל, בָּבֶל (ba.vel): Babylon |

## Jeremiah 40:2

**Original:** וַיִּקַּ֥ח רַב־ טַבָּחִ֖ים לְיִרְמְיָ֑הוּ וַיֹּ֣אמֶר אֵלָ֔יו יְהוָ֣ה אֱלֹהֶ֗יךָ דִּבֶּר֙ אֶת־ הָרָעָ֣ה הַזֹּ֔את אֶל־ הַמָּק֖וֹם הַזֶּֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּקַּ֥ח | va/i.yi.Kach | and/ he took | H3947G | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | לָקַח (la.qach): to take: take |
| 2 | רַב\־ | rav- | [the] chief of | H7227B | HNcmsc — Noun (Singular Masculine, Construct) | רַב (rav): chief |
| 3 | טַבָּחִ֖ים | ta.ba.Chim | [the] bodyguards | H2876 | HNcmpa — Noun (Plural Masculine, Absolute) | טַבָּח (tab.bach): guard |
| 4 | לְ/יִרְמְיָ֑הוּ | le./yir.me.Ya.hu | <to>/ Jeremiah | H3414L | HR/Npm — Preposition + Proper Noun (Masculine individual) | יִרְמְיָ֫הוּ (yir.me.yah): Jeremiah |
| 5 | וַ/יֹּ֣אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 6 | אֵלָ֔י/ו | 'e.La/v | to/ him | H413 | HRd/Sp3ms — Preposition (Definite) + Suffix (Third Singular Masculine) | אֶל (el): to(wards) |
| 7 | יְהוָ֣ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 8 | אֱלֹהֶ֗י/ךָ | 'e.lo.Hei./kha | God/ your | H430G | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 9 | דִּבֶּר֙ | di.Ber | he spoke | H1696I | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: promise |
| 10 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 11 | הָ/רָעָ֣ה | ha./ra.'Ah | the/ harm | H7451C | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | רָעָה (ra.ah): distress: harm |
