# STEP Bible — Jeremiah 45

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Jeremiah 45:1

**Original:** הַדָּבָ֗ר אֲשֶׁ֤ר דִּבֶּר֙ יִרְמְיָ֣הוּ הַנָּבִ֔יא אֶל־ בָּר֖וּךְ בֶּֽן־ נֵֽרִיָּ֑ה בְּכָתְבוֹ֩ אֶת־ הַדְּבָרִ֨ים הָאֵ֤לֶּה עַל־ סֵ֙פֶר֙ מִפִּ֣י יִרְמְיָ֔הוּ בַּשָּׁנָה֙ הָֽרְבִעִ֔ית לִיהוֹיָקִ֧ים בֶּן־ יֹאשִׁיָּ֛הוּ מֶ֥לֶךְ יְהוּדָ֖ה לֵאמֹֽר׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ/דָּבָ֗ר | ha./da.Var | the/ word | H1697G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | דָּבָר (da.var): word |
| 2 | אֲשֶׁ֤ר | 'a.Sher | which | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 3 | דִּבֶּר֙ | di.Ber | he spoke | H1696G | HVpp3ms — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) Third Singular Masculine | דָבַר (da.var): to speak: speak |
| 4 | יִרְמְיָ֣הוּ | yir.me.Ya.hu | Jeremiah | H3414L | HNpm — Proper Noun (Masculine individual) | יִרְמְיָ֫הוּ (yir.me.yah): Jeremiah |
| 5 | הַ/נָּבִ֔יא | ha./na.Vi' | the/ prophet | H5030 | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | נָבִיא (na.vi): prophet |
| 6 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 7 | בָּר֖וּךְ | ba.Rukh | Baruch | H1263J | HNpm — Proper Noun (Masculine individual) | בָּרוּךְ (ba.rukh): Baruch |
| 8 | בֶּֽן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 9 | נֵֽרִיָּ֑ה | ne.ri.Yah | Neriah | H5374 | HNpm — Proper Noun (Masculine individual) | נֵרִיָהוּ (ne.riy.yah): Neriah |
| 10 | בְּ/כָתְב/וֹ֩ | be./kha.te.V/o | when/ wrote/ he | H3789 | HR/Vqcc/Sp3ms — Preposition + Verb : Qal (Simple, Active) Infinitive Construct + Suffix (Third Singular Masculine) | כָּתַב (ka.tav): to write |
| 11 | אֶת\־ | 'et- | <obj.> | H853 | HTo — Object indicator | אֵת (et): [Obj.] |
| 12 | הַ/דְּבָרִ֨ים | ha./de.va.Rim | the/ words | H1697G | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | דָּבָר (da.var): word |
| 13 | הָ/אֵ֤לֶּה | ha./'E.leh | <the>/ these | H428 | HTd/Tm — Definite article (Hebrew) + Demonstrative Particle | אֵ֫לֶּה (el.leh): these |
| 14 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 15 | סֵ֙פֶר֙ | se.fer | a scroll | H5612H | HNcmsa — Noun (Singular Masculine, Absolute) | סֵ֫פֶר (se.pher): scroll: book |
| 16 | מִ/פִּ֣י | mi./Pi | from/ [the] mouth of | H6310G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | פֶּה (peh): lip |
| 17 | יִרְמְיָ֔הוּ | yir.me.Ya.hu | Jeremiah | H3414L | HNpm — Proper Noun (Masculine individual) | יִרְמְיָ֫הוּ (yir.me.yah): Jeremiah |
| 18 | בַּ/שָּׁנָה֙ | ba./sha.Nah | in the/ year | H8141 | HRd/Ncfsa — Preposition (Definite) + Noun (Singular Feminine, Absolute) | שָׁנָה (sha.neh): year |
| 19 | הָֽ/רְבִעִ֔ית | ha./re.vi.'It | <the>/ fourth | H7243 | HTd/Aofsa — Definite article (Hebrew) + Aofsa | רְבִיעִי (re.vi.i): fourth |
| 20 | לִ/יהוֹיָקִ֧ים | li./ho.ya.Kim | of/ Jehoiakim | H3079 | HR/Npm — Preposition + Proper Noun (Masculine individual) | יְהוֹיָקִים (ye.ho.ya.qim): Jehoiakim |
| 21 | בֶּן\־ | ben- | [the] son of | H1121A | HNcmsc — Noun (Singular Masculine, Construct) | בֵּן (ben): son: child |
| 22 | יֹאשִׁיָּ֛הוּ | yo.shi.Ya.hu | Josiah | H2977G | HNpm — Proper Noun (Masculine individual) | יֹאשִׁיָּ֫הוּ (yo.shiy.yah): Josiah |
| 23 | מֶ֥לֶךְ | Me.lekh | [the] king of | H4428G | HNcmsc — Noun (Singular Masculine, Construct) | מֶ֫לֶךְ (me.lekh): king |
| 24 | יְהוּדָ֖ה | ye.hu.Dah | Judah | H3063G | HNpl — Proper Noun (Location) | יְהוּדָה (ye.hu.dah): Judah |
| 25 | לֵ/אמֹֽר\׃\ \ס | le./Mor | <to>/ saying | H559 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | אָמַר (a.mar): to say |

## Jeremiah 45:2

**Original:** כֹּֽה־ אָמַ֥ר יְהוָ֖ה אֱלֹהֵ֣י יִשְׂרָאֵ֑ל עָלֶ֖יךָ בָּרֽוּךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כֹּֽה\־ | koh- | thus | H3541 | HD — Adverb | כֹּה (koh): thus |
| 2 | אָמַ֥ר | 'a.Mar | he says | H559 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 3 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 4 | אֱלֹהֵ֣י | 'e.lo.Hei | [the] God of | H430G | HNcmpc — Noun (Plural Masculine, Construct) | אֱלֹהִים (e.lo.him): God |
| 5 | יִשְׂרָאֵ֑ל | Yis.ra.'El | Israel | H3478 | HNpl — Proper Noun (Location) | יִשְׂרָאֵל (yis.ra.el): Israel |
| 6 | עָלֶ֖י/ךָ | 'a.Lei./kha | to/ you | H5921A | HRd/Sp2ms — Preposition (Definite) + Suffix (Second Singular Masculine) | עַל (al): upon |
| 7 | בָּרֽוּךְ\׃ | ba.Rukh | O Baruch | H1263J | HNpm — Proper Noun (Masculine individual) | בָּרוּךְ (ba.rukh): Baruch |

## Jeremiah 45:3

**Original:** אָמַ֙רְתָּ֙ אֽוֹי־ נָ֣א לִ֔י כִּֽי־ יָסַ֧ף יְהוָ֛ה יָג֖וֹן עַל־ מַכְאֹבִ֑י יָגַ֙עְתִּי֙ בְּאַנְחָתִ֔י וּמְנוּחָ֖ה לֹ֥א מָצָֽאתִי׃\ \ס

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אָמַ֙רְתָּ֙ | 'a.Mar.ta | you said | H559 | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | אָמַר (a.mar): to say |
| 2 | אֽוֹי\־ | 'o- | woe! | H188 | HTj — Interjection | אוֹי (oy): woe! |
| 3 | נָ֣א | na' | please | H4994 | HTj — Interjection | נָא (na): please |
| 4 | לִ֔/י | L/i | to <the>/ me | H9005 | HRd/Sp1bs — Preposition (Definite) + Suffix (First Singular Either gender) | /ל (l): to/for |
| 5 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 6 | יָסַ֧ף | ya.Saf | he has added | H3254H | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | יָסַף (ya.saph): to add |
| 7 | יְהוָ֛ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 8 | יָג֖וֹן | ya.Gon | sorrow | H3015 | HNcmsa — Noun (Singular Masculine, Absolute) | יָגוֹן (ya.gon): sorrow |
