# STEP Bible — Jeremiah 6

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Jeremiah 6:1

**Original:** הָעִ֣זוּ׀ בְּנֵ֣י בִניָמִ֗ן מִקֶּ֙רֶב֙ יְר֣וּשָׁלִַ֔ם וּבִתְק֙וֹעַ֙ תִּקְע֣וּ שׁוֹפָ֔ר וְעַל־ בֵּ֥ית הַכֶּ֖רֶם שְׂא֣וּ מַשְׂאֵ֑ת כִּ֥י רָעָ֛ה נִשְׁקְפָ֥ה מִצָּפ֖וֹן וְשֶׁ֥בֶר גָּדֽוֹל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הָעִ֣זוּ\׀ | ha.'I.zu | flee for refuge | H5756 | HVhv2mp — Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | עוּז (uz): to seek refuge |
| 2 | בְּנֵ֣י | be.Nei | O people of | H1121G | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: descendant/people |
| 3 | בִניָמִ֗ן | vi.n.ya.Min | Benjamin | H1144G | HNpm — Proper Noun (Masculine individual) | בִּנְיָמִין (bin.ya.min): Benjamin |
| 4 | מִ/קֶּ֙רֶב֙ | mi./Ke.rev | from/ [the] midst of | H7130G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | קֶ֫רֶב (qe.rev): entrails: among |
| 5 | יְר֣וּשָׁלִַ֔ם | ye.Ru.sha.Lim | Jerusalem | H3389 | HNpl — Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 6 | וּ/בִ/תְק֙וֹעַ֙ | u./vi/t.Ko.a' | and/ in/ Tekoa | H8620 | HC/R/Npl — Conjunction + Preposition + Proper Noun (Location) | תְּקוֹעַ (te.qo.a): Tekoa |
| 7 | תִּקְע֣וּ | tik.'U | blow | H8628 | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | תָּקַע (ta.qa): to blow |
| 8 | שׁוֹפָ֔ר | sho.Far | a trumpet | H7782 | HNcmsa — Noun (Singular Masculine, Absolute) | שֹׁפָר (sho.phar): trumpet |
| 9 | וְ/עַל\־ | ve./'al- | and/ at | H5921A | HC/R — Conjunction + Preposition | עַל (al): upon |
| 10 | בֵּ֥ית | beit | Beth | H1021 | HNpl — Proper Noun (Location) | בֵּית הַכֶּ֫רֶם (bet hak.ke.rem): Beth-haccherem |
| 11 | הַכֶּ֖רֶם | ha.Ke.rem | Hakkerem | H1021 | HNpl — Proper Noun (Location) | בֵּית הַכֶּ֫רֶם (bet hak.ke.rem): Beth-haccherem |
| 12 | שְׂא֣וּ | se.'U | raise | H5375G | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | נָשָׂא (na.sa): to lift: raise |
| 13 | מַשְׂאֵ֑ת | mas.'Et | a signal | H4864 | HNcfsa — Noun (Singular Feminine, Absolute) | מַשְׂאֵת (mas.et): tribute |
| 14 | כִּ֥י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 15 | רָעָ֛ה | ra.'Ah | calamity | H7451C | HNcfsa — Noun (Singular Feminine, Absolute) | רָעָה (ra.ah): distress: harm |
| 16 | נִשְׁקְפָ֥ה | nish.ke.Fah | it has looked down | H8259 | HVNp3fs — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Feminine | שָׁקַף (sha.qaph): to look |
| 17 | מִ/צָּפ֖וֹן | mi./tza.Fon | from/ [the] north | H6828G | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | צָפוֹן (tsa.phon): north |
| 18 | וְ/שֶׁ֥בֶר | ve./She.ver | and/ destruction | H7667 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | שֶׁ֫בֶר (she.ver): breaking |
| 19 | גָּדֽוֹל\׃ | ga.Dol | great | H1419A | HAamsa — Adjective (Singular Masculine, Absolute) | גָּדוֹל (ga.dol): great: large |

## Jeremiah 6:2

**Original:** הַנָּוָה֙ וְהַמְּעֻנָּגָ֔ה דָּמִ֖יתִי בַּת־ צִיּֽוֹן׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַ/נָּוָה֙ | ha./na.Vah | the/ beautiful [one] | H5000 | HTd/Aafsa — Definite article (Hebrew) + Aafsa | נָאוֶה (na.eh): lovely |
| 2 | וְ/הַ/מְּעֻנָּגָ֔ה | ve./ha./me.'u.na.Gah | and/ the/ dainty [one] | H6026 | HC/Td/VPsfsa — Conjunction + Definite article (Hebrew) + Verb : Pual (Intensive/resultive/transtive, Passive) Participle passive (Singular Feminine, Absolute) | עָנֹג (a.nag): to delight |
| 3 | דָּמִ֖יתִי | da.Mi.ti | I resemble | H1819 | HVqp2fs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Feminine | דָּמָה (da.mah): to resemble |
| 4 | בַּת\־ | bat- | [the] daughter of | H1323G | HNcfsc — Noun (Singular Feminine, Construct) | בַּת (bat): daughter |
| 5 | צִיּֽוֹן\׃ | tzi.Yon | Zion | H6726 | HNpl — Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |

## Jeremiah 6:3

**Original:** אֵלֶ֛יהָ יָבֹ֥אוּ רֹעִ֖ים וְעֶדְרֵיהֶ֑ם תָּקְע֨וּ עָלֶ֤יהָ אֹהָלִים֙ סָבִ֔יב רָע֖וּ אִ֥ישׁ אֶת־ יָדֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֵלֶ֛י/הָ | 'e.Lei./ha | to/ it | H413 | HRd/Sp3fs — Preposition (Definite) + Suffix (Third Singular Feminine) | אֶל (el): to(wards) |
