# STEP Bible — Job 1

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Job 1:1

**Original:** אִ֛ישׁ הָיָ֥ה בְאֶֽרֶץ־ ע֖וּץ אִיּ֣וֹב שְׁמ֑וֹ וְהָיָ֣ה׀ הָאִ֣ישׁ הַה֗וּא תָּ֧ם וְיָשָׁ֛ר וִירֵ֥א אֱלֹהִ֖ים וְסָ֥ר מֵרָֽע׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אִ֛ישׁ | 'ish | a man | H376G | HNcmsa — Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 2 | הָיָ֥ה | ha.Yah | he was | H1961 | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 3 | בְ/אֶֽרֶץ\־ | ve./'e.retz- | in/ [the] land of | H776G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | אֶ֫רֶץ (e.rets): land: country/planet |
| 4 | ע֖וּץ | 'utz | Uz | H5780J | HNpl — Proper Noun (Location) | עוּץ (uts): Uz |
| 5 | אִיּ֣וֹב | 'i.Yov | [was] Job | H347 | HNpm — Proper Noun (Masculine individual) | אִיּוֹב (iy.yov): Job |
| 6 | שְׁמ֑/וֹ | she.M/o | name/ his | H8034 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | שֵׁם (shem): name |
| 7 | וְ/הָיָ֣ה\׀ | ve./ha.Yah | and/ he was | H1961 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 8 | הָ/אִ֣ישׁ | ha./'Ish | the/ man | H376G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | אִישׁ (ish): man |
| 9 | הַ/ה֗וּא | ha./Hu' | <the>/ that | H1931 | HTd/Pp3ms — Definite article (Hebrew) + Pronoun (Third Singular Masculine) | הוּא (hu): he/she/it |
| 10 | תָּ֧ם | tam | blameless | H8535 | HAamsa — Adjective (Singular Masculine, Absolute) | תָּם (tam): complete |
| 11 | וְ/יָשָׁ֛ר | ve./ya.Shar | and/ upright | H3477G | HC/Aamsa — Conjunction + Aamsa | יָשָׁר (ya.shar): upright |
| 12 | וִ/ירֵ֥א | vi./Re' | and/ fearing | H3373 | HC/Aamsc — Conjunction + Aamsc | יָרֵא (ya.re): afraid |
| 13 | אֱלֹהִ֖ים | 'E.lo.Him | <of> God | H430G | HNcmpa — Noun (Plural Masculine, Absolute) | אֱלֹהִים (e.lo.him): God |
| 14 | וְ/סָ֥ר | ve./Sar | and/ turning aside | H5493I | HC/Vqrmsa — Conjunction + Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | סוּר (sur): to turn aside: turn aside |
| 15 | מֵ/רָֽע\׃ | me./Ra' | from/ evil | H7451B | HR/Aamsa — Preposition + Aamsa | רַע (ra): bad: evil |

## Job 1:2

