# STEP Bible — Job 20

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Job 20:1

**Original:** וַ֭יַּעַן צֹפַ֥ר הַנַּֽעֲמָתִ֗י וַיֹּאמַֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ֭/יַּעַן | Va/i.ya.'an | and/ he answered | H6030B | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | עָנָה (a.nah): to answer |
| 2 | צֹפַ֥ר | tzo.Far | Zophar | H6691 | HNpm — Proper Noun (Masculine individual) | צוֹפַר (tso.phar): Zophar |
| 3 | הַ/נַּֽעֲמָתִ֗י | ha./na.'a.ma.Ti | the/ Naamathite | H5284 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | נַעֲמָתִי (na.a.ma.ti): Naamathite |
| 4 | וַ/יֹּאמַֽר\׃ | va/i.yo.Mar | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |

## Job 20:2

**Original:** לָ֭כֵן שְׂעִפַּ֣י יְשִׁיב֑וּנִי וּ֝בַעֲב֗וּר ח֣וּשִׁי בִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | לָ֭/כֵן | La./khen | <to>/ therefore | H3651C | HR/D — Preposition + Adverb | כֵּן (ken): so |
| 2 | שְׂעִפַּ֣/י | se.'i.Pa/i | disquieting thoughts/ my | H5587B | HNcmpc/Sp1bs — Noun (Plural Masculine, Construct) + Suffix (First Singular Either gender) | שְׂעִפִּים (se.i.pim): disquietings |
| 3 | יְשִׁיב֑וּ/נִי | ye.shi.Vu./ni | they make respond/ me | H7725M | HVhi3mp/Sp1bs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine + Suffix (First Singular Either gender) | שׁוּב (shuv): to return: reply |
| 4 | וּ֝/בַ/עֲב֗וּר | u./va./'a.Vur | and/ in/ order | H5668 | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | עָבוּר (a.vur): for the sake of |
| 5 | ח֣וּשִׁ/י | Chu.sh/i | to agitate/ I | H2363A | HVqcc/Sp1bs — Verb : Qal (Simple, Active) Infinitive Construct + Suffix (First Singular Either gender) | חוּשׁ (chush): to hasten |
| 6 | בִֽ/י\׃ | V/i | in/ me | H9003 | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | /ב (b): in/on/with |

## Job 20:3

**Original:** מוּסַ֣ר כְּלִמָּתִ֣י אֶשְׁמָ֑ע וְ֝ר֗וּחַ מִֽבִּינָתִ֥י יַעֲנֵֽנִי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | מוּסַ֣ר | mu.Sar | [the] correction of | H4148G | HNcmsc — Noun (Singular Masculine, Construct) | מוּסָר (mu.sar): discipline |
| 2 | כְּלִמָּתִ֣/י | ke.li.ma.T/i | insult/ my | H3639 | HNcfsc/Sp1bs — Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | כְּלִמָּה (ke.lim.mah): shame |
| 3 | אֶשְׁמָ֑ע | 'esh.Ma' | I have heard | H8085G | HVqi1cs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | שָׁמַע (sha.ma): to hear: hear |
| 4 | וְ֝/ר֗וּחַ | ve./Ru.ach | and/ a spirit | H7307G | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | רוּחַ (ru.ach): spirit |
| 5 | מִֽ/בִּינָתִ֥/י | mi./bi.na.T/i | from/ understanding/ my | H998 | HR/Ncfsc/Sp1bs — Preposition + Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | בִּינָה (bi.nah): understanding |
| 6 | יַעֲנֵֽ/נִי\׃ | ya.'a.Ne./ni | it answers/ me | H6030B | HVqi3ms/Sp1bs — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (First Singular Either gender) | עָנָה (a.nah): to answer |

## Job 20:4

**Original:** הֲזֹ֣את יָ֭דַעְתָּ מִנִּי־ עַ֑ד מִנִּ֤י שִׂ֖ים אָדָ֣ם עֲלֵי־ אָֽרֶץ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/זֹ֣את | ha./Zot | ¿/ this | H2063 | HTi/Tm — Interrogative Particle + Demonstrative Particle | זֹאת (zot): this |
| 2 | יָ֭דַעְתָּ | Ya.da'.ta | do you know | H3045 | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | יָדַע (ya.da): to know |
| 3 | מִנִּי\־ | mi.ni- | from | H4480A | HR — Preposition | מִן־ (min): from |
| 4 | עַ֑ד | 'Ad | antiquity | H5703 | HNcmsa — Noun (Singular Masculine, Absolute) | עַד (ad): perpetuity |
| 5 | מִנִּ֤י | mi.Ni | from when | H4480A | HR — Preposition | מִן־ (min): from |
| 6 | שִׂ֖ים | sim | put | H7760H | HVqcc — Verb : Qal (Simple, Active) Infinitive Construct | שׂוּם (sum): to set: put |
| 7 | אָדָ֣ם | 'a.Dam | humankind | H120G | HNcmsa — Noun (Singular Masculine, Absolute) | אָדָם (a.dam): man |
| 8 | עֲלֵי\־ | 'a.lei- | on | H5921A | HR — Preposition | עַל (al): upon |
| 9 | אָֽרֶץ\׃ | 'A.retz | earth | H776G | HNcfsa — Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |

## Job 20:5

**Original:** כִּ֤י רִנְנַ֣ת רְ֭שָׁעִים מִקָּר֑וֹב וְשִׂמְחַ֖ת חָנֵ֣ף עֲדֵי־ רָֽגַע׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּ֤י | ki | that | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | רִנְנַ֣ת | ri.Nat | [the] cry of joy of | H7445 | HNcfsc — Noun (Singular Feminine, Construct) | רְנָנָה (re.na.nah): triumphing |
| 3 | רְ֭שָׁעִים | Re.sha.'im | wicked [people] | H7563 | HNcmpa — Noun (Plural Masculine, Absolute) | רָשָׁע (ra.sah): wicked |
| 4 | מִ/קָּר֑וֹב | mi./ka.Rov | [is] from/ near | H7138 | HR/Aamsa — Preposition + Aamsa | קָרֹב (qa.rov): near |
| 5 | וְ/שִׂמְחַ֖ת | ve./sim.Chat | and/ [the] gladness of | H8057 | HC/Ncfsc — Conjunction + Noun (Singular Feminine, Construct) | שִׂמְחָה (sim.chah): joy |
| 6 | חָנֵ֣ף | cha.Nef | [the] godless | H2611 | HAamsa — Adjective (Singular Masculine, Absolute) | חָנֵף (cha.neph): profane |
| 7 | עֲדֵי\־ | 'a.dei- | [is] until | H5704 | HR — Preposition | עַד (ad): till |
| 8 | רָֽגַע\׃ | Ra.ga' | a moment | H7281 | HNcmsa — Noun (Singular Masculine, Absolute) | רֶ֫גַע (re.ga): moment |

## Job 20:6

**Original:** אִם־ יַעֲלֶ֣ה לַשָּׁמַ֣יִם שִׂיא֑וֹ וְ֝רֹאשׁ֗וֹ לָעָ֥ב יַגִּֽיעַ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אִם\־ | 'im- | though | H518A | HTc — Conditional Particle | אִם (im): if |
| 2 | יַעֲלֶ֣ה | ya.'a.Leh | it will go up | H5927G | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | עָלָה (a.lah): to ascend: rise |
| 3 | לַ/שָּׁמַ֣יִם | la./sha.Ma.yim | to the/ heavens | H8064 | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | שָׁמַיִם (sha.ma.yim): heaven |
| 4 | שִׂיא֑/וֹ | si.'/O | loftiness/ his | H7863 | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | שִׂיא (si): loftiness |
