# STEP Bible — Job 25

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Job 25:1

**Original:** וַ֭יַּעַן בִּלְדַּ֥ד הַשֻּׁחִ֗י וַיֹּאמַֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ֭/יַּעַן | Va/i.ya.'an | and/ he answered | H6030B | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | עָנָה (a.nah): to answer |
| 2 | בִּלְדַּ֥ד | bil.Dad | Bildad | H1085 | HNpm — Proper Noun (Masculine individual) | בִּלְדַּד (bil.dad): Bildad |
| 3 | הַ/שֻּׁחִ֗י | ha./shu.Chi | the/ Shuhite | H7747 | HTd/Ngmsa — Definite article (Hebrew) + Noun (Gentilic, Singular Masculine, Absolute) | שׁוּחִי (shu.chi): Shuhite |
| 4 | וַ/יֹּאמַֽר\׃ | va/i.yo.Mar | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |

## Job 25:2

**Original:** הַמְשֵׁ֣ל וָפַ֣חַד עִמּ֑וֹ עֹשֶׂ֥ה שָׁ֝ל֗וֹם בִּמְרוֹמָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַמְשֵׁ֣ל | ham.Shel | dominion | H4910 | HVhaa — Verb : Hiphil (Causative/declarative, Active) Infinitive Absolute | מָשַׁל (ma.shal): to rule |
| 2 | וָ/פַ֣חַד | va./Fa.chad | and/ dread | H6343 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | פַּ֫חַד (pa.chad): dread |
| 3 | עִמּ֑/וֹ | i.M/o | [are] with/ him | H5973A | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | עִם (im): with |
| 4 | עֹשֶׂ֥ה | 'o.Seh | [he] makes | H6213H | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | עָשָׂה (a.sah): to make |
| 5 | שָׁ֝ל֗וֹם | Sha.Lom | peace | H7965G | HNcmsa — Noun (Singular Masculine, Absolute) | שָׁלוֹם (sha.lom): peace |
| 6 | בִּ/מְרוֹמָֽי/ו\׃ | bi/m.ro.Ma/v | in/ heights/ his | H4791 | HR/Ncmpc/Sp3ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | מָרוֹם (ma.rom): height |

## Job 25:3

**Original:** הֲיֵ֣שׁ מִ֭סְפָּר לִגְדוּדָ֑יו וְעַל־ מִ֝֗י לֹא־ יָק֥וּם אוֹרֵֽהוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/יֵ֣שׁ | ha./Yesh | ¿/ [is] there | H3426 | HTi/Acbsa — Interrogative Particle + Acbsa | יֵשׁ (yesh): there |
| 2 | מִ֭סְפָּר | Mis.por | a number | H4557 | HNcmsa — Noun (Singular Masculine, Absolute) | מִסְפָּר (mis.par): number |
| 3 | לִ/גְדוּדָ֑י/ו | li/g.du.Da/v | to/ troops/ his | H1416 | HR/Ncmpc/Sp3ms — Preposition + Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | גְּדוּד (ge.dud): band |
| 4 | וְ/עַל\־ | ve./'al- | and/ on | H5921A | HC/R — Conjunction + Preposition | עַל (al): upon |
| 5 | מִ֝֗י | Mi | whom? | H4310 | HPi — Interrogative Pronoun | מִי (mi): who? |
| 6 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 7 | יָק֥וּם | ya.Kum | does it rise | H6965B | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | קוּם (qum): to arise: rise |
| 8 | אוֹרֵֽ/הוּ\׃ | 'o.Re./hu | light/ his | H216 | HNcfsc/Sp3ms — Noun (Singular Feminine, Construct) + Suffix (Third Singular Masculine) | אוֹר (or): light |

## Job 25:4

**Original:** וּמַה־ יִּצְדַּ֣ק אֱנ֣וֹשׁ עִם־ אֵ֑ל וּמַה־ יִּ֝זְכֶּ֗ה יְל֣וּד אִשָּֽׁה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וּ/מַה\־ | u./mah- | and/ what? | H4100 | HC/Pi — Conjunction + Interrogative Pronoun | מָה (mah): what? |
| 2 | יִּצְדַּ֣ק | yitz.Dak | will he be righteous | H6663 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | צָדֵק (tsa.daq): to justify |
| 3 | אֱנ֣וֹשׁ | 'e.No.osh | a person | H582 | HNcmsa — Noun (Singular Masculine, Absolute) | אֱנוֹשׁ (e.nosh): human |
| 4 | עִם\־ | 'im- | with | H5973A | HR — Preposition | עִם (im): with |
| 5 | אֵ֑ל | 'El | God | H410G | HNcmsa — Noun (Singular Masculine, Absolute) | אֵל (el): God |
| 6 | וּ/מַה\־ | u./mah- | and/ what? | H4100 | HC/Pi — Conjunction + Interrogative Pronoun | מָה (mah): what? |
| 7 | יִּ֝זְכֶּ֗ה | yiz.Keh | will he be pure | H2135 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | זָכָה (za.khah): to clean |
| 8 | יְל֣וּד | ye.Lud | [one] born of | H3205 | HVqsmsc — Verb : Qal (Simple, Passive) Participle passive (Singular Masculine, Construct) | יָלַד (ya.lad): to beget |
| 9 | אִשָּֽׁה\׃ | 'i.Shah | a woman | H802G | HNcfsa — Noun (Singular Feminine, Absolute) | אִשָּׁה (ish.shah): woman |

## Job 25:5

**Original:** הֵ֣ן עַד־ יָ֭רֵחַ וְלֹ֣א יַאֲהִ֑יל וְ֝כוֹכָבִ֗ים לֹא־ זַכּ֥וּ בְעֵינָֽיו׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֵ֣ן | hen | there! | H2005 | HTj — Interjection | הֵן (hen): look! |
| 2 | עַד\־ | 'ad- | up to | H5704 | HR — Preposition | עַד (ad): till |
| 3 | יָ֭רֵחַ | Ya.re.ach | [the] moon | H3394 | HNcmsa — Noun (Singular Masculine, Absolute) | יָרֵחַ (ya.re.ach): moon |
| 4 | וְ/לֹ֣א | ve./Lo' | and/ not | H3808 | HC/Tn — Conjunction + Negative Particle | לֹא (lo): not |
| 5 | יַאֲהִ֑יל | ya.'a.Hil | it is clear | H166 | HVhi3ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | אָהַל (a.hal): to shine |
| 6 | וְ֝/כוֹכָבִ֗ים | ve./kho.kha.Vim | and/ [the] stars | H3556 | HC/Ncmpa — Conjunction + Noun (Plural Masculine, Absolute) | כּוֹכָב (ko.khav): star |
| 7 | לֹא\־ | lo'- | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 8 | זַכּ֥וּ | za.Ku | they are pure | H2141 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | זָכַךְ (za.khakh): be clean |
| 9 | בְ/עֵינָֽי/ו\׃ | ve./'ei.Na/v | in/ view/ his | H5869A | HR/Ncfdc/Sp3ms — Preposition + Noun (Dual Feminine, Construct) + Suffix (Third Singular Masculine) | עַ֫יִן (a.yin): eye |

## Job 25:6

**Original:** אַ֭ף כִּֽי־ אֱנ֣וֹשׁ רִמָּ֑ה וּבֶן־ אָ֝דָ֗ם תּוֹלֵעָֽה׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אַ֭ף | 'af | indeed? | H637 | HTj — Interjection | אַף (aph): also |
| 2 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 3 | אֱנ֣וֹשׁ | 'e.No.osh | a person | H582 | HNcmsa — Noun (Singular Masculine, Absolute) | אֱנוֹשׁ (e.nosh): human |
| 4 | רִמָּ֑ה | ri.Mah | a maggot | H7415 | HNcfsa — Noun (Singular Feminine, Absolute) | רִמָּה (rim.mah): worm |
