# STEP Bible — Job 30

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Job 30:1

**Original:** וְעַתָּ֤ה׀ שָֽׂחֲק֣וּ עָלַי֮ צְעִירִ֥ים מִמֶּ֗נִּי לְיָ֫מִ֥ים אֲשֶׁר־ מָאַ֥סְתִּי אֲבוֹתָ֑ם לָ֝שִׁ֗ית עִם־ כַּלְבֵ֥י צֹאנִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/עַתָּ֤ה\׀ | ve./'a.Tah | and/ now | H6258 | HC/D — Conjunction + Adverb | עַתָּ֫ה (at.tah): now |
| 2 | שָֽׂחֲק֣וּ | sa.cha.Ku | they have laughed | H7832 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | שָׂחַק (sa.chaq): to laugh |
| 3 | עָלַ/י֮ | 'a.La/i | on/ me | H5921A | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | עַל (al): upon |
| 4 | צְעִירִ֥ים | tze.'i.Rim | [people] young | H6810 | HAampa — Adjective (Plural Masculine, Absolute) | צָעִיר (tsa.ir): little |
| 5 | מִמֶּ֗/נִּי | mi.Me./ni | more than/ me | H4480A | HR/Sp1bs — Preposition + Suffix (First Singular Either gender) | מִן־ (min): from |
| 6 | לְ/יָ֫מִ֥ים | le./Ya.Mim | to/ days | H3117H | HR/Ncmpa — Preposition + Noun (Plural Masculine, Absolute) | יוֹם (yom): day: old |
| 7 | אֲשֶׁר\־ | 'a.Sher- | whom | H834A | HTr — Relative Particle | אֲשֶׁר (a.sher): which |
| 8 | מָאַ֥סְתִּי | ma.'As.ti | I rejected | H3988A | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | מָאַס (ma.as): to reject |
| 9 | אֲבוֹתָ֑/ם | 'a.vo.Ta/m | fathers/ their | H1G | HNcfpc/Sp3mp — Noun (Plural Feminine, Construct) + Suffix (Third Plural Masculine) | אָב (av): father |
