# STEP Bible — Job 35

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Job 35:1

**Original:** וַיַּ֥עַן אֱלִיה֗וּ וַיֹּאמַֽר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יַּ֥עַן | va/i.Ya.'an | and/ he answered | H6030B | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | עָנָה (a.nah): to answer |
| 2 | אֱלִיה֗וּ | 'e.li.Hu | Elihu | H453K | HNpm — Proper Noun (Masculine individual) | אֱלִיהוּ (e.li.hu): Elihu |
| 3 | וַ/יֹּאמַֽר\׃ | va/i.yo.Mar | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |

## Job 35:2

**Original:** הֲ֭זֹאת חָשַׁ֣בְתָּ לְמִשְׁפָּ֑ט אָ֝מַ֗רְתָּ צִדְקִ֥י מֵאֵֽל׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ֭/זֹאת | Ha./zot | ¿/ this | H2063 | HTi/Tm — Interrogative Particle + Demonstrative Particle | זֹאת (zot): this |
| 2 | חָשַׁ֣בְתָּ | cha.Shav.ta | do you consider | H2803J | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | חָשַׁב (cha.shav): to devise: think |
| 3 | לְ/מִשְׁפָּ֑ט | le./mish.Pat | to/ justice | H4941H | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | מִשְׁפָּט (mish.pat): justice |
| 4 | אָ֝מַ֗רְתָּ | 'a.Mar.ta | you have said | H559 | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | אָמַר (a.mar): to say |
| 5 | צִדְקִ֥/י | tzid.K/i | righteousness/ my | H6664G | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | צֶ֫דֶק (tse.deq): righteousness |
| 6 | מֵ/אֵֽל\׃ | me./'El | [is] more than/ God | H410G | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | אֵל (el): God |

## Job 35:3

**Original:** כִּֽי־ תֹ֭אמַר מַה־ יִּסְכָּן־ לָ֑ךְ מָֽה־ אֹ֝עִ֗יל מֵֽחַטָּאתִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 2 | תֹ֭אמַר | To.mar | you say | H559 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | אָמַר (a.mar): to say |
| 3 | מַה\־ | mah- | what? | H4100 | HPi — Interrogative Pronoun | מָה (mah): what? |
| 4 | יִּסְכָּן\־ | yis.kon- | will it be of use | H5532 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | סָכַן (sa.khan): be useful |
| 5 | לָ֑/ךְ | La/kh | to/ you | H9005 | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | /ל (l): to/for |
| 6 | מָֽה\־ | mah- | what? | H4100 | HPi — Interrogative Pronoun | מָה (mah): what? |
| 7 | אֹ֝עִ֗יל | 'o.'Il | will I profit | H3276 | HVhi1cs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | יָעַל (ya.al): to gain |
| 8 | מֵֽ/חַטָּאתִֽ/י\׃ | Me./cha.ta.T/i | from/ sin/ my | H2403B | HR/Ncfsc/Sp1bs — Preposition + Noun (Singular Feminine, Construct) + Suffix (First Singular Either gender) | חַטָּאת (chat.tat): sin |

## Job 35:4

**Original:** אֲ֭נִי אֲשִֽׁיבְךָ֣ מִלִּ֑ין וְֽאֶת־ רֵעֶ֥יךָ עִמָּֽךְ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֲ֭נִי | 'A.ni | I | H589 | HPp1bs — Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 2 | אֲשִֽׁיבְ/ךָ֣ | 'a.shi.ve./Kha | I will respond to/ you | H7725G | HVhi1cs/Sp2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender + Suffix (Second Singular Masculine) | שׁוּב (shuv): to return: return |
| 3 | מִלִּ֑ין | mi.Lin | words | H4405 | HNcmpa — Noun (Plural Masculine, Absolute) | מִלָּה (mil.lah): speech |
| 4 | וְֽ/אֶת\־ | ve./'Et | and/ <obj.> | H853 | HC/To — Conjunction + Object indicator | אֵת (et): [Obj.] |
| 5 | רֵעֶ֥י/ךָ | re.'Ei./kha | friends/ your | H7453 | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | רֵעַ (re.a): neighbor |
| 6 | עִמָּֽ/ךְ\׃ | 'i.Ma/kh | with/ you | H5973A | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | עִם (im): with |

## Job 35:5

**Original:** הַבֵּ֣ט שָׁמַ֣יִם וּרְאֵ֑ה וְשׁ֥וּר שְׁ֝חָקִ֗ים גָּבְה֥וּ מִמֶּֽךָּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הַבֵּ֣ט | ha.Bet | look at | H5027 | HVhv2ms — Verb : Hiphil (Causative/declarative, Active) Imperative Second Singular Masculine | נָבַט (na.vat): to look |
| 2 | שָׁמַ֣יִם | sha.Ma.yim | [the] heavens | H8064 | HNcmpa — Noun (Plural Masculine, Absolute) | שָׁמַיִם (sha.ma.yim): heaven |
| 3 | וּ/רְאֵ֑ה | u./re.'Eh | and/ see | H7200G | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | רָאָה (ra.ah): to see: see |
| 4 | וְ/שׁ֥וּר | ve./Shur | and/ observe | H7789 | HC/Vqv2ms — Conjunction + Verb : Qal (Simple, Active) Imperative Second Singular Masculine | שׁוּר (shur): to see |
| 5 | שְׁ֝חָקִ֗ים | She.cha.Kim | [the] clouds | H7834 | HNcmpa — Noun (Plural Masculine, Absolute) | שַׁ֫חַק (sha.chaq): cloud |
| 6 | גָּבְה֥וּ | ga.ve.Hu | they are high | H1361 | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | גָּבַהּ (ga.vah): to exult |
| 7 | מִמֶּֽ/ךָּ\׃ | mi.Me./ka | more than/ you | H4480A | HR/Sp2ms — Preposition + Suffix (Second Singular Masculine) | מִן־ (min): from |

## Job 35:6

**Original:** אִם־ חָ֭טָאתָ מַה־ תִּפְעָל־ בּ֑וֹ וְרַבּ֥וּ פְ֝שָׁעֶ֗יךָ מַה־ תַּעֲשֶׂה־ לּֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אִם\־ | 'im- | if | H518A | HTc — Conditional Particle | אִם (im): if |
| 2 | חָ֭טָאתָ | Cha.ta.ta | you have sinned | H2398 | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | חָטָא (cha.ta): to sin |
| 3 | מַה\־ | mah- | what? | H4100 | HPi — Interrogative Pronoun | מָה (mah): what? |
| 4 | תִּפְעָל\־ | tif.'ol- | do you do | H6466 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | פָּעַל (pa.al): to work |
| 5 | בּ֑/וֹ | b/o | in/ him | H9003 | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | /ב (b): in/on/with |
| 6 | וְ/רַבּ֥וּ | ve./ra.Bu | and/ they have been many | H7231 | Hc/Vqq3cp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Plural Either gender | רָבַב (ra.vav): to multiply |
