# STEP Bible — Job 41

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Job 41:1

**Original:** תִּמְשֹׁ֣ךְ לִוְיָתָ֣ן בְּחַכָּ֑ה וּ֝בְחֶ֗בֶל תַּשְׁקִ֥יעַ לְשֹׁנֽוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תִּמְשֹׁ֣ךְ | tim.Shokh | will you draw out? | H4900 | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | מָשַׁךְ (ma.shakh): to draw |
| 2 | לִוְיָתָ֣ן | liv.ya.Tan | Leviathan | H3882 | HNtmsa — Noun (Title, Singular Masculine, Absolute) | לִוְיָתָן (liv.ya.tan): Leviathan |
| 3 | בְּ/חַכָּ֑ה | be./cha.Kah | with/ a fish hook | H2443 | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | חַכָּה (chak.kah): hook |
| 4 | וּ֝/בְ/חֶ֗בֶל | u./ve./Che.vel | and/ with/ a cord | H2256M | HC/R/Ncbsa — Conjunction + Preposition + Noun (Singular Either gender, Absolute) | חֶ֫בֶל (che.vel): cord |
| 5 | תַּשְׁקִ֥יעַ | tash.Ki.a' | will you hold down? | H8257 | HVhi2ms — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | שָׁקַע (sha.qa): to sink |
| 6 | לְשֹׁנֽ/וֹ\׃ | le.sho.N/o | tongue/ its | H3956G | HNcbsc/Sp3ms — Noun (Singular Either gender, Construct) + Suffix (Third Singular Masculine) | לָשׁוֹן (la.shon): tongue |

## Job 41:2

**Original:** הֲתָשִׂ֣ים אַגְמ֣וֹן בְּאַפּ֑וֹ וּ֝בְח֗וֹחַ תִּקּ֥וֹב לֶֽחֱיוֹ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/תָשִׂ֣ים | ha./ta.Sim | ¿/ will you put | H7760H | HTi/Vqi2ms — Interrogative Particle + Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | שׂוּם (sum): to set: put |
| 2 | אַגְמ֣וֹן | 'ag.Mon | a cord | H100 | HNcmsa — Noun (Singular Masculine, Absolute) | אַגְמֹן (ag.mon): bulrush |
| 3 | בְּ/אַפּ֑/וֹ | be./'a.P/o | in/ nose/ its | H639H | HR/Ncmsc/Sp3ms — Preposition + Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | אַף (aph): face: nose |
| 4 | וּ֝/בְ/ח֗וֹחַ | u./ve./Cho.ach | and/ with/ a hook | H2336 | HC/R/Ncmsa — Conjunction + Preposition + Noun (Singular Masculine, Absolute) | חוֹחַ (cho.ach): thistle |
| 5 | תִּקּ֥וֹב | ti.Kov | will you pierce? | H5344A | HVqi2ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Second Singular Masculine | נָקַב (na.qav): to pierce |
| 6 | לֶֽחֱי/וֹ\׃ | le.che.y/o | jaw/ its | H3895H | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | לְחִי (le.chi): jaw |

## Job 41:3

**Original:** הֲיַרְבֶּ֣ה אֵ֭לֶיךָ תַּחֲנוּנִ֑ים אִם־ יְדַבֵּ֖ר אֵלֶ֣יךָ רַכּֽוֹת׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | הֲ/יַרְבֶּ֣ה | ha./yar.Beh | ¿/ will it multiply | H7235A | HTi/Vhi3ms — Interrogative Particle + Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | רָבָה (ra.vah): to multiply |
