# STEP Bible — Joel 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Joel 2:1

**Original:** תִּקְע֨וּ שׁוֹפָ֜ר בְּצִיּ֗וֹן וְהָרִ֙יעוּ֙ בְּהַ֣ר קָדְשִׁ֔י יִרְגְּז֕וּ כֹּ֖ל יֹשְׁבֵ֣י הָאָ֑רֶץ כִּֽי־ בָ֥א יוֹם־ יְהוָ֖ה כִּ֥י קָרֽוֹב׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | תִּקְע֨וּ | tik.'U | give a blast on | H8628 | HVqv2mp — Verb : Qal (Simple, Active) Imperative Second Plural Masculine | תָּקַע (ta.qa): to blow |
| 2 | שׁוֹפָ֜ר | sho.Far | a ram's horn | H7782 | HNcmsa — Noun (Singular Masculine, Absolute) | שֹׁפָר (sho.phar): trumpet |
| 3 | בְּ/צִיּ֗וֹן | be./tzi.Yon | in/ Zion | H6726 | HR/Npl — Preposition + Proper Noun (Location) | צִיּוֹן (tsiy.yon): Zion |
| 4 | וְ/הָרִ֙יעוּ֙ | ve./ha.Ri.'u | and/ sound a battle signal | H7321 | HC/Vhv2mp — Conjunction + Verb : Hiphil (Causative/declarative, Active) Imperative Second Plural Masculine | רוּעַ (ru.a): to shout |
| 5 | בְּ/הַ֣ר | be./Har | on/ [the] mountain of | H2022G | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | הַר (har): mountain: mount |
| 6 | קָדְשִׁ֔/י | kod.sh/i | holiness/ my | H6944G | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | קֹ֫דֶשׁ (qo.desh): holiness |
| 7 | יִרְגְּז֕וּ | yir.ge.Zu | let them tremble | H7264 | HVqi3mp — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Plural Masculine | רָגַז (ra.gaz): to tremble |
| 8 | כֹּ֖ל | kol | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 9 | יֹשְׁבֵ֣י | yo.she.Vei | [the] inhabitants of | H3427 | HVqrmpc — Verb : Qal (Simple, Active) Participle (Plural Masculine, Construct) | יָשַׁב (ya.shav): to dwell |
| 10 | הָ/אָ֑רֶץ | ha./'A.retz | the/ land | H776G | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | אֶ֫רֶץ (e.rets): land: country/planet |
| 11 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 12 | בָ֥א | va' | [is] about to come | H935G | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | בּוֹא (bo): to come (in): come |
| 13 | יוֹם\־ | yom- | [the] day of | H3117G | HNcmsc — Noun (Singular Masculine, Construct) | יוֹם (yom): day |
| 14 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 15 | כִּ֥י | ki | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 16 | קָרֽוֹב\׃ | ka.Rov | [it is] near | H7138 | HAamsa — Adjective (Singular Masculine, Absolute) | קָרֹב (qa.rov): near |

## Joel 2:2

**Original:** י֧וֹם חֹ֣שֶׁךְ וַאֲפֵלָ֗ה י֤וֹם עָנָן֙ וַעֲרָפֶ֔ל כְּשַׁ֖חַר פָּרֻ֣שׂ עַל־ הֶֽהָרִ֑ים עַ֚ם רַ֣ב וְעָצ֔וּם כָּמֹ֗הוּ לֹ֤א נִֽהְיָה֙ מִן־ הָ֣עוֹלָ֔ם וְאַֽחֲרָיו֙ לֹ֣א יוֹסֵ֔ף עַד־ שְׁנֵ֖י דּ֥וֹר וָדֽוֹר׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | י֧וֹם | Yom | a day of | H3117G | HNcmsc — Noun (Singular Masculine, Construct) | יוֹם (yom): day |
| 2 | חֹ֣שֶׁךְ | Cho.shekh | darkness | H2822 | HNcmsa — Noun (Singular Masculine, Absolute) | חֹ֫שֶׁךְ (cho.shekh): darkness |
| 3 | וַ/אֲפֵלָ֗ה | va./'a.fe.Lah | and/ gloom | H653 | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | אֲפֵלָה (a.phe.lah): darkness |
| 4 | י֤וֹם | Yom | a day of | H3117G | HNcmsc — Noun (Singular Masculine, Construct) | יוֹם (yom): day |
| 5 | עָנָן֙ | 'a.Nan | cloud | H6051 | HNcmsa — Noun (Singular Masculine, Absolute) | עָנָן (a.nan): cloud |
| 6 | וַ/עֲרָפֶ֔ל | va./'a.ra.Fel | and/ thick darkness | H6205 | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | עֲרָפֶל (a.ra.phel): cloud |
| 7 | כְּ/שַׁ֖חַר | ke./Sha.char | like/ dawn | H7837 | HR/Ncmsa — Preposition + Noun (Singular Masculine, Absolute) | שַׁ֫חַר (sha.char): dawn |
| 8 | פָּרֻ֣שׂ | pa.Rus | spread out | H6566 | HVqsmsa — Verb : Qal (Simple, Passive) Participle passive (Singular Masculine, Absolute) | פָּרַשׂ (pa.ra.s): to spread |
| 9 | עַל\־ | 'al- | over | H5921A | HR — Preposition | עַל (al): upon |
| 10 | הֶֽ/הָרִ֑ים | he./ha.Rim | the/ mountains | H2022G | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | הַר (har): mountain: mount |
| 11 | עַ֚ם | 'am | a people | H5971A | HNcmsa — Noun (Singular Masculine, Absolute) | עַם (am): people |
| 12 | רַ֣ב | rav | numerous | H7227A | HAamsa — Adjective (Singular Masculine, Absolute) | רַב (rav): many |
| 13 | וְ/עָצ֔וּם | ve./'a.Tzum | and/ mighty | H6099 | HC/Aamsa — Conjunction + Aamsa | עָצוּם (a.tsum): mighty |
| 14 | כָּמֹ֗/הוּ | ka.Mo./hu | like/ it | H3644G | HR/Sp3ms — Preposition + Suffix (Third Singular Masculine) | כְּמוֹ (ke.mo): like |
| 15 | לֹ֤א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 16 | נִֽהְיָה֙ | nih.Yah | it has occurred | H1961 | HVNp3ms — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) Third Singular Masculine | הָיָה (ha.yah): to be |
| 17 | מִן\־ | min- | since | H4480A | HR — Preposition | from |
| 18 | הָ֣/עוֹלָ֔ם | ha./'o.Lam | <the>/ antiquity | H5769J | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עוֹלָם (o.lam): forever: antiquity |
| 19 | וְ/אַֽחֲרָי/ו֙ | ve./'a.cha.Ra/v | and/ after/ it | H310A | HC/Acmpc/Sp3ms — Conjunction + Acmpc + Suffix (Third Singular Masculine) | אַחַר (a.char): after |
| 20 | לֹ֣א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
