# STEP Bible — Jonah 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Jonah 2:1

**Original:** וַיִּתְפַּלֵּ֣ל יוֹנָ֔ה אֶל־ יְהוָ֖ה אֱלֹהָ֑יו מִמְּעֵ֖י הַדָּגָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יִּתְפַּלֵּ֣ל | va/i.yit.pa.Lel | and/ he prayed | H6419 | Hc/Vtw3ms — Consecutive Conjunction + Verb : Hithpael (Intensive/resultive/transtive, Reflexive/iterative) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | פָּלַל (pa.lal): to pray |
| 2 | יוֹנָ֔ה | yo.Nah | Jonah | H3124 | HNpm — Proper Noun (Masculine individual) | יוֹנָה (yo.nah): Jonah |
| 3 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 4 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 5 | אֱלֹהָ֑י/ו | 'e.lo.Ha/v | God/ his | H430G | HNcmpc/Sp3ms — Noun (Plural Masculine, Construct) + Suffix (Third Singular Masculine) | אֱלֹהִים (e.lo.him): God |
| 6 | מִ/מְּעֵ֖י | mi./me.'Ei | from/ [the] inward parts of | H4578 | HR/Ncmpc — Preposition + Noun (Plural Masculine, Construct) | מֵעֶה (me.eh): belly |
| 7 | הַ/דָּגָֽה\׃ | ha./da.Gah | the/ fish | H1710 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | דָּגָה (da.gah): fish |

## Jonah 2:2

**Original:** וַיֹּ֗אמֶר קָ֠רָאתִי מִצָּ֥רָה לִ֛י אֶל־ יְהוָ֖ה וַֽיַּעֲנֵ֑נִי מִבֶּ֧טֶן שְׁא֛וֹל שִׁוַּ֖עְתִּי שָׁמַ֥עְתָּ קוֹלִֽי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֹּ֗אמֶר | va/i.Yo.mer | and/ he said | H559 | Hc/Vqw3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine | אָמַר (a.mar): to say |
| 2 | קָ֠רָאתִי | Ka.ra.ti | I called | H7121G | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | קָרָא (qa.ra): to call: call to |
| 3 | מִ/צָּ֥רָה | mi./Tza.rah | from/ distress | H6869B | HR/Ncfsa — Preposition + Noun (Singular Feminine, Absolute) | צָרָה (tsa.rah): distress |
| 4 | לִ֛/י | l/i | of/ me | H9005 | HRd/Sp1bs — Preposition (Definite) + Suffix (First Singular Either gender) | /ל (l): to/for |
| 5 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 6 | יְהוָ֖ה | Yah.weh | Yahweh | H3068G | HNpt — Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | וַֽ/יַּעֲנֵ֑/נִי | va/i.ya.'a.Ne./ni | and/ he answered/ me | H6030B | Hc/Vqw3ms/Sp1bs — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Singular Masculine + Suffix (First Singular Either gender) | עָנָה (a.nah): to answer |
| 8 | מִ/בֶּ֧טֶן | mi./Be.ten | from/ [the] belly of | H990G | HR/Ncfsc — Preposition + Noun (Singular Feminine, Construct) | בֶּ֫טֶן (be.ten): belly: abdomen |
| 9 | שְׁא֛וֹל | she.'ol | Sheol | H7585 | HNcbsa — Noun (Singular Either gender, Absolute) | שְׁאוֹל (she.ol): hell: Sheol |
| 10 | שִׁוַּ֖עְתִּי | shi.Va'.ti | I cried for help | H7768 | HVpp1cs — Verb : Piel (Intensive/resultive/transtive, Active) Perfect (Past/present Indicative) First Singular Either gender | שָׁוַע (sha.va): to cry |
| 11 | שָׁמַ֥עְתָּ | sha.Ma'.ta | you heard | H8085G | HVqp2ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Second Singular Masculine | שָׁמַע (sha.ma): to hear: hear |
| 12 | קוֹלִֽ/י\׃ | ko.L/i | voice/ my | H6963A | HNcmsc/Sp1bs — Noun (Singular Masculine, Construct) + Suffix (First Singular Either gender) | קוֹל (qol): voice |

## Jonah 2:3

**Original:** וַתַּשְׁלִיכֵ֤נִי מְצוּלָה֙ בִּלְבַ֣ב יַמִּ֔ים וְנָהָ֖ר יְסֹבְבֵ֑נִי כָּל־ מִשְׁבָּרֶ֥יךָ וְגַלֶּ֖יךָ עָלַ֥י עָבָֽרוּ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/תַּשְׁלִיכֵ֤/נִי | va./tash.li.Khe./ni | and/ you have thrown/ me | H7993 | Hc/Vhw2ms/Sp1bs — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Imperfect (Past/present Indicative) Second Singular Masculine + Suffix (First Singular Either gender) | שָׁלַךְ (sha.lakh): to throw |
| 2 | מְצוּלָה֙ | me.tzu.Lah | [the] deep | H4688 | HNcfsa — Noun (Singular Feminine, Absolute) | מְצוֹלָה (me.tso.lah): depth |
| 3 | בִּ/לְבַ֣ב | bi/l.Vav | in/ [the] heart of | H3824 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | לֵבָב (le.vav): heart |
| 4 | יַמִּ֔ים | ya.Mim | [the] seas | H3220G | HNcmpa — Noun (Plural Masculine, Absolute) | יָם (yam): sea |
| 5 | וְ/נָהָ֖ר | ve./na.Har | and/ a river | H5104H | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | נָהָר (na.har): river |
| 6 | יְסֹבְבֵ֑/נִי | ye.soe.Ve./ni | it surrounds/ me | H5437H | HVpi3ms/Sp1bs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (First Singular Either gender) | סָבַב (sa.vav): to turn: surround |
| 7 | כָּל\־ | kol- | all | H3605 | HNcmsc — Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 8 | מִשְׁבָּרֶ֥י/ךָ | mish.ba.Rei./kha | breakers/ your | H4867 | HNcmpc/Sp2ms — Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | מִשְׁבָּר (mish.bar): wave |
| 9 | וְ/גַלֶּ֖י/ךָ | ve./ga.Lei./kha | and/ waves/ your | H1530H | HC/Ncmpc/Sp2ms — Conjunction + Noun (Plural Masculine, Construct) + Suffix (Second Singular Masculine) | גַּל (gal): heap: wave |
| 10 | עָלַ֥/י | 'a.La/i | over/ me | H5921A | HRd/Sp1bs — Preposition (Definite) + Suffix (First Singular Either gender) | עַל (al): upon |
| 11 | עָבָֽרוּ\׃ | 'a.Va.ru | they have passed | H5674A | HVqp3cp — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender | עָבַר (a.var): to pass |

## Jonah 2:4

**Original:** וַאֲנִ֣י אָמַ֔רְתִּי נִגְרַ֖שְׁתִּי מִנֶּ֣גֶד עֵינֶ֑יךָ אַ֚ךְ אוֹסִ֣יף לְהַבִּ֔יט אֶל־ הֵיכַ֖ל קָדְשֶֽׁךָ׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/אֲנִ֣י | va./'a.Ni | and/ I | H589 | HC/Pp1bs — Conjunction + Pronoun (First Singular Either gender) | אֲנִי (a.ni): I |
| 2 | אָמַ֔רְתִּי | 'a.Mar.ti | I said | H559 | HVqp1cs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) First Singular Either gender | אָמַר (a.mar): to say |
| 3 | נִגְרַ֖שְׁתִּי | nig.Rash.ti | I have been driven away | H1644G | HVNp1cs — Verb : Niphal (Simple, Passive) Perfect (Past/present Indicative) First Singular Either gender | גָּרַשׁ (ga.rash): to drive out: drive out |
| 4 | מִ/נֶּ֣גֶד | mi./Ne.ged | from/ before | H5048 | HR/Acmsc — Preposition + Acmsc | נֶ֫גֶד (ne.ged): before |
| 5 | עֵינֶ֑י/ךָ | 'ei.Nei./kha | eyes/ your | H5869H | HNcfdc/Sp2ms — Noun (Dual Feminine, Construct) + Suffix (Second Singular Masculine) | עַ֫יִן (a.yin): eye: seeing |
| 6 | אַ֚ךְ | 'akh | nevertheless | H389 | HD — Adverb | אַךְ (akh): surely |
| 7 | אוֹסִ֣יף | 'o.Sif | I will repeat | H3254G | HVhi1cs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/cohortative) First Singular Either gender | יָסַף (ya.saph): to add: again |
| 8 | לְ/הַבִּ֔יט | le./ha.Bit | to/ look | H5027 | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | נָבַט (na.vat): to look |
| 9 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 10 | הֵיכַ֖ל | hei.Khal | [the] temple of | H1964G | HNcmsc — Noun (Singular Masculine, Construct) | הֵיכָל (he.khal): temple |
| 11 | קָדְשֶֽׁ/ךָ\׃ | kod.She./cha | holiness/ your | H6944G | HNcmsc/Sp2ms — Noun (Singular Masculine, Construct) + Suffix (Second Singular Masculine) | קֹ֫דֶשׁ (qo.desh): holiness |

## Jonah 2:5

**Original:** אֲפָפ֤וּנִי מַ֙יִם֙ עַד־ נֶ֔פֶשׁ תְּה֖וֹם יְסֹבְבֵ֑נִי ס֖וּף חָב֥וּשׁ לְרֹאשִֽׁי׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | אֲפָפ֤וּ/נִי | 'a.fa.Fu./ni | they have encompassed/ me | H661 | HVqp3cp/Sp1bs — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Plural Either gender + Suffix (First Singular Either gender) | אָפַף (a.phaph): to surround |
| 2 | מַ֙יִם֙ | ma.yim | waters | H4325G | HNcmpa — Noun (Plural Masculine, Absolute) | מַי (ma.yim): water |
| 3 | עַד\־ | 'ad- | to | H5704 | HR — Preposition | עַד (ad): till |
| 4 | נֶ֔פֶשׁ | Ne.fesh | [the] neck | H5315H | HNcfsa — Noun (Singular Feminine, Absolute) | נֶ֫פֶשׁ (ne.phesh): soul: life |
| 5 | תְּה֖וֹם | te.Hom | [the] deep | H8415 | HNcfsa — Noun (Singular Feminine, Absolute) | תְּהוֹם (te.hom): abyss |
| 6 | יְסֹבְבֵ֑/נִי | ye.soe.Ve./ni | it surrounds/ me | H5437H | HVpi3ms/Sp1bs — Verb : Piel (Intensive/resultive/transtive, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine + Suffix (First Singular Either gender) | סָבַב (sa.vav): to turn: surround |
| 7 | ס֖וּף | suf | rush[es] | H5488H | HNcmsa — Noun (Singular Masculine, Absolute) | סוּף (suph): reed |
