# STEP Bible — Leviticus 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Leviticus 2:1

**Original:** וְנֶ֗פֶשׁ כִּֽי־ תַקְרִ֞יב קָרְבַּ֤ן מִנְחָה֙ לַֽיהוָ֔ה סֹ֖לֶת יִהְיֶ֣ה קָרְבָּנ֑וֹ וְיָצַ֤ק עָלֶ֙יהָ֙ שֶׁ֔מֶן וְנָתַ֥ן עָלֶ֖יהָ לְבֹנָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וְ/נֶ֗פֶשׁ | ve./Ne.fesh | and/ anyone | H5315J | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | נֶ֫פֶשׁ (ne.phesh): soul: person |
| 2 | כִּֽי\־ | ki- | for | H3588A | HTc — Conditional Particle | כִּי (ki): for |
| 3 | תַקְרִ֞יב | tak.Riv | it will present | H7126H | HVhi3fs — Verb : Hiphil (Causative/declarative, Active) Imperfect (Future/present Indicative/jussive) Third Singular Feminine | קָרַב (qa.rav): to present: bring |
| 4 | קָרְבַּ֤ן | ka.re.Ban | a present of | H7133A | HNcmsc — Noun (Singular Masculine, Construct) | קׇרְבָּן (qor.ban): offering |
| 5 | מִנְחָה֙ | min.Chah | a grain offering | H4503G | HNcfsa — Noun (Singular Feminine, Absolute) | מִנְחָה (min.chah): offering |
| 6 | לַֽ/יהוָ֔ה | la./Yah.weh | to/ Yahweh | H3068G | HR/Npt — Preposition + Proper Noun (Title) | יְהֹוָה (ye.ho.vah): LORD |
| 7 | סֹ֖לֶת | So.let | fine flour | H5560 | HNcfsa — Noun (Singular Feminine, Absolute) | סֹ֫לֶת (so.let): fine flour |
| 8 | יִהְיֶ֣ה | yih.Yeh | it will be | H1961 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | הָיָה (ha.yah): to be |
| 9 | קָרְבָּנ֑/וֹ | ka.re.ba.N/o | present/ his | H7133A | HNcmsc/Sp3ms — Noun (Singular Masculine, Construct) + Suffix (Third Singular Masculine) | קׇרְבָּן (qor.ban): offering |
| 10 | וְ/יָצַ֤ק | ve./ya.Tzak | and/ he will pour | H3332G | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | יָצַק (ya.tsaq): to pour: pour |
| 11 | עָלֶ֙י/הָ֙ | 'a.Lei./ha | on/ it | H5921A | HRd/Sp3fs — Preposition (Definite) + Suffix (Third Singular Feminine) | עַל (al): upon |
| 12 | שֶׁ֔מֶן | She.men | oil | H8081 | HNcmsa — Noun (Singular Masculine, Absolute) | שֶׁ֫מֶן (she.men): oil |
| 13 | וְ/נָתַ֥ן | ve./na.Tan | and/ he will put | H5414H | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | נָתַן (na.tan): to give: put |
| 14 | עָלֶ֖י/הָ | 'a.Lei./ha | on/ it | H5921A | HRd/Sp3fs — Preposition (Definite) + Suffix (Third Singular Feminine) | עַל (al): upon |
| 15 | לְבֹנָֽה\׃ | le.vo.Nah | frankincense | H3828 | HNcfsa — Noun (Singular Feminine, Absolute) | לְבֹנָה (le.vo.nah): frankincense |

## Leviticus 2:2

**Original:** וֶֽהֱבִיאָ֗הּ אֶל־ בְּנֵ֣י אַהֲרֹן֮ הַכֹּהֲנִים֒ וְקָמַ֨ץ מִשָּׁ֜ם מְלֹ֣א קֻמְצ֗וֹ מִסָּלְתָּהּ֙ וּמִשַּׁמְנָ֔הּ עַ֖ל כָּל־ לְבֹנָתָ֑הּ וְהִקְטִ֨יר הַכֹּהֵ֜ן אֶת־ אַזְכָּרָתָהּ֙ הַמִּזְבֵּ֔חָה אִשֵּׁ֛ה רֵ֥יחַ נִיחֹ֖חַ לַיהוָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וֶֽ/הֱבִיאָ֗/הּ | ve./he.vi.'A/h | and/ he will bring/ it | H935P | Hc/Vhq3ms/Sp3fs — Consecutive Conjunction + Verb : Hiphil (Causative/declarative, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine + Suffix (Third Singular Feminine) | בּוֹא (bo): to come (in): bring |
| 2 | אֶל\־ | 'el- | to | H413 | HR — Preposition | אֶל (el): to(wards) |
| 3 | בְּנֵ֣י | be.Nei | [the] sons of | H1121A | HNcmpc — Noun (Plural Masculine, Construct) | בֵּן (ben): son: child |
| 4 | אַהֲרֹן֮ | 'a.ha.Ron | Aaron | H175 | HNpm — Proper Noun (Masculine individual) | אַהֲרֹן (a.ha.ron): Aaron |
| 5 | הַ/כֹּהֲנִים֒ | ha./ko.ha.Nim | the/ priests | H3548 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | כֹּהֵן (ko.hen): priest |
| 6 | וְ/קָמַ֨ץ | ve./ka.Matz | and/ he will take a handful | H7061 | Hc/Vqq3ms — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Perfect (Future/present Indicative) Third Singular Masculine | קָמַץ (qa.mats): to grasp |
| 7 | מִ/שָּׁ֜ם | mi./Sham | from/ there | H8033G | HR/D — Preposition + Adverb | שָׁם (sham): there |
