# STEP Bible — Nahum 2

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Nahum 2:1

**Original:** עָלָ֥ה מֵפִ֛יץ עַל־ פָּנַ֖יִךְ נָצ֣וֹר מְצֻרָ֑ה צַפֵּה־ דֶ֙רֶךְ֙ חַזֵּ֣ק מָתְנַ֔יִם אַמֵּ֥ץ כֹּ֖חַ מְאֹֽד׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | עָלָ֥ה | 'a.Lah | he has come up | H5927G | HVqp3ms — Verb : Qal (Simple, Active) Perfect (Past/present Indicative) Third Singular Masculine | עָלָה (a.lah): to ascend: rise |
| 2 | מֵפִ֛יץ | me.Fitz | [one who] scatters | H6327B | HVhrmsa — Verb : Hiphil (Causative/declarative, Active) Participle (Singular Masculine, Absolute) | מֵפִיץ (me.phits): scatterer |
| 3 | עַל\־ | 'al- | on | H5921A | HR — Preposition | עַל (al): upon |
| 4 | פָּנַ֖יִ/ךְ | pa.Na.yi/kh | face/ your | H6440L | HNcmpc/Sp2fs — Noun (Plural Masculine, Construct) + Suffix (Second Singular Feminine) | פָּנֶה (pa.neh): face of |
| 5 | נָצ֣וֹר | na.Tzor | guard | H5341 | HVqaa — Verb : Qal (Simple, Active) Infinitive Absolute | נָצַר (na.tsar): to watch |
| 6 | מְצֻרָ֑ה | me.tzu.Rah | [the] fortification | H4694 | HNcfsa — Noun (Singular Feminine, Absolute) | מְצוּרָה (me.tsu.rah): fortress |
| 7 | צַפֵּה\־ | tza.peh- | watch | H6822 | HVpv2ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Masculine | צָפָה (tsa.phah): to watch |
| 8 | דֶ֙רֶךְ֙ | de.rekh | [the] road | H1870K | HNcbsa — Noun (Singular Either gender, Absolute) | דֶּ֫רֶךְ (de.rekh): way: road |
| 9 | חַזֵּ֣ק | cha.Zek | strengthen | H2388G | HVpv2ms — Verb : Piel (Intensive/resultive/transtive, Active) Imperative Second Singular Masculine | חָזַק (cha.zaq): to strengthen: strengthen |
