# STEP Bible — Nahum 3

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Nahum 3:1

**Original:** ה֖וֹי עִ֣יר דָּמִ֑ים כֻּלָּ֗הּ כַּ֤חַשׁ פֶּ֙רֶק֙ מְלֵאָ֔ה לֹ֥א יָמִ֖ישׁ טָֽרֶף׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | ה֖וֹי | Ho | woe to! | H1945 | HTj — Interjection | הוֹי (hoy): woe! |
| 2 | עִ֣יר | 'ir | [the] city of | H5892B | HNcfsc — Noun (Singular Feminine, Construct) | עִיר (ir): city |
| 3 | דָּמִ֑ים | da.Mim | blood<s> | H1818 | HNcmpa — Noun (Plural Masculine, Absolute) | דָּם (dam): blood |
| 4 | כֻּלָּ֗/הּ | ku.La/h | all of/ it | H3605 | HNcmsc/Sp3fs — Noun (Singular Masculine, Construct) + Suffix (Third Singular Feminine) | כֹּל (kol): all |
| 5 | כַּ֤חַשׁ | Ka.chash | lying | H3585 | HNcmsa — Noun (Singular Masculine, Absolute) | כַּ֫חַשׁ (ka.chash): lie |
| 6 | פֶּ֙רֶק֙ | pe.rek | plunder | H6563 | HNcmsa — Noun (Singular Masculine, Absolute) | פֶּ֫רֶק (pe.req): plunder |
| 7 | מְלֵאָ֔ה | me.le.'Ah | [is] full | H4392 | HAafsa — Adjective (Singular Feminine, Absolute) | מָלֵא (ma.le): full |
| 8 | לֹ֥א | lo' | not | H3808 | HTn — Negative Particle | לֹא (lo): not |
| 9 | יָמִ֖ישׁ | ya.Mish | it will depart | H4185 | HVqi3ms — Verb : Qal (Simple, Active) Imperfect (Future/present Indicative/jussive) Third Singular Masculine | מוּשׁ (mush): to remove |
| 10 | טָֽרֶף\׃ | Ta.ref | prey | H2964 | HNcmsa — Noun (Singular Masculine, Absolute) | טֶ֫רֶף (te.reph): prey |

## Nahum 3:2

**Original:** ק֣וֹל שׁ֔וֹט וְק֖וֹל רַ֣עַשׁ אוֹפָ֑ן וְס֣וּס דֹּהֵ֔ר וּמֶרְכָּבָ֖ה מְרַקֵּדָֽה׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | ק֣וֹל | Kol | [the] sound of | H6963H | HNcmsc — Noun (Singular Masculine, Construct) | קוֹל (qol): voice: sound |
| 2 | שׁ֔וֹט | Shot | a whip | H7752 | HNcmsa — Noun (Singular Masculine, Absolute) | שׁוֹט (shot): whip |
| 3 | וְ/ק֖וֹל | ve./Kol | and/ [the] sound of | H6963A | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | קוֹל (qol): voice |
| 4 | רַ֣עַשׁ | Ra.'ash | [the] rattling of | H7494 | HNcmsc — Noun (Singular Masculine, Construct) | רַ֫עַשׁ (ra.ash): quaking |
| 5 | אוֹפָ֑ן | 'o.Fan | a wheel | H212 | HNcmsa — Noun (Singular Masculine, Absolute) | אוֹפָן (o.phan): wheel |
| 6 | וְ/ס֣וּס | ve./Sus | and/ a horse | H5483M | HC/Ncmsa — Conjunction + Noun (Singular Masculine, Absolute) | סוּס (sus): horse |
| 7 | דֹּהֵ֔ר | do.Her | galloping | H1725 | HVqrmsa — Verb : Qal (Simple, Active) Participle (Singular Masculine, Absolute) | דָּהַר (da.har): to rush |
| 8 | וּ/מֶרְכָּבָ֖ה | u./mer.ka.Vah | and/ a chariot | H4818 | HC/Ncfsa — Conjunction + Noun (Singular Feminine, Absolute) | מֶרְכָּבָה (mer.ka.vah): chariot |
