# STEP Bible — Nehemiah 11

> Source: STEP Bible / STEPBible-Data — https://github.com/STEPBible/STEPBible-Data
> License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
> 本檔是「原文證據層」資料，不是 Commentary。
> Lexicon 列的是詞彙可能義域；不可直接把所有字典義都當成本節語境義。

## Nehemiah 11:1

**Original:** וַיֵּשְׁב֥וּ שָׂרֵֽי־ הָעָ֖ם בִּירוּשָׁלִָ֑ם וּשְׁאָ֣ר הָ֠עָם הִפִּ֨ילוּ גוֹרָל֜וֹת לְהָבִ֣יא׀ אֶחָ֣ד מִן־ הָעֲשָׂרָ֗ה לָשֶׁ֙בֶת֙ בִּֽירוּשָׁלִַ֙ם֙ עִ֣יר הַקֹּ֔דֶשׁ וְתֵ֥שַׁע הַיָּד֖וֹת בֶּעָרִֽים׃

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַ/יֵּשְׁב֥וּ | va/i.ye.she.Vu | and/ they dwelt | H3427 | Hc/Vqw3mp — Consecutive Conjunction + Verb : Qal (Simple, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | יָשַׁב (ya.shav): to dwell |
| 2 | שָׂרֵֽי\־ | sa.rei- | [the] leaders of | H8269 | HNcmpc — Noun (Plural Masculine, Construct) | שַׂר (sar): ruler |
| 3 | הָ/עָ֖ם | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 4 | בִּ/ירוּשָׁלִָ֑ם | bi./ru.sha.Lim | in/ Jerusalem | H3389 | HR/Npl — Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 5 | וּ/שְׁאָ֣ר | u./she.'Ar | and/ [the] rest of | H7605 | HC/Ncmsc — Conjunction + Noun (Singular Masculine, Construct) | שְׁאָר (she.ar): remnant |
| 6 | הָ֠/עָם | Ha./'om | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 7 | הִפִּ֨ילוּ | hi.Pi.lu | they cast | H5307I | HVhp3cp — Verb : Hiphil (Causative/declarative, Active) Perfect (Past/present Indicative) Third Plural Either gender | נָפַל (na.phal): to fall: allot |
| 8 | גוֹרָל֜וֹת | go.ra.Lot | lots | H1486 | HNcfpa — Noun (Plural Feminine, Absolute) | גּוֹרָל (go.ral): allotted |
| 9 | לְ/הָבִ֣יא\׀ | le./ha.Vi' | to/ bring | H935P | HR/Vhcc — Preposition + Verb : Hiphil (Causative/declarative, Active) Infinitive Construct | בּוֹא (bo): to come (in): bring |
| 10 | אֶחָ֣ד | 'e.Chad | one | H259 | HAcfsa — Numerical Adjective (Singular Feminine, Absolute) | אֶחָד (e.chad): one |
| 11 | מִן\־ | min- | of | H4480A | HR — Preposition | from |
| 12 | הָ/עֲשָׂרָ֗ה | ha./'a.sa.Rah | the/ ten | H6235 | HTd/Ncfsa — Definite article (Hebrew) + Noun (Singular Feminine, Absolute) | עֶשֶׂר (e.ser): ten |
| 13 | לָ/שֶׁ֙בֶת֙ | la./She.vet | to/ dwell | H3427 | HR/Vqcc — Preposition + Verb : Qal (Simple, Active) Infinitive Construct | יָשַׁב (ya.shav): to dwell |
| 14 | בִּֽ/ירוּשָׁלִַ֙ם֙ | bi./ru.sha.Lim | in/ Jerusalem | H3389 | HR/Npl — Preposition + Proper Noun (Location) | יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם (ye.ru.sha.laim): Jerusalem |
| 15 | עִ֣יר | 'ir | [the] city of | H5892B | HNcfsc — Noun (Singular Feminine, Construct) | עִיר (ir): city |
| 16 | הַ/קֹּ֔דֶשׁ | ha./Ko.desh | <the>/ holiness | H6944G | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | קֹ֫דֶשׁ (qo.desh): holiness |
| 17 | וְ/תֵ֥שַׁע | ve./Te.sha' | and/ nine | H8672 | HC/Acbsa — Conjunction + Acbsa | תֵּ֫שַׁע (te.sah): nine |
| 18 | הַ/יָּד֖וֹת | hai./ya.Dot | the/ hands | H3027L | HTd/Ncbpa — Definite article (Hebrew) + Noun (Plural Either gender, Absolute) | יָד (yad): hand: times |
| 19 | בֶּ/עָרִֽים\׃ | be./'a.Rim | [were] in the/ cities | H5892B | HRd/Ncmpa — Preposition (Definite) + Noun (Plural Masculine, Absolute) | עִיר (ir): city |

## Nehemiah 11:2

**Original:** וַֽיְבָרֲכ֖וּ הָעָ֑ם לְכֹל֙ הָֽאֲנָשִׁ֔ים הַמִּֽתְנַדְּבִ֔ים לָשֶׁ֖בֶת בִּירוּשָׁלִָֽם׃\ \פ

| # | 原文 | Transliteration | Context gloss | Strong | Morphology | Brief lexicon |
|---:|---|---|---|---|---|---|
| 1 | וַֽ/יְבָרֲכ֖וּ | va/y.va.ra.Khu | and/ they blessed | H1288 | Hc/Vpw3mp — Consecutive Conjunction + Verb : Piel (Intensive/resultive/transtive, Active) Consecutive Imperfect (Past/present Indicative) Third Plural Masculine | בָּרַךְ (ba.rakh): to bless |
| 2 | הָ/עָ֑ם | ha./'Am | the/ people | H5971A | HTd/Ncmsa — Definite article (Hebrew) + Noun (Singular Masculine, Absolute) | עַם (am): people |
| 3 | לְ/כֹל֙ | le./Khol | <to>/ all | H3605 | HR/Ncmsc — Preposition + Noun (Singular Masculine, Construct) | כֹּל (kol): all |
| 4 | הָֽ/אֲנָשִׁ֔ים | ha./'a.na.Shim | the/ men | H582 | HTd/Ncmpa — Definite article (Hebrew) + Noun (Plural Masculine, Absolute) | אֱנוֹשׁ (e.nosh): human |
